name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Saregama Entertainment - Artist Management Company,,,Near Agarwal Mall Maninagar,Maninagar,Ahmedabad,5,4 Ratings,Event Organisers,22.991267,72.620999,380008,079PXX79.XX79.260423120526.N4M1,Ahmedabad/Saregama-Entertainment-Artist-Management-Company-Near-Agarwal-Mall-Maninagar/079PXX79-XX79-260423120526-N4M1_BZDET,5,https://content.jdmagicbox.com/v2/comp/ahmedabad/m1/079pxx79.xx79.260423120526.n4m1/catalogue/saregama-entertainment-artist-management-company-maninagar-ahmedabad-event-organisers-b5vbc3e2pu.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/m1/079pxx79.xx79.260423120526.n4m1/catalogue/saregama-entertainment-artist-management-company-maninagar-ahmedabad-event-organisers-pdky95cgt4.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/m1/079pxx79.xx79.260423120526.n4m1/catalogue/saregama-entertainment-artist-management-company-maninagar-ahmedabad-event-organisers-utkl457nia.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/m1/079pxx79.xx79.260423120526.n4m1/catalogue/saregama-entertainment-artist-management-company-maninagar-ahmedabad-event-organisers-9p3icxia6q.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/m1/079pxx79.xx79.260423120526.n4m1/catalogue/saregama-entertainment-artist-management-company-maninagar-ahmedabad-event-organisers-18p4xngbi2.jpg,,0
Artist On Demand - Artist Management Company,,, Trilok Puri,24/134 Trilok Puri,Delhi,4,2 Ratings,Artist Management Event Organisers,28.608506,77.307582,110091,011PXX11.XX11.221204222952.H7C3,Delhi/Artist-On-Demand-Artist-Management-Company-Trilok-Puri/011PXX11-XX11-221204222952-H7C3_BZDET,4,https://content.jdmagicbox.com/v2/comp/delhi/c3/011pxx11.xx11.221204222952.h7c3/catalogue/artist-on-demand-artist-management-company-trilokpuri-delhi-artist-management-event-organisers-x8kehrzhuh.jpg;https://content.jdmagicbox.com/v2/comp/delhi/c3/011pxx11.xx11.221204222952.h7c3/catalogue/artist-on-demand-artist-management-company-trilokpuri-delhi-artist-management-event-organisers-ow7sbg47jk.jpg,,0
Aarch Artist Event Management,,, Hadapsar,Hadapsar,Pune,0,0 ,"Event Organisers, Event Management Companies",18.498514,73.93453,411028,020PXX20.XX20.190805113421.K4P4,Pune/Aarch-Artist-Event-Management-Hadapsar/020PXX20-XX20-190805113421-K4P4_BZDET,0,https://content.jdmagicbox.com/comp/def_content/event-management-companies/event-management-1-event-management-companies-1-o295y.jpg,,0
Laugh & Vibe Entertainment & Artist Management,09054073910,,Near By Florian Hurel Spa Koregaon Park,Koregaon Park Bund Garden Road Koregaon Park,Pune,4.9,295 Ratings,"Anchoring Services, Singers",18.539436340332,73.900199890137,411001,020PXX20.XX20.250417211040.X2J1,Pune/Laugh-Vibe-Entertainment-Artist-Management-Near-By-Florian-Hurel-Spa-Koregaon-Park/020PXX20-XX20-250417211040-X2J1_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-entertainment-and-artist-management-koregaon-park-pune-entertainment-agencies-lqa7wwpo5m.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-sm0l3pkg3s.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-oxp93wy4o1.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-6lk7ddvfs9.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-f98y9l09ng.jpg,1,1
Art Potli Artist Management Company,,,Balewadi High Street Ashok Nagar,Near Balewadi Hightstreet Ashok Nagar,Pune,5,11 Ratings,"Event Organisers, Disc Jockey",18.541588,73.837456,411007,020PXX20.XX20.230531164048.V4E6,Pune/Art-Potli-Artist-Management-Company-Balewadi-High-Street-Ashok-Nagar/020PXX20-XX20-230531164048-V4E6_BZDET,5,https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-8697ymin8d.jpg;https://content.jdmagicbox.com/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-3stu10nipt.jpg;https://content.jdmagicbox.com/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-oo5edu8tj8.jpg;https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-62ssyxi0bq.jpg;https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-eal4xup8vo.jpg,,0
S4 Events and artist management,,,Near By High Street 2 Balewadi Baner,Balewadi-Baner,Pune,5,1 Rating,"Anchoring Services, Birthday Party Organisers",18.58040854447,73.770595358486,411045,020PXX20.XX20.260302163430.C8J2,Pune/S4-Events-and-artist-management-Near-By-High-Street-2-Balewadi-Baner/020PXX20-XX20-260302163430-C8J2_BZDET,5,https://content.jdmagicbox.com/comp/def_content/anchoring-services/screenshot-2-anchoring-services-3-frzun.jpg,,0
Flamb Artist & Celebrity Management Company,,, Lohegaon,Om Sai Building . Shop No. 1 Ground Floor Lohegaon,Pune,4.5,13 Ratings,"Artists, Celebrity Djs",18.59549,73.935278,411047,020PXX20.XX20.200109210734.Q6E8,Pune/Flamb-Artist-Celebrity-Management-Company-Lohegaon/020PXX20-XX20-200109210734-Q6E8_BZDET,4.5,https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-llehhh54az.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-swwrcn4vgw.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-6zt1u57lbg.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-cbf3hnebuu.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-rfibay37z6.jpg,,0
Ujjval Dance Fitness and Event Company,,,Rajarshi Shahu Jaltaran Talav Rajarampuri,Rajarampuri 8th Lane Rajarampuri,Kolhapur,4.7,82 Ratings,"Colleges, Weight Loss Centres",16.6925075,74.243592,416008,0231PX231.X231.150416131953.I1P9,Kolhapur/Ujjval-Dance-Fitness-and-Event-Company-Rajarshi-Shahu-Jaltaran-Talav-Rajarampuri/0231PX231-X231-150416131953-I1P9_BZDET,4.7,https://content.jdmagicbox.com/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-efzqg88x3j.jpg;https://content.jdmagicbox.com/v2/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-for-bollywood-tqvjpv9obg.jpg;https://content.jdmagicbox.com/v2/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-for-bollywood-tgkpqj9xay.jpg;https://content.jdmagicbox.com/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-nqemyvacb2.jpg;https://content.jdmagicbox.com/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-12vcjx33kq.jpg,,0
Infinity Designs By Priyanka,,, Vitthal Nagar Chikhali,Vitthal Nagar-Chikhali,Pune,5,3 Ratings,"Mehendi Powder Dealers, Mehendi Cone Dealers",18.666666,73.806332,411062,020PXX20.XX20.220608120149.D4Q6,Pune/Infinity-Designs-By-Priyanka-Vitthal-Nagar-Chikhali/020PXX20-XX20-220608120149-D4Q6_BZDET,5,https://content.jdmagicbox.com/comp/pune/q6/020pxx20.xx20.220608120149.d4q6/catalogue/infinity-designs-by-priyanka-vitthal-nagar-chikhali-pune-artist-management-0j8mdtrgv6.jpg;https://content.jdmagicbox.com/comp/pune/q6/020pxx20.xx20.220608120149.d4q6/catalogue/infinity-designs-by-priyanka-vitthal-nagar-chikhali-pune-artist-management-b78ce2unne.jpg,,0
Lakshya Events & Talent Management Pvt Ltd,,, Maninagar,Jawahar Chowk Char Rasta Maninagar,Ahmedabad,0,0 ,"Event Organisers, Event Management Companies",22.99526,72.604035,380008,079PXX79.XX79.110224174719.T2J5,Ahmedabad/Lakshya-Events-Talent-Management-Pvt-Ltd-Maninagar/079PXX79-XX79-110224174719-T2J5_BZDET,0,https://content.jdmagicbox.com/comp/def_content/event_organisers/default-event-organisers-1.jpg,,0
