name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Laugh & Vibe Entertainment & Artist Management,09054073910,,Near By Florian Hurel Spa Koregaon Park,Koregaon Park Bund Garden Road Koregaon Park,pune,4.9,295 Ratings,"Anchoring Services, Singers",18.539436340332,73.900199890137,411001,020PXX20.XX20.250417211040.X2J1,https://www.justdial.com/Pune/Laugh-Vibe-Entertainment-Artist-Management-Near-By-Florian-Hurel-Spa-Koregaon-Park/020PXX20-XX20-250417211040-X2J1_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-entertainment-and-artist-management-koregaon-park-pune-entertainment-agencies-lqa7wwpo5m.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-sm0l3pkg3s.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-oxp93wy4o1.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-6lk7ddvfs9.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-f98y9l09ng.jpg,1,1
Deco Vision India,08050092689,,Beside Nilkanth Bunglow Near Apollo International School Tragad,Tragad Road Tragad,ahmedabad,5,15 Ratings,"Mandap Decorators, Decorators",23.1263987,72.5607709,382470,079PXX79.XX79.190731115117.K8T8,https://www.justdial.com/Ahmedabad/Deco-Vision-India-Beside-Nilkanth-Bunglow-Near-Apollo-International-School-Tragad/079PXX79-XX79-190731115117-K8T8_BZDET,5,https://content.jdmagicbox.com/v2/comp/ahmedabad/t8/079pxx79.xx79.190731115117.k8t8/catalogue/deco-vision-india-tragad-ahmedabad-mandap-decorators-z6xftyjnr9.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/t8/079pxx79.xx79.190731115117.k8t8/catalogue/deco-vision-india-tragad-ahmedabad-mandap-decorators-bj0belghaf.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/t8/079pxx79.xx79.190731115117.k8t8/catalogue/deco-vision-india-tragad-ahmedabad-mandap-decorators-qd43e12n50.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/t8/079pxx79.xx79.190731115117.k8t8/catalogue/deco-vision-india-tragad-ahmedabad-mandap-decorators-v3nqn7poej.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/t8/079pxx79.xx79.190731115117.k8t8/catalogue/deco-vision-india-tragad-ahmedabad-mandap-decorators-wwsxya501w.jpg,1,1
Dahy Shakr Events LLP,08460422016,,Behind ITC Narmada Keshavbaug Satellite,Mansi Cercle Road Satellite,ahmedabad,4,4 Ratings,"Event Organisers, Event Management Companies",23.030131,72.5304434,380015,079PXX79.XX79.250505113808.D9S5,https://www.justdial.com/Ahmedabad/Dahy-Shakr-Events-LLP-Behind-Itc-Narmada-Keshavbaug-Satellite/079PXX79-XX79-250505113808-D9S5_BZDET,4,https://content.jdmagicbox.com/v2/comp/ahmedabad/s5/079pxx79.xx79.250505113808.d9s5/catalogue/n43g610ahp7uqvc-8bsjdm4688.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/s5/079pxx79.xx79.250505113808.d9s5/catalogue/snyju8g2hs930cb-9tbyzxvfra.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/s5/079pxx79.xx79.250505113808.d9s5/catalogue/n43g610ahp7uqvc-8bsjdm4688.jpg,1,1
Gitanjali Enterprise,09980736098,,Near Jogni Mata Temple Isanpur,Isanpur Gam Isanpur,Ahmedabad,4.7,585 Ratings,"Second Hand Laptop Dealers, Pre Wedding Photo Shoot Destinations",22.9794623,72.6,382443,079PXX79.XX79.110421221355.I8C9,https://www.justdial.com/Ahmedabad/Gitanjali-Enterprise-Near-Jogni-Mata-Temple-Isanpur/079PXX79-XX79-110421221355-I8C9_BZDET,4.7,https://content.jdmagicbox.com/comp/ahmedabad/c9/079pxx79.xx79.110421221355.i8c9/catalogue/gitanjali-enterprise-isanpur-ahmedabad-event-organisers-for-pre-wedding-shoot-p24zl86vq0.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/c9/079pxx79.xx79.110421221355.i8c9/catalogue/gitanjali-enterprise-isanpur-ahmedabad-second-hand-laptop-dealers-zpkr0mzqh1.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/c9/079pxx79.xx79.110421221355.i8c9/catalogue/gitanjali-enterprise-isanpur-ahmedabad-second-hand-laptop-dealers-rnmnb2oe24.jpg;https://content.jdmagicbox.com/comp/ahmedabad/c9/079pxx79.xx79.110421221355.i8c9/catalogue/gitanjali-enterprise-isanpur-ahmedabad-second-hand-laptop-dealers-rg898k2r16.jpg;https://content.jdmagicbox.com/comp/ahmedabad/c9/079pxx79.xx79.110421221355.i8c9/catalogue/gitanjali-enterprise-isanpur-ahmedabad-second-hand-laptop-dealers-td1vnqzvxd.jpg,1,1
P R Computers,09980742979,,Near Ravinagar School Jivraj Park,Near TV 9 Jivraj Park,Ahmedabad,4,28 Ratings,"Decorators, Photographers",23.002911111111,72.503563888889,380051,079PXX79.XX79.100208135354.X5G9,https://www.justdial.com/Ahmedabad/P-R-Computers-Near-Ravinagar-School-Jivraj-Park/079PXX79-XX79-100208135354-X5G9_BZDET,4,https://content.jdmagicbox.com/comp/ahmedabad/g9/079pxx79.xx79.100208135354.x5g9/catalogue/p-r-computers-jivraj-park-ahmedabad-photographers-diz1vt8stw.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/g9/079pxx79.xx79.100208135354.x5g9/catalogue/p-r-computers-jivraj-park-ahmedabad-photographers-lm3yp92az6.jpg;https://content.jdmagicbox.com/comp/ahmedabad/g9/079pxx79.xx79.100208135354.x5g9/catalogue/p-r-computers-jivraj-park-ahmedabad-photographers-gmzo3uiktr.jpg;https://content.jdmagicbox.com/comp/ahmedabad/g9/079pxx79.xx79.100208135354.x5g9/catalogue/p-r-computers-jivraj-park-ahmedabad-photographers-er82363n4s.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/g9/079pxx79.xx79.100208135354.x5g9/catalogue/p-r-computers-jivraj-park-ahmedabad-photographers-22znw6skes.jpg,1,1
The Karmanya Concept,08460519108,,Near Infostech Bodakdev,Rajpath Rangoli Road Bodakdev,ahmedabad,4.6,18 Ratings,"Mandap Decorators, Decorators",22.997739777778,72.499549861111,380054,079PXX79.XX79.230717181258.D2U2,https://www.justdial.com/Ahmedabad/The-Karmanya-Concept-Near-Infostech-Bodakdev/079PXX79-XX79-230717181258-D2U2_BZDET,4.6,https://content.jdmagicbox.com/comp/ahmedabad/u2/079pxx79.xx79.230717181258.d2u2/catalogue/the-karmanya-concept-makarba-ahmedabad-decorators-31s9ey3p1k.jpg;https://content.jdmagicbox.com/comp/ahmedabad/u2/079pxx79.xx79.230717181258.d2u2/catalogue/the-karmanya-concept-makarba-ahmedabad-decorators-ccdsltig6b.jpg;https://content.jdmagicbox.com/comp/ahmedabad/u2/079pxx79.xx79.230717181258.d2u2/catalogue/the-karmanya-concept-makarba-ahmedabad-decorators-mc00fvg1gt.jpg;https://content.jdmagicbox.com/comp/ahmedabad/u2/079pxx79.xx79.230717181258.d2u2/catalogue/the-karmanya-concept-makarba-ahmedabad-decorators-h0jdnzbifl.jpg;https://content.jdmagicbox.com/comp/ahmedabad/u2/079pxx79.xx79.230717181258.d2u2/catalogue/the-karmanya-concept-makarba-ahmedabad-decorators-4jt647cbjv.jpg,1,1
Synergy Events,09606419281,,Besides Aarohi Crest Road Vastrapur,Opp. Vastrapur Lake Vastrapur,ahmedabad,4.9,28 Ratings,"Decorators, Event Organisers",23.0396976,72.5296852,380015,079PXX79.XX79.220621184015.P3N6,https://www.justdial.com/Ahmedabad/Synergy-Events-Besides-Aarohi-Crest-Road-Vastrapur/079PXX79-XX79-220621184015-P3N6_BZDET,4.9,https://content.jdmagicbox.com/comp/ahmedabad/n6/079pxx79.xx79.220621184015.p3n6/catalogue/synergy-events-south-bopal-ahmedabad-event-organisers-jeasd6jd4w.jpg;https://content.jdmagicbox.com/comp/ahmedabad/n6/079pxx79.xx79.220621184015.p3n6/catalogue/synergy-events-ahmedabad-city-ahmedabad-event-organisers-7jp5un7mfi.jpg;https://content.jdmagicbox.com/comp/ahmedabad/n6/079pxx79.xx79.220621184015.p3n6/catalogue/synergy-events-south-bopal-ahmedabad-event-organisers-d9gcas86wd.jpg;https://content.jdmagicbox.com/comp/ahmedabad/n6/079pxx79.xx79.220621184015.p3n6/catalogue/synergy-events-ahmedabad-city-ahmedabad-event-organisers-lrn65s5kdj.jpg;https://content.jdmagicbox.com/comp/ahmedabad/n6/079pxx79.xx79.220621184015.p3n6/catalogue/synergy-events-south-bopal-ahmedabad-event-organisers-ujnmqzqrng.jpg,1,1
Tws Concepts,08460458488,,Opposite Trinity SchoolBehind Post Office Fatehpura Paldi,Paldi Cross Road Paldi,ahmedabad,4.5,10 Ratings,"Mandap Decorators, Decorators",23.0078594,72.5566581,380007,079PXX79.XX79.250128201218.J5P8,https://www.justdial.com/Ahmedabad/Tws-Concepts-Opposite-Trinity-Schoolbehind-Post-Office-Fatehpura-Paldi/079PXX79-XX79-250128201218-J5P8_BZDET,4.5,https://content.jdmagicbox.com/v2/comp/ahmedabad/p8/079pxx79.xx79.250128201218.j5p8/catalogue/tws-concepts-paldi-ahmedabad-event-management-companies-e7q57dy9k3.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/p8/079pxx79.xx79.250128201218.j5p8/catalogue/tws-concepts-paldi-ahmedabad-event-management-companies-5q0fiy54yx.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/p8/079pxx79.xx79.250128201218.j5p8/catalogue/tws-concepts-paldi-ahmedabad-event-management-companies-7sne0jjzpi.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/p8/079pxx79.xx79.250128201218.j5p8/catalogue/tws-concepts-paldi-ahmedabad-event-management-companies-0nuaamfyad.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/p8/079pxx79.xx79.250128201218.j5p8/catalogue/tws-concepts-paldi-ahmedabad-event-management-companies-ho1olnrsg7.jpg,1,1
Vishwa Decorator,08867856870,, Satellite,Sachin Towar Shoping Shyamal -Anandnagar Road Satellite,ahmedabad,4.5,35 Ratings,"Mandap Decorators, Decorators",23.0032792,72.5236254,380015,079PXX79.XX79.170821201407.V6Y8,https://www.justdial.com/Ahmedabad/Vishwa-Decorator-Satellite/079PXX79-XX79-170821201407-V6Y8_BZDET,4.5,https://content.jdmagicbox.com/comp/ahmedabad/y8/079pxx79.xx79.170821201407.v6y8/catalogue/vishwa-decorator-vejalpur-ahmedabad-gate-decorators-byoqqqnt63.jpg;https://content.jdmagicbox.com/comp/ahmedabad/y8/079pxx79.xx79.170821201407.v6y8/catalogue/vishwa-decorator-vejalpur-ahmedabad-event-organisers-hxppavsq8q.jpg;https://content.jdmagicbox.com/comp/ahmedabad/y8/079pxx79.xx79.170821201407.v6y8/catalogue/vishwa-decorator-vejalpur-ahmedabad-decorators-stage-backdrop-mbl61bsp19.jpg;https://content.jdmagicbox.com/comp/ahmedabad/y8/079pxx79.xx79.170821201407.v6y8/catalogue/vishwa-decorator-vejalpur-ahmedabad-decorators-stage-backdrop-x2vfi349vz.jpg;https://content.jdmagicbox.com/comp/ahmedabad/y8/079pxx79.xx79.170821201407.v6y8/catalogue/vishwa-decorator-vejalpur-ahmedabad-event-organisers-nszxx.jpg,1,1
Sdm Event Planner,07041859880,, Gulbai Tekra,Near Samarpan Flats Gulbai Tekra,ahmedabad,5,23 Ratings,"Mandap Decorators, Decorators",23.037772222222,72.549980555556,380006,079PXX79.XX79.250716181835.Y7M1,https://www.justdial.com/Ahmedabad/Sdm-Event-Planner-Gulbai-Tekra/079PXX79-XX79-250716181835-Y7M1_BZDET,5,https://content.jdmagicbox.com/v2/comp/ahmedabad/m1/079pxx79.xx79.250716181835.y7m1/catalogue/9j9fa44ffnypbfa-gwnhv27qa7.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/m1/079pxx79.xx79.250716181835.y7m1/catalogue/futnmkbdxfdzq57-e2mllyh27k.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/m1/079pxx79.xx79.250716181835.y7m1/catalogue/sdm-event-planner-gulbai-tekra-ahmedabad-event-organisers-2dnhhy3ocl.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/m1/079pxx79.xx79.250716181835.y7m1/catalogue/sdm-event-planner-gulbai-tekra-ahmedabad-event-organisers-sknrufh71i.jpg;https://content.jdmagicbox.com/v2/comp/ahmedabad/m1/079pxx79.xx79.250716181835.y7m1/catalogue/h00yf91qljj4ayr-x01j7copzt.jpg,1,1
