name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Laugh & Vibe Entertainment & Artist Management,09054073910,,Near By Florian Hurel Spa Koregaon Park,Koregaon Park Bund Garden Road Koregaon Park,pune,4.9,295 Ratings,"Anchoring Services, Singers",18.539436340332,73.900199890137,411001,020PXX20.XX20.250417211040.X2J1,https://www.justdial.com/Pune/Laugh-Vibe-Entertainment-Artist-Management-Near-By-Florian-Hurel-Spa-Koregaon-Park/020PXX20-XX20-250417211040-X2J1_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-entertainment-and-artist-management-koregaon-park-pune-entertainment-agencies-lqa7wwpo5m.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-sm0l3pkg3s.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-oxp93wy4o1.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-6lk7ddvfs9.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-f98y9l09ng.jpg,1,1
Mello Birthday Bubbles,09980035994,,Behind Old Maharaja Hotel Koramangala 4th Block,Koramangala Koramangala 4th Block,Bangalore,4.8,"1,036 Ratings","Birthday Party Decorators, Balloon Decorators",12.905702093832,77.628926133056,560034,080PXX80.XX80.120612160556.J1P9,https://www.justdial.com/Bangalore/Mello-Birthday-Bubbles-Behind-Old-Maharaja-Hotel-Koramangala-4Th-Block/080PXX80-XX80-120612160556-J1P9_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/bangalore/p9/080pxx80.xx80.120612160556.j1p9/catalogue/mello-birthday-bubbles-koramangala-4th-block-bangalore-birthday-party-organisers-06kdgbkgyr.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/p9/080pxx80.xx80.120612160556.j1p9/catalogue/mello-birthday-bubbles-koramangala-4th-block-bangalore-birthday-party-organisers-1tklwlcnpv.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/p9/080pxx80.xx80.120612160556.j1p9/catalogue/mello-birthday-bubbles-koramangala-4th-block-bangalore-birthday-party-organisers-jh0rrjrkvh.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/p9/080pxx80.xx80.120612160556.j1p9/catalogue/mello-birthday-bubbles-koramangala-4th-block-bangalore-birthday-party-organisers-3yxru0x.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/p9/080pxx80.xx80.120612160556.j1p9/catalogue/mello-birthday-bubbles-koramangala-4th-block-bangalore-birthday-party-organisers-a79qt1ouoi.jpg,1,6
New Era TIMES Pvt Ltd,08296266735,,IOC Pertol Pump M G Road,Mg Road M G Road,bangalore,5,3 Ratings,"Event Organisers, Event Management Companies",12.995744444444,77.588883333333,560001,080PXX80.XX80.230210135524.B1S8,https://www.justdial.com/Bangalore/New-Era-TIMES-Pvt-Ltd-Ioc-Pertol-Pump-M-G-Road/080PXX80-XX80-230210135524-B1S8_BZDET,5,https://content.jdmagicbox.com/v2/comp/bangalore/s8/080pxx80.xx80.230210135524.b1s8/catalogue/new-era-times-pvt-ltd-m-g-road-bangalore-event-management-companies-bdoti7r2jx.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/s8/080pxx80.xx80.230210135524.b1s8/catalogue/new-era-times-pvt-ltd-m-g-road-bangalore-event-management-companies-c318cyh5mo.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/s8/080pxx80.xx80.230210135524.b1s8/catalogue/new-era-times-pvt-ltd-m-g-road-bangalore-event-management-companies-h5zdzddzq6.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/s8/080pxx80.xx80.230210135524.b1s8/catalogue/new-era-times-pvt-ltd-m-g-road-bangalore-event-management-companies-cg7cq3n7ev.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/s8/080pxx80.xx80.230210135524.b1s8/catalogue/new-era-times-pvt-ltd-m-g-road-bangalore-event-management-companies-9q1socsrpj.jpg,1,1
INSTA EVENTS & FLORAL,08401322185,,Near Maruthi Timber Garvebhavipalya,Hosur Main Road Garvebhavipalya,bangalore,4.8,38 Ratings,"Flower Decorators, Birthday Party Decorators",12.8449709,77.6327984,560068,080PXX80.XX80.240930115324.I5R1,https://www.justdial.com/Bangalore/INSTA-EVENTS-FLORAL-Near-Maruthi-Timber-Garvebhavipalya/080PXX80-XX80-240930115324-I5R1_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/bangalore/r1/080pxx80.xx80.240930115324.i5r1/catalogue/insta-events-and-floral-garvebhavipalya-bangalore-florists-ipyuvsjl0j.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/r1/080pxx80.xx80.240930115324.i5r1/catalogue/insta-events-and-floral-garvebhavipalya-bangalore-florists-j9s4t7xp09.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/r1/080pxx80.xx80.240930115324.i5r1/catalogue/insta-events-and-floral-garvebhavipalya-bangalore-florists-hzx1tfb8tw.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/r1/080pxx80.xx80.240930115324.i5r1/catalogue/insta-events-and-floral-garvebhavipalya-bangalore-florists-urm0aem6ca.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/r1/080pxx80.xx80.240930115324.i5r1/catalogue/insta-events-and-floral-garvebhavipalya-bangalore-florists-phkf78sasl.jpg,1,1
India Solution,07795682203,,Near Muneshwara Temple Ullalu,Ullalu Main Road Ullalu,Bangalore,4.3,162 Ratings,"Flower Decorators, Tent House",12.955487,77.49327,560056,080PXX80.XX80.140705092656.R9U6,https://www.justdial.com/Bangalore/India-Solution-Near-Muneshwara-Temple-Ullalu/080PXX80-XX80-140705092656-R9U6_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/bangalore/u6/080pxx80.xx80.140705092656.r9u6/catalogue/india-solution-bangalore-hwrjcohkj2.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/u6/080pxx80.xx80.140705092656.r9u6/catalogue/india-solution-ullalu-bangalore-event-organisers-for-wedding-yy06uwcmw2.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/u6/080pxx80.xx80.140705092656.r9u6/catalogue/india-solution-ullalu-bangalore-event-organisers-for-wedding-th7bjyr5sw.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/u6/080pxx80.xx80.140705092656.r9u6/catalogue/india-solution-ullalu-bangalore-event-organisers-for-wedding-t7zsquvwf0.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/u6/080pxx80.xx80.140705092656.r9u6/catalogue/india-solution-ullalu-bangalore-event-organisers-for-wedding-5hq9pn6rfa.jpg,1,1
Momentum Events,09972244183,,Near New Baldwins School Nagarbhavi 2nd Stage,3rd Main Nagarbhavi 2nd Stage,Bangalore,4.1,16 Ratings,"Flower Decorators, Photographers",12.968045603687,77.522964447496,560072,080PXX80.XX80.180411155049.X6X1,https://www.justdial.com/Bangalore/Momentum-Events-Near-New-Baldwins-School-Nagarbhavi-2Nd-Stage/080PXX80-XX80-180411155049-X6X1_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/bangalore/x1/080pxx80.xx80.180411155049.x6x1/catalogue/momentum-events-nagarbhavi-2nd-stage-bangalore-decorators-a1br7mjf97.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/x1/080pxx80.xx80.180411155049.x6x1/catalogue/momentum-events-nagarbhavi-2nd-stage-bangalore-decorators-hw73vyv7d7.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/x1/080pxx80.xx80.180411155049.x6x1/catalogue/momentum-events-jp-nagar-bangalore-decorators-ukrel9h7yb.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/x1/080pxx80.xx80.180411155049.x6x1/catalogue/momentum-events-jp-nagar-bangalore-decorators-8gye2hclm3.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/x1/080pxx80.xx80.180411155049.x6x1/catalogue/momentum-events-nagarbhavi-2nd-stage-bangalore-decorators-1qaom474zv.jpg,1,1
Michael and Co,09980144190,,Behind Msil BuildingHal Exit Road HAL,Konena Agrahara HAL,bangalore,4.6,135 Ratings,"Flower Decorators, Birthday Party Decorators",12.9569614,77.6621303,560017,080PXX80.XX80.150616135109.S4Q5,https://www.justdial.com/Bangalore/Michael-and-Co-Behind-Msil-Buildinghal-Exit-Road-Hal/080PXX80-XX80-150616135109-S4Q5_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/bangalore/q5/080pxx80.xx80.150616135109.s4q5/catalogue/michael-and-co-hal-bangalore-balloon-decorators-1la2o6j.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/q5/080pxx80.xx80.150616135109.s4q5/catalogue/michael-and-co-bangalore-yqdew1f6db.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/q5/080pxx80.xx80.150616135109.s4q5/catalogue/michael-and-co-hal-bangalore-event-organisers-vpw39n6qd6.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/q5/080pxx80.xx80.150616135109.s4q5/catalogue/michael-and-co-hal-bangalore-balloon-decorators-3hutzwd.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/q5/080pxx80.xx80.150616135109.s4q5/catalogue/michael-and-co-hal-bangalore-event-organisers-for-sports-kevapl8iyj.jpg,1,1
Effects Events,08460491840,,Near BBMP Office Horamavu,Jayanthi Nagar Main Road Horamavu,Bangalore,4.6,176 Ratings,"Flower Decorators, Event Organisers",13.0299285,77.6701207,560043,080PXX80.XX80.130912180749.D8A6,https://www.justdial.com/Bangalore/Effects-Events-Near-Bbmp-Office-Horamavu/080PXX80-XX80-130912180749-D8A6_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/bangalore/a6/080pxx80.xx80.130912180749.d8a6/catalogue/effects-events-horamavu-bangalore-wedding-organisers-gicjr3a5xm.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/a6/080pxx80.xx80.130912180749.d8a6/catalogue/effects-events-horamavu-bangalore-wedding-organisers-dk9logpb3f.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/a6/080pxx80.xx80.130912180749.d8a6/catalogue/effects-events-horamavu-bangalore-wedding-organisers-cb2mqiirl4.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/a6/080pxx80.xx80.130912180749.d8a6/catalogue/effects-events-horamavu-bangalore-wedding-organisers-w71xbi0rc1.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/a6/080pxx80.xx80.130912180749.d8a6/catalogue/effects-events-horamavu-bangalore-wedding-organisers-uzb7uc69k6.jpg,1,1
Ng Events,09724758436,,Near to Kc General Hospital Malleswaram Circle,Main Road Malleswaram Circle,bangalore,4.9,87 Ratings,"Flower Decorators, Balloon Decorators",12.9993889,77.5505222,560003,080PXX80.XX80.170820110722.C4N9,https://www.justdial.com/Bangalore/Ng-Events-Near-To-Kc-General-Hospital-Malleswaram-Circle/080PXX80-XX80-170820110722-C4N9_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/bangalore/n9/080pxx80.xx80.170820110722.c4n9/catalogue/ng-events-malleswaram-circle-bangalore-event-organisers-for-theme-parties-6580y95n1r.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/n9/080pxx80.xx80.170820110722.c4n9/catalogue/ng-events-malleswaram-circle-bangalore-event-organisers-for-theme-parties-fouelpelan.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/n9/080pxx80.xx80.170820110722.c4n9/catalogue/ng-events-malleswaram-circle-bangalore-event-organisers-for-theme-parties-5b27wf5hq8.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/n9/080pxx80.xx80.170820110722.c4n9/catalogue/ng-events-malleswaram-circle-bangalore-event-organisers-for-theme-parties-a3mma08m7f.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/n9/080pxx80.xx80.170820110722.c4n9/catalogue/ng-events-malleswaram-circle-bangalore-event-organisers-for-theme-parties-yej9h6fha1.jpg,1,1
Ethix Sound Light And Tent House,09725911427,,Behind Nakshatra Apartment Lingarajapuram,3rd Stage Extension Lingarajapuram,bangalore,4.2,14 Ratings,"Caterers, Flower Decorators",13.010961111111,77.625138888889,560084,080PXX80.XX80.170118145840.C3I6,https://www.justdial.com/Bangalore/Ethix-Sound-Light-And-Tent-House-Behind-Nakshatra-Apartment-Lingarajapuram/080PXX80-XX80-170118145840-C3I6_BZDET,4.2,https://content.jdmagicbox.com/v2/comp/bangalore/i6/080pxx80.xx80.170118145840.c3i6/catalogue/ethix-professional-sound-light-and-tent-house-lingarajapuram-bangalore-chairs-on-hire-4a5qmdz.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/i6/080pxx80.xx80.170118145840.c3i6/catalogue/ethix-professional-sound-light-and-tent-house-lingarajapuram-bangalore-chairs-on-hire-4izdvg6.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/i6/080pxx80.xx80.170118145840.c3i6/catalogue/ethix-professional-sound-light-and-tent-house-lingarajapuram-bangalore-chairs-on-hire-37k6zti.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/i6/080pxx80.xx80.170118145840.c3i6/catalogue/ethix-professional-sound-light-and-tent-house-lingarajapuram-bangalore-chairs-on-hire-lo83k2.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/i6/080pxx80.xx80.170118145840.c3i6/catalogue/ethix-professional-sound-light-and-tent-house-lingarajapuram-bangalore-chairs-on-hire-2kclxzk.jpg,1,1
