name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Starlight Model and Talent Management Pvt Ltd,09845225726,,Behind Oshiwara Police Station Andheri West,Om Heera Panna Premises Co-operative Society Ltd. Andheri West,Mumbai,4.1,46 Ratings,"Event Management Companies, Birthday Party Organisers",19.142747222222,72.830772222222,400053,022PXX22.XX22.120804165950.S8Q1,https://www.justdial.com/Mumbai/Starlight-Model-and-Talent-Management-Pvt-Ltd-Behind-Oshiwara-Police-Station-Andheri-West/022PXX22-XX22-120804165950-S8Q1_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-1pdnqmb.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-prbi2x6egu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-d19rpgjivq.jpg;https://content.jdmagicbox.com/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-ouya36u6go.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-jkjmgd3dyg.jpg,1,1
Param Konark,09845205493,,Near Bahar Cinema Andheri East,J M Marg Andheri East,Mumbai,3.5,13 Ratings,"Event Organisers, Event Management Companies",19.111564,72.8532371,400069,022PXX22.XX22.110222112930.C2V2,https://www.justdial.com/Mumbai/Param-Konark-Near-Bahar-Cinema-Andheri-East/022PXX22-XX22-110222112930-C2V2_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-event-organisers-ch2sa8bw2v.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-phenyl-manufacturers-qc0975tn0g.jpg,1,1
Shaan Institute,08401235697,,Behind Kausa Lake and Near Shimla Park Mumbra,Kausa Tallao Palli Mumbra,mumbai,4.8,369 Ratings,"Beauty Parlours, Women Beauty Parlours",19.165772222222,73.0298,400612,022PXX22.XX22.161226204802.A4L3,https://www.justdial.com/Thane/Shaan-Institute-Behind-Kausa-Lake-And-Near-Shimla-Park-Mumbra/022PXX22-XX22-161226204802-A4L3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-q4tq01v6ja.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-mumbai-computer-training-institutes-for-basic-obmob3daiz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-beauty-parlours-mg9hch3t88.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-k9apy444yp.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-ctqh7fc99w.jpg,1,1
Ezilon Media Pvt. Ltd.,09845447291,, Thane West,Thane West,mumbai,4.7,16 Ratings,"Digital Marketing Services, Advertising Agencies",19.1913675,72.9678057,400602,022PXX22.XX22.160418160312.A1S6,https://www.justdial.com/Thane/Ezilon-Media-Pvt-Ltd-Thane-West/022PXX22-XX22-160418160312-A1S6_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/thane/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd--thane-west-thane-social-media-marketing-agencies-7uq3cjy0m9.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-03gq9rl4ya.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-w1y97zc5q4.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-m6sdvx4s0r.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-9kmyvod602.jpg,1,1
Hirens Harmony Events & Jalsa Entertainment,08128580736,,Near Param Keshav Baug Marriage Hall Ghatkopar West,Naurojee Lane Ghatkopar West,Mumbai,3.9,14 Ratings,"Photographers, Balloon Decorators",19.0856277778,72.9039,400086,022PXX22.XX22.100322120329.W9U6,https://www.justdial.com/Mumbai/Hirens-Harmony-Events-Jalsa-Entertainment-Near-Param-Keshav-Baug-Marriage-Hall-Ghatkopar-West/022PXX22-XX22-100322120329-W9U6_BZDET,3.9,https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-1zutg4g.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3y14ezv.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3xhw8wn.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-24tn6hl.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-2erau2g.jpg,1,1
Enzoey Enterprises Pvt Ltd,07383762859,,Next to VIP Showroom Swami Vivekanand Rd Borivali West,Datta Park Borivali West,mumbai,4.5,6 Ratings,"Balloon Decorators, Anchoring Services",19.2270383,72.8545583,400092,022PXX22.XX22.240620080428.W8P5,https://www.justdial.com/Mumbai/Enzoey-Enterprises-Pvt-Ltd-Next-To-Vip-Showroom-Swami-Vivekanand-Rd-Borivali-West/022PXX22-XX22-240620080428-W8P5_BZDET,4.5,https://content.jdmagicbox.com/v2/comp/mumbai/p5/022pxx22.xx22.240620080428.w8p5/catalogue/enzoey-enterprises-pvt-ltd-borivali-west-mumbai-balloon-decorators-ntikch0q05.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p5/022pxx22.xx22.240620080428.w8p5/catalogue/enzoey-enterprises-pvt-ltd-borivali-west-mumbai-balloon-decorators-qr6ldzsfxj.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p5/022pxx22.xx22.240620080428.w8p5/catalogue/enzoey-enterprises-pvt-ltd-borivali-west-mumbai-balloon-decorators-x773b7mssa.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p5/022pxx22.xx22.240620080428.w8p5/catalogue/enzoey-enterprises-pvt-ltd-borivali-west-mumbai-balloon-decorators-n73s36jpb7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p5/022pxx22.xx22.240620080428.w8p5/catalogue/enzoey-enterprises-pvt-ltd-borivali-west-mumbai-balloon-decorators-x773b7mssa.jpg,1,6
KSYNERGY INTEGRATED MARKETING & COMMUNICATIONS INDIA PVT LTD,09972311645,,Near Mcdonald Malad West,Nadiyadwala Colony No. 2 Malad West,mumbai,4.6,37 Ratings,"Event Organisers, Event Management Companies",19.1809808,72.8447398,400064,022PXX22.XX22.200205140515.P9V2,https://www.justdial.com/Mumbai/KSYNERGY-INTEGRATED-MARKETING-COMMUNICATIONS-INDIA-PVT-LTD-Near-Mcdonald-Malad-West/022PXX22-XX22-200205140515-P9V2_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.200205140515.p9v2/catalogue/ksynergy-integrated-marketing-and-communications-india-pvt-ltd-malad-west-mumbai-event-organisers-sjix6mjzf3.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.200205140515.p9v2/catalogue/ksynergy-integrated-marketing-and-communications-india-pvt-ltd-malad-west-mumbai-event-management-companies-m090piz7sa.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.200205140515.p9v2/catalogue/ksynergy-integrated-marketing-and-communications-india-pvt-ltd-malad-west-mumbai-event-organisers-2wymlz9pyv.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.200205140515.p9v2/catalogue/ksynergy-integrated-marketing-and-communications-india-pvt-ltd-malad-west-mumbai-event-organisers-0vdc06zbwj.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.200205140515.p9v2/catalogue/ksynergy-integrated-marketing-and-communications-india-pvt-ltd-malad-west-mumbai-event-organisers-81prlmxziz.jpg,1,1
Eventzwaale,08401783554,,Belapur Railway Station Cbd Belapur,Near Dominos Cbd Belapur,mumbai,5,4 Ratings,"Event Organisers, Event Management Companies",19.016335,73.042573,400614,022PXX22.XX22.260608134527.R1M6,https://www.justdial.com/Navi-Mumbai/Eventzwaale-Belapur-Railway-Station-Cbd-Belapur/022PXX22-XX22-260608134527-R1M6_BZDET,5,https://content.jdmagicbox.com/v2/comp/mumbai/m6/022pxx22.xx22.260608134527.r1m6/catalogue/eventzwaale-cbd-belapur-navi-mumbai-event-organisers-6rl7xm027o.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/m6/022pxx22.xx22.260608134527.r1m6/catalogue/eventzwaale-cbd-belapur-navi-mumbai-event-organisers-3mopk0miqi.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/m6/022pxx22.xx22.260608134527.r1m6/catalogue/eventzwaale-cbd-belapur-navi-mumbai-event-organisers-x937lyn136.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/m6/022pxx22.xx22.260608134527.r1m6/catalogue/eventzwaale-cbd-belapur-navi-mumbai-event-organisers-7shee2g304.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/m6/022pxx22.xx22.260608134527.r1m6/catalogue/eventzwaale-cbd-belapur-navi-mumbai-event-organisers-6h3ri3q7xa.jpg,1,1
Funqro,09972335003,,Near Bali Vishnu Tower Dombivli West,Subhash Road Dombivli West,mumbai,5,3 Ratings,"Balloon Decorators, Birthday Party Decorators",19.225540161133,73.088768005371,421202,022PXX22.XX22.250821112016.M4B2,https://www.justdial.com/Thane/Funqro-Near-Bali-Vishnu-Tower-Dombivli-West/022PXX22-XX22-250821112016-M4B2_BZDET,5,https://content.jdmagicbox.com/v2/comp/mumbai/b2/022pxx22.xx22.250821112016.m4b2/catalogue/funqro-dombivli-west-thane-event-organisers-cxr0byoi7r.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b2/022pxx22.xx22.250821112016.m4b2/catalogue/fun-qro-dombivli-west-thane-event-organisers-1u0px1qpsu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b2/022pxx22.xx22.250821112016.m4b2/catalogue/funqro-mumbai-event-organisers-ku634af6ad.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b2/022pxx22.xx22.250821112016.m4b2/catalogue/fun-qro-dombivli-west-thane-event-organisers-wjuzsaoy7q.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b2/022pxx22.xx22.250821112016.m4b2/catalogue/funqro-mumbai-event-organisers-5r1yh8u81f.jpg,1,1
Sanjay Events & Sejal Sound,09845243611,,Opp Ratan Garden Ulhasnagar No 3,Aman Talkies Ulhasnagar No 3,Mumbai,4.4,97 Ratings,"Event Organisers, Singers",19.23364947189,73.157197203809,421002,022PXX22.XX22.130726155711.K1F5,https://www.justdial.com/Thane/Sanjay-Events-Sejal-Sound-Opp-Ratan-Garden-Ulhasnagar-No-3/022PXX22-XX22-130726155711-K1F5_BZDET,4.4,https://content.jdmagicbox.com/v2/comp/mumbai/f5/022pxx22.xx22.130726155711.k1f5/catalogue/sanjay-events-and-sejal-sound-ulhasnagar-no-3-thane-event-organisers-riny8.jpg;https://content.jdmagicbox.com/v2/comp/thane/f5/022pxx22.xx22.130726155711.k1f5/catalogue/sanjay-events-and-sejal-sound-ulhasnagar-no-3-thane-event-organisers-3l3l2vn.jpg;https://content.jdmagicbox.com/v2/comp/thane/f5/022pxx22.xx22.130726155711.k1f5/catalogue/sanjay-events-and-sejal-sound-ulhasnagar-no-3-thane-event-organisers-mp9t75clc4.jpg;https://content.jdmagicbox.com/v2/comp/thane/f5/022pxx22.xx22.130726155711.k1f5/catalogue/sanjay-events-and-sejal-sound-ulhasnagar-no-3-thane-event-organisers-85jkxe7dx1.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/f5/022pxx22.xx22.130726155711.k1f5/catalogue/sanjay-events-and-sejal-sound-ulhasnagar-no-3-thane-event-organisers-sd7oo.jpg,1,1
