name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Param Konark,09845205493,,Near Bahar Cinema Andheri East,J M Marg Andheri East,Mumbai,3.5,13 Ratings,"Event Organisers, Event Management Companies",19.111564,72.8532371,400069,022PXX22.XX22.110222112930.C2V2,https://www.justdial.com/Mumbai/Param-Konark-Near-Bahar-Cinema-Andheri-East/022PXX22-XX22-110222112930-C2V2_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-event-organisers-ch2sa8bw2v.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-phenyl-manufacturers-qc0975tn0g.jpg,1,1
Shaan Institute,08401235697,,Behind Kausa Lake and Near Shimla Park Mumbra,Kausa Tallao Palli Mumbra,mumbai,4.8,369 Ratings,"Beauty Parlours, Women Beauty Parlours",19.165772222222,73.0298,400612,022PXX22.XX22.161226204802.A4L3,https://www.justdial.com/Thane/Shaan-Institute-Behind-Kausa-Lake-And-Near-Shimla-Park-Mumbra/022PXX22-XX22-161226204802-A4L3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-q4tq01v6ja.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-mumbai-computer-training-institutes-for-basic-obmob3daiz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-beauty-parlours-mg9hch3t88.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-k9apy444yp.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-ctqh7fc99w.jpg,1,1
Hirens Harmony Events & Jalsa Entertainment,08128580736,,Near Param Keshav Baug Marriage Hall Ghatkopar West,Naurojee Lane Ghatkopar West,Mumbai,3.9,14 Ratings,"Photographers, Balloon Decorators",19.0856277778,72.9039,400086,022PXX22.XX22.100322120329.W9U6,https://www.justdial.com/Mumbai/Hirens-Harmony-Events-Jalsa-Entertainment-Near-Param-Keshav-Baug-Marriage-Hall-Ghatkopar-West/022PXX22-XX22-100322120329-W9U6_BZDET,3.9,https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-1zutg4g.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3y14ezv.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3xhw8wn.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-24tn6hl.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-2erau2g.jpg,1,1
Ezilon Media Pvt. Ltd.,09845447291,, Thane West,Thane West,mumbai,4.7,16 Ratings,"Digital Marketing Services, Advertising Agencies",19.1913675,72.9678057,400602,022PXX22.XX22.160418160312.A1S6,https://www.justdial.com/Thane/Ezilon-Media-Pvt-Ltd-Thane-West/022PXX22-XX22-160418160312-A1S6_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/thane/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd--thane-west-thane-social-media-marketing-agencies-7uq3cjy0m9.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-03gq9rl4ya.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-w1y97zc5q4.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-m6sdvx4s0r.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-9kmyvod602.jpg,1,1
Starlight Model and Talent Management Pvt Ltd,09845225726,,Behind Oshiwara Police Station Andheri West,Om Heera Panna Premises Co-operative Society Ltd. Andheri West,Mumbai,4.1,46 Ratings,"Event Management Companies, Birthday Party Organisers",19.142747222222,72.830772222222,400053,022PXX22.XX22.120804165950.S8Q1,https://www.justdial.com/Mumbai/Starlight-Model-and-Talent-Management-Pvt-Ltd-Behind-Oshiwara-Police-Station-Andheri-West/022PXX22-XX22-120804165950-S8Q1_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-1pdnqmb.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-prbi2x6egu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-d19rpgjivq.jpg;https://content.jdmagicbox.com/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-ouya36u6go.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-jkjmgd3dyg.jpg,1,1
Dev Productions,09740210073,,Infront Of Ganesh Vatika Pawanpuri,Vallabh Garden Road Pawanpuri,bikaner,5,39 Ratings,"Event Organisers, Birthday Party Decorators",27.9899295,73.3408521,334003,9999PX151.X151.260414124924.T2U5,https://www.justdial.com/Bikaner/Dev-Productions-Infront-Of-Ganesh-Vatika-Pawanpuri/9999PX151-X151-260414124924-T2U5_BZDET,5,https://content.jdmagicbox.com/v2/comp/bikaner/u5/9999px151.x151.260414124924.t2u5/catalogue/dev-productions-sudarshana-nagar-bikaner-event-organisers-6atnd91s6p.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/u5/9999px151.x151.260414124924.t2u5/catalogue/dev-productions-pawanpuri-bikaner-event-organisers-j2liclb08b.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/u5/9999px151.x151.260414124924.t2u5/catalogue/dev-productions-pawanpuri-bikaner-event-organisers-ciwzlmgyyn.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/u5/9999px151.x151.260414124924.t2u5/catalogue/dev-productions-pawanpuri-bikaner-event-organisers-qrma17guwn.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/u5/9999px151.x151.260414124924.t2u5/catalogue/dev-productions-pawanpuri-bikaner-event-organisers-1h839yfhac.jpg,1,1
Khushi Caterers & Event Management,08197746038,,Out Of Shitala Gate MG Road,Behind Jamna Puri MG Road,bikaner,5,47 Ratings,"Tent House, Event Organisers",27.9994641,73.302489,334001,9999PX151.X151.210205170557.B6L6,https://www.justdial.com/Bikaner/Khushi-Caterers-Event-Management-Out-Of-Shitala-Gate-Mg-Road/9999PX151-X151-210205170557-B6L6_BZDET,5,https://content.jdmagicbox.com/comp/bikaner/l6/9999px151.x151.210205170557.b6l6/catalogue/s-j-event-management-and-catering-services-bada-bazaar-road-bikaner-ho-bikaner-event-organisers-for-wedding-0tuenjsv70.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/l6/9999px151.x151.210205170557.b6l6/catalogue/khushi-caterers-and-event-management-bada-bazaar-road-bikaner-ho-bikaner-event-organisers-for-wedding-bcxsqoiymp.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/l6/9999px151.x151.210205170557.b6l6/catalogue/s-j-event-management-and-catering-services-bada-bazaar-road-bikaner-ho-bikaner-event-organisers-for-wedding-f40u3bectu.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/l6/9999px151.x151.210205170557.b6l6/catalogue/s-j-event-management-and-catering-services-bada-bazaar-road-bikaner-ho-bikaner-event-organisers-for-wedding-m9x0i0s1pg.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/l6/9999px151.x151.210205170557.b6l6/catalogue/s-j-event-management-and-catering-services-bada-bazaar-road-bikaner-ho-bikaner-event-organisers-for-wedding-vb1q266pag.jpg,1,1
Perfect Event Management Company,09845438623,,Opposite Bikaner Railway Station Rani Bazar,Ganga Shahar Road Rani Bazar,Bikaner,4.5,10 Ratings,"Event Organisers, Tent House",28.007983333333,73.291588888889,334001,9999PX151.X151.171222162316.M1L9,https://www.justdial.com/Bikaner/Perfect-Event-Management-Company-Opposite-Bikaner-Railway-Station-Rani-Bazar/9999PX151-X151-171222162316-M1L9_BZDET,4.5,https://content.jdmagicbox.com/v2/comp/bikaner/l9/9999px151.x151.171222162316.m1l9/catalogue/perfect-event-management-company-rani-bazar-bikaner-event-management-companies-for-celebrity-55qr5pplvt.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/l9/9999px151.x151.171222162316.m1l9/catalogue/perfect-event-management-company-rani-bazar-bikaner-event-management-companies-for-celebrity-fcfrv5xbhu.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/l9/9999px151.x151.171222162316.m1l9/catalogue/perfect-event-management-company-rani-bazar-bikaner-event-management-companies-for-celebrity-bqaiewjult.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/l9/9999px151.x151.171222162316.m1l9/catalogue/perfect-event-management-company-rani-bazar-bikaner-event-management-companies-for-celebrity-fcfrv5xbhu-250.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/l9/9999px151.x151.171222162316.m1l9/catalogue/perfect-event-management-company-rani-bazar-bikaner-event-management-companies-for-celebrity-bqaiewjult-250.jpg,1,1
Khamma Ghani Events,07487880453,,Near Balaji Marg Chopasni Housing Board,Near PF Office Chopasni Housing Board,jodhpur,5,49 Ratings,"Event Organisers, Event Management Companies",26.2713693,73.007142,342008,0291PX291.X291.251028180736.R5L4,https://www.justdial.com/Jodhpur/Khamma-Ghani-Events-Near-Balaji-Marg-Chopasni-Housing-Board/0291PX291-X291-251028180736-R5L4_BZDET,5,https://content.jdmagicbox.com/v2/comp/jodhpur/l4/0291px291.x291.251028180736.r5l4/catalogue/khamma-ghani-events-chopasni-housing-board-jodhpur-event-organisers-9iooduhwps.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/l4/0291px291.x291.251028180736.r5l4/catalogue/khamma-ghani-events-chopasni-housing-board-jodhpur-event-organisers-fxzyfolgjd.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/l4/0291px291.x291.251028180736.r5l4/catalogue/khamma-ghani-events-chopasni-housing-board-jodhpur-event-organisers-j13z4dvn56.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/l4/0291px291.x291.251028180736.r5l4/catalogue/khamma-ghani-events-chopasni-housing-board-jodhpur-event-organisers-p90r7x7gzo.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/l4/0291px291.x291.251028180736.r5l4/catalogue/khamma-ghani-events-chopasni-housing-board-jodhpur-event-organisers-nwkovzwxm6.jpg,1,1
Narbada Decor & Events,08401624416,,Near Jan Hospital Sojat Marg Pali Sojat Bazar,Branch Office Naya Gaon Sojat Bazar,sojat,4.9,118 Ratings,"Caterers, Tent House",25.9267999,73.6711721,306104,9999P2960.2960.191231203927.D1T7,https://www.justdial.com/Sojat/Narbada-Decor-Events-Near-Jan-Hospital-Sojat-Marg-Pali-Sojat-Bazar/9999P2960-2960-191231203927-D1T7_BZDET,4.9,https://content.jdmagicbox.com/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decoraters-sojat-city-sojat-yxst8o6cab.jpg;https://content.jdmagicbox.com/v2/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decor-and-events-sojat-bazar-sojat-caterers-m3c2hp9s5d.jpg;https://content.jdmagicbox.com/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decoraters-sojat-city-sojat-ydrjdhmrel.jpg;https://content.jdmagicbox.com/v2/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decor-and-events-sojat-bazar-sojat-caterers-l5q2zz10xq.jpg;https://content.jdmagicbox.com/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decoraters-sojat-city-sojat-osi47k6qlf.jpg,1,1
Zion Media IT Services Pvt Ltd,08511855447,,BSES Office Mayur Vihar Phase 3,POCKET A3 Mayur Vihar Phase 3,Delhi,4.3,57 Ratings,"Sound Systems On Hire, Live Streaming Video Services",28.614443,77.337791,110096,011PXX11.XX11.141108142647.G9W8,https://www.justdial.com/Delhi/Zion-Media-IT-Services-Pvt-Ltd-Bses-Office-Mayur-Vihar-Phase-3/011PXX11-XX11-141108142647-G9W8_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/delhi/w8/011pxx11.xx11.141108142647.g9w8/catalogue/zion-media-it-services-pvt-ltd-mayur-vihar-phase-3-delhi-live-streaming-video-services-t0k9cru77b.jpg;https://content.jdmagicbox.com/v2/comp/delhi/w8/011pxx11.xx11.141108142647.g9w8/catalogue/zion-media-it-services-pvt-ltd-nyay-khand-1-indirapuram-ghaziabad-live-streaming-video-services-xgv02aga3u.jpg;https://content.jdmagicbox.com/comp/delhi/w8/011pxx11.xx11.141108142647.g9w8/catalogue/zion-media-it-services-pvt-ltd-dallupura-mayur-vihar-phase-3-delhi-live-streaming-video-services-pm2islxi94.jpg;https://content.jdmagicbox.com/v2/comp/delhi/w8/011pxx11.xx11.141108142647.g9w8/catalogue/zion-media-it-services-pvt-ltd-nyay-khand-1-indirapuram-ghaziabad-live-streaming-video-services-x1ayqq8g4t.jpg;https://content.jdmagicbox.com/v2/comp/delhi/w8/011pxx11.xx11.141108142647.g9w8/catalogue/zion-media-it-services-pvt-ltd-mayur-vihar-phase-3-delhi-live-streaming-video-services-lro27izzpy.jpg,1,1
