name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Laugh & Vibe Entertainment & Artist Management,09054073910,,Near By Florian Hurel Spa Koregaon Park,Koregaon Park Bund Garden Road Koregaon Park,pune,4.9,295 Ratings,"Anchoring Services, Singers",18.539436340332,73.900199890137,411001,020PXX20.XX20.250417211040.X2J1,https://www.justdial.com/Pune/Laugh-Vibe-Entertainment-Artist-Management-Near-By-Florian-Hurel-Spa-Koregaon-Park/020PXX20-XX20-250417211040-X2J1_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-entertainment-and-artist-management-koregaon-park-pune-entertainment-agencies-lqa7wwpo5m.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-sm0l3pkg3s.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-oxp93wy4o1.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-6lk7ddvfs9.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-f98y9l09ng.jpg,1,1
Prism Events,08123399316,,Krishna Hospital Gurgaon Sector 9a,Surya Vihar Gurgaon Sector 9a,delhi,4,29 Ratings,"Event Organisers, Decorators",28.4661459,76.9894685,122001,011PXX11.XX11.181002231019.G6P9,https://www.justdial.com/Gurgaon/Prism-Events-Krishna-Hospital-Gurgaon-Sector-9A/011PXX11-XX11-181002231019-G6P9_BZDET,4,https://content.jdmagicbox.com/v2/comp/delhi/p9/011pxx11.xx11.181002231019.g6p9/catalogue/prism-events-gurgaon-gurgaon-balloon-decorators-357vnf98lf.jpg;https://content.jdmagicbox.com/v2/comp/delhi/p9/011pxx11.xx11.181002231019.g6p9/catalogue/prism-events-gurgaon-gurgaon-balloon-decorators-2hryqyqqen.jpg;https://content.jdmagicbox.com/v2/comp/delhi/p9/011pxx11.xx11.181002231019.g6p9/catalogue/prism-events-gurgaon-gurgaon-event-organisers-h51268a6ro.jpg;https://content.jdmagicbox.com/v2/comp/delhi/p9/011pxx11.xx11.181002231019.g6p9/catalogue/prism-events-gurgaon-gurgaon-event-organisers-3j1xmpjabv.jpg;https://content.jdmagicbox.com/v2/comp/delhi/p9/011pxx11.xx11.181002231019.g6p9/catalogue/prism-events-gurgaon-gurgaon-event-organisers-g4uov6ed2v.jpg,1,1
Xenial India Pvt Ltd,08511653993,, Gurgaon,Ocus Quantum Building Sector-51 Gurgaon,delhi,4.9,36 Ratings,"Event Management Companies For Corporate, Travel Agents For Corporate",28.424956,77.068157,122001,011PXX11.XX11.260119104055.V1D4,https://www.justdial.com/Gurgaon/Xenial-India-Pvt-Ltd-Gurgaon/011PXX11-XX11-260119104055-V1D4_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/delhi/d4/011pxx11.xx11.260119104055.v1d4/catalogue/xenial-india-pvt-ltd-gurgaon-gurgaon-event-management-companies-for-corporate-4ribrpa5k8.jpg;https://content.jdmagicbox.com/v2/comp/delhi/d4/011pxx11.xx11.260119104055.v1d4/catalogue/xenial-india-pvt-ltd-gurgaon-gurgaon-event-organisers-for-corporate-h5nvp0tav6.jpg;https://content.jdmagicbox.com/v2/comp/delhi/d4/011pxx11.xx11.260119104055.v1d4/catalogue/xenial-india-pvt-ltd-gurgaon-gurgaon-event-organisers-for-corporate-fjcipnrxxc.jpg;https://content.jdmagicbox.com/v2/comp/delhi/d4/011pxx11.xx11.260119104055.v1d4/catalogue/xenial-india-pvt-ltd-gurgaon-gurgaon-event-management-companies-for-corporate-0slanpri8r.jpg;https://content.jdmagicbox.com/v2/comp/delhi/d4/011pxx11.xx11.260119104055.v1d4/catalogue/xenial-india-pvt-ltd-gurgaon-gurgaon-event-management-companies-for-corporate-uch7c0rctg.jpg,1,6
Kshipra Visual,08490019465,,Near Fly Over Shakarpur,Shakarpur,Delhi,4.1,29 Ratings,"Photographers, Event Organisers",28.62555,77.281586,110092,011PXX11.XX11.160222125944.G4G7,https://www.justdial.com/Delhi/Kshipra-Visual-Near-Fly-Over-Shakarpur/011PXX11-XX11-160222125944-G4G7_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/delhi/g7/011pxx11.xx11.160222125944.g4g7/catalogue/kshipra-visual-shakarpur-delhi-projectors-on-rent-gmsu9b91pu.jpg;https://content.jdmagicbox.com/v2/comp/delhi/g7/011pxx11.xx11.160222125944.g4g7/catalogue/kshipra-visual-shakarpur-delhi-projectors-on-rent-wxjptyy904.jpg;https://content.jdmagicbox.com/v2/comp/delhi/g7/011pxx11.xx11.160222125944.g4g7/catalogue/kshipra-visual-shakarpur-delhi-tv-on-hire-1j09hut.jpg;https://content.jdmagicbox.com/v2/comp/delhi/g7/011pxx11.xx11.160222125944.g4g7/catalogue/kshipra-visual-shakarpur-delhi-projectors-on-rent-59p7c4lxfl.jpg;https://content.jdmagicbox.com/v2/comp/delhi/g7/011pxx11.xx11.160222125944.g4g7/catalogue/kshipra-visual-shakarpur-delhi-projectors-on-rent-ij1dnezz1p.jpg,1,1
Studio 19 Films,08460221962,,Near By Vaishno Devi Mandir Lajpat Nagar,B Block Lajpat Nagar,delhi,4.7,102 Ratings,"Event Organisers, Event Management Companies",28.5596283,77.24594,110024,011PXX11.XX11.250214201935.Y7M7,https://www.justdial.com/Delhi/Studio-19-Films-Near-By-Vaishno-Devi-Mandir-Lajpat-Nagar/011PXX11-XX11-250214201935-Y7M7_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/delhi/m7/011pxx11.xx11.250214201935.y7m7/catalogue/studio-19-films-lajpat-nagar-delhi-event-organisers-y1e7f6n1rb.jpg;https://content.jdmagicbox.com/v2/comp/delhi/m7/011pxx11.xx11.250214201935.y7m7/catalogue/studio-19-films-lajpat-nagar-delhi-event-organisers-gexlu83tox.jpg;https://content.jdmagicbox.com/v2/comp/delhi/m7/011pxx11.xx11.250214201935.y7m7/catalogue/studio-19-films-lajpat-nagar-delhi-event-organisers-rr837xn25l.jpg;https://content.jdmagicbox.com/v2/comp/delhi/m7/011pxx11.xx11.250214201935.y7m7/catalogue/studio-19-films-lajpat-nagar-delhi-event-organisers-pphrxm71fq.jpg;https://content.jdmagicbox.com/v2/comp/delhi/m7/011pxx11.xx11.250214201935.y7m7/catalogue/studio-19-films-lajpat-nagar-delhi-event-organisers-1o0g8t945x.jpg,1,6
Zion Media IT Services Pvt Ltd,08511855447,,BSES Office Mayur Vihar Phase 3,POCKET A3 Mayur Vihar Phase 3,Delhi,4.3,57 Ratings,"Sound Systems On Hire, Live Streaming Video Services",28.614443,77.337791,110096,011PXX11.XX11.141108142647.G9W8,https://www.justdial.com/Delhi/Zion-Media-IT-Services-Pvt-Ltd-Bses-Office-Mayur-Vihar-Phase-3/011PXX11-XX11-141108142647-G9W8_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/delhi/w8/011pxx11.xx11.141108142647.g9w8/catalogue/zion-media-it-services-pvt-ltd-mayur-vihar-phase-3-delhi-live-streaming-video-services-t0k9cru77b.jpg;https://content.jdmagicbox.com/v2/comp/delhi/w8/011pxx11.xx11.141108142647.g9w8/catalogue/zion-media-it-services-pvt-ltd-nyay-khand-1-indirapuram-ghaziabad-live-streaming-video-services-xgv02aga3u.jpg;https://content.jdmagicbox.com/comp/delhi/w8/011pxx11.xx11.141108142647.g9w8/catalogue/zion-media-it-services-pvt-ltd-dallupura-mayur-vihar-phase-3-delhi-live-streaming-video-services-pm2islxi94.jpg;https://content.jdmagicbox.com/v2/comp/delhi/w8/011pxx11.xx11.141108142647.g9w8/catalogue/zion-media-it-services-pvt-ltd-nyay-khand-1-indirapuram-ghaziabad-live-streaming-video-services-x1ayqq8g4t.jpg;https://content.jdmagicbox.com/v2/comp/delhi/w8/011pxx11.xx11.141108142647.g9w8/catalogue/zion-media-it-services-pvt-ltd-mayur-vihar-phase-3-delhi-live-streaming-video-services-lro27izzpy.jpg,1,1
Mars Events,07411569969,,Near By Workedge Coworkx Noida Sector 63,Sector 63 Noida Sector 63,delhi,3.5,2 Ratings,"Caterers, Event Management Companies",28.5674939,77.3827685,201301,011PXX11.XX11.240610125128.Q3C8,https://www.justdial.com/Noida/Mars-Events-Near-By-Workedge-Coworkx-Noida-Sector-63/011PXX11-XX11-240610125128-Q3C8_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/delhi/c8/011pxx11.xx11.240610125128.q3c8/catalogue/mars-events-noida-sector-63-noida-event-management-companies-74171ei4j0.jpg;https://content.jdmagicbox.com/v2/comp/delhi/c8/011pxx11.xx11.240610125128.q3c8/catalogue/mars-events-noida-sector-63-noida-event-management-companies-9kzyvhz9qo.jpg;https://content.jdmagicbox.com/v2/comp/delhi/c8/011pxx11.xx11.240610125128.q3c8/catalogue/mars-events-noida-sector-63-noida-event-management-companies-p9103hxkke.jpg;https://content.jdmagicbox.com/v2/comp/delhi/c8/011pxx11.xx11.240610125128.q3c8/catalogue/mars-events-noida-sector-63-noida-event-management-companies-gn0n875ap0.jpg;https://content.jdmagicbox.com/v2/comp/delhi/c8/011pxx11.xx11.240610125128.q3c8/catalogue/mars-events-noida-sector-63-noida-event-management-companies-u7rc6qvodo.jpg,1,1
S S Flower Decoration,09980859264,,Junpat Police Station Junpat Village,Village Junpat Near Junpat Village,Delhi,4,25 Ratings,"Decorators, Flower Decorators",28.4914586,77.5586949,201310,011PXX11.XX11.180322135816.I2J1,https://www.justdial.com/Greater-Noida/S-S-Flower-Decoration-Junpat-Police-Station-Junpat-Village/011PXX11-XX11-180322135816-I2J1_BZDET,4,https://content.jdmagicbox.com/comp/noida/j1/011pxx11.xx11.180322135816.i2j1/catalogue/s-s-flower-decoration-chi-4-noida-flower-decorators-for-party-19h9r774xt.jpg;https://content.jdmagicbox.com/v2/comp/delhi/j1/011pxx11.xx11.180322135816.i2j1/catalogue/s-s-flower-decoration-junpat-village-greater-noida-flower-decorators-for-party-q2nhdtrg7t.jpg;https://content.jdmagicbox.com/v2/comp/delhi/j1/011pxx11.xx11.180322135816.i2j1/catalogue/s-s-flower-decoration-chi-4-noida-flower-decorators-1vkdumhipt.jpg;https://content.jdmagicbox.com/v2/comp/delhi/j1/011pxx11.xx11.180322135816.i2j1/catalogue/s-s-flower-decoration-junpat-village-greater-noida-flower-decorators-for-party-q2nhdtrg7t.jpg;https://content.jdmagicbox.com/v2/comp/delhi/j1/011pxx11.xx11.180322135816.i2j1/catalogue/s-s-flower-decoration-chi-4-noida-flower-decorators-0bhzdbuqki.jpg,1,1
CoCooCraft Events & Production,08147436458,,Near By HDFC Bnk Tilak Nagar,Tilak Nagar,delhi,4.3,27 Ratings,"Event Organisers, Event Management Companies",28.6389315,77.0866811,110018,011PXX11.XX11.220226145822.S5Q5,https://www.justdial.com/Delhi/CoCooCraft-Events-Production-Near-By-Hdfc-Bnk-Tilak-Nagar/011PXX11-XX11-220226145822-S5Q5_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/delhi/q5/011pxx11.xx11.220226145822.s5q5/catalogue/cocoocraft-events-and-production-tilak-nagar-delhi-video-shooting-services-18j7oo0epb.jpg;https://content.jdmagicbox.com/v2/comp/delhi/q5/011pxx11.xx11.220226145822.s5q5/catalogue/cocoocraft-events-and-production-tilak-nagar-delhi-video-shooting-services-uee6e9uzet.jpg;https://content.jdmagicbox.com/v2/comp/delhi/q5/011pxx11.xx11.220226145822.s5q5/catalogue/cocoocraft-events-and-production-tilak-nagar-delhi-video-shooting-services-tonq8fz136.jpg;https://content.jdmagicbox.com/v2/comp/delhi/q5/011pxx11.xx11.220226145822.s5q5/catalogue/cocoocraft-events-and-production-tilak-nagar-delhi-video-shooting-services-89pt0cbs1m.jpg;https://content.jdmagicbox.com/v2/comp/delhi/q5/011pxx11.xx11.220226145822.s5q5/catalogue/cocoocraft-events-and-production-tilak-nagar-delhi-video-shooting-services-h1adlmi8bf.jpg,1,1
Gateway MICE,07383571164,,INOX Cinema Janakpuri District Centre,Janak Puri Janakpuri District Centre,delhi,4.8,161 Ratings,"Event Organisers, Event Management Companies",28.6238652,77.0642045,110058,011PXX11.XX11.260325142443.R8I4,https://www.justdial.com/Delhi/Gateway-MICE-Inox-Cinema-Janakpuri-District-Centre/011PXX11-XX11-260325142443-R8I4_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/delhi/i4/011pxx11.xx11.260325142443.r8i4/catalogue/gateway-mice-janakpuri-district-centre-delhi-event-organisers-1hycx391h0.jpg;https://content.jdmagicbox.com/v2/comp/delhi/i4/011pxx11.xx11.260325142443.r8i4/catalogue/gateway-mice-janakpuri-district-centre-delhi-event-organisers-w0jz1uoq53.jpg;https://content.jdmagicbox.com/v2/comp/delhi/i4/011pxx11.xx11.260325142443.r8i4/catalogue/gateway-mice-janakpuri-district-centre-delhi-event-organisers-o2jbwnm3t2.jpg;https://content.jdmagicbox.com/v2/comp/delhi/i4/011pxx11.xx11.260325142443.r8i4/catalogue/gateway-mice-janakpuri-district-centre-delhi-event-organisers-3b4yf41zw1.jpg;https://content.jdmagicbox.com/v2/comp/delhi/i4/011pxx11.xx11.260325142443.r8i4/catalogue/gateway-mice-janakpuri-district-centre-delhi-event-organisers-70o50nrdfy.jpg,1,1
