name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Laugh & Vibe Entertainment & Artist Management,09054073910,,Near By Florian Hurel Spa Koregaon Park,Koregaon Park Bund Garden Road Koregaon Park,pune,4.9,295 Ratings,"Anchoring Services, Singers",18.539436340332,73.900199890137,411001,020PXX20.XX20.250417211040.X2J1,https://www.justdial.com/Pune/Laugh-Vibe-Entertainment-Artist-Management-Near-By-Florian-Hurel-Spa-Koregaon-Park/020PXX20-XX20-250417211040-X2J1_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-entertainment-and-artist-management-koregaon-park-pune-entertainment-agencies-lqa7wwpo5m.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-sm0l3pkg3s.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-oxp93wy4o1.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-6lk7ddvfs9.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-f98y9l09ng.jpg,1,1
Sara Events,09845265267,,Near Captain School Neknampur Road Manikonda,Paradise Enclave Alijapur Golconda Manikonda,hyderabad,4.2,9 Ratings,"Tent House, Flower Decorators",17.391550992911,78.388520319784,500089,040PXX40.XX40.241227175657.K7F1,https://www.justdial.com/Hyderabad/Sara-Events-Near-Captain-School-Neknampur-Road-Manikonda/040PXX40-XX40-241227175657-K7F1_BZDET,4.2,https://content.jdmagicbox.com/v2/comp/hyderabad/f1/040pxx40.xx40.241227175657.k7f1/catalogue/sara-events-manikonda-hyderabad-tent-house-robv5h2kg1.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/f1/040pxx40.xx40.241227175657.k7f1/catalogue/sara-events-manikonda-hyderabad-tent-house-r2bq01ndl8.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/f1/040pxx40.xx40.241227175657.k7f1/catalogue/sara-events-manikonda-hyderabad-tent-house-ycf8yf1tkv.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/f1/040pxx40.xx40.241227175657.k7f1/catalogue/sara-events-manikonda-hyderabad-tent-house-oy7ya0zef9.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/f1/040pxx40.xx40.241227175657.k7f1/catalogue/sara-events-manikonda-hyderabad-tent-house-dobzx3qm8t.jpg,1,1
B Veeresham,08401839887,,Near Indian Oil Petrol Pump Kanajiguda,Dairy Farm Road Road Kanajiguda,hyderabad,4.7,16 Ratings,"Event Organisers, Stage Decorators",17.4905877,78.4977449,500015,040PXX40.XX40.240405121337.N9Y8,https://www.justdial.com/Hyderabad/B-Veeresham-Near-Indian-Oil-Petrol-Pump-Kanajiguda/040PXX40-XX40-240405121337-N9Y8_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/hyderabad/y8/040pxx40.xx40.240405121337.n9y8/catalogue/b-veeresham-kanajiguda-hyderabad-event-organisers-for-corporate-j6rljlddr7.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/y8/040pxx40.xx40.240405121337.n9y8/catalogue/b-veeresham-kanajiguda-hyderabad-event-organisers-for-corporate-gat0g0vdca.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/y8/040pxx40.xx40.240405121337.n9y8/catalogue/b-veeresham-kanajiguda-hyderabad-event-organisers-for-corporate-9gsl0eki78.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/y8/040pxx40.xx40.240405121337.n9y8/catalogue/b-veeresham-kanajiguda-hyderabad-event-organisers-for-corporate-j5mjox1pw7.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/y8/040pxx40.xx40.240405121337.n9y8/catalogue/b-veeresham-kanajiguda-hyderabad-event-organisers-for-corporate-1mp9rhtkhe.jpg,1,1
Indulgence Events And Entertainment Media,09845452708,, Banjara Hills,Banjara Hills,Hyderabad,3.8,41 Ratings,"Caterers, Event Organisers",17.4164707,78.438246,500034,040PXX40.XX40.161130105329.R8R6,https://www.justdial.com/Hyderabad/Indulgence-Events-And-Entertainment-Media-Banjara-Hills/040PXX40-XX40-161130105329-R8R6_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/hyderabad/r6/040pxx40.xx40.161130105329.r8r6/catalogue/indulgence-events-and-entertainment-media-banjara-hills-hyderabad-event-organisers-0s7dzonxz1.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/x6/040pxx40.xx40.130811150159.e2x6/catalogue/indulgence-events-and-entertainments-media-banjara-hills-hyderabad-event-organisers-8gb29fb500.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/x6/040pxx40.xx40.130811150159.e2x6/catalogue/indulgence-events-and-entertainments-media-banjara-hills-hyderabad-event-organisers-mlhnwze4hn.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/x6/040pxx40.xx40.130811150159.e2x6/catalogue/indulgence-events-and-entertainments-media-banjara-hills-hyderabad-event-organisers-pxgmjz2x5l.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/x6/040pxx40.xx40.130811150159.e2x6/catalogue/indulgence-events-and-entertainments-media-banjara-hills-hyderabad-event-organisers-lk3xa4uqn3.jpg,1,1
Eventina,09054326242,,Opposite to Lal Bungalow Begumpet,Dharam Karam Road Begumpet,Hyderabad,5,"1,635 Ratings","Birthday Party Decorators, Event Organisers",17.4369142,78.4517485,500016,040PXX40.XX40.110301110141.L5P5,https://www.justdial.com/Hyderabad/Eventina-Opposite-To-Lal-Bungalow-Begumpet/040PXX40-XX40-110301110141-L5P5_BZDET,5,https://content.jdmagicbox.com/v2/comp/hyderabad/p5/040pxx40.xx40.110301110141.l5p5/catalogue/eventina-begumpet-hyderabad-event-organisers-ss6uqohedu.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/p5/040pxx40.xx40.110301110141.l5p5/catalogue/eventina-kukatpally-hyderabad-event-organisers-6l4ed000ae.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/p5/040pxx40.xx40.110301110141.l5p5/catalogue/eventina-begumpet-hyderabad-event-organisers-4a5vno79xt.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/p5/040pxx40.xx40.110301110141.l5p5/catalogue/eventina-begumpet-hyderabad-event-organisers-s9mwbwzogq.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/p5/040pxx40.xx40.110301110141.l5p5/catalogue/eventina-begumpet-hyderabad-event-organisers-xym9xkn0ne.jpg,1,1
Celebration Wale,08460484583,,SEVEN TOMES Toli Chowki,Migh Toli Chowki,hyderabad,4.9,9 Ratings,"Birthday Party Decorators, Event Organisers",17.391452777778,78.375480555556,500008,040PXX40.XX40.260216180353.V5R8,https://www.justdial.com/Hyderabad/Celebration-Wale-Seven-Tomes-Toli-Chowki/040PXX40-XX40-260216180353-V5R8_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/hyderabad/r8/040pxx40.xx40.260216180353.v5r8/catalogue/celebration-wale-toli-chowki-hyderabad-event-organisers-for-wedding-dbn02uo3fo.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/r8/040pxx40.xx40.260216180353.v5r8/catalogue/celebration-wale-toli-chowki-hyderabad-event-organisers-for-wedding-sdz0ij2fmu.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/r8/040pxx40.xx40.260216180353.v5r8/catalogue/celebration-wale-toli-chowki-hyderabad-event-organisers-for-wedding-dp0okvhbrb.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/r8/040pxx40.xx40.260216180353.v5r8/catalogue/celebration-wale-toli-chowki-hyderabad-event-organisers-for-wedding-n0yyrv7lcl.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/r8/040pxx40.xx40.260216180353.v5r8/catalogue/celebration-wale-toli-chowki-hyderabad-event-organisers-for-wedding-6x1r5y1cum.jpg,1,1
Techno Crafts (Sound Lighting Led Screen),09980845289,,Opp to Chandana Garden Bowenpally,Malla Reddy Garden Road Bowenpally,hyderabad,4.6,25 Ratings,"Bands, Projectors On Rent",17.471548851058,78.476767704774,500011,040PXX40.XX40.211229192046.P1Y3,https://www.justdial.com/Hyderabad/Techno-Crafts-Sound-Lighting-Led-Screen-Opp-To-Chandana-Garden-Bowenpally/040PXX40-XX40-211229192046-P1Y3_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/hyderabad/y3/040pxx40.xx40.211229192046.p1y3/catalogue/techno-crafts-event-management-and-production-bowenpally-hyderabad-event-organisers-for-corporate-xdjyig69ua.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/y3/040pxx40.xx40.211229192046.p1y3/catalogue/techno-crafts-event-management-and-production-bowenpally-hyderabad-event-organisers-for-corporate-pv8fltwzlq.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/y3/040pxx40.xx40.211229192046.p1y3/catalogue/techno-crafts-event-management-and-production-bowenpally-hyderabad-event-organisers-for-corporate-ka99xl715u.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/y3/040pxx40.xx40.211229192046.p1y3/catalogue/techno-crafts-event-management-and-production-bowenpally-hyderabad-event-organisers-no6e91l1m1.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/y3/040pxx40.xx40.211229192046.p1y3/catalogue/techno-crafts-event-management-and-production-bowenpally-hyderabad-levo5w9qjy.jpg,1,1
Stone Core Events,07383743463,,Near Abids,Abids Abids,hyderabad,4.2,24 Ratings,"Flower Decorators, Disc Jockey",17.4001562,78.4736722,500001,040PXX40.XX40.180807162854.E4M9,https://www.justdial.com/Hyderabad/Stone-Core-Events-Near-Abids/040PXX40-XX40-180807162854-E4M9_BZDET,4.2,https://content.jdmagicbox.com/v2/comp/hyderabad/m9/040pxx40.xx40.180807162854.e4m9/catalogue/stone-core-events-abids-hyderabad-balloon-decorators-3orhsmddeu.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/m9/040pxx40.xx40.180807162854.e4m9/catalogue/stone-core-events-abids-hyderabad-balloon-decorators-laclz2xmcd.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/m9/040pxx40.xx40.180807162854.e4m9/catalogue/stone-core-events-abids-hyderabad-balloon-decorators-mi2eo1zkui.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/m9/040pxx40.xx40.180807162854.e4m9/catalogue/stone-core-abids-hyderabad-event-organisers-yl1u9rniv8.jpg;https://content.jdmagicbox.com/v2/comp/hyderabad/m9/040pxx40.xx40.180807162854.e4m9/catalogue/stone-core-abids-hyderabad-event-organisers-4y0cpyxuvo.jpg,1,1
Vibhava Creations,09035152635,,Sandeepana School Srirampuram,5th Cross Rajajinagar Srirampuram,bangalore,4.5,432 Ratings,"Digital Marketing Services, Flower Decorators",12.9921361,77.565595,560021,080PXX80.XX80.210901205505.K7K3,https://www.justdial.com/Bangalore/Vibhava-Creations-Sandeepana-School-Srirampuram/080PXX80-XX80-210901205505-K7K3_BZDET,4.5,https://content.jdmagicbox.com/v2/comp/bangalore/k3/080pxx80.xx80.210901205505.k7k3/catalogue/vibhava-creations-srirampuram-bangalore-computer-graphic-designers-7fz53zcvgg.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/k3/080pxx80.xx80.210901205505.k7k3/catalogue/vibhava-creations-rajajinagar-bangalore-computer-graphic-designers-zgtr2e5s9f.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/k3/080pxx80.xx80.210901205505.k7k3/catalogue/vibhava-creations-rajajinagar-bangalore-computer-graphic-designers-9sq1jh7o4z.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/k3/080pxx80.xx80.210901205505.k7k3/catalogue/vibhava-creations-rajajinagar-bangalore-computer-graphic-designers-w67hur0y0u.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/k3/080pxx80.xx80.210901205505.k7k3/catalogue/vibhava-creations-rajajinagar-bangalore-computer-graphic-designers-u3pqf19zob.jpg,1,1
First Choice Bartender Event Management,08460451886,,Near Station Apollo Bunder,Apollo Bunder,mumbai,3.5,7 Ratings,"Bartender Services, Cocktail Party Organisers",18.9205234,72.8301444,400001,022PXX22.XX22.210908184853.T3H4,https://www.justdial.com/Mumbai/First-Choice-Bartender-Event-Management-Near-Station-Apollo-Bunder/022PXX22-XX22-210908184853-T3H4_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-c9iuwz931t.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-t1kcxkoub1.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-wkdym6a5xt.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-71l3h6kdee.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-74dpzo19gh.jpg,1,1
