name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Shaan Institute,08401235697,,Behind Kausa Lake and Near Shimla Park Mumbra,Kausa Tallao Palli Mumbra,mumbai,4.8,369 Ratings,"Beauty Parlours, Women Beauty Parlours",19.165772222222,73.0298,400612,022PXX22.XX22.161226204802.A4L3,https://www.justdial.com/Thane/Shaan-Institute-Behind-Kausa-Lake-And-Near-Shimla-Park-Mumbra/022PXX22-XX22-161226204802-A4L3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-q4tq01v6ja.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-mumbai-computer-training-institutes-for-basic-obmob3daiz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-beauty-parlours-mg9hch3t88.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-k9apy444yp.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-ctqh7fc99w.jpg,1,1
Param Konark,09845205493,,Near Bahar Cinema Andheri East,J M Marg Andheri East,Mumbai,3.5,13 Ratings,"Event Organisers, Event Management Companies",19.111564,72.8532371,400069,022PXX22.XX22.110222112930.C2V2,https://www.justdial.com/Mumbai/Param-Konark-Near-Bahar-Cinema-Andheri-East/022PXX22-XX22-110222112930-C2V2_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-event-organisers-ch2sa8bw2v.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-phenyl-manufacturers-qc0975tn0g.jpg,1,1
Hirens Harmony Events & Jalsa Entertainment,08128580736,,Near Param Keshav Baug Marriage Hall Ghatkopar West,Naurojee Lane Ghatkopar West,Mumbai,3.9,14 Ratings,"Photographers, Balloon Decorators",19.0856277778,72.9039,400086,022PXX22.XX22.100322120329.W9U6,https://www.justdial.com/Mumbai/Hirens-Harmony-Events-Jalsa-Entertainment-Near-Param-Keshav-Baug-Marriage-Hall-Ghatkopar-West/022PXX22-XX22-100322120329-W9U6_BZDET,3.9,https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-1zutg4g.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3y14ezv.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3xhw8wn.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-24tn6hl.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-2erau2g.jpg,1,1
Starlight Model and Talent Management Pvt Ltd,09845225726,,Behind Oshiwara Police Station Andheri West,Om Heera Panna Premises Co-operative Society Ltd. Andheri West,Mumbai,4.1,46 Ratings,"Event Management Companies, Birthday Party Organisers",19.142747222222,72.830772222222,400053,022PXX22.XX22.120804165950.S8Q1,https://www.justdial.com/Mumbai/Starlight-Model-and-Talent-Management-Pvt-Ltd-Behind-Oshiwara-Police-Station-Andheri-West/022PXX22-XX22-120804165950-S8Q1_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-1pdnqmb.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-prbi2x6egu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-d19rpgjivq.jpg;https://content.jdmagicbox.com/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-ouya36u6go.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-jkjmgd3dyg.jpg,1,1
Ezilon Media Pvt. Ltd.,09845447291,, Thane West,Thane West,mumbai,4.7,16 Ratings,"Digital Marketing Services, Advertising Agencies",19.1913675,72.9678057,400602,022PXX22.XX22.160418160312.A1S6,https://www.justdial.com/Thane/Ezilon-Media-Pvt-Ltd-Thane-West/022PXX22-XX22-160418160312-A1S6_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/thane/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd--thane-west-thane-social-media-marketing-agencies-7uq3cjy0m9.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-03gq9rl4ya.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-w1y97zc5q4.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-m6sdvx4s0r.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-9kmyvod602.jpg,1,1
Gnv India Events Private Limited,08105028087,,Behind Apollo Cleaner Vijay Nagar,Scheme No 53 Ratnlok Colony Vijay Nagar,indore,4.8,160 Ratings,"Event Organisers, Anchoring Services",22.7405048,75.904938,452010,0731PX731.X731.220704115539.X7Z4,https://www.justdial.com/Indore/Gnv-India-Events-Private-Limited-Behind-Apollo-Cleaner-Vijay-Nagar/0731PX731-X731-220704115539-X7Z4_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/indore/z4/0731px731.x731.220704115539.x7z4/catalogue/gnv-india-entertainment-vijay-nagar-indore-event-organisers-evt8vhit5z.jpg;https://content.jdmagicbox.com/v2/comp/indore/z4/0731px731.x731.220704115539.x7z4/catalogue/gnv-india-entertainment-vijay-nagar-indore-event-organisers-d95o1jt5vn.jpg;https://content.jdmagicbox.com/v2/comp/indore/z4/0731px731.x731.220704115539.x7z4/catalogue/gnv-india-entertainment-vijay-nagar-indore-event-organisers-mxlt8s8flk.jpg;https://content.jdmagicbox.com/v2/comp/indore/z4/0731px731.x731.220704115539.x7z4/catalogue/gnv-india-entertainment-vijay-nagar-indore-event-organisers-did8faqqnj.jpg;https://content.jdmagicbox.com/v2/comp/indore/z4/0731px731.x731.220704115539.x7z4/catalogue/gnv-india-entertainment-vijay-nagar-indore-event-organisers-d7n35pd9p0.jpg,1,6
Key's Film Production & Event Management Company,07487098511,,Near Saket Square Old Palasia,Anand Bazar Road Old Palasia,indore,4.7,28 Ratings,"Advertising Agencies, Event Organisers",22.726097083333,75.894378638889,452001,0731PX731.X731.220107155108.J7H7,https://www.justdial.com/Indore/Keys-Film-Production-Event-Management-Company-Near-Saket-Square-Old-Palasia/0731PX731-X731-220107155108-J7H7_BZDET,4.7,https://content.jdmagicbox.com/comp/indore/h7/0731px731.x731.220107155108.j7h7/catalogue/key-s-film-production-and-event-management-company-new-palasia-indore-event-organisers-for-corporate-m51wfzf5vi.jpg;https://content.jdmagicbox.com/comp/indore/h7/0731px731.x731.220107155108.j7h7/catalogue/key-s-film-production-and-event-management-company-new-palasia-indore-event-organisers-for-corporate-1ejlsryj1w.jpg;https://content.jdmagicbox.com/comp/indore/h7/0731px731.x731.220107155108.j7h7/catalogue/key-s-film-production-and-event-management-company-new-palasia-indore-event-organisers-for-corporate-6kos30fjv5.jpg;https://content.jdmagicbox.com/comp/indore/h7/0731px731.x731.220107155108.j7h7/catalogue/key-s-film-production-and-event-management-company-new-palasia-indore-event-organisers-for-corporate-dnso8sceo3.jpg;https://content.jdmagicbox.com/comp/indore/h7/0731px731.x731.220107155108.j7h7/catalogue/key-s-film-production-and-event-management-company-new-palasia-indore-event-organisers-for-corporate-tt1dhi91kq.jpg,1,1
Kratika Media Networks,08460510996,, Manglia,402-403 APOLLO SQUARE Manglia,indore,5,1 Rating,"Event Organisers, Anchoring Services",22.724972998717,75.874906291511,453771,0731PX731.X731.250424170847.F2J8,https://www.justdial.com/Indore/Kratika-Media-Networks-Manglia/0731PX731-X731-250424170847-F2J8_BZDET,5,https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-989eypo67e.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-9wp7mdz5no.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kratika-media-networks-manglia-indore-event-management-companies-a90g8pelj7.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kratika-media-networks-manglia-indore-event-management-companies-a90g8pelj7-250.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-9wp7mdz5no-250.jpg,1,1
Vedic Production,09731945644,,Near Queens College Khandwa Road,Shree Krishna Phase 3 Khandwa Road,Indore,4.7,39 Ratings,"Event Organisers, Balloon Decorators",22.724472222222,75.885252777778,452020,0731PX731.X731.131217123113.C6P2,https://www.justdial.com/Indore/Vedic-Production-Near-Queens-College-Khandwa-Road/0731PX731-X731-131217123113-C6P2_BZDET,4.7,https://content.jdmagicbox.com/comp/indore/p2/0731px731.x731.131217123113.c6p2/catalogue/vedic-production-khandwa-road-indore-event-organisers-ee02g250ei.jpg;https://content.jdmagicbox.com/v2/comp/indore/p2/0731px731.x731.131217123113.c6p2/catalogue/vedic-production-khandwa-road-indore-event-organisers-for-dance-parties-coj68gz688.jpg;https://content.jdmagicbox.com/comp/indore/p2/0731px731.x731.131217123113.c6p2/catalogue/vedic-production-khandwa-road-indore-event-organisers-qv191obmyk.jpg;https://content.jdmagicbox.com/v2/comp/indore/p2/0731px731.x731.131217123113.c6p2/catalogue/vedic-production-khandwa-road-indore-event-organisers-for-dance-parties-920p942ui9.jpg;https://content.jdmagicbox.com/v2/comp/indore/p2/0731px731.x731.131217123113.c6p2/catalogue/vedic-production-khandwa-road-indore-event-organisers-for-dance-parties-82yaxgw8ns.jpg,1,6
Sitara Fireworks & Events,07411819544,,Epoxy Art India Tulsi Nagar,Tulsi Nagar,indore,5,17 Ratings,"Event Organisers, Birthday Party Decorators",22.7574402,75.9151943,452010,0731PX731.X731.251127105736.F4S1,https://www.justdial.com/Indore/Sitara-Fireworks-Events-Epoxy-Art-India-Tulsi-Nagar/0731PX731-X731-251127105736-F4S1_BZDET,5,https://content.jdmagicbox.com/v2/comp/indore/s1/0731px731.x731.251127105736.f4s1/catalogue/j15bcpx3es5w2m6-zw6pqxx2gp.jpg;https://content.jdmagicbox.com/v2/comp/indore/s1/0731px731.x731.251127105736.f4s1/catalogue/sitara-fireworks-and-events-tulsi-nagar-indore-event-organisers-qruah8y63f.jpg;https://content.jdmagicbox.com/v2/comp/indore/s1/0731px731.x731.251127105736.f4s1/catalogue/sitara-fireworks-and-events-tulsi-nagar-indore-event-organisers-xlngyq94wb.jpg;https://content.jdmagicbox.com/v2/comp/indore/s1/0731px731.x731.251127105736.f4s1/catalogue/sitara-fireworks-and-events-tulsi-nagar-indore-event-organisers-4fgo36t1dc.jpg;https://content.jdmagicbox.com/v2/comp/indore/s1/0731px731.x731.251127105736.f4s1/catalogue/sitara-fireworks-and-events-tulsi-nagar-indore-event-organisers-2boflc2zm1.jpg,1,1
