name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Laugh & Vibe Entertainment & Artist Management,09054073910,,Near By Florian Hurel Spa Koregaon Park,Koregaon Park Bund Garden Road Koregaon Park,pune,4.9,295 Ratings,"Anchoring Services, Singers",18.539436340332,73.900199890137,411001,020PXX20.XX20.250417211040.X2J1,https://www.justdial.com/Pune/Laugh-Vibe-Entertainment-Artist-Management-Near-By-Florian-Hurel-Spa-Koregaon-Park/020PXX20-XX20-250417211040-X2J1_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-entertainment-and-artist-management-koregaon-park-pune-entertainment-agencies-lqa7wwpo5m.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-sm0l3pkg3s.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-oxp93wy4o1.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-6lk7ddvfs9.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-f98y9l09ng.jpg,1,1
Divya Tent & Event and Om Bajrang Electric and Decorator,09980638275,,Near By Government School Vaishali Nagar,Dhawas Vaishali Nagar,jaipur,4.6,49 Ratings,"Tent House, Wedding Planners",26.8887877,75.7180107,302021,0141PX141.X141.201214122626.T7I7,https://www.justdial.com/Jaipur/Divya-Tent-Event-and-Om-Bajrang-Electric-and-Decorator-Near-By-Government-School-Vaishali-Nagar/0141PX141-X141-201214122626-T7I7_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/jaipur/i7/0141px141.x141.201214122626.t7i7/catalogue/divya-tent-and-event-and-om-bajrang-electric-and-decorator-vaishali-nagar-jaipur-tent-house-slk2sk1uj6.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/i7/0141px141.x141.201214122626.t7i7/catalogue/divya-tent-and-event-and-om-bajrang-electric-and-decorator-vaishali-nagar-jaipur-tent-house-rwo6d34vlo.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/i7/0141px141.x141.201214122626.t7i7/catalogue/divya-tent-and-event-and-om-bajrang-electric-and-decorator-vaishali-nagar-jaipur-tent-house-dws7q74mhd.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/i7/0141px141.x141.201214122626.t7i7/catalogue/divya-tent-and-event-and-om-bajrang-electric-and-decorator-vaishali-nagar-jaipur-tent-house-xa52pqjkjz.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/i7/0141px141.x141.201214122626.t7i7/catalogue/divya-tent-and-event-and-om-bajrang-electric-and-decorator-vaishali-nagar-jaipur-tent-house-ess0ryymdl.jpg,1,1
Scorpions Events,08460226310,, Malviya Nagar,Satkar Shopping Centre Malviya Nagar,Jaipur,4.5,34 Ratings,"Caterers, Event Organisers",26.843759965763,75.817539207637,302017,0141PX141.X141.130723155320.K1T3,https://www.justdial.com/Jaipur/Scorpions-Events-Malviya-Nagar/0141PX141-X141-130723155320-K1T3_BZDET,4.5,https://content.jdmagicbox.com/comp/jaipur/t3/0141px141.x141.130723155320.k1t3/catalogue/scorpions-events-and-dance-troupe-malviya-nagar-jaipur-event-organisers-qleez5czz2.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/t3/0141px141.x141.130723155320.k1t3/catalogue/scorpions-events-and-dance-troupe-malviya-nagar-jaipur-event-organisers-3dbta1y32t.jpg;https://content.jdmagicbox.com/comp/jaipur/t3/0141px141.x141.130723155320.k1t3/catalogue/scorpions-events-and-dance-troupe-malviya-nagar-jaipur-event-organisers-6792op6gra.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/t3/0141px141.x141.130723155320.k1t3/catalogue/scorpions-events-and-dance-troupe-malviya-nagar-jaipur-event-organisers-8mrfdtn3ad.jpg;https://content.jdmagicbox.com/comp/jaipur/t3/0141px141.x141.130723155320.k1t3/catalogue/scorpions-events-and-dance-troupe-malviya-nagar-jaipur-event-organisers-d19gn6xudo.jpg,1,1
Dada Art - Event Management,07383819116,,Near Rangoli Plaza Mall Panchyawala,Ragoli Garden Road Panchyawala,jaipur,4.6,16 Ratings,"Event Organisers, Balloon Decorators",26.9096324,75.718375,302034,0141PX141.X141.260505143530.P5H4,https://www.justdial.com/Jaipur/Dada-Art-Event-Management-Near-Rangoli-Plaza-Mall-Panchyawala/0141PX141-X141-260505143530-P5H4_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/jaipur/h4/0141px141.x141.260505143530.p5h4/catalogue/dada-art-event-management-panchyawala-jaipur-event-organisers-gxe17vtr9v.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/h4/0141px141.x141.260505143530.p5h4/catalogue/dada-art-event-management-panchyawala-jaipur-event-organisers-o2tgqjs6uy.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/h4/0141px141.x141.260505143530.p5h4/catalogue/dada-art-event-management-panchyawala-jaipur-event-organisers-v2gyf604u6.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/h4/0141px141.x141.260505143530.p5h4/catalogue/dada-art-event-management-panchyawala-jaipur-event-organisers-q0qbpl87mc.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/h4/0141px141.x141.260505143530.p5h4/catalogue/dada-art-event-management-panchyawala-jaipur-event-organisers-wt7tplkh7l.jpg,1,1
Nrityayogi Tania Event,09724227976,,Near Rangoli Plaza Vaishali Nagar,Maharana Pratap Road Vaishali Nagar,jaipur,5,3 Ratings,"Event Organisers, Wedding Planners",26.9135642693,75.7417844955,302021,0141PX141.X141.260601154209.K2J4,https://www.justdial.com/Jaipur/Nrityayogi-Tania-Event-Near-Rangoli-Plaza-Vaishali-Nagar/0141PX141-X141-260601154209-K2J4_BZDET,5,https://content.jdmagicbox.com/v2/comp/jaipur/j4/0141px141.x141.260601154209.k2j4/catalogue/nrityayogi-tania-event-jaipur-event-organisers-8j1yws0uvl.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/j4/0141px141.x141.260601154209.k2j4/catalogue/nrityayogi-tania-event-jaipur-event-organisers-yy2mw3w2sz.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/j4/0141px141.x141.260601154209.k2j4/catalogue/nrityayogi-tania-event-jaipur-event-organisers-rby7dns027.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/j4/0141px141.x141.260601154209.k2j4/catalogue/nrityayogi-tania-event-jaipur-event-organisers-fgdv828eti.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/j4/0141px141.x141.260601154209.k2j4/catalogue/nrityayogi-tania-event-jaipur-event-organisers-re02jial8s.jpg,1,1
Rosewood Event & Wedding Planners,07383762952,,Near Hotel Blue Heaven Shastri Nagar,Jobner Bagh Parik College Road Shastri Nagar,jaipur,5,7 Ratings,"Event Organisers, Wedding Planners",26.9261521,75.8037216,302016,0141PX141.X141.240702172514.F5H2,https://www.justdial.com/Jaipur/Rosewood-Event-Wedding-Planners-Near-Hotel-Blue-Heaven-Shastri-Nagar/0141PX141-X141-240702172514-F5H2_BZDET,5,https://content.jdmagicbox.com/v2/comp/jaipur/h2/0141px141.x141.240702172514.f5h2/catalogue/rosewood-event-and-wedding-planners-shastri-nagar-jaipur-event-organisers-6fdyvb0d26.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/h2/0141px141.x141.240702172514.f5h2/catalogue/rosewood-event-and-wedding-planners-shastri-nagar-jaipur-event-organisers-tj8djkgcxq.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/h2/0141px141.x141.240702172514.f5h2/catalogue/rosewood-event-and-wedding-planners-shastri-nagar-jaipur-event-organisers-qpv0jood1u.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/h2/0141px141.x141.240702172514.f5h2/catalogue/rosewood-event-and-wedding-planners-shastri-nagar-jaipur-event-organisers-do76mi2k4o.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/h2/0141px141.x141.240702172514.f5h2/catalogue/rosewood-event-and-wedding-planners-shastri-nagar-jaipur-event-organisers-2q3yjb3khl.jpg,1,1
Nikhil Events & Fireworks,08296228074,,Opposite Golden Domes Jagatpura Flyover Road,Purusharth Nagar Jagatpura Flyover Road,jaipur,4.6,67 Ratings,"Caterers, Event Organisers",26.8344867,75.8370517,302017,0141PX141.X141.250513121542.S2M8,https://www.justdial.com/Jaipur/Nikhil-Events-Fireworks-Opposite-Golden-Domes-Jagatpura-Flyover-Road/0141PX141-X141-250513121542-S2M8_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/jaipur/m8/0141px141.x141.250513121542.s2m8/catalogue/nikhil-events-and-fireworks-jagatpura-flyover-road-jaipur-event-organisers-j7qwu7f26c.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/m8/0141px141.x141.250513121542.s2m8/catalogue/nikhil-events-and-fireworks-jagatpura-flyover-road-jaipur-event-organisers-iz9tll2zp2.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/m8/0141px141.x141.250513121542.s2m8/catalogue/nikhil-events-and-fireworks-jagatpura-flyover-road-jaipur-event-organisers-dx201tqnw2.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/m8/0141px141.x141.250513121542.s2m8/catalogue/nikhil-events-and-fireworks-jagatpura-flyover-road-jaipur-event-organisers-a1u1nar67z.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/m8/0141px141.x141.250513121542.s2m8/catalogue/nikhil-events-and-fireworks-jagatpura-flyover-road-jaipur-event-organisers-yrqvany3an.jpg,1,1
D L Events,08460440186,,Near Ola Showroom Vidyut Nagar,Ajmer Road Vidyut Nagar,jaipur,4.7,10 Ratings,"Event Organisers, Wedding Planners",26.898223,75.7542284,302021,0141PX141.X141.241218131108.U8J1,https://www.justdial.com/Jaipur/D-L-Events-Near-Ola-Showroom-Vidyut-Nagar/0141PX141-X141-241218131108-U8J1_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/jaipur/j1/0141px141.x141.241218131108.u8j1/catalogue/d-l-events-vidyut-nagar-jaipur-event-organisers-mwqp17z1nf.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/j1/0141px141.x141.241218131108.u8j1/catalogue/d-l-events-vidyut-nagar-jaipur-event-organisers-j7vcgqbpdj.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/j1/0141px141.x141.241218131108.u8j1/catalogue/d-l-events-vidyut-nagar-jaipur-event-organisers-u0lvr5p4qi.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/j1/0141px141.x141.241218131108.u8j1/catalogue/d-l-events-vidyut-nagar-jaipur-event-organisers-a01y65x1p0.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/j1/0141px141.x141.241218131108.u8j1/catalogue/d-l-events-vidyut-nagar-jaipur-event-organisers-ysqowps8ip.jpg,1,1
Saini Event,08511696309,,Near Chopra Garden Mansarovar,Saini Event Mansarovar,jaipur,5,12 Ratings,"Event Organisers, Event Management Companies",26.8577037,75.7414208,302020,0141PX141.X141.241220120051.K3Y9,https://www.justdial.com/Jaipur/Saini-Event-Near-Chopra-Garden-Mansarovar/0141PX141-X141-241220120051-K3Y9_BZDET,5,https://content.jdmagicbox.com/v2/comp/jaipur/y9/0141px141.x141.241220120051.k3y9/catalogue/saini-event-mansarovar-jaipur-event-organisers-ttm0zfy8e4.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/y9/0141px141.x141.241220120051.k3y9/catalogue/saini-event-mansarovar-jaipur-event-organisers-7ddlmqtf41.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/y9/0141px141.x141.241220120051.k3y9/catalogue/saini-event-mansarovar-jaipur-event-organisers-t7hayegd43.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/y9/0141px141.x141.241220120051.k3y9/catalogue/saini-event-mansarovar-jaipur-event-organisers-o5eiy1wd4m.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/y9/0141px141.x141.241220120051.k3y9/catalogue/saini-event-mansarovar-jaipur-event-organisers-9r7e9ua4ds.jpg,1,1
Bask Entertainment Co. Pvt Ltd,07041502236,, Bani Park,JODHPUR Bani Park,Jaipur,4.3,9 Ratings,"Event Organisers, Wedding Planners",26.9311189502,75.7909054555,302016,0141P1425.1425.111103192544.S9V3,https://www.justdial.com/Jaipur/Bask-Entertainment-Co-Pvt-Ltd-Bani-Park/0141P1425-1425-111103192544-S9V3_BZDET,4.3,https://content.jdmagicbox.com/comp/service_catalogue/conference-event-organisers-0141p1425.1425.111103192544.s9v3-9e9gyvs.jpg;https://content.jdmagicbox.com/comp/service_catalogue/celebrity-shows-service-0141p1425.1425.111103192544.s9v3-3yajl23.jpg;https://content.jdmagicbox.com/comp/service_catalogue/artist-and-celebrity-management-services-0141p1425.1425.111103192544.s9v3-1vmeo6k.jpg;https://content.jdmagicbox.com/comp/service_catalogue/celebrity-arrangement-0141p1425.1425.111103192544.s9v3-ffef19s.jpg;https://content.jdmagicbox.com/comp/service_catalogue/corporate-event-decoration-services-0141p1425.1425.111103192544.s9v3-w9lefo3.jpg,1,1
