name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Ezilon Media Pvt. Ltd.,09845447291,, Thane West,Thane West,mumbai,4.7,16 Ratings,"Digital Marketing Services, Advertising Agencies",19.1913675,72.9678057,400602,022PXX22.XX22.160418160312.A1S6,https://www.justdial.com/Thane/Ezilon-Media-Pvt-Ltd-Thane-West/022PXX22-XX22-160418160312-A1S6_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/thane/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd--thane-west-thane-social-media-marketing-agencies-7uq3cjy0m9.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-03gq9rl4ya.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-w1y97zc5q4.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-m6sdvx4s0r.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-9kmyvod602.jpg,1,1
Param Konark,09845205493,,Near Bahar Cinema Andheri East,J M Marg Andheri East,Mumbai,3.5,13 Ratings,"Event Organisers, Event Management Companies",19.111564,72.8532371,400069,022PXX22.XX22.110222112930.C2V2,https://www.justdial.com/Mumbai/Param-Konark-Near-Bahar-Cinema-Andheri-East/022PXX22-XX22-110222112930-C2V2_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-event-organisers-ch2sa8bw2v.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-phenyl-manufacturers-qc0975tn0g.jpg,1,1
Hirens Harmony Events & Jalsa Entertainment,08128580736,,Near Param Keshav Baug Marriage Hall Ghatkopar West,Naurojee Lane Ghatkopar West,Mumbai,3.9,14 Ratings,"Photographers, Balloon Decorators",19.0856277778,72.9039,400086,022PXX22.XX22.100322120329.W9U6,https://www.justdial.com/Mumbai/Hirens-Harmony-Events-Jalsa-Entertainment-Near-Param-Keshav-Baug-Marriage-Hall-Ghatkopar-West/022PXX22-XX22-100322120329-W9U6_BZDET,3.9,https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-1zutg4g.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3y14ezv.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3xhw8wn.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-24tn6hl.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-2erau2g.jpg,1,1
Starlight Model and Talent Management Pvt Ltd,09845225726,,Behind Oshiwara Police Station Andheri West,Om Heera Panna Premises Co-operative Society Ltd. Andheri West,Mumbai,4.1,46 Ratings,"Event Management Companies, Birthday Party Organisers",19.142747222222,72.830772222222,400053,022PXX22.XX22.120804165950.S8Q1,https://www.justdial.com/Mumbai/Starlight-Model-and-Talent-Management-Pvt-Ltd-Behind-Oshiwara-Police-Station-Andheri-West/022PXX22-XX22-120804165950-S8Q1_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-1pdnqmb.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-prbi2x6egu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-d19rpgjivq.jpg;https://content.jdmagicbox.com/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-ouya36u6go.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-jkjmgd3dyg.jpg,1,1
Shaan Institute,08401235697,,Behind Kausa Lake and Near Shimla Park Mumbra,Kausa Tallao Palli Mumbra,mumbai,4.8,369 Ratings,"Beauty Parlours, Women Beauty Parlours",19.165772222222,73.0298,400612,022PXX22.XX22.161226204802.A4L3,https://www.justdial.com/Thane/Shaan-Institute-Behind-Kausa-Lake-And-Near-Shimla-Park-Mumbra/022PXX22-XX22-161226204802-A4L3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-q4tq01v6ja.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-mumbai-computer-training-institutes-for-basic-obmob3daiz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-beauty-parlours-mg9hch3t88.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-k9apy444yp.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-ctqh7fc99w.jpg,1,1
Fusion Events & Wedding Planner,08401672778,,Opposite Vasundhara Hospital Jodhpur Ho,12th Sector Chopasni Housing Board Jodhpur Ho,JODHPUR,4.2,31 Ratings,"Event Organisers, Caterers",26.264833333333,72.966366666667,342001,0291PX291.X291.120619131120.D3S6,https://www.justdial.com/Jodhpur/Fusion-Events-Wedding-Planner-Opposite-Vasundhara-Hospital-Jodhpur-Ho/0291PX291-X291-120619131120-D3S6_BZDET,4.2,https://content.jdmagicbox.com/comp/jodhpur/s6/0291px291.x291.120619131120.d3s6/catalogue/fusion-events-and-wedding-planner-jodhpur-ho-jodhpur-caterers-42x3ysm.jpg;https://content.jdmagicbox.com/comp/jodhpur/s6/0291px291.x291.120619131120.d3s6/catalogue/fusion-events-and-wedding-planner-jodhpur-ho-jodhpur-caterers-2rpe642.jpg;https://content.jdmagicbox.com/comp/jodhpur/s6/0291px291.x291.120619131120.d3s6/catalogue/fusion-events-and-wedding-planner-jodhpur-ho-jodhpur-caterers-24b09xj.jpg;https://content.jdmagicbox.com/comp/jodhpur/s6/0291px291.x291.120619131120.d3s6/catalogue/fusion-events-and-wedding-planner-jodhpur-ho-jodhpur-caterers-2todt7g.jpg;https://content.jdmagicbox.com/comp/jodhpur/s6/0291px291.x291.120619131120.d3s6/catalogue/fusion-events-and-wedding-planner-jodhpur-ho-jodhpur-caterers-6ysd4y.jpg,1,6
Neil's Music Lounge,08401697663,, Ratanada,2A Umaid Heritage Ratanada,Jodhpur,4.4,54 Ratings,"Music Classes, Music Classes For Guitar",26.294946,73.022331,342001,0291PX291.X291.160401125507.N2F1,https://www.justdial.com/Jodhpur/Neils-Music-Lounge-Ratanada/0291PX291-X291-160401125507-N2F1_BZDET,4.4,https://content.jdmagicbox.com/v2/comp/jodhpur/f1/0291px291.x291.160401125507.n2f1/catalogue/neil-s-music-lounge-ratanada-jodhpur-music-classes-for-guitar-v7tlj3bqc9.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/f1/0291px291.x291.160401125507.n2f1/catalogue/neil-s-music-lounge-ratanada-jodhpur-music-classes-for-guitar-c74a09n6gq.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/f1/0291px291.x291.160401125507.n2f1/catalogue/neil-s-music-lounge-ratanada-jodhpur-music-classes-for-guitar-49qppthc60.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/f1/0291px291.x291.160401125507.n2f1/catalogue/neil-s-music-lounge-ratanada-jodhpur-music-classes-for-guitar-651rb831j9.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/f1/0291px291.x291.160401125507.n2f1/catalogue/neil-s-music-lounge-ratanada-jodhpur-music-classes-for-guitar-0c15vieaqm.jpg,1,6
Satyam Events,08460307753,,Nagori Bera Nagori Gate Circle,Golden Cave Resort Nagori Gate Circle,jodhpur,4.5,4 Ratings,"Event Organisers, Event Management Companies",26.3033289,73.0331588,342001,0291PX291.X291.231229122753.Y1Q9,https://www.justdial.com/Jodhpur/Satyam-Events-Nagori-Bera-Nagori-Gate-Circle/0291PX291-X291-231229122753-Y1Q9_BZDET,4.5,https://content.jdmagicbox.com/comp/jodhpur/q9/0291px291.x291.231229122753.y1q9/catalogue/satyam-events-nagori-gate-circle-jodhpur-44ac85mc8j.jpg;https://content.jdmagicbox.com/comp/jodhpur/q9/0291px291.x291.231229122753.y1q9/catalogue/satyam-events-nagori-gate-circle-jodhpur-dyf6dtbz7y.jpg;https://content.jdmagicbox.com/comp/jodhpur/q9/0291px291.x291.231229122753.y1q9/catalogue/satyam-events-nagori-gate-circle-jodhpur-bgwnbvd9l8.jpg;https://content.jdmagicbox.com/comp/jodhpur/q9/0291px291.x291.231229122753.y1q9/catalogue/satyam-events-nagori-gate-circle-jodhpur-icc7os8tl6.jpg;https://content.jdmagicbox.com/comp/jodhpur/q9/0291px291.x291.231229122753.y1q9/catalogue/satyam-events-nagori-gate-circle-jodhpur-mo778e7d6w.jpg,1,1
Aarambh Wedding Planner & Production,07411574429,,Hotel Maru Garh Nandwan,Gali No 1 Nandwan,jodhpur,5,6 Ratings,"Tent House, Event Management Companies",26.2614744,72.9443524,342008,0291PX291.X291.260617135214.X2V7,https://www.justdial.com/Jodhpur/Aarambh-Wedding-Planner-Production-Hotel-Maru-Garh-Nandwan/0291PX291-X291-260617135214-X2V7_BZDET,5,https://content.jdmagicbox.com/v2/comp/jodhpur/v7/0291px291.x291.260617135214.x2v7/catalogue/aarambh-wedding-planner-and-production-nandwan-jodhpur-wedding-decorators-5q3c1nookl.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/v7/0291px291.x291.260617135214.x2v7/catalogue/aarambh-wedding-planner-and-production-nandwan-jodhpur-wedding-decorators-o9joae1h3m.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/v7/0291px291.x291.260617135214.x2v7/catalogue/aarambh-wedding-planner-and-production-nandwan-jodhpur-wedding-decorators-nvbq4j0yjq.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/v7/0291px291.x291.260617135214.x2v7/catalogue/aarambh-wedding-planner-and-production-nandwan-jodhpur-wedding-decorators-o1azmanlgs.jpg;https://content.jdmagicbox.com/v2/comp/jodhpur/v7/0291px291.x291.260617135214.x2v7/catalogue/aarambh-wedding-planner-and-production-nandwan-jodhpur-wedding-decorators-3lklzkh4b7.jpg,1,1
Bask Entertainment Co Pvt Ltd,08401664326,, Jodhpur Ho,Sardarpura Jodhpur Ho,Jodhpur,4.6,51 Ratings,"Event Organisers, Event Management Companies",26.278873,72.999158,342001,0291PX291.X291.110226121757.G2I5,https://www.justdial.com/Jodhpur/Bask-Entertainment-Co-Pvt-Ltd-Jodhpur-Ho/0291PX291-X291-110226121757-G2I5_BZDET,4.6,https://content.jdmagicbox.com/comp/jodhpur/i5/0291px291.x291.110226121757.g2i5/catalogue/bask-events-jodhpur-ho-jodhpur-caterers-af6yb.jpg;https://content.jdmagicbox.com/comp/jodhpur/i5/0291px291.x291.110226121757.g2i5/catalogue/bask-entertainment-co-pvt-ltd-jodhpur-ho-jodhpur-event-management-companies-tnn3t.jpg;https://content.jdmagicbox.com/comp/jodhpur/i5/0291px291.x291.110226121757.g2i5/catalogue/bask-events-jodhpur-ho-jodhpur-caterers-ojkks.jpg;https://content.jdmagicbox.com/comp/jodhpur/i5/0291px291.x291.110226121757.g2i5/catalogue/bask-events-jodhpur-ho-jodhpur-caterers-oqbqf.jpg;https://content.jdmagicbox.com/comp/jodhpur/i5/0291px291.x291.110226121757.g2i5/catalogue/bask-events-jodhpur-ho-jodhpur-caterers-n2u4r.jpg,1,1
