name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Shree Event,09606249942,,Near Jora Bagan Petrol Pump Beadon Street,Pathuria ghata Street Beadon Street,kolkata,4.3,25 Ratings,"Event Organisers, Singers",22.589792,88.355708,700006,033PXX33.XX33.151029203451.Q5K5,https://www.justdial.com/Kolkata/Shree-Event-Near-Jora-Bagan-Petrol-Pump-Beadon-Street/033PXX33-XX33-151029203451-Q5K5_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/kolkata/k5/033pxx33.xx33.151029203451.q5k5/catalogue/shree-event-beadon-street-kolkata-decorators-6f074.jpg;https://content.jdmagicbox.com/comp/kolkata/k5/033pxx33.xx33.151029203451.q5k5/catalogue/shree-event-beadon-street-kolkata-decorators-2.jpg;https://content.jdmagicbox.com/comp/kolkata/k5/033pxx33.xx33.151029203451.q5k5/catalogue/shree-event-beadon-street-kolkata-decorators-ea573.jpg;https://content.jdmagicbox.com/comp/kolkata/k5/033pxx33.xx33.151029203451.q5k5/catalogue/shree-event-beadon-street-kolkata-decorators-1.jpg;https://content.jdmagicbox.com/comp/kolkata/k5/033pxx33.xx33.151029203451.q5k5/catalogue/shree-event-beadon-street-kolkata-decorators-1814c.jpg,1,1
Jmd Events,08904962924,,Near Kestopur VIP Crossing Keshtopur,Rabindra Pally Keshtopur,kolkata,4.7,343 Ratings,"Caterers, Event Organisers",22.602372222222,88.428161111111,700102,033PXX33.XX33.190731155706.D8P1,https://www.justdial.com/Kolkata/Jmd-Events-Near-Kestopur-Vip-Crossing-Keshtopur/033PXX33-XX33-190731155706-D8P1_BZDET,4.7,https://content.jdmagicbox.com/comp/kolkata/p1/033pxx33.xx33.190731155706.d8p1/catalogue/jmd-events-keshtopur-kolkata-banquet-halls-xltw629qxa.jpg;https://content.jdmagicbox.com/comp/kolkata/p1/033pxx33.xx33.190731155706.d8p1/catalogue/jmd-events-keshtopur-kolkata-banquet-halls-qa8o6gh7jv.jpg;https://content.jdmagicbox.com/comp/kolkata/p1/033pxx33.xx33.190731155706.d8p1/catalogue/jmd-events-keshtopur-kolkata-banquet-halls-lea8gzcvs0.jpg;https://content.jdmagicbox.com/comp/kolkata/p1/033pxx33.xx33.190731155706.d8p1/catalogue/jmd-events-keshtopur-kolkata-banquet-halls-euzimoese8.jpg;https://content.jdmagicbox.com/comp/kolkata/p1/033pxx33.xx33.190731155706.d8p1/catalogue/jmd-events-keshtopur-kolkata-banquet-halls-jo6g0qz8nv.jpg,1,6
Bose Caterer & Event Management,09724606287,,Near Janakalyan Nandan Pally Park Barisha,Santosh Roy Road Barisha,kolkata,5,9 Ratings,"Caterers, Event Organisers",22.4833709,88.3147699,700008,033PXX33.XX33.250912225013.I7G8,https://www.justdial.com/Kolkata/Bose-Caterer-Event-Management-Near-Janakalyan-Nandan-Pally-Park-Barisha/033PXX33-XX33-250912225013-I7G8_BZDET,5,https://content.jdmagicbox.com/v2/comp/kolkata/g8/033pxx33.xx33.250912225013.i7g8/catalogue/bose-event-management-and-caterer-kolkata-npdh0ix3a2.jpg,1,1
RinSan Events & Entertainment,08734881534,,Behind Municipality Hospital Dum Dum,Dum Dum Cantonment Dum Dum,kolkata,5,14 Ratings,"Caterers, Event Organisers",22.629191666667,88.417902777778,700028,033PXX33.XX33.230511165058.J1Q7,https://www.justdial.com/Kolkata/RinSan-Events-Entertainment-Behind-Municipality-Hospital-Dum-Dum/033PXX33-XX33-230511165058-J1Q7_BZDET,5,https://content.jdmagicbox.com/v2/comp/kolkata/q7/033pxx33.xx33.230511165058.j1q7/catalogue/rinsan-events-and-entertainment-dum-dum-kolkata-event-organisers-pxpthcze8d.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/q7/033pxx33.xx33.230511165058.j1q7/catalogue/rinsan-events-and-entertainment-dum-dum-kolkata-event-organisers-g6n4byc60s.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/q7/033pxx33.xx33.230511165058.j1q7/catalogue/rinsan-events-and-entertainment-dum-dum-kolkata-event-organisers-przw9rzic4.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/q7/033pxx33.xx33.230511165058.j1q7/catalogue/rinsan-events-and-entertainment-dum-dum-kolkata-event-organisers-m5uvxnt4kt.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/q7/033pxx33.xx33.230511165058.j1q7/catalogue/rinsan-events-and-entertainment-dum-dum-kolkata-event-organisers-lorsh570vv.jpg,1,1
Ankur Caterer,09606292789,,Near Nabankur Club Ghughudanga,Srinath Mukherjee Lane Ghughudanga,Kolkata,4.3,13 Ratings,"Caterers, Event Organisers",22.618178499722,88.3849509,700030,033P9775332,https://www.justdial.com/Kolkata/Ankur-Caterer-Near-Nabankur-Club-Ghughudanga/033P9775332_BZDET,4.3,https://content.jdmagicbox.com/comp/kolkata/32/033p9775332/catalogue/ankur-caterer-ghughudanga-kolkata-caterers-35dx7ka0os.jpg;https://content.jdmagicbox.com/comp/kolkata/32/033p9775332/catalogue/ankur-caterer-ghughudanga-kolkata-caterers-917vorbmgc.jpg;https://content.jdmagicbox.com/comp/kolkata/32/033p9775332/catalogue/ankur-caterer-ghughudanga-kolkata-caterers-vlt0b0py2x.jpg;https://content.jdmagicbox.com/comp/kolkata/32/033p9775332/catalogue/ankur-caterer-ghughudanga-kolkata-caterers-rxf0radrwf.jpg;https://content.jdmagicbox.com/comp/kolkata/32/033p9775332/catalogue/ankur-caterer-ghughudanga-kolkata-caterers-7ihj4e7nhj.jpg,1,1
Spotlight,08735028585,,Near Ganja Park Bhawanipur Bhawanipur,Mohini Mohan Road Bhawanipur,Kolkata,4,20 Ratings,"Event Organisers, Event Management Companies",22.5186841,88.3330413,700025,033PXX33.XX33.100211102541.K3G5,https://www.justdial.com/Kolkata/Spotlight-Near-Ganja-Park-Bhawanipur-Bhawanipur/033PXX33-XX33-100211102541-K3G5_BZDET,4,https://content.jdmagicbox.com/comp/def_content/sound-systems-on-hire/shutterstock-570293524-sound-systems-on-hire-8-2rdhs.jpg,1,1
Aadreezz 1,07411813064,,Near Style Bazar Gariahat,Gariahat Road Gariahat,Kolkata,4.1,17 Ratings,"Event Organisers, Event Management Companies",22.5212756,88.3654584,700019,033PXX33.XX33.100211121509.C3Y4,https://www.justdial.com/Kolkata/Aadreezz-1-Near-Style-Bazar-Gariahat/033PXX33-XX33-100211121509-C3Y4_BZDET,4.1,https://content.jdmagicbox.com/comp/kolkata/y4/033pxx33.xx33.100211121509.c3y4/catalogue/aadreezz-cine-media-and-company-gariahat-kolkata-film-production-houses-rnl3b73rcz.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/y4/033pxx33.xx33.100211121509.c3y4/catalogue/aadreezz-1-gariahat-kolkata-event-organisers-rq20ymh404.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/y4/033pxx33.xx33.100211121509.c3y4/catalogue/aadreezz-1-gariahat-kolkata-event-organisers-dn8sudptir.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/y4/033pxx33.xx33.100211121509.c3y4/catalogue/aadreezz-1-gariahat-kolkata-event-organisers-qid9spilco.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/y4/033pxx33.xx33.100211121509.c3y4/catalogue/aadreezz-1-gariahat-kolkata-event-organisers-wwhmsmmq7l.jpg,1,1
R R EVENT'S,07048728164,,Near By Ward No 35 Salt Lake City Sector 4,Nabapally Salt Lake City Sector 4,kolkata,4.9,76 Ratings,"Event Organisers For Corporate, Event Management Companies For Corporate",22.588863888889,88.419319444444,700091,033PXX33.XX33.240328151108.L3C3,https://www.justdial.com/Kolkata/R-R-EVENTS-Near-By-Ward-No-35-Salt-Lake-City-Sector-4/033PXX33-XX33-240328151108-L3C3_BZDET,4.9,https://content.jdmagicbox.com/comp/kolkata/c3/033pxx33.xx33.240328151108.l3c3/catalogue/interior-marts-salt-lake-city-sector-3-kolkata-interior-designers-0almz1mukg.jpg;https://content.jdmagicbox.com/comp/kolkata/c3/033pxx33.xx33.240328151108.l3c3/catalogue/interior-marts-salt-lake-city-sector-3-kolkata-interior-designers-hnd9q1ywka.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/c3/033pxx33.xx33.240328151108.l3c3/catalogue/r-r-event-s-salt-lake-city-sector-4-kolkata-exhibition-stall-fabricators-vo3clgkrlw.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/c3/033pxx33.xx33.240328151108.l3c3/catalogue/r-r-event-s-salt-lake-city-sector-4-kolkata-exhibition-stall-fabricators-iq1mpid8sz.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/c3/033pxx33.xx33.240328151108.l3c3/catalogue/r-r-event-s-salt-lake-city-sector-4-kolkata-exhibition-stall-fabricators-yu114qnqcd.jpg,1,1
EVENTS REDEFINED,08511462078,,Near Sulekha Mod Jadavpur Regent Estate,Regent Estate Road Regent Estate,kolkata,4.9,57 Ratings,"Event Organisers, Event Management Companies",22.483479583582,88.366478633006,700092,033PXX33.XX33.230602140013.C4U3,https://www.justdial.com/Kolkata/EVENTS-REDEFINED-Near-Sulekha-Mod-Jadavpur-Regent-Estate/033PXX33-XX33-230602140013-C4U3_BZDET,4.9,https://content.jdmagicbox.com/comp/kolkata/u3/033pxx33.xx33.230602140013.c4u3/catalogue/events-redefined-regent-estate-kolkata-party-organisers-7vxu7k8h80.jpg;https://content.jdmagicbox.com/comp/kolkata/u3/033pxx33.xx33.230602140013.c4u3/catalogue/events-redefined-regent-estate-kolkata-party-organisers-uarrwvgkq5.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/u3/033pxx33.xx33.230602140013.c4u3/catalogue/events-redefined-regent-estate-kolkata-party-organisers-njh9bjs1yf.jpg;https://content.jdmagicbox.com/comp/kolkata/u3/033pxx33.xx33.230602140013.c4u3/catalogue/eventful-nairita-regent-estate-kolkata-party-organisers-sd9ez4id6h.jpg;https://content.jdmagicbox.com/comp/kolkata/u3/033pxx33.xx33.230602140013.c4u3/catalogue/eventful-nairita-regent-estate-kolkata-party-organisers-9krv0jaz2s.jpg,1,1
SHRI SHYAM EVENTS,08460245757,,Near Vishal Mega Mart Rajarhat Gopalpur,SRCM Road Rajarhat Gopalpur,kolkata,5,3 Ratings,"Caterers, Event Organisers",22.648888,88.4611265,700136,033PXX33.XX33.251214185945.S2D5,https://www.justdial.com/Kolkata/SHRI-SHYAM-EVENTS-Near-Vishal-Mega-Mart-Rajarhat-Gopalpur/033PXX33-XX33-251214185945-S2D5_BZDET,5,https://content.jdmagicbox.com/v2/comp/kolkata/d5/033pxx33.xx33.251214185945.s2d5/catalogue/shri-shyam-events-rajarhat-gopalpur-kolkata-event-organisers-gtqudh16l6.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/d5/033pxx33.xx33.251214185945.s2d5/catalogue/shri-shyam-events-rajarhat-gopalpur-kolkata-event-organisers-1a6xt7g7q3.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/d5/033pxx33.xx33.251214185945.s2d5/catalogue/shri-shyam-events-rajarhat-gopalpur-kolkata-event-organisers-bb00yop6zr.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/d5/033pxx33.xx33.251214185945.s2d5/catalogue/shri-shyam-events-rajarhat-gopalpur-kolkata-event-organisers-yqc7626r8b.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/d5/033pxx33.xx33.251214185945.s2d5/catalogue/shri-shyam-events-rajarhat-gopalpur-kolkata-event-organisers-hjwpxb8f7m.jpg,1,1
ZENX ALLWAYZ EVENTS ZAWE,09606161286,,Near Community Health Centre Khidirpur,Nritya Ghosh Street Khidirpur,kolkata,4.8,62 Ratings,"Caterers, Mandap Decorators",22.5377386,88.3441942,700023,033PXX33.XX33.220522112405.T3R5,https://www.justdial.com/Kolkata/ZENX-ALLWAYZ-EVENTS-ZAWE-Near-Community-Health-Centre-Khidirpur/033PXX33-XX33-220522112405-T3R5_BZDET,4.8,https://content.jdmagicbox.com/comp/kolkata/r5/033pxx33.xx33.220522112405.t3r5/catalogue/zenx-all-wayz-events-khidirpur-kolkata-photographers-az0g0pqlyn.jpg;https://content.jdmagicbox.com/comp/kolkata/r5/033pxx33.xx33.220522112405.t3r5/catalogue/zenx-all-wayz-events-khidirpur-kolkata-event-organisers-grf18v9q0g.jpg;https://content.jdmagicbox.com/comp/kolkata/r5/033pxx33.xx33.220522112405.t3r5/catalogue/zenx-all-wayz-events-khidirpur-kolkata-event-organisers-90lgq0cciz.jpg;https://content.jdmagicbox.com/comp/kolkata/r5/033pxx33.xx33.220522112405.t3r5/catalogue/zenx-all-wayz-events-khidirpur-kolkata-event-organisers-4ulb8k42j0.jpg;https://content.jdmagicbox.com/comp/kolkata/r5/033pxx33.xx33.220522112405.t3r5/catalogue/zenx-all-wayz-events-khidirpur-kolkata-event-organisers-au7aev3r98.jpg,1,1
