name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Shaan Institute,08401235697,,Behind Kausa Lake and Near Shimla Park Mumbra,Kausa Tallao Palli Mumbra,mumbai,4.8,369 Ratings,"Beauty Parlours, Women Beauty Parlours",19.165772222222,73.0298,400612,022PXX22.XX22.161226204802.A4L3,https://www.justdial.com/Thane/Shaan-Institute-Behind-Kausa-Lake-And-Near-Shimla-Park-Mumbra/022PXX22-XX22-161226204802-A4L3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-q4tq01v6ja.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-mumbai-computer-training-institutes-for-basic-obmob3daiz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-beauty-parlours-mg9hch3t88.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-k9apy444yp.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-ctqh7fc99w.jpg,1,1
Starlight Model and Talent Management Pvt Ltd,09845225726,,Behind Oshiwara Police Station Andheri West,Om Heera Panna Premises Co-operative Society Ltd. Andheri West,Mumbai,4.1,46 Ratings,"Event Management Companies, Birthday Party Organisers",19.142747222222,72.830772222222,400053,022PXX22.XX22.120804165950.S8Q1,https://www.justdial.com/Mumbai/Starlight-Model-and-Talent-Management-Pvt-Ltd-Behind-Oshiwara-Police-Station-Andheri-West/022PXX22-XX22-120804165950-S8Q1_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-1pdnqmb.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-prbi2x6egu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-d19rpgjivq.jpg;https://content.jdmagicbox.com/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-ouya36u6go.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-jkjmgd3dyg.jpg,1,1
Param Konark,09845205493,,Near Bahar Cinema Andheri East,J M Marg Andheri East,Mumbai,3.5,13 Ratings,"Event Organisers, Event Management Companies",19.111564,72.8532371,400069,022PXX22.XX22.110222112930.C2V2,https://www.justdial.com/Mumbai/Param-Konark-Near-Bahar-Cinema-Andheri-East/022PXX22-XX22-110222112930-C2V2_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-event-organisers-ch2sa8bw2v.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-phenyl-manufacturers-qc0975tn0g.jpg,1,1
Hirens Harmony Events & Jalsa Entertainment,08128580736,,Near Param Keshav Baug Marriage Hall Ghatkopar West,Naurojee Lane Ghatkopar West,Mumbai,3.9,14 Ratings,"Photographers, Balloon Decorators",19.0856277778,72.9039,400086,022PXX22.XX22.100322120329.W9U6,https://www.justdial.com/Mumbai/Hirens-Harmony-Events-Jalsa-Entertainment-Near-Param-Keshav-Baug-Marriage-Hall-Ghatkopar-West/022PXX22-XX22-100322120329-W9U6_BZDET,3.9,https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-1zutg4g.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3y14ezv.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3xhw8wn.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-24tn6hl.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-2erau2g.jpg,1,1
Ezilon Media Pvt. Ltd.,09845447291,, Thane West,Thane West,mumbai,4.7,16 Ratings,"Digital Marketing Services, Advertising Agencies",19.1913675,72.9678057,400602,022PXX22.XX22.160418160312.A1S6,https://www.justdial.com/Thane/Ezilon-Media-Pvt-Ltd-Thane-West/022PXX22-XX22-160418160312-A1S6_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/thane/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd--thane-west-thane-social-media-marketing-agencies-7uq3cjy0m9.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-03gq9rl4ya.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-w1y97zc5q4.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-m6sdvx4s0r.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-9kmyvod602.jpg,1,1
Vishal Music & Event Organizer,06366982746,,Near Ram Mandir Main Bazar Road,Bhangarwadi Main Bazar Road,lonavala,5,4 Ratings,"Balloon Decorators, Birthday Party Decorators",18.7450408,73.4164306,410401,9999P2114.2114.241205165524.T1X9,https://www.justdial.com/Lonavala/Vishal-Music-Event-Organizer-Near-Ram-Mandir-Main-Bazar-Road/9999P2114-2114-241205165524-T1X9_BZDET,5,https://content.jdmagicbox.com/v2/comp/lonavala/x9/9999p2114.2114.241205165524.t1x9/catalogue/balaji-event-management-main-bazar-road-lonavala-sound-systems-on-hire-fy683t6brj.jpg;https://content.jdmagicbox.com/v2/comp/lonavala/x9/9999p2114.2114.241205165524.t1x9/catalogue/vishal-music-and-event-organizer-main-bazar-road-lonavala-sound-systems-on-hire-ehqrpevldr.jpg;https://content.jdmagicbox.com/comp/def_content/projectors_on_hire/default-projectors-on-hire-0.jpg;https://content.jdmagicbox.com/comp/def_content/lighting-decorators/title-banner-shutterstock-571890799-lighting-decorators-10-q8ofz.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding3-event-organisers-for-wedding-3-3rxun-event-organisers-for-wedding-1-8939d.jpg,1,1
Wadekar Flower Decoration,09980787893,,Opposite Railway Station Main Bazar Road,MG Road Main Bazar Road,lonavala,4.6,187 Ratings,"Balloon Decorators, Birthday Party Decorators",18.733734130859,73.429809570312,410401,9999P2114.2114.181206120328.J6L9,https://www.justdial.com/Lonavala/Wadekar-Flower-Decoration-Opposite-Railway-Station-Main-Bazar-Road/9999P2114-2114-181206120328-J6L9_BZDET,4.6,https://content.jdmagicbox.com/comp/lonavala/l9/9999p2114.2114.181206120328.j6l9/catalogue/wadekar-flower-decoration-and-event-management-lonavala-ho-lonavala-flower-decorators-for-function-j5mdlzmgsq.jpg;https://content.jdmagicbox.com/comp/lonavala/l9/9999p2114.2114.181206120328.j6l9/catalogue/wadekar-flower-decoration-and-event-management-lonavala-ho-lonavala-flower-decorators-for-function-tiu8drb370.jpg;https://content.jdmagicbox.com/comp/lonavala/l9/9999p2114.2114.181206120328.j6l9/catalogue/wadekar-flower-decoration-and-event-management-lonavala-ho-lonavala-flower-decorators-f3awph4d1o.jpg;https://content.jdmagicbox.com/comp/lonavala/l9/9999p2114.2114.181206120328.j6l9/catalogue/wadekar-flower-decoration-and-event-management-lonavala-ho-lonavala-flower-decorators-for-function-bfe0n4xigt.jpg;https://content.jdmagicbox.com/comp/lonavala/l9/9999p2114.2114.181206120328.j6l9/catalogue/wadekar-flower-decoration-and-event-management-lonavala-ho-lonavala-event-organisers-mxq3o25qi2.jpg,1,6
S P Balloon Decoraton & Event's,08460220928,,Near Kusgaon Bk Malavali,Sinhgad College Road Malavali,lonavala,4.9,129 Ratings,"Balloon Decorators, Birthday Party Decorators",18.751888888889,73.420738888889,410401,9999P2114.2114.231108171002.E9M6,https://www.justdial.com/Lonavala/S-P-Balloon-Decoraton-Events-Near-Kusgaon-Bk-Malavali/9999P2114-2114-231108171002-E9M6_BZDET,4.9,https://content.jdmagicbox.com/comp/lonavala/m6/9999p2114.2114.231108171002.e9m6/catalogue/s-p-balloon-decoraton-and-event-s-lonavala-lonavala-balloon-decorators-id025e8bv4.jpg;https://content.jdmagicbox.com/comp/lonavala/m6/9999p2114.2114.231108171002.e9m6/catalogue/sp-balloon-decoretars-lonavala-lonavala-balloon-decorators-qgil6ik5l9.jpg;https://content.jdmagicbox.com/comp/lonavala/m6/9999p2114.2114.231108171002.e9m6/catalogue/s-p-balloon-decoraton-and-event-s-lonavala-lonavala-balloon-decorators-ygqy9crxi3.jpg;https://content.jdmagicbox.com/comp/lonavala/m6/9999p2114.2114.231108171002.e9m6/catalogue/s-p-balloon-decoraton-and-event-s-lonavala-lonavala-balloon-decorators-k959ot0ej7.jpg;https://content.jdmagicbox.com/comp/lonavala/m6/9999p2114.2114.231108171002.e9m6/catalogue/s-p-balloon-decoraton-and-event-s-lonavala-lonavala-balloon-decorators-vkrhjxiqfo.jpg,1,1
Balaji Sound,08147275267,, Tungarli,Bunglow Number 225 Tungarli,lonavala,4.9,97 Ratings,"Balloon Decorators, Birthday Party Decorators",18.764699354012,73.408412381611,410403,9999P2114.2114.220921235836.Z3X6,https://www.justdial.com/Lonavala/Balaji-Sound-Tungarli/9999P2114-2114-220921235836-Z3X6_BZDET,4.9,https://content.jdmagicbox.com/comp/lonavala/x6/9999p2114.2114.220921235836.z3x6/catalogue/d-j-and-sound-services-tungarli-lonavala-event-organisers-vvr87njhon.jpg;https://content.jdmagicbox.com/comp/lonavala/x6/9999p2114.2114.220921235836.z3x6/catalogue/d-j-and-sound-services-tungarli-lonavala-event-organisers-00iac71nwh.jpg;https://content.jdmagicbox.com/v2/comp/lonavala/x6/9999p2114.2114.220921235836.z3x6/catalogue/d-j-and-sound-services-tungarli-lonavala-event-organisers-iyeqwdkihr.jpg;https://content.jdmagicbox.com/v2/comp/lonavala/x6/9999p2114.2114.220921235836.z3x6/catalogue/d-j-and-sound-services-tungarli-lonavala-event-organisers-lyee6mj8m8.jpg;https://content.jdmagicbox.com/comp/lonavala/x6/9999p2114.2114.220921235836.z3x6/catalogue/d-j-and-sound-services-tungarli-lonavala-event-organisers-2eoimjgaw8.jpg,1,1
Saanvi Events Lonavala You Dream It We Make It,08401456991,,Near Fariyaz Hotel Main Bazar Road,New Tungarli Main Bazar Road,Lonavala,3.6,16 Ratings,"Balloon Decorators, Birthday Party Decorators",18.755579,73.409325,410401,9999P2114.2114.180116153314.U7K8,https://www.justdial.com/Lonavala/Saanvi-Events-Lonavala-You-Dream-It-We-Make-It-Near-Fariyaz-Hotel-Main-Bazar-Road/9999P2114-2114-180116153314-U7K8_BZDET,3.6,https://content.jdmagicbox.com/comp/lonavala/k8/9999p2114.2114.180116153314.u7k8/catalogue/saanvi-events-lonavala-you-dream-it-we-make-it-lonavala-lonavala-event-organisers-7j2vv.jpg;https://content.jdmagicbox.com/comp/lonavala/k8/9999p2114.2114.180116153314.u7k8/catalogue/saanvi-events-lonavala-you-dream-it-we-make-it-lonavala-lonavala-fire-cracker-dealers-fyzbv1jv5y.jpg;https://content.jdmagicbox.com/comp/lonavala/k8/9999p2114.2114.180116153314.u7k8/catalogue/saanvi-events-lonavala-you-dream-it-we-make-it-lonavala-lonavala-fire-cracker-dealers-ocvqlemz9i.jpg;https://content.jdmagicbox.com/v2/comp/lonavala/k8/9999p2114.2114.180116153314.u7k8/catalogue/saanvi-events-lonavala-you-dream-it-we-make-it-lonavala-lonavala-fire-cracker-dealers-05epzk8ck2.jpg;https://content.jdmagicbox.com/comp/lonavala/k8/9999p2114.2114.180116153314.u7k8/catalogue/saanvi-events-lonavala-you-dream-it-we-make-it-lonavala-lonavala-event-organisers-ugx3f.jpg,1,1
