name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Param Konark,09845205493,,Near Bahar Cinema Andheri East,J M Marg Andheri East,Mumbai,3.5,13 Ratings,"Event Organisers, Event Management Companies",19.111564,72.8532371,400069,022PXX22.XX22.110222112930.C2V2,https://www.justdial.com/Mumbai/Param-Konark-Near-Bahar-Cinema-Andheri-East/022PXX22-XX22-110222112930-C2V2_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-event-organisers-ch2sa8bw2v.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-phenyl-manufacturers-qc0975tn0g.jpg,1,1
Shaan Institute,08401235697,,Behind Kausa Lake and Near Shimla Park Mumbra,Kausa Tallao Palli Mumbra,mumbai,4.8,369 Ratings,"Beauty Parlours, Women Beauty Parlours",19.165772222222,73.0298,400612,022PXX22.XX22.161226204802.A4L3,https://www.justdial.com/Thane/Shaan-Institute-Behind-Kausa-Lake-And-Near-Shimla-Park-Mumbra/022PXX22-XX22-161226204802-A4L3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-q4tq01v6ja.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-mumbai-computer-training-institutes-for-basic-obmob3daiz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-beauty-parlours-mg9hch3t88.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-k9apy444yp.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-ctqh7fc99w.jpg,1,1
Ezilon Media Pvt. Ltd.,09845447291,, Thane West,Thane West,mumbai,4.7,16 Ratings,"Digital Marketing Services, Advertising Agencies",19.1913675,72.9678057,400602,022PXX22.XX22.160418160312.A1S6,https://www.justdial.com/Thane/Ezilon-Media-Pvt-Ltd-Thane-West/022PXX22-XX22-160418160312-A1S6_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/thane/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd--thane-west-thane-social-media-marketing-agencies-7uq3cjy0m9.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-03gq9rl4ya.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-w1y97zc5q4.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-m6sdvx4s0r.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-9kmyvod602.jpg,1,1
Starlight Model and Talent Management Pvt Ltd,09845225726,,Behind Oshiwara Police Station Andheri West,Om Heera Panna Premises Co-operative Society Ltd. Andheri West,Mumbai,4.1,46 Ratings,"Event Management Companies, Birthday Party Organisers",19.142747222222,72.830772222222,400053,022PXX22.XX22.120804165950.S8Q1,https://www.justdial.com/Mumbai/Starlight-Model-and-Talent-Management-Pvt-Ltd-Behind-Oshiwara-Police-Station-Andheri-West/022PXX22-XX22-120804165950-S8Q1_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-1pdnqmb.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-prbi2x6egu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-d19rpgjivq.jpg;https://content.jdmagicbox.com/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-ouya36u6go.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-jkjmgd3dyg.jpg,1,1
Hirens Harmony Events & Jalsa Entertainment,08128580736,,Near Param Keshav Baug Marriage Hall Ghatkopar West,Naurojee Lane Ghatkopar West,Mumbai,3.9,14 Ratings,"Photographers, Balloon Decorators",19.0856277778,72.9039,400086,022PXX22.XX22.100322120329.W9U6,https://www.justdial.com/Mumbai/Hirens-Harmony-Events-Jalsa-Entertainment-Near-Param-Keshav-Baug-Marriage-Hall-Ghatkopar-West/022PXX22-XX22-100322120329-W9U6_BZDET,3.9,https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-1zutg4g.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3y14ezv.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3xhw8wn.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-24tn6hl.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-2erau2g.jpg,1,1
Aimsite Display Enterprise,07411716425,,Behind Evershine Mall Malad West,Chincholi Bunder Road Malad West,Mumbai,4.1,20 Ratings,"Event Organisers, Event Management Companies",19.1787882,72.8352448,400064,022PJDYP22035020,https://www.justdial.com/Mumbai/Aimsite-Display-Enterprise-Behind-Evershine-Mall-Malad-West/022PJDYP22035020_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/20/022pjdyp22035020/catalogue/aimsite-display-pvt-ltd-malad-west-mumbai-stall-designing-services-cz6dt77tob.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/20/022pjdyp22035020/catalogue/aimsite-display-enterprise-malad-west-mumbai-stall-designing-services-ocdese85eu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/20/022pjdyp22035020/catalogue/aimsite-display-enterprise-malad-west-mumbai-stall-designing-services-o1h2mfxe4z.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/20/022pjdyp22035020/catalogue/aimsite-display-enterprise-malad-west-mumbai-stall-designing-services-11c32oq1mh.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/20/022pjdyp22035020/catalogue/aimsite-display-enterprise-malad-west-mumbai-stall-designing-services-2vn5cmk7mx.jpg,1,1
First Spark India Ventures Private Limited,08460216330,,Aarey Phatak Goregaon West,Aarey Road Goregaon West,mumbai,5,1 Rating,"Event Organisers, Event Organisers For Corporate",19.1718,72.8413,400090,022PXX22.XX22.251203183929.I6A7,https://www.justdial.com/Mumbai/First-Spark-India-Ventures-Private-Limited-Aarey-Phatak-Goregaon-West/022PXX22-XX22-251203183929-I6A7_BZDET,5,https://content.jdmagicbox.com/v2/comp/mumbai/a7/022pxx22.xx22.251203183929.i6a7/catalogue/ms-gracy-goregaon-west-mumbai-4h81hwzgan.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/a7/022pxx22.xx22.251203183929.i6a7/catalogue/first-spark-india-ventures-private-limited-goregaon-west-mumbai-mandap-decorators-44ksjz73jx.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/a7/022pxx22.xx22.251203183929.i6a7/catalogue/first-spark-india-ventures-private-limited-goregaon-west-mumbai-mandap-decorators-7za4sl1wkv.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/a7/022pxx22.xx22.251203183929.i6a7/catalogue/first-spark-india-ventures-private-limited-goregaon-west-mumbai-mandap-decorators-ljnhkx9mzb.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/a7/022pxx22.xx22.251203183929.i6a7/catalogue/first-spark-india-ventures-private-limited-goregaon-west-mumbai-mandap-decorators-rwmsl98sto.jpg,1,1
Enzoey Enterprises Pvt Ltd,07383762859,,Next to VIP Showroom Swami Vivekanand Rd Borivali West,Datta Park Borivali West,mumbai,4.5,6 Ratings,"Balloon Decorators, Anchoring Services",19.2270383,72.8545583,400092,022PXX22.XX22.240620080428.W8P5,https://www.justdial.com/Mumbai/Enzoey-Enterprises-Pvt-Ltd-Next-To-Vip-Showroom-Swami-Vivekanand-Rd-Borivali-West/022PXX22-XX22-240620080428-W8P5_BZDET,4.5,https://content.jdmagicbox.com/v2/comp/mumbai/p5/022pxx22.xx22.240620080428.w8p5/catalogue/enzoey-enterprises-pvt-ltd-borivali-west-mumbai-balloon-decorators-ntikch0q05.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p5/022pxx22.xx22.240620080428.w8p5/catalogue/enzoey-enterprises-pvt-ltd-borivali-west-mumbai-balloon-decorators-qr6ldzsfxj.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p5/022pxx22.xx22.240620080428.w8p5/catalogue/enzoey-enterprises-pvt-ltd-borivali-west-mumbai-balloon-decorators-x773b7mssa.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p5/022pxx22.xx22.240620080428.w8p5/catalogue/enzoey-enterprises-pvt-ltd-borivali-west-mumbai-balloon-decorators-n73s36jpb7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p5/022pxx22.xx22.240620080428.w8p5/catalogue/enzoey-enterprises-pvt-ltd-borivali-west-mumbai-balloon-decorators-x773b7mssa.jpg,1,1
Enah Celebrity Events,09845455453,,Near Axis Bank Vashi Sector 17,Ashoka Road Vashi Sector 17,mumbai,5,28 Ratings,"Caterers, Mandap Decorators",19.078844839316,73.00142158182,400703,022PXX22.XX22.250328170149.J7M1,https://www.justdial.com/Navi-Mumbai/Enah-Celebrity-Events-Near-Axis-Bank-Vashi-Sector-17/022PXX22-XX22-250328170149-J7M1_BZDET,5,https://content.jdmagicbox.com/v2/comp/mumbai/m1/022pxx22.xx22.250328170149.j7m1/catalogue/enah-celebrity-events-cbd-belapur-navi-mumbai-mandap-decorators-jcntudvr1m.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/m1/022pxx22.xx22.250328170149.j7m1/catalogue/enah-celebrity-events-cbd-belapur-navi-mumbai-event-organisers-38dk0brin2.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/m1/022pxx22.xx22.250328170149.j7m1/catalogue/enah-celebrity-events-cbd-belapur-navi-mumbai-mandap-decorators-srhkgpto1j.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/m1/022pxx22.xx22.250328170149.j7m1/catalogue/enah-celebrity-events-cbd-belapur-navi-mumbai-mandap-decorators-swh3hmh8ez.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/m1/022pxx22.xx22.250328170149.j7m1/catalogue/enah-celebrity-events-cbd-belapur-navi-mumbai-mandap-decorators-1zt7togcmf.jpg,1,1
Step In Sync Events,07041528519,,Near By Jangid Circle Mira Road East,Shanti Park Mira Road East,mumbai,4.8,35 Ratings,"Mandap Decorators, Photographers",19.27859955968,72.870539772808,401107,022PXX22.XX22.151221141759.B7T4,https://www.justdial.com/Thane/Step-In-Sync-Events-Near-By-Jangid-Circle-Mira-Road-East/022PXX22-XX22-151221141759-B7T4_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/mumbai/t4/022pxx22.xx22.151221141759.b7t4/catalogue/step-in-sync-events-mira-road-east-thane-dance-classes-tk4cpcp9pq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/t4/022pxx22.xx22.151221141759.b7t4/catalogue/step-in-sync-events-mira-road-east-thane-dance-classes-8j1ylu97al.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/t4/022pxx22.xx22.151221141759.b7t4/catalogue/step-in-sync-events-mira-road-east-thane-dance-classes-tqkyey5l17.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/t4/022pxx22.xx22.151221141759.b7t4/catalogue/step-in-sync-events-mira-road-east-thane-dance-classes-z7vnt41pxi.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/t4/022pxx22.xx22.151221141759.b7t4/catalogue/step-in-sync-events-mira-road-east-thane-dance-classes-ny4iydjnk4.jpg,1,1
Shreeji Enterprises,08401323910,,Near Billabong School Malad West,Jankalyan Nagar Malad West,mumbai,4.9,23 Ratings,"Photographers, Event Organisers",19.195696,72.817349,400095,022PXX22.XX22.250619103506.I7P9,https://www.justdial.com/Mumbai/Shreeji-Enterprises-Near-Billabong-School-Malad-West/022PXX22-XX22-250619103506-I7P9_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/p9/022pxx22.xx22.250619103506.i7p9/catalogue/shreeji-enterprises-malad-west-mumbai-event-organisers-hskqn17iwk.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p9/022pxx22.xx22.250619103506.i7p9/catalogue/shreeji-enterprises-malad-west-mumbai-event-organisers-5ixuazlqjz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p9/022pxx22.xx22.250619103506.i7p9/catalogue/shreeji-enterprises-malad-west-mumbai-event-organisers-bd5d0t29v3.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p9/022pxx22.xx22.250619103506.i7p9/catalogue/shreeji-enterprises-malad-west-mumbai-event-organisers-31ea3lkk73.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p9/022pxx22.xx22.250619103506.i7p9/catalogue/shreeji-enterprises-malad-west-mumbai-event-organisers-drq3mbamt0.jpg,1,1
Prayog Events,07383315145,,Near BMC Building Mulund East,Chafekar Bandhu Marg Mulund East,Mumbai,5,2 Ratings,"Event Organisers, Birthday Party Organisers",19.1645596,72.9571726,400081,022PXX22.XX22.180626192246.I4R5,https://www.justdial.com/Mumbai/Prayog-Events-Near-Bmc-Building-Mulund-East/022PXX22-XX22-180626192246-I4R5_BZDET,5,https://content.jdmagicbox.com/v2/comp/mumbai/r5/022pxx22.xx22.180626192246.i4r5/catalogue/prayog-events-mulund-east-mumbai-event-management-companies-dtx710b3sr.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/r5/022pxx22.xx22.180626192246.i4r5/catalogue/event-knights-mulund-east-mumbai-event-management-companies-7yvvw7fh58.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/r5/022pxx22.xx22.180626192246.i4r5/catalogue/prayog-events-mulund-east-mumbai-event-management-companies-dtx710b3sr-250.jpg,1,1
E9 Events & Catering Services (Opc) Pvt Ltd,08460544281,,Next Shiv Sena Sakha Bhandup West,Tp Road Bhandup West,Mumbai,4.7,39 Ratings,"Mandap Decorators, Decorators",19.1492869,72.9261673,400078,022PXX22.XX22.161117220932.W6W7,https://www.justdial.com/Mumbai/E9-Events-Catering-Services-Opc-Pvt-Ltd-Next-Shiv-Sena-Sakha-Bhandup-West/022PXX22-XX22-161117220932-W6W7_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/mumbai/w7/022pxx22.xx22.161117220932.w6w7/catalogue/e9-events-and-catering-services-opc-pvt-ltd-bhandup-west-mumbai-decorators-6nmz8a9f6s.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/w7/022pxx22.xx22.161117220932.w6w7/catalogue/e9-events-and-catering-services-opc-pvt-ltd-bhandup-west-mumbai-video-shooting-services-codrkhttfq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/w7/022pxx22.xx22.161117220932.w6w7/catalogue/e9-events-and-catering-services-opc-pvt-ltd-bhandup-west-mumbai-video-shooting-services-odwofa1hst.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/w7/022pxx22.xx22.161117220932.w6w7/catalogue/e9-events-and-catering-services-opc-pvt-ltd-bhandup-west-mumbai-marriage-lawns-7o8iof4n0z.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/w7/022pxx22.xx22.161117220932.w6w7/catalogue/e9-events-and-catering-services-opc-pvt-ltd-bhandup-west-mumbai-marriage-lawns-my488or4ln.jpg,1,1
Socio Adda,09845439346,,Near Damodar Hall Parel,Dr. Ambedkar Road Parel,mumbai,4.6,9 Ratings,"Event Organisers, Event Management Companies",19.0029628,72.8482017,400012,022PXX22.XX22.160624140106.I5Z9,https://www.justdial.com/Mumbai/Socio-Adda-Near-Damodar-Hall-Parel/022PXX22-XX22-160624140106-I5Z9_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/mumbai/z9/022pxx22.xx22.160624140106.i5z9/catalogue/socio-adda-parel-mumbai-event-organisers-oyzd1gpy8m.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/z9/022pxx22.xx22.160624140106.i5z9/catalogue/socio-adda-parel-mumbai-event-organisers-ub63e7nbna.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/z9/022pxx22.xx22.160624140106.i5z9/catalogue/socio-adda-parel-mumbai-event-organisers-6t1qpw1irg.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/z9/022pxx22.xx22.160624140106.i5z9/catalogue/socio-adda-parel-mumbai-event-organisers-vsdlkl9mlg.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/z9/022pxx22.xx22.160624140106.i5z9/catalogue/socio-adda-parel-mumbai-event-organisers-u03r5rgsfu.jpg,1,1
