name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Shubharambh Events,08734975903,,Near Hanuman Mandir Friends Colony,Ghat Road Friends Colony,nagpur,5,3 Ratings,"Event Organisers, Event Organisers For Wedding",21.174368817336,79.042525597527,440013,0712PX712.X712.241209145258.W6S2,https://www.justdial.com/Nagpur/Shubharambh-Events-Near-Hanuman-Mandir-Friends-Colony/0712PX712-X712-241209145258-W6S2_BZDET,5,https://content.jdmagicbox.com/v2/comp/nagpur/s2/0712px712.x712.241209145258.w6s2/catalogue/shubharambh-events-friends-colony-nagpur-event-organisers-54vrw57bpz.jpg,1,6
The Hope Events,08511533204,,Near Kumbhalkar College Ganesh Peth,Vyamshala Chowk Ganesh Peth,Nagpur,4.9,11 Ratings,"Caterers, Photographers",21.1420178,79.0977172,440018,0712PX712.X712.181117110032.K5E6,https://www.justdial.com/Nagpur/The-Hope-Events-Near-Kumbhalkar-College-Ganesh-Peth/0712PX712-X712-181117110032-K5E6_BZDET,4.9,https://content.jdmagicbox.com/comp/nagpur/e6/0712px712.x712.181117110032.k5e6/catalogue/the-hope-events-ganesh-peth-nagpur-event-organisers-v6z3wp7tvs.jpg;https://content.jdmagicbox.com/comp/remote/e6/0712px712.x712.181117110032.k5e6/catalogue/the-hope-events-ganesh-peth-nagpur-caterers-cit4gnu6xr.jpg;https://content.jdmagicbox.com/comp/nagpur/e6/0712px712.x712.181117110032.k5e6/catalogue/the-hope-events-ganesh-peth-nagpur-event-organisers-3g32prifdq.jpg;https://content.jdmagicbox.com/comp/nagpur/e6/0712px712.x712.181117110032.k5e6/catalogue/the-hope-events-ganesh-peth-nagpur-event-organisers-hcxawzngd1.jpg;https://content.jdmagicbox.com/comp/nagpur/e6/0712px712.x712.181117110032.k5e6/catalogue/the-hope-events-ganesh-peth-nagpur-event-organisers-quctismrcf.jpg,1,1
Horizon Eventpro,08147167431,,Opposite Rachana Madhukosh 1 Indraprasthnagar,Swavalambi Nagar Indraprasthnagar,nagpur,5,33 Ratings,"Event Organisers, Event Organisers For Wedding",21.1064362,79.0427499,440022,0712PX712.X712.240319214538.F1F3,https://www.justdial.com/Nagpur/Horizon-Eventpro-Opposite-Rachana-Madhukosh-1-Indraprasthnagar/0712PX712-X712-240319214538-F1F3_BZDET,5,https://content.jdmagicbox.com/comp/nagpur/f3/0712px712.x712.240319214538.f1f3/catalogue/horizon-eventpro-indraprasthnagar-nagpur-event-organisers-1k8jpmlyxm.jpg;https://content.jdmagicbox.com/comp/nagpur/f3/0712px712.x712.240319214538.f1f3/catalogue/horizon-eventpro-indraprasthnagar-nagpur-event-organisers-1k8jpmlyxm.jpg;https://content.jdmagicbox.com/comp/nagpur/f3/0712px712.x712.240319214538.f1f3/catalogue/horizon-eventpro-indraprasthnagar-nagpur-event-organisers-tfxon5occa.jpg;https://content.jdmagicbox.com/comp/nagpur/f3/0712px712.x712.240319214538.f1f3/catalogue/horizon-eventpro-indraprasthnagar-nagpur-event-organisers-tfxon5occa.jpg;https://content.jdmagicbox.com/comp/nagpur/f3/0712px712.x712.240319214538.f1f3/catalogue/horizon-eventpro-indraprasthnagar-nagpur-event-organisers-88kirekhnx.jpg,1,1
Dreams Event Planners,07411836643,,Near Arogyam Rajiv Nagar,Govind Nagar Rajiv Nagar,nagpur,2.7,16 Ratings,"Caterers, Event Organisers",21.097013888889,79.073994444444,440025,0712PX712.X712.250324154540.B5C1,https://www.justdial.com/Nagpur/Dreams-Event-Planners-Near-Arogyam-Rajiv-Nagar/0712PX712-X712-250324154540-B5C1_BZDET,2.7,https://content.jdmagicbox.com/v2/comp/nagpur/c1/0712px712.x712.250324154540.b5c1/catalogue/dreams-event-planners-rajiv-nagar-nagpur-caterers-yfvwtjxyx5.jpg;https://content.jdmagicbox.com/v2/comp/nagpur/c1/0712px712.x712.250324154540.b5c1/catalogue/dreams-event-planners-rajiv-nagar-nagpur-caterers-xpogmhbuo1.jpg;https://content.jdmagicbox.com/v2/comp/nagpur/c1/0712px712.x712.250324154540.b5c1/catalogue/dreams-event-planners-rajiv-nagar-nagpur-caterers-tvpuc43z99.jpg;https://content.jdmagicbox.com/v2/comp/nagpur/c1/0712px712.x712.250324154540.b5c1/catalogue/dreams-event-planners-rajiv-nagar-nagpur-caterers-dmxfvzayo1.jpg;https://content.jdmagicbox.com/v2/comp/nagpur/c1/0712px712.x712.250324154540.b5c1/catalogue/dreams-event-planners-rajiv-nagar-nagpur-caterers-87a7ywdo8d.jpg,1,1
Degitizer Promotion and Advertising Company,08511586033,,Before Dominos MH31 Restaurant Mankapur,Koradi Road Mankapur,nagpur,4.9,46 Ratings,"Event Organisers, Advertising Agencies",21.1733333333,79.0997222222,440030,0712PX712.X712.190710171225.R5I8,https://www.justdial.com/Nagpur/Degitizer-Promotion-and-Advertising-Company-Before-Dominos-Mh31-Restaurant-Mankapur/0712PX712-X712-190710171225-R5I8_BZDET,4.9,https://content.jdmagicbox.com/comp/nagpur/i8/0712px712.x712.190710171225.r5i8/catalogue/degitizer-promotion-and-advertising-company-mankapur-nagpur-flex-printing-services-ipkf7bouud.jpg;https://content.jdmagicbox.com/comp/nagpur/i8/0712px712.x712.190710171225.r5i8/catalogue/degitizer-advertising-company-jaripatka-nagpur-flex-printing-services-w5j9m001et.jpg;https://content.jdmagicbox.com/comp/nagpur/i8/0712px712.x712.190710171225.r5i8/catalogue/degitizer-promotion-and-advertising-company-mankapur-nagpur-flex-printing-services-6k19lxf3jj.jpg;https://content.jdmagicbox.com/comp/nagpur/i8/0712px712.x712.190710171225.r5i8/catalogue/degitizer-promotion-and-advertising-company-mankapur-nagpur-flex-printing-services-kdr12ndyuh.jpg;https://content.jdmagicbox.com/v2/comp/nagpur/i8/0712px712.x712.190710171225.r5i8/catalogue/degitizer-promotion-and-advertising-company-mankapur-nagpur-flex-printing-services-u040rhuobb.jpg,1,1
Octave Communications,07947201178,,Besides ICICI ATM Bajaj Nagar,Laxmi Nagar Square Bajaj Nagar,Nagpur,4.4,40 Ratings,"Disc Jockey, Event Organisers",21.126267,79.063409,440010,0712PX731.X731.130103125013.K4C4,https://www.justdial.com/Nagpur/Octave-Communications-Besides-Icici-Atm-Bajaj-Nagar/0712PX731-X731-130103125013-K4C4_BZDET,4.4,https://content.jdmagicbox.com/comp/nagpur/c4/0712px731.x731.130103125013.k4c4/catalogue/octave-communications-bajaj-nagar-nagpur-event-management-companies-c2vir36rn8.jpg;https://content.jdmagicbox.com/comp/nagpur/c4/0712px731.x731.130103125013.k4c4/catalogue/octave-communications-bajaj-nagar-nagpur-event-management-companies-uq7b0w6yjd.jpg;https://content.jdmagicbox.com/comp/nagpur/c4/0712px731.x731.130103125013.k4c4/catalogue/octave-communications-bajaj-nagar-nagpur-event-management-companies-jfvw77y16z.jpg;https://content.jdmagicbox.com/comp/nagpur/c4/0712px731.x731.130103125013.k4c4/catalogue/octave-communications-bajaj-nagar-nagpur-event-management-companies-xxeb5aegdk.jpg;https://content.jdmagicbox.com/comp/nagpur/c4/0712px731.x731.130103125013.k4c4/catalogue/octave-communications-bajaj-nagar-nagpur-event-management-companies-86tpoto06z.jpg,1,1
Kratika Media Networks,08460510996,, Manglia,402-403 APOLLO SQUARE Manglia,indore,5,1 Rating,"Event Organisers, Anchoring Services",22.724972998717,75.874906291511,453771,0731PX731.X731.250424170847.F2J8,https://www.justdial.com/Indore/Kratika-Media-Networks-Manglia/0731PX731-X731-250424170847-F2J8_BZDET,5,https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-989eypo67e.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-9wp7mdz5no.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kratika-media-networks-manglia-indore-event-management-companies-a90g8pelj7.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kratika-media-networks-manglia-indore-event-management-companies-a90g8pelj7-250.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-9wp7mdz5no-250.jpg,1,1
Creative Eye Events and Production,09845264867,,Opposite Atithi Hotel Seven Hill,Rana Nagar -Jalna Road Seven Hill,Aurangabad-Maharashtra,5,506 Ratings,"Balloon Decorators, Event Organisers",19.884410533244,75.349315694697,431001,9999PX240.X240.110723172816.V6Q5,https://www.justdial.com/Aurangabad-Maharashtra/Creative-Eye-Events-and-Production-Opposite-Atithi-Hotel-Seven-Hill/9999PX240-X240-110723172816-V6Q5_BZDET,5,https://content.jdmagicbox.com/v2/comp/aurangabad-maharashtra/q5/9999px240.x240.110723172816.v6q5/catalogue/creative-eye-events-and-production-seven-hill-aurangabad-maharashtra-event-organisers-lbypjzgfer.jpg;https://content.jdmagicbox.com/v2/comp/aurangabad-maharashtra/q5/9999px240.x240.110723172816.v6q5/catalogue/creative-eye-events-and-production-seven-hill-aurangabad-maharashtra-event-organisers-du0tk5eyxa.jpg;https://content.jdmagicbox.com/v2/comp/aurangabad-maharashtra/q5/9999px240.x240.110723172816.v6q5/catalogue/creative-eye-events-and-production-seven-hill-aurangabad-maharashtra-event-organisers-cj3h1emsxp.jpg;https://content.jdmagicbox.com/v2/comp/aurangabad-maharashtra/q5/9999px240.x240.110723172816.v6q5/catalogue/creative-eye-events-and-production-seven-hill-aurangabad-maharashtra-event-organisers-ur5hoj6e3h.jpg;https://content.jdmagicbox.com/v2/comp/aurangabad-maharashtra/q5/9999px240.x240.110723172816.v6q5/catalogue/creative-eye-events-and-production-seven-hill-aurangabad-maharashtra-event-organisers-wnbypis3k2.jpg,1,1
All In One Event,08401427254,, South Tukoganj,234/B 2nd Floor18 MG Road Trade Centre South Tukoganj,indore,4,74 Ratings,"Event Organisers, Anchoring Services",22.7482975,75.8769702,452001,0731PX731.X731.240827115516.D2G6,https://www.justdial.com/Indore/All-In-One-Event-South-Tukoganj/0731PX731-X731-240827115516-D2G6_BZDET,4,https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-qcv13tg4i5.jpg;https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-6a39l0a6sh.jpg;https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-3n17ud2ibu.jpg;https://content.jdmagicbox.com/v2/comp/nabarangpur/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-6o07psy0t3.jpg;https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-yks7ml9xa7.jpg,1,1
First Choice Bartender Event Management,08460451886,,Near Station Apollo Bunder,Apollo Bunder,mumbai,3.5,7 Ratings,"Bartender Services, Cocktail Party Organisers",18.9205234,72.8301444,400001,022PXX22.XX22.210908184853.T3H4,https://www.justdial.com/Mumbai/First-Choice-Bartender-Event-Management-Near-Station-Apollo-Bunder/022PXX22-XX22-210908184853-T3H4_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-c9iuwz931t.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-t1kcxkoub1.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-wkdym6a5xt.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-71l3h6kdee.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-74dpzo19gh.jpg,1,1
