name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Laugh & Vibe Entertainment & Artist Management,09054073910,,Near By Florian Hurel Spa Koregaon Park,Koregaon Park Bund Garden Road Koregaon Park,pune,4.9,295 Ratings,"Anchoring Services, Singers",18.539436340332,73.900199890137,411001,020PXX20.XX20.250417211040.X2J1,https://www.justdial.com/Pune/Laugh-Vibe-Entertainment-Artist-Management-Near-By-Florian-Hurel-Spa-Koregaon-Park/020PXX20-XX20-250417211040-X2J1_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-entertainment-and-artist-management-koregaon-park-pune-entertainment-agencies-lqa7wwpo5m.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-sm0l3pkg3s.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-oxp93wy4o1.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-6lk7ddvfs9.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-club-bund-garden-pune-entertainment-agencies-f98y9l09ng.jpg,1,1
Theming Ideas,08460208649,,Atta Market Noida Sector 18,Noida Noida Sector 18,Delhi,4.6,39 Ratings,"Caterers, Event Organisers",28.611683,77.301952,201301,011PXX11.XX11.170314153628.P1F8,https://www.justdial.com/Noida/Theming-Ideas-Atta-Market-Noida-Sector-18/011PXX11-XX11-170314153628-P1F8_BZDET,4.6,https://content.jdmagicbox.com/comp/service_catalogue/corporate-events-011pxx11.xx11.170314153628.p1f8-9crt2fr.jpg;https://content.jdmagicbox.com/comp/noida/f8/011pxx11.xx11.170314153628.p1f8/catalogue/theming-ideas-noida-sector-18-metro-station-noida-sector-18-noida-flower-decorators-1cyw4crhyg.jpg;https://content.jdmagicbox.com/comp/service_catalogue/corporate-events-011pxx11.xx11.170314153628.p1f8-6zbhbdj.jpg;https://content.jdmagicbox.com/comp/service_catalogue/corporate-events-011pxx11.xx11.170314153628.p1f8-4t47azj.jpg;https://content.jdmagicbox.com/comp/noida/f8/011pxx11.xx11.170314153628.p1f8/catalogue/theming-ideas-noida-sector-18-metro-station-noida-sector-18-noida-flower-decorators-6pqw00fwtc.jpg,1,6
S S Flower Decoration,09980859264,,Junpat Police Station Junpat Village,Village Junpat Near Junpat Village,Delhi,4,25 Ratings,"Decorators, Flower Decorators",28.4914586,77.5586949,201310,011PXX11.XX11.180322135816.I2J1,https://www.justdial.com/Greater-Noida/S-S-Flower-Decoration-Junpat-Police-Station-Junpat-Village/011PXX11-XX11-180322135816-I2J1_BZDET,4,https://content.jdmagicbox.com/comp/noida/j1/011pxx11.xx11.180322135816.i2j1/catalogue/s-s-flower-decoration-chi-4-noida-flower-decorators-for-party-19h9r774xt.jpg;https://content.jdmagicbox.com/v2/comp/delhi/j1/011pxx11.xx11.180322135816.i2j1/catalogue/s-s-flower-decoration-junpat-village-greater-noida-flower-decorators-for-party-q2nhdtrg7t.jpg;https://content.jdmagicbox.com/v2/comp/delhi/j1/011pxx11.xx11.180322135816.i2j1/catalogue/s-s-flower-decoration-chi-4-noida-flower-decorators-1vkdumhipt.jpg;https://content.jdmagicbox.com/v2/comp/delhi/j1/011pxx11.xx11.180322135816.i2j1/catalogue/s-s-flower-decoration-junpat-village-greater-noida-flower-decorators-for-party-q2nhdtrg7t.jpg;https://content.jdmagicbox.com/v2/comp/delhi/j1/011pxx11.xx11.180322135816.i2j1/catalogue/s-s-flower-decoration-chi-4-noida-flower-decorators-0bhzdbuqki.jpg,1,6
Xenial India Pvt Ltd,08511653993,, Gurgaon,Ocus Quantum Building Sector-51 Gurgaon,delhi,4.9,36 Ratings,"Event Management Companies For Corporate, Travel Agents For Corporate",28.424956,77.068157,122001,011PXX11.XX11.260119104055.V1D4,https://www.justdial.com/Gurgaon/Xenial-India-Pvt-Ltd-Gurgaon/011PXX11-XX11-260119104055-V1D4_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/delhi/d4/011pxx11.xx11.260119104055.v1d4/catalogue/xenial-india-pvt-ltd-gurgaon-gurgaon-event-management-companies-for-corporate-4ribrpa5k8.jpg;https://content.jdmagicbox.com/v2/comp/delhi/d4/011pxx11.xx11.260119104055.v1d4/catalogue/xenial-india-pvt-ltd-gurgaon-gurgaon-event-organisers-for-corporate-h5nvp0tav6.jpg;https://content.jdmagicbox.com/v2/comp/delhi/d4/011pxx11.xx11.260119104055.v1d4/catalogue/xenial-india-pvt-ltd-gurgaon-gurgaon-event-organisers-for-corporate-fjcipnrxxc.jpg;https://content.jdmagicbox.com/v2/comp/delhi/d4/011pxx11.xx11.260119104055.v1d4/catalogue/xenial-india-pvt-ltd-gurgaon-gurgaon-event-management-companies-for-corporate-0slanpri8r.jpg;https://content.jdmagicbox.com/v2/comp/delhi/d4/011pxx11.xx11.260119104055.v1d4/catalogue/xenial-india-pvt-ltd-gurgaon-gurgaon-event-management-companies-for-corporate-uch7c0rctg.jpg,1,6
Studio 19 Films,08460221962,,Near By Vaishno Devi Mandir Lajpat Nagar,B Block Lajpat Nagar,delhi,4.7,102 Ratings,"Event Organisers, Event Management Companies",28.5596283,77.24594,110024,011PXX11.XX11.250214201935.Y7M7,https://www.justdial.com/Delhi/Studio-19-Films-Near-By-Vaishno-Devi-Mandir-Lajpat-Nagar/011PXX11-XX11-250214201935-Y7M7_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/delhi/m7/011pxx11.xx11.250214201935.y7m7/catalogue/studio-19-films-lajpat-nagar-delhi-event-organisers-y1e7f6n1rb.jpg;https://content.jdmagicbox.com/v2/comp/delhi/m7/011pxx11.xx11.250214201935.y7m7/catalogue/studio-19-films-lajpat-nagar-delhi-event-organisers-gexlu83tox.jpg;https://content.jdmagicbox.com/v2/comp/delhi/m7/011pxx11.xx11.250214201935.y7m7/catalogue/studio-19-films-lajpat-nagar-delhi-event-organisers-rr837xn25l.jpg;https://content.jdmagicbox.com/v2/comp/delhi/m7/011pxx11.xx11.250214201935.y7m7/catalogue/studio-19-films-lajpat-nagar-delhi-event-organisers-pphrxm71fq.jpg;https://content.jdmagicbox.com/v2/comp/delhi/m7/011pxx11.xx11.250214201935.y7m7/catalogue/studio-19-films-lajpat-nagar-delhi-event-organisers-1o0g8t945x.jpg,1,6
Push Vision Management,09054786257,,Near Shakti Khand 4 Lal Kuan Ghaziabad,In Indrapuram Lal Kuan Ghaziabad,delhi,4.9,63 Ratings,"Caterers, Balloon Decorators",28.652749997909,77.445415444672,201001,011PXX11.XX11.250510201025.V9Z3,https://www.justdial.com/Ghaziabad/Push-Vision-Management-Near-Shakti-Khand-4-Lal-Kuan-Ghaziabad/011PXX11-XX11-250510201025-V9Z3_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/delhi/z3/011pxx11.xx11.250510201025.v9z3/catalogue/push-vision-management-lal-kuan-ghaziabad-ghaziabad-event-organisers-70r9psacg7.jpg;https://content.jdmagicbox.com/v2/comp/delhi/z3/011pxx11.xx11.250510201025.v9z3/catalogue/push-vision-management-lal-kuan-ghaziabad-ghaziabad-event-organisers-ofepak7qec.jpg;https://content.jdmagicbox.com/v2/comp/delhi/z3/011pxx11.xx11.250510201025.v9z3/catalogue/push-vision-management-lal-kuan-ghaziabad-ghaziabad-event-organisers-97fupkz9hn.jpg;https://content.jdmagicbox.com/v2/comp/delhi/z3/011pxx11.xx11.250510201025.v9z3/catalogue/push-vision-management-lal-kuan-ghaziabad-ghaziabad-event-organisers-ydhctto4i4.jpg;https://content.jdmagicbox.com/comp/ghaziabad/z3/011pxx11.xx11.250510201025.v9z3/catalogue/push-vision-management-lal-kuan-ghaziabad-ghaziabad-event-organisers-vqodqsgmyg.jpg,1,1
Aash Group Events & Entertainment,08045781759,,Near Metro Pillar Number 665 and Near Mother Dairy Park Uttam Nagar,School Road Uttam Nagar,delhi,4.5,133 Ratings,"Photographers, Event Organisers",28.621916666667,77.061386111111,110059,011PXX11.XX11.160331131736.J6V3,https://www.justdial.com/Delhi/Aash-Group-Events-Entertainment-Near-Metro-Pillar-Number-665-And-Near-Mother-Dairy-Park-Uttam-Nagar/011PXX11-XX11-160331131736-J6V3_BZDET,4.5,https://content.jdmagicbox.com/comp/delhi/v3/011pxx11.xx11.160331131736.j6v3/catalogue/aash-group-events-entertainments-uttam-nagar-delhi-0rm9b.jpg;https://content.jdmagicbox.com/v2/comp/delhi/v3/011pxx11.xx11.160331131736.j6v3/catalogue/aash-group-events-entertainments-uttam-nagar-delhi-4g7ln.jpg;https://content.jdmagicbox.com/comp/delhi/v3/011pxx11.xx11.160331131736.j6v3/catalogue/aash-group-events-entertainments-uttam-nagar-delhi-vvk8p.jpg;https://content.jdmagicbox.com/v2/comp/delhi/v3/011pxx11.xx11.160331131736.j6v3/catalogue/aash-group-events-entertainments-uttam-nagar-delhi-vigkd.jpg;https://content.jdmagicbox.com/v2/comp/delhi/v3/011pxx11.xx11.160331131736.j6v3/catalogue/aash-group-events-entertainments-uttam-nagar-delhi-0dx80.jpg,1,1
Goodluck Entertainment,09035045474,,Sector 3 Ballabhgarh Faridabad,Nahar Singh Colony Ballabhgarh Faridabad,delhi,4.9,75 Ratings,"Event Organisers, Video Shooting Services",28.348015765258,77.327439193882,121004,011PXX11.XX11.240712121212.Y1P4,https://www.justdial.com/Faridabad/Goodluck-Entertainment-Sector-3-Ballabhgarh-Faridabad/011PXX11-XX11-240712121212-Y1P4_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/delhi/p4/011pxx11.xx11.240712121212.y1p4/catalogue/goodluck-entertainment-ballabhgarh-faridabad-faridabad-corporate-video-shooting-services-ztn12vnsvm.jpg;https://content.jdmagicbox.com/v2/comp/delhi/p4/011pxx11.xx11.240712121212.y1p4/catalogue/goodluck-entertainment-ballabhgarh-faridabad-faridabad-corporate-video-shooting-services-m8op668502.jpg;https://content.jdmagicbox.com/v2/comp/delhi/p4/011pxx11.xx11.240712121212.y1p4/catalogue/goodluck-entertainment-ballabhgarh-faridabad-faridabad-corporate-video-shooting-services-xfd0b2j1ln.jpg;https://content.jdmagicbox.com/v2/comp/delhi/p4/011pxx11.xx11.240712121212.y1p4/catalogue/goodluck-entertainment-ballabhgarh-faridabad-faridabad-corporate-video-shooting-services-6vz2t8918o.jpg;https://content.jdmagicbox.com/v2/comp/delhi/p4/011pxx11.xx11.240712121212.y1p4/catalogue/goodluck-entertainment-ballabhgarh-faridabad-faridabad-corporate-video-shooting-services-ppy9751mxx.jpg,1,1
Sai Events & Advertisements Pvt Ltd,08971850325,, Noida Sector 63,Office No B06 A-43 Noida Sector 63,delhi,4.6,80 Ratings,"Photographers, Event Organisers",28.6287285,77.3814528,201301,011PXX11.XX11.231230220549.Q8X4,https://www.justdial.com/Noida/Sai-Events-Advertisements-Pvt-Ltd-Noida-Sector-63/011PXX11-XX11-231230220549-Q8X4_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/noida/x4/011pxx11.xx11.231230220549.q8x4/catalogue/sai-events-and-advertisements-pvt-ltd-noida-sector-63-noida-event-management-companies-ziet2f1rte.jpg;https://content.jdmagicbox.com/v2/comp/noida/x4/011pxx11.xx11.231230220549.q8x4/catalogue/sai-events-and-advertisements-pvt-ltd-noida-sector-63-noida-event-management-companies-q0jqoeo81s.jpg;https://content.jdmagicbox.com/v2/comp/delhi/x4/011pxx11.xx11.231230220549.q8x4/catalogue/sai-events-and-advertisements-pvt-ltd-noida-sector-63-noida-event-management-companies-h9mvhsqiae.jpg;https://content.jdmagicbox.com/v2/comp/noida/x4/011pxx11.xx11.231230220549.q8x4/catalogue/sai-events-and-advertisements-pvt-ltd-noida-sector-63-noida-event-management-companies-614boavgtk.jpg;https://content.jdmagicbox.com/v2/comp/delhi/x4/011pxx11.xx11.231230220549.q8x4/catalogue/sai-events-and-advertisements-pvt-ltd-noida-sector-63-noida-event-management-companies-8ia2vy1s7p.jpg,1,1
Prism Events,08123399316,,Krishna Hospital Gurgaon Sector 9a,Surya Vihar Gurgaon Sector 9a,delhi,4,29 Ratings,"Event Organisers, Decorators",28.4661459,76.9894685,122001,011PXX11.XX11.181002231019.G6P9,https://www.justdial.com/Gurgaon/Prism-Events-Krishna-Hospital-Gurgaon-Sector-9A/011PXX11-XX11-181002231019-G6P9_BZDET,4,https://content.jdmagicbox.com/v2/comp/delhi/p9/011pxx11.xx11.181002231019.g6p9/catalogue/prism-events-gurgaon-gurgaon-balloon-decorators-357vnf98lf.jpg;https://content.jdmagicbox.com/v2/comp/delhi/p9/011pxx11.xx11.181002231019.g6p9/catalogue/prism-events-gurgaon-gurgaon-balloon-decorators-2hryqyqqen.jpg;https://content.jdmagicbox.com/v2/comp/delhi/p9/011pxx11.xx11.181002231019.g6p9/catalogue/prism-events-gurgaon-gurgaon-event-organisers-h51268a6ro.jpg;https://content.jdmagicbox.com/v2/comp/delhi/p9/011pxx11.xx11.181002231019.g6p9/catalogue/prism-events-gurgaon-gurgaon-event-organisers-3j1xmpjabv.jpg;https://content.jdmagicbox.com/v2/comp/delhi/p9/011pxx11.xx11.181002231019.g6p9/catalogue/prism-events-gurgaon-gurgaon-event-organisers-g4uov6ed2v.jpg,1,1
E4 Events & Promotion,09035062393,,Near By MIG Kondli,Kondli Mayur Bihar Phase 3 Kondli,delhi,4.5,110 Ratings,"Event Organisers, Anchoring Services",28.595325,77.311866666667,110096,011PXX11.XX11.201016162030.M6A6,https://www.justdial.com/Delhi/E4-Events-Promotion-Near-By-Mig-Kondli/011PXX11-XX11-201016162030-M6A6_BZDET,4.5,https://content.jdmagicbox.com/v2/comp/delhi/a6/011pxx11.xx11.201016162030.m6a6/catalogue/e4-events-and-promotion-kondli-delhi-event-management-companies-axu4ewljp2.jpg;https://content.jdmagicbox.com/comp/delhi/a6/011pxx11.xx11.201016162030.m6a6/catalogue/e4-events-and-promotion-kondli-delhi-event-management-companies-q1o6fp57y4.jpg;https://content.jdmagicbox.com/v2/comp/delhi/a6/011pxx11.xx11.201016162030.m6a6/catalogue/e4-events-and-promotion-kondli-delhi-advertising-agencies-q9yzr6zoeu.jpg;https://content.jdmagicbox.com/v2/comp/delhi/a6/011pxx11.xx11.201016162030.m6a6/catalogue/e4-events-and-promotion-kondli-delhi-event-management-companies-ya5qcuunz4.jpg;https://content.jdmagicbox.com/v2/comp/delhi/a6/011pxx11.xx11.201016162030.m6a6/catalogue/e4-events-and-promotion-kondli-delhi-advertising-agencies-37y3gzpxwv.jpg,1,1
Mars Events,07411569969,,Near By Workedge Coworkx Noida Sector 63,Sector 63 Noida Sector 63,delhi,3.5,2 Ratings,"Caterers, Event Management Companies",28.5674939,77.3827685,201301,011PXX11.XX11.240610125128.Q3C8,https://www.justdial.com/Noida/Mars-Events-Near-By-Workedge-Coworkx-Noida-Sector-63/011PXX11-XX11-240610125128-Q3C8_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/delhi/c8/011pxx11.xx11.240610125128.q3c8/catalogue/mars-events-noida-sector-63-noida-event-management-companies-74171ei4j0.jpg;https://content.jdmagicbox.com/v2/comp/delhi/c8/011pxx11.xx11.240610125128.q3c8/catalogue/mars-events-noida-sector-63-noida-event-management-companies-9kzyvhz9qo.jpg;https://content.jdmagicbox.com/v2/comp/delhi/c8/011pxx11.xx11.240610125128.q3c8/catalogue/mars-events-noida-sector-63-noida-event-management-companies-p9103hxkke.jpg;https://content.jdmagicbox.com/v2/comp/delhi/c8/011pxx11.xx11.240610125128.q3c8/catalogue/mars-events-noida-sector-63-noida-event-management-companies-gn0n875ap0.jpg;https://content.jdmagicbox.com/v2/comp/delhi/c8/011pxx11.xx11.240610125128.q3c8/catalogue/mars-events-noida-sector-63-noida-event-management-companies-u7rc6qvodo.jpg,1,1
