name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Shaan Institute,08401235697,,Behind Kausa Lake and Near Shimla Park Mumbra,Kausa Tallao Palli Mumbra,mumbai,4.8,369 Ratings,"Beauty Parlours, Women Beauty Parlours",19.165772222222,73.0298,400612,022PXX22.XX22.161226204802.A4L3,https://www.justdial.com/Thane/Shaan-Institute-Behind-Kausa-Lake-And-Near-Shimla-Park-Mumbra/022PXX22-XX22-161226204802-A4L3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-q4tq01v6ja.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-mumbai-computer-training-institutes-for-basic-obmob3daiz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-beauty-parlours-mg9hch3t88.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-k9apy444yp.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-ctqh7fc99w.jpg,1,1
Starlight Model and Talent Management Pvt Ltd,09845225726,,Behind Oshiwara Police Station Andheri West,Om Heera Panna Premises Co-operative Society Ltd. Andheri West,Mumbai,4.1,46 Ratings,"Event Management Companies, Birthday Party Organisers",19.142747222222,72.830772222222,400053,022PXX22.XX22.120804165950.S8Q1,https://www.justdial.com/Mumbai/Starlight-Model-and-Talent-Management-Pvt-Ltd-Behind-Oshiwara-Police-Station-Andheri-West/022PXX22-XX22-120804165950-S8Q1_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-1pdnqmb.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-prbi2x6egu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-d19rpgjivq.jpg;https://content.jdmagicbox.com/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-ouya36u6go.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-jkjmgd3dyg.jpg,1,1
Hirens Harmony Events & Jalsa Entertainment,08128580736,,Near Param Keshav Baug Marriage Hall Ghatkopar West,Naurojee Lane Ghatkopar West,Mumbai,3.9,14 Ratings,"Photographers, Balloon Decorators",19.0856277778,72.9039,400086,022PXX22.XX22.100322120329.W9U6,https://www.justdial.com/Mumbai/Hirens-Harmony-Events-Jalsa-Entertainment-Near-Param-Keshav-Baug-Marriage-Hall-Ghatkopar-West/022PXX22-XX22-100322120329-W9U6_BZDET,3.9,https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-1zutg4g.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3y14ezv.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3xhw8wn.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-24tn6hl.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-2erau2g.jpg,1,1
Param Konark,09845205493,,Near Bahar Cinema Andheri East,J M Marg Andheri East,Mumbai,3.5,13 Ratings,"Event Organisers, Event Management Companies",19.111564,72.8532371,400069,022PXX22.XX22.110222112930.C2V2,https://www.justdial.com/Mumbai/Param-Konark-Near-Bahar-Cinema-Andheri-East/022PXX22-XX22-110222112930-C2V2_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-event-organisers-ch2sa8bw2v.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-phenyl-manufacturers-qc0975tn0g.jpg,1,1
Ezilon Media Pvt. Ltd.,09845447291,, Thane West,Thane West,mumbai,4.7,16 Ratings,"Digital Marketing Services, Advertising Agencies",19.1913675,72.9678057,400602,022PXX22.XX22.160418160312.A1S6,https://www.justdial.com/Thane/Ezilon-Media-Pvt-Ltd-Thane-West/022PXX22-XX22-160418160312-A1S6_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/thane/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd--thane-west-thane-social-media-marketing-agencies-7uq3cjy0m9.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-03gq9rl4ya.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-w1y97zc5q4.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-m6sdvx4s0r.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-9kmyvod602.jpg,1,1
Sargam Eventz For Musical Evening,08401022491,,Near Dabh Water Plant Gola Road Bihar Regimental Centre,Gola Road-Bihar Regimental Centre,patna,4.3,29 Ratings,"Corporate Companies, Event Organisers",25.644580555556,85.061522222222,801503,0612PX612.X612.210730124159.Y8J1,https://www.justdial.com/Patna/Sargam-Eventz-For-Musical-Evening-Near-Dabh-Water-Plant-Gola-Road-Bihar-Regimental-Centre/0612PX612-X612-210730124159-Y8J1_BZDET,4.3,https://content.jdmagicbox.com/comp/patna/j1/0612px612.x612.210730124159.y8j1/catalogue/sargam-eventz-for-musical-evening-gola-road-bihar-regimental-centre-patna-orchestra-bands-gmaehf94cc.jpg;https://content.jdmagicbox.com/comp/patna/j1/0612px612.x612.210730124159.y8j1/catalogue/sargam-eventz-for-musical-evening-gola-road-bihar-regimental-centre-patna-orchestra-bands-rl8zwxlxx5.jpg;https://content.jdmagicbox.com/comp/patna/j1/0612px612.x612.210730124159.y8j1/catalogue/sargam-eventz-for-musical-evening-gola-road-bihar-regimental-centre-patna-orchestra-bands-uwmmtrc14d.jpg;https://content.jdmagicbox.com/comp/patna/j1/0612px612.x612.210730124159.y8j1/catalogue/sargam-eventz-for-musical-evening-gola-road-bihar-regimental-centre-patna-orchestra-bands-andbjunull.jpg;https://content.jdmagicbox.com/comp/patna/j1/0612px612.x612.210730124159.y8j1/catalogue/sargam-eventz-for-musical-evening-gola-road-bihar-regimental-centre-patna-orchestra-bands-rtawkb9mdo.jpg,1,6
Next Gen Election,08460444668,,Above Tanya Medical Hall Exhibition Road,Rajendra Path Exhibition Road,patna,3.9,15 Ratings,"Advertising Agencies, Computer Software Developers",25.613332722222,85.14453125,800001,0612PX612.X612.210426085527.I6T6,https://www.justdial.com/Patna/Next-Gen-Election-Above-Tanya-Medical-Hall-Exhibition-Road/0612PX612-X612-210426085527-I6T6_BZDET,3.9,https://content.jdmagicbox.com/comp/patna/t6/0612px612.x612.210426085527.i6t6/catalogue/next-gen-election-exhibition-road-patna-election-material-manufacturers-xf9cgzs4oo.jpg;https://content.jdmagicbox.com/comp/patna/t6/0612px612.x612.210426085527.i6t6/catalogue/next-gen-election-exhibition-road-patna-election-material-manufacturers-gj3k9xjslm.jpg;https://content.jdmagicbox.com/comp/patna/t6/0612px612.x612.210426085527.i6t6/catalogue/next-gen-election-exhibition-road-patna-election-material-manufacturers-mzn5jjh1gt.jpg;https://content.jdmagicbox.com/comp/patna/t6/0612px612.x612.210426085527.i6t6/catalogue/next-gen-election-exhibition-road-patna-election-material-manufacturers-ml52vk91og.jpg;https://content.jdmagicbox.com/comp/patna/t6/0612px612.x612.210426085527.i6t6/catalogue/next-gen-election-exhibition-road-patna-election-material-manufacturers-qdjg44ldl4.jpg,1,6
Shaadi Management,07041689276,,Near Bhagwat Banquet Hall Bh Colony,Bhagwat Nagar Bh Colony,Patna,4.6,27 Ratings,"Photographers, Event Organisers",25.5926507,85.1798744,800026,0612PX612.X612.180407224219.L4B2,https://www.justdial.com/Patna/Shaadi-Management-Near-Bhagwat-Banquet-Hall-Bh-Colony/0612PX612-X612-180407224219-L4B2_BZDET,4.6,https://content.jdmagicbox.com/comp/patna/b2/0612px612.x612.180407224219.l4b2/catalogue/shaadi-management-bh-colony-patna-wedding-planners-fmzedh06dd.jpg;https://content.jdmagicbox.com/v2/comp/patna/b2/0612px612.x612.180407224219.l4b2/catalogue/shaadi-management-bh-colony-patna-wedding-planners-8eokl6b20k.jpg;https://content.jdmagicbox.com/v2/comp/patna/b2/0612px612.x612.180407224219.l4b2/catalogue/shaadi-management-bh-colony-patna-wedding-planners-mizuyiplkv.jpg;https://content.jdmagicbox.com/v2/comp/patna/b2/0612px612.x612.180407224219.l4b2/catalogue/shaadi-management-bh-colony-patna-wedding-planners-mig8yfpo72.jpg;https://content.jdmagicbox.com/v2/comp/patna/b2/0612px612.x612.180407224219.l4b2/catalogue/shaadi-management-bh-colony-patna-wedding-planners-43h6qq8um7.jpg,1,1
Creative Imprints LLP,07411644614,,House No B191 Sri Krishna Puri Boring Road,Near Holy Mission Boring Road,Patna,4.6,59 Ratings,"Event Organisers, Decorators",25.642158333333,85.109166666667,800001,0612PX612.X612.171003130727.X2W5,https://www.justdial.com/Patna/Creative-Imprints-LLP-House-No-B191-Sri-Krishna-Puri-Boring-Road/0612PX612-X612-171003130727-X2W5_BZDET,4.6,https://content.jdmagicbox.com/comp/service_catalogue/german-hanger-0612px612.x612.171003130727.x2w5-bx417lx.jpg;https://content.jdmagicbox.com/v2/comp/patna/w5/0612px612.x612.171003130727.x2w5/catalogue/creative-imprints-llp-boring-road-patna-event-management-companies-aoe9qhxxyq.jpg;https://content.jdmagicbox.com/v2/comp/patna/w5/0612px612.x612.171003130727.x2w5/catalogue/creative-imprints-llp-boring-road-patna-event-management-companies-g6ul9a874a.jpg;https://content.jdmagicbox.com/comp/patna/w5/0612px612.x612.171003130727.x2w5/catalogue/creative-imprints-llp-sri-krishnapuri-patna-event-management-companies-h8ft8uvs21.jpg;https://content.jdmagicbox.com/comp/patna/w5/0612px612.x612.171003130727.x2w5/catalogue/creative-imprints-llp-sri-krishnapuri-patna-event-management-companies-pbbzdalvcz.jpg,1,1
Om Nil Event & Security Services Pvt Ltd,08511491851,,Opposite Radha Krishna Appartment Danapur Bazar,Gola Road -S.N Singh Lane Danapur Bazar,patna,4.9,60 Ratings,"Event Organisers, Event Organisers For Wedding",25.6172417,85.057352,801503,0612PX612.X612.200212175710.Q4P8,https://www.justdial.com/Patna/Om-Nil-Event-Security-Services-Pvt-Ltd-Opposite-Radha-Krishna-Appartment-Danapur-Bazar/0612PX612-X612-200212175710-Q4P8_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/patna/p8/0612px612.x612.200212175710.q4p8/catalogue/om-nil-event-and-security-services-pvt-ltd-danapur-bazar-patna-event-organisers-ap3ndhajhj.jpg;https://content.jdmagicbox.com/v2/comp/patna/p8/0612px612.x612.200212175710.q4p8/catalogue/om-nil-event-and-security-services-pvt-ltd-danapur-bazar-patna-event-organisers-upqq13llqt.jpg;https://content.jdmagicbox.com/v2/comp/patna/p8/0612px612.x612.200212175710.q4p8/catalogue/om-nil-event-and-security-services-pvt-ltd-danapur-bazar-patna-event-organisers-j909cbqgqt.jpg;https://content.jdmagicbox.com/v2/comp/patna/p8/0612px612.x612.200212175710.q4p8/catalogue/om-nil-event-and-security-services-pvt-ltd-danapur-bazar-patna-event-organisers-mg7e4odr3c.jpg;https://content.jdmagicbox.com/v2/comp/patna/p8/0612px612.x612.200212175710.q4p8/catalogue/om-nil-event-and-security-services-pvt-ltd-danapur-bazar-patna-event-organisers-cvj70iz797.jpg,1,1
