name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Kingdom Event Management System Pvt Ltd,09035173339,,Near Ranka Jewellers Govind Halwai Chowk Ravivar Peth Ganesh Peth,Ganesh Peth,Pune,4.3,36 Ratings,"Mandap Decorators, Decorators",18.502645111,73.8587665558,411002,020PXX20.XX20.161210151620.B7F6,https://www.justdial.com/Pune/Kingdom-Event-Management-System-Pvt-Ltd-Near-Ranka-Jewellers-Govind-Halwai-Chowk-Ravivar-Peth-Ganesh-Peth/020PXX20-XX20-161210151620-B7F6_BZDET,4.3,https://content.jdmagicbox.com/comp/pune/f6/020pxx20.xx20.161210151620.b7f6/catalogue/kingdom-event-management-system-pvt-ltd-ganesh-peth-pune-zumba-classes-rq1h6r63ug.jpg;https://content.jdmagicbox.com/v2/comp/pune/f6/020pxx20.xx20.161210151620.b7f6/catalogue/kingdom-event-management-system-pvt-ltd-ganesh-peth-pune-zumba-classes-62ng86hueb.jpg;https://content.jdmagicbox.com/v2/comp/pune/f6/020pxx20.xx20.161210151620.b7f6/catalogue/kingdom-event-management-system-pvt-ltd-ganesh-peth-pune-zumba-classes-hghcob6m28.jpg;https://content.jdmagicbox.com/v2/comp/pune/f6/020pxx20.xx20.161210151620.b7f6/catalogue/kingdom-event-management-system-pvt-ltd-ganesh-peth-pune-zumba-classes-yjo111n8gq.jpg;https://content.jdmagicbox.com/v2/comp/pune/f6/020pxx20.xx20.161210151620.b7f6/catalogue/kingdom-event-management-system-pvt-ltd-ganesh-peth-pune-zumba-classes-6u22ghs6w2.jpg,1,1
Comrade Events,08460248208,,Near Rode Hospital Dighi,Sai Park Shiv Ganesh Colony No 1 Dighi,pune,4.1,113 Ratings,"Event Organisers, Event Management Companies",18.598212888889,73.905026777778,411015,020PXX20.XX20.220828230506.H1K8,https://www.justdial.com/Pune/Comrade-Events-Near-Rode-Hospital-Dighi/020PXX20-XX20-220828230506-H1K8_BZDET,4.1,https://content.jdmagicbox.com/comp/pune/k8/020pxx20.xx20.220828230506.h1k8/catalogue/comrade-events-dighi-pune-event-organisers-9vlpqw17ev.jpg;https://content.jdmagicbox.com/v2/comp/pune/k8/020pxx20.xx20.220828230506.h1k8/catalogue/comrade-events-dighi-pune-event-organisers-25grhjw0np.jpg;https://content.jdmagicbox.com/v2/comp/pune/k8/020pxx20.xx20.220828230506.h1k8/catalogue/comrade-events-dighi-pune-event-organisers-uzq126ue1i.jpg;https://content.jdmagicbox.com/v2/comp/pune/k8/020pxx20.xx20.220828230506.h1k8/catalogue/comrade-events-dighi-pune-event-organisers-1tdq6odcyb.jpg;https://content.jdmagicbox.com/v2/comp/pune/k8/020pxx20.xx20.220828230506.h1k8/catalogue/comrade-events-dighi-pune-event-organisers-ibiqx4652t.jpg,1,6
Laugh & Vibe Entertainment & Artist Management,09054073910,,Near By Florian Hurel Spa Koregaon Park,Koregaon Park Bund Garden Road Koregaon Park,pune,4.9,295 Ratings,"Anchoring Services, Singers",18.539436340332,73.900199890137,411001,020PXX20.XX20.250417211040.X2J1,https://www.justdial.com/Pune/Laugh-Vibe-Entertainment-Artist-Management-Near-By-Florian-Hurel-Spa-Koregaon-Park/020PXX20-XX20-250417211040-X2J1_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-entertainment-and-artist-management-koregaon-park-pune-entertainment-agencies-kjs5ahqia6.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-entertainment-and-artist-management-koregaon-park-pune-entertainment-agencies-awpmf7dr15.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-entertainment-and-artist-management-koregaon-park-pune-entertainment-agencies-j0p4250p8e.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-entertainment-and-artist-management-koregaon-park-pune-entertainment-agencies-2afl7z3tb8.jpg;https://content.jdmagicbox.com/v2/comp/pune/j1/020pxx20.xx20.250417211040.x2j1/catalogue/laugh-and-vibe-entertainment-and-artist-management-koregaon-park-pune-entertainment-agencies-qiuz760x68.jpg,1,6
Samyak Events,07383429384,,Opposite Marble Point Gultekdi,Aai Bhavani Mata Mandir Road Gultekdi,pune,5,13 Ratings,"Event Management Companies, Wedding Decorators",18.4837411,73.8763353,411037,020PXX20.XX20.260515125846.Q1V2,https://www.justdial.com/Pune/Samyak-Events-Opposite-Marble-Point-Gultekdi/020PXX20-XX20-260515125846-Q1V2_BZDET,5,https://content.jdmagicbox.com/v2/comp/pune/v2/020pxx20.xx20.260515125846.q1v2/catalogue/samyak-events-gultekdi-pune-event-organisers-for-navratri-tukk0ah2v2.jpg;https://content.jdmagicbox.com/v2/comp/pune/v2/020pxx20.xx20.260515125846.q1v2/catalogue/samyak-events-gultekdi-pune-event-organisers-for-navratri-ira7wq4w5p.jpg;https://content.jdmagicbox.com/v2/comp/pune/v2/020pxx20.xx20.260515125846.q1v2/catalogue/samyak-events-gultekdi-pune-event-management-companies-9z3drdh6pn.jpg;https://content.jdmagicbox.com/v2/comp/pune/v2/020pxx20.xx20.260515125846.q1v2/catalogue/samyak-events-gultekdi-pune-event-management-companies-4b5b155cy1.jpg;https://content.jdmagicbox.com/v2/comp/pune/v2/020pxx20.xx20.260515125846.q1v2/catalogue/samyak-events-gultekdi-pune-event-management-companies-zgfj2yurc3.jpg,1,1
Dream Factory Events,09035092985,,Near Reliance Mart and HP Petrol Pump Kharadi,Kharadi Road Kharadi,Pune,4.4,54 Ratings,"Caterers, Birthday Party Decorators",18.5620254,73.9337943,411014,020PXX20.XX20.130807175835.Z7S4,https://www.justdial.com/Pune/Dream-Factory-Events-Near-Reliance-Mart-And-Hp-Petrol-Pump-Kharadi/020PXX20-XX20-130807175835-Z7S4_BZDET,4.4,https://content.jdmagicbox.com/comp/pune/s4/020pxx20.xx20.130807175835.z7s4/catalogue/dream-factory-events-kharadi-pune-event-management-companies-3tt5c5yii5.jpg;https://content.jdmagicbox.com/comp/pune/s4/020pxx20.xx20.130807175835.z7s4/catalogue/dream-factory-events-kharadi-pune-event-management-companies-supnqn5qou.jpg;https://content.jdmagicbox.com/comp/pune/s4/020pxx20.xx20.130807175835.z7s4/catalogue/dream-factory-events-kharadi-pune-event-management-companies-sizgah7phe.jpg;https://content.jdmagicbox.com/comp/pune/s4/020pxx20.xx20.130807175835.z7s4/catalogue/dream-factory-events-kharadi-pune-event-management-companies-vyepwd.jpg;https://content.jdmagicbox.com/comp/pune/s4/020pxx20.xx20.130807175835.z7s4/catalogue/dream-factory-events-kharadi-pune-event-management-companies-zfcbvqz82e.jpg,1,1
Creative Events,08511275847,,Opp to Jain Mandir Katraj,Nr Wonder City Opp Jain Mandir Katraj,Pune,4.7,83 Ratings,"Mandap Decorators, Birthday Party Decorators",18.4481448,73.8679566,411046,020PXX20.XX20.150121113530.Z8M5,https://www.justdial.com/Pune/Creative-Events-Opp-To-Jain-Mandir-Katraj/020PXX20-XX20-150121113530-Z8M5_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/pune/m5/020pxx20.xx20.150121113530.z8m5/catalogue/creative-events-katraj-pune-event-organisers-for-dance-parties-sxczon0x0a.jpg;https://content.jdmagicbox.com/v2/comp/pune/m5/020pxx20.xx20.150121113530.z8m5/catalogue/creative-events-katraj-pune-event-organisers-for-dance-parties-kqaan1p3c8.jpg;https://content.jdmagicbox.com/v2/comp/pune/m5/020pxx20.xx20.150121113530.z8m5/catalogue/creative-events-katraj-pune-event-organisers-for-dance-parties-dug75dr8jl.jpg;https://content.jdmagicbox.com/v2/comp/pune/m5/020pxx20.xx20.150121113530.z8m5/catalogue/creative-events-katraj-pune-event-organisers-for-dance-parties-7e70rpzv4e.jpg;https://content.jdmagicbox.com/v2/comp/pune/m5/020pxx20.xx20.150121113530.z8m5/catalogue/creative-events-katraj-pune-event-organisers-for-dance-parties-h8y8lvzlbl.jpg,1,1
Ak Events & Sfx,08401772872,,Samarth Colony Lonikand,Sai Satyam Lonikand,pune,5,20 Ratings,"Mandap Decorators, Birthday Party Decorators",18.621856,74.024708,412216,020PXX20.XX20.260610135716.Q2Y7,https://www.justdial.com/Pune/Ak-Events-Sfx-Samarth-Colony-Lonikand/020PXX20-XX20-260610135716-Q2Y7_BZDET,5,https://content.jdmagicbox.com/v2/comp/pune/y7/020pxx20.xx20.260610135716.q2y7/catalogue/ak-events-and-sfx-lonikand-pune-balloon-decorators-vejog49811.jpg;https://content.jdmagicbox.com/v2/comp/pune/y7/020pxx20.xx20.260610135716.q2y7/catalogue/ak-events-and-sfx-lonikand-pune-balloon-decorators-0az083g0g3.jpg;https://content.jdmagicbox.com/v2/comp/pune/y7/020pxx20.xx20.260610135716.q2y7/catalogue/ak-events-and-sfx-lonikand-pune-balloon-decorators-2hcvxc71ak.jpg;https://content.jdmagicbox.com/v2/comp/pune/y7/020pxx20.xx20.260610135716.q2y7/catalogue/z1nzhqkz6i7hz4p-2saqqpb8n0.jpg;https://content.jdmagicbox.com/v2/comp/pune/y7/020pxx20.xx20.260610135716.q2y7/catalogue/mt4w7vfmafnxf5n-isbwzubc72.jpg,1,1
DEEP Production,08123849984,, Pashan,Sus Road Pashan,Pune,4.9,59 Ratings,"Mandap Decorators, Event Organisers",18.5468226,73.7645673,411021,020PXX20.XX20.130922112534.S4N5,https://www.justdial.com/Pune/DEEP-Production-Pashan/020PXX20-XX20-130922112534-S4N5_BZDET,4.9,https://content.jdmagicbox.com/comp/pune/n5/020pxx20.xx20.130922112534.s4n5/catalogue/deep-production-pashan-pune-mandap-decorators-1lsla00.jpg;https://content.jdmagicbox.com/comp/pune/n5/020pxx20.xx20.130922112534.s4n5/catalogue/deep-production-pashan-pune-mandap-decorators-a9jbi.jpeg;https://content.jdmagicbox.com/comp/pune/n5/020pxx20.xx20.130922112534.s4n5/catalogue/deep-production-pashan-pune-mandap-decorators-3b0ep7w.jpg;https://content.jdmagicbox.com/comp/pune/n5/020pxx20.xx20.130922112534.s4n5/catalogue/deep-production-pashan-pune-mandap-decorators-tdvetd.jpg;https://content.jdmagicbox.com/comp/pune/n5/020pxx20.xx20.130922112534.s4n5/catalogue/deep-production-pashan-pune-mandap-decorators-47f93.jpg,1,1
Eventures Event,07899906121,,Opposite Pawan Restaurant Vadgaon Sheri,Old Mundhwa Road Vadgaon Sheri,pune,5,10 Ratings,"Birthday Party Decorators, Balloon Decorators",18.5535079,73.9238438,411014,020PXX20.XX20.260206161020.L2N1,https://www.justdial.com/Pune/Eventures-Event-Opposite-Pawan-Restaurant-Vadgaon-Sheri/020PXX20-XX20-260206161020-L2N1_BZDET,5,https://content.jdmagicbox.com/v2/comp/pune/n1/020pxx20.xx20.260206161020.l2n1/catalogue/1ijdhllksgxqkf2-1kvk7vr5f5.jpg;https://content.jdmagicbox.com/v2/comp/pune/n1/020pxx20.xx20.260206161020.l2n1/catalogue/eventures-event-vadgaon-sheri-pune-birthday-party-decorators-y85xfbu7t6.jpg;https://content.jdmagicbox.com/v2/comp/pune/n1/020pxx20.xx20.260206161020.l2n1/catalogue/eventures-event-vadgaon-sheri-pune-birthday-party-decorators-s9zzyb7rw7.jpg;https://content.jdmagicbox.com/v2/comp/pune/n1/020pxx20.xx20.260206161020.l2n1/catalogue/eventures-event-vadgaon-sheri-pune-birthday-party-decorators-bqt1m1sh7m.jpg;https://content.jdmagicbox.com/v2/comp/pune/n1/020pxx20.xx20.260206161020.l2n1/catalogue/eventures-event-vadgaon-sheri-pune-birthday-party-decorators-bwz77d2l2o.jpg,1,1
The Public Event and Decor,08197711386,,Near Chaitanya Housing Society Chinchwad,Boat Club Road Chinchwad,pune,5,12 Ratings,"Mandap Decorators, Birthday Party Decorators",18.6373557,73.7679372,411033,020PXX20.XX20.250917182711.D8C6,https://www.justdial.com/Pune/The-Public-Event-and-Decor-Near-Chaitanya-Housing-Society-Chinchwad/020PXX20-XX20-250917182711-D8C6_BZDET,5,https://content.jdmagicbox.com/v2/comp/pune/c6/020pxx20.xx20.250917182711.d8c6/catalogue/the-public-event-and-decor-chinchwad-pune-birthday-party-decorators-kwlwh20u2a.jpg;https://content.jdmagicbox.com/v2/comp/pune/c6/020pxx20.xx20.250917182711.d8c6/catalogue/the-public-event-and-decor-chinchwad-pune-birthday-party-decorators-ue0845jp07.jpg;https://content.jdmagicbox.com/v2/comp/pune/c6/020pxx20.xx20.250917182711.d8c6/catalogue/the-public-event-and-decor-chinchwad-pune-birthday-party-decorators-valszuu171.jpg;https://content.jdmagicbox.com/v2/comp/pune/c6/020pxx20.xx20.250917182711.d8c6/catalogue/the-public-event-and-decor-chinchwad-pune-birthday-party-decorators-1150d15qv6.jpg;https://content.jdmagicbox.com/v2/comp/pune/c6/020pxx20.xx20.250917182711.d8c6/catalogue/the-public-event-and-decor-chinchwad-pune-birthday-party-decorators-8grchbs7zv.jpg,1,1
