name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Ezilon Media Pvt. Ltd.,09845447291,, Thane West,Thane West,mumbai,4.7,16 Ratings,"Digital Marketing Services, Advertising Agencies",19.1913675,72.9678057,400602,022PXX22.XX22.160418160312.A1S6,https://www.justdial.com/Thane/Ezilon-Media-Pvt-Ltd-Thane-West/022PXX22-XX22-160418160312-A1S6_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/thane/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd--thane-west-thane-social-media-marketing-agencies-7uq3cjy0m9.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-03gq9rl4ya.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-w1y97zc5q4.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-m6sdvx4s0r.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-9kmyvod602.jpg,1,1
Param Konark,09845205493,,Near Bahar Cinema Andheri East,J M Marg Andheri East,Mumbai,3.5,13 Ratings,"Event Organisers, Event Management Companies",19.111564,72.8532371,400069,022PXX22.XX22.110222112930.C2V2,https://www.justdial.com/Mumbai/Param-Konark-Near-Bahar-Cinema-Andheri-East/022PXX22-XX22-110222112930-C2V2_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-event-organisers-ch2sa8bw2v.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-phenyl-manufacturers-qc0975tn0g.jpg,1,1
Shaan Institute,08401235697,,Behind Kausa Lake and Near Shimla Park Mumbra,Kausa Tallao Palli Mumbra,mumbai,4.8,369 Ratings,"Beauty Parlours, Women Beauty Parlours",19.165772222222,73.0298,400612,022PXX22.XX22.161226204802.A4L3,https://www.justdial.com/Thane/Shaan-Institute-Behind-Kausa-Lake-And-Near-Shimla-Park-Mumbra/022PXX22-XX22-161226204802-A4L3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-q4tq01v6ja.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-mumbai-computer-training-institutes-for-basic-obmob3daiz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-beauty-parlours-mg9hch3t88.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-k9apy444yp.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-ctqh7fc99w.jpg,1,1
Starlight Model and Talent Management Pvt Ltd,09845225726,,Behind Oshiwara Police Station Andheri West,Om Heera Panna Premises Co-operative Society Ltd. Andheri West,Mumbai,4.1,46 Ratings,"Event Management Companies, Birthday Party Organisers",19.142747222222,72.830772222222,400053,022PXX22.XX22.120804165950.S8Q1,https://www.justdial.com/Mumbai/Starlight-Model-and-Talent-Management-Pvt-Ltd-Behind-Oshiwara-Police-Station-Andheri-West/022PXX22-XX22-120804165950-S8Q1_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-1pdnqmb.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-prbi2x6egu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-d19rpgjivq.jpg;https://content.jdmagicbox.com/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-ouya36u6go.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-jkjmgd3dyg.jpg,1,1
Hirens Harmony Events & Jalsa Entertainment,08128580736,,Near Param Keshav Baug Marriage Hall Ghatkopar West,Naurojee Lane Ghatkopar West,Mumbai,3.9,14 Ratings,"Photographers, Balloon Decorators",19.0856277778,72.9039,400086,022PXX22.XX22.100322120329.W9U6,https://www.justdial.com/Mumbai/Hirens-Harmony-Events-Jalsa-Entertainment-Near-Param-Keshav-Baug-Marriage-Hall-Ghatkopar-West/022PXX22-XX22-100322120329-W9U6_BZDET,3.9,https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-1zutg4g.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3y14ezv.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3xhw8wn.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-24tn6hl.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-2erau2g.jpg,1,1
Star India Events,09035704410,,Near Marin Right Station Road,Ge Road Station Road,raipur-chhattisgarh,4.8,153 Ratings,"Event Organisers, Balloon Decorators",21.2545065802,81.6306085076,492001,9999PX771.X771.200321141956.G6G1,https://www.justdial.com/Raipur-Chhattisgarh/Star-India-Events-Near-Marin-Right-Station-Road/9999PX771-X771-200321141956-G6G1_BZDET,4.8,https://content.jdmagicbox.com/comp/raipur-chhattisgarh/g1/9999px771.x771.200321141956.g6g1/catalogue/cmi-media-events-raipur-ho-raipur-chhattisgarh-event-organisers-nmp0tziv19.jpg;https://content.jdmagicbox.com/v2/comp/patan-chhattisgarh/g1/9999px771.x771.200321141956.g6g1/catalogue/star-india-events-station-road-raipur-chhattisgarh-event-management-companies-cafu4afoll.jpg;https://content.jdmagicbox.com/comp/raipur-chhattisgarh/g1/9999px771.x771.200321141956.g6g1/catalogue/cmi-media-events-raipur-ho-raipur-chhattisgarh-event-organisers-seo6lqw2qp.jpg;https://content.jdmagicbox.com/comp/raipur-chhattisgarh/g1/9999px771.x771.200321141956.g6g1/catalogue/cmi-media-events-raipur-ho-raipur-chhattisgarh-event-organisers-uuw7wmnf01.jpg;https://content.jdmagicbox.com/comp/raipur-chhattisgarh/g1/9999px771.x771.200321141956.g6g1/catalogue/cmi-media-events-raipur-ho-raipur-chhattisgarh-event-organisers-vrcoq4nplx.jpg,1,1
Decoration King,07411587536,,Bhanddeval Temple Arang,Aajad Chowk Arang Arang,raipur-chhattisgarh,5,1 Rating,"Event Organisers, Balloon Decorators",21.1960577,81.9679707,493441,9999PX771.X771.241125120103.K1B9,https://www.justdial.com/Raipur-Chhattisgarh/Decoration-King-Bhanddeval-Temple-Arang/9999PX771-X771-241125120103-K1B9_BZDET,5,https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/b9/9999px771.x771.241125120103.k1b9/catalogue/decoration-king-arang-raipur-chhattisgarh-wedding-decorators-6icw7zw589.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/b9/9999px771.x771.241125120103.k1b9/catalogue/decoration-king-arang-raipur-chhattisgarh-wedding-decorators-3bedmvbuoe.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/b9/9999px771.x771.241125120103.k1b9/catalogue/decoration-king-arang-raipur-chhattisgarh-wedding-decorators-igw9h47iit.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/b9/9999px771.x771.241125120103.k1b9/catalogue/decoration-king-arang-raipur-chhattisgarh-wedding-decorators-0cspqbv9wl.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/b9/9999px771.x771.241125120103.k1b9/catalogue/decoration-king-arang-raipur-chhattisgarh-wedding-decorators-c6vfo4hneg.jpg,1,1
Blackrock Ventures,09980952606,,Near By Airtel HO Telibandha,Ring No 1 Telibandha,raipur-chhattisgarh,4.9,65 Ratings,"Balloon Decorators, Birthday Party Decorators",21.235363,81.670006,492001,9999PX771.X771.260506140452.K7B9,https://www.justdial.com/Raipur-Chhattisgarh/Blackrock-Ventures-Near-By-Airtel-Ho-Telibandha/9999PX771-X771-260506140452-K7B9_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/b9/9999px771.x771.260506140452.k7b9/catalogue/blackrock-ventures-telibandha-raipur-chhattisgarh-event-organisers-u4ki1sirma.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/b9/9999px771.x771.260506140452.k7b9/catalogue/blackrock-ventures-telibandha-raipur-chhattisgarh-event-organisers-9lwz0i81k4.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/b9/9999px771.x771.260506140452.k7b9/catalogue/blackrock-ventures-telibandha-raipur-chhattisgarh-event-organisers-fwvndwbk88.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/b9/9999px771.x771.260506140452.k7b9/catalogue/blackrock-ventures-telibandha-raipur-chhattisgarh-event-organisers-rmx18vdaeu.jpg;https://content.jdmagicbox.com/v2/comp/kollam/b9/9999px771.x771.260506140452.k7b9/catalogue/blackrock-ventures-telibandha-raipur-chhattisgarh-event-organisers-upt14n57cf.jpg,1,1
Infinity Solutions,09972905697,,Near SBI ATM Changora Bhata,Satyam Tailor Gali Changora Bhata,raipur-chhattisgarh,5,42 Ratings,"Event Organisers, Birthday Party Organisers",21.2505166,81.62325,492001,9999PX771.X771.250611125005.G1D1,https://www.justdial.com/Raipur-Chhattisgarh/Infinity-Solutions-Near-Sbi-Atm-Changora-Bhata/9999PX771-X771-250611125005-G1D1_BZDET,5,https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/d1/9999px771.x771.250611125005.g1d1/catalogue/infinity-solutions-changora-bhata-raipur-chhattisgarh-event-organisers-ve2w68ofme.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/d1/9999px771.x771.250611125005.g1d1/catalogue/infinity-solutions-changora-bhata-raipur-chhattisgarh-event-organisers-dp04zc1ect.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/d1/9999px771.x771.250611125005.g1d1/catalogue/infinity-solutions-changora-bhata-raipur-chhattisgarh-event-organisers-85uq875xzd.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/d1/9999px771.x771.250611125005.g1d1/catalogue/infinity-solutions-changora-bhata-raipur-chhattisgarh-event-organisers-083jtvuwyg.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/d1/9999px771.x771.250611125005.g1d1/catalogue/infinity-solutions-changurabhata-raipur-chhattisgarh-event-organisers-wmfzay0cu4.jpg,1,1
Kratika Media Networks,08460510996,, Manglia,402-403 APOLLO SQUARE Manglia,indore,5,1 Rating,"Event Organisers, Anchoring Services",22.724972998717,75.874906291511,453771,0731PX731.X731.250424170847.F2J8,https://www.justdial.com/Indore/Kratika-Media-Networks-Manglia/0731PX731-X731-250424170847-F2J8_BZDET,5,https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-989eypo67e.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-9wp7mdz5no.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kratika-media-networks-manglia-indore-event-management-companies-a90g8pelj7.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kratika-media-networks-manglia-indore-event-management-companies-a90g8pelj7-250.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-9wp7mdz5no-250.jpg,1,1
