name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Starlight Model and Talent Management Pvt Ltd,09845225726,,Behind Oshiwara Police Station Andheri West,Om Heera Panna Premises Co-operative Society Ltd. Andheri West,Mumbai,4.1,46 Ratings,"Event Management Companies, Birthday Party Organisers",19.142747222222,72.830772222222,400053,022PXX22.XX22.120804165950.S8Q1,https://www.justdial.com/Mumbai/Starlight-Model-and-Talent-Management-Pvt-Ltd-Behind-Oshiwara-Police-Station-Andheri-West/022PXX22-XX22-120804165950-S8Q1_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-1pdnqmb.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-prbi2x6egu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-d19rpgjivq.jpg;https://content.jdmagicbox.com/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-ouya36u6go.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-jkjmgd3dyg.jpg,1,1
Param Konark,09845205493,,Near Bahar Cinema Andheri East,J M Marg Andheri East,Mumbai,3.5,13 Ratings,"Event Organisers, Event Management Companies",19.111564,72.8532371,400069,022PXX22.XX22.110222112930.C2V2,https://www.justdial.com/Mumbai/Param-Konark-Near-Bahar-Cinema-Andheri-East/022PXX22-XX22-110222112930-C2V2_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-event-organisers-ch2sa8bw2v.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-phenyl-manufacturers-qc0975tn0g.jpg,1,1
Ezilon Media Pvt. Ltd.,09845447291,, Thane West,Thane West,mumbai,4.7,16 Ratings,"Digital Marketing Services, Advertising Agencies",19.1913675,72.9678057,400602,022PXX22.XX22.160418160312.A1S6,https://www.justdial.com/Thane/Ezilon-Media-Pvt-Ltd-Thane-West/022PXX22-XX22-160418160312-A1S6_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/thane/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd--thane-west-thane-social-media-marketing-agencies-7uq3cjy0m9.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-03gq9rl4ya.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-w1y97zc5q4.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-m6sdvx4s0r.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-9kmyvod602.jpg,1,1
Shaan Institute,08401235697,,Behind Kausa Lake and Near Shimla Park Mumbra,Kausa Tallao Palli Mumbra,mumbai,4.8,369 Ratings,"Beauty Parlours, Women Beauty Parlours",19.165772222222,73.0298,400612,022PXX22.XX22.161226204802.A4L3,https://www.justdial.com/Thane/Shaan-Institute-Behind-Kausa-Lake-And-Near-Shimla-Park-Mumbra/022PXX22-XX22-161226204802-A4L3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-q4tq01v6ja.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-mumbai-computer-training-institutes-for-basic-obmob3daiz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-beauty-parlours-mg9hch3t88.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-k9apy444yp.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-ctqh7fc99w.jpg,1,1
Hirens Harmony Events & Jalsa Entertainment,08128580736,,Near Param Keshav Baug Marriage Hall Ghatkopar West,Naurojee Lane Ghatkopar West,Mumbai,3.9,14 Ratings,"Photographers, Balloon Decorators",19.0856277778,72.9039,400086,022PXX22.XX22.100322120329.W9U6,https://www.justdial.com/Mumbai/Hirens-Harmony-Events-Jalsa-Entertainment-Near-Param-Keshav-Baug-Marriage-Hall-Ghatkopar-West/022PXX22-XX22-100322120329-W9U6_BZDET,3.9,https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-1zutg4g.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3y14ezv.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3xhw8wn.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-24tn6hl.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-2erau2g.jpg,1,1
MONAS RESTAURANT AND CATERING,07383694952,,Near By Bou Bazar Desh Bandhu Para,M M Dutta Road Desh Bandhu Para,siliguri,5,"1,188 Ratings","Event Organisers, Caterers",26.6975564,88.4352483,734004,9999PX353.X353.251030124727.Y9J9,https://www.justdial.com/Siliguri/MONAS-RESTAURANT-AND-CATERING-Near-By-Bou-Bazar-Desh-Bandhu-Para/9999PX353-X353-251030124727-Y9J9_BZDET,5,https://content.jdmagicbox.com/v2/comp/siliguri/j9/9999px353.x353.251030124727.y9j9/catalogue/monas-restaurant-and-catering-desh-bandhu-para-siliguri-caterers-a99m1uu917.jpg;https://content.jdmagicbox.com/v2/comp/siliguri/j9/9999px353.x353.251030124727.y9j9/catalogue/monas-restaurant-and-catering-desh-bandhu-para-siliguri-caterers-a2qaw56i8p.jpg;https://content.jdmagicbox.com/v2/comp/siliguri/j9/9999px353.x353.251030124727.y9j9/catalogue/monas-restaurant-and-catering-desh-bandhu-para-siliguri-caterers-xy9gng4t7t.jpg;https://content.jdmagicbox.com/v2/comp/siliguri/j9/9999px353.x353.251030124727.y9j9/catalogue/monas-restaurant-and-catering-desh-bandhu-para-siliguri-caterers-0f7iv7ed4f.jpg;https://content.jdmagicbox.com/v2/comp/siliguri/j9/9999px353.x353.251030124727.y9j9/catalogue/monas-restaurant-and-catering-desh-bandhu-para-siliguri-caterers-l3g0u1k01e.jpg,1,6
Infinity Ad,09054092621,,Near Akashvani Sevoke Road,ITI Road Sevoke Road,Siliguri,4.7,62 Ratings,"Advertising Agencies, Digital Marketing Services",26.7320631,88.4378138,734001,9999PX353.X353.160303133255.Q8M3,https://www.justdial.com/Siliguri/Infinity-Ad-Near-Akashvani-Sevoke-Road/9999PX353-X353-160303133255-Q8M3_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/siliguri/m3/9999px353.x353.160303133255.q8m3/catalogue/infinity-ad-sevoke-road-siliguri-banner-advertising-agencies-8h7hqlftj5.jpg;https://content.jdmagicbox.com/comp/siliguri/m3/9999px353.x353.160303133255.q8m3/catalogue/infinity-ad-sevoke-road-siliguri-banner-advertising-agencies-x3s3l0b826.jpg;https://content.jdmagicbox.com/comp/siliguri/m3/9999px353.x353.160303133255.q8m3/catalogue/infinity-ad-sevoke-road-siliguri-advertising-agencies-14xr1xa3iv.jpg;https://content.jdmagicbox.com/comp/siliguri/m3/9999px353.x353.160303133255.q8m3/catalogue/infinity-ad-siliguri-1i4fgejcus.jpg;https://content.jdmagicbox.com/comp/siliguri/m3/9999px353.x353.160303133255.q8m3/catalogue/infinity-ad-sevoke-road-siliguri-banner-advertising-agencies-neco9m9xne.jpg,1,1
Odyssey Events,09606435419,,Star Lodge Pan Bazaar,GNB Road Pan Bazaar,guwahati,3.5,2 Ratings,"Event Organisers, Event Management Companies",26.184962,91.747379,781001,9999PX361.X361.250716165828.G9W7,https://www.justdial.com/Guwahati/Odyssey-Events-Star-Lodge-Pan-Bazaar/9999PX361-X361-250716165828-G9W7_BZDET,3.5,https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding4-event-organisers-for-wedding-4-hjxk3-event-organisers-for-wedding-2-kfera.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding3-event-organisers-for-wedding-3-3rxun-event-organisers-for-wedding-1-8939d.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding6-event-organisers-for-wedding-6-0ia76-event-organisers-for-wedding-4-jz1ig.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding7-event-organisers-for-wedding-7-jhru1-event-organisers-for-wedding-5-4w6ry.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding5-event-organisers-for-wedding-5-xfluy-event-organisers-for-wedding-3-1b57a.jpg,1,1
Jmd Tourism and Logistics Corporation,06364930914,,Near Keshtopur More Prafulla Kanan Rabindra Pally Keshtopur,Rabindra Pally-Keshtopur,kolkata,4.7,"1,249 Ratings","Caterers, Event Organisers",22.6027679,88.4291409,700101,033PXX33.XX33.251008181948.U5A9,https://www.justdial.com/Kolkata/Jmd-Tourism-and-Logistics-Corporation-Near-Keshtopur-More-Prafulla-Kanan-Rabindra-Pally-Keshtopur/033PXX33-XX33-251008181948-U5A9_BZDET,4.7,https://content.jdmagicbox.com/comp/kolkata/d4/033pxx33.xx33.220727173403.r1d4/catalogue/jmd-tourism-and-logistics-corporation-prafulla-kanan-kolkata-cargo-services-aa22zu9x2s.jpg;https://content.jdmagicbox.com/comp/kolkata/z9/033pxx33.xx33.130326185229.m6z9/catalogue/jmd-tourism-and-logistics-corporation-prafulla-kanan-kolkata-packers-and-movers-ci1is9lgdp.jpg;https://content.jdmagicbox.com/comp/kolkata/z9/033pxx33.xx33.130326185229.m6z9/catalogue/jmd-tourism-and-logistics-corporation-prafulla-kanan-kolkata-packers-and-movers-lj8mzay5pk.jpg;https://content.jdmagicbox.com/comp/kolkata/z9/033pxx33.xx33.130326185229.m6z9/catalogue/jmd-tourism-and-logistics-corporation-prafulla-kanan-kolkata-packers-and-movers-188efvylq6.jpg;https://content.jdmagicbox.com/comp/kolkata/z9/033pxx33.xx33.130326185229.m6z9/catalogue/jmd-tourism-and-logistics-corporation-prafulla-kanan-kolkata-packers-and-movers-x05z6ke0n0.jpg,1,1
Jmd Events,08904962924,,Near Kestopur VIP Crossing Keshtopur,Rabindra Pally Keshtopur,kolkata,4.7,342 Ratings,"Caterers, Event Organisers",22.602372222222,88.428161111111,700102,033PXX33.XX33.190731155706.D8P1,https://www.justdial.com/Kolkata/Jmd-Events-Near-Kestopur-Vip-Crossing-Keshtopur/033PXX33-XX33-190731155706-D8P1_BZDET,4.7,https://content.jdmagicbox.com/comp/kolkata/p1/033pxx33.xx33.190731155706.d8p1/catalogue/jmd-events-keshtopur-kolkata-banquet-halls-xltw629qxa.jpg;https://content.jdmagicbox.com/comp/kolkata/p1/033pxx33.xx33.190731155706.d8p1/catalogue/jmd-events-keshtopur-kolkata-banquet-halls-qa8o6gh7jv.jpg;https://content.jdmagicbox.com/comp/kolkata/p1/033pxx33.xx33.190731155706.d8p1/catalogue/jmd-events-keshtopur-kolkata-banquet-halls-lea8gzcvs0.jpg;https://content.jdmagicbox.com/comp/kolkata/p1/033pxx33.xx33.190731155706.d8p1/catalogue/jmd-events-keshtopur-kolkata-banquet-halls-euzimoese8.jpg;https://content.jdmagicbox.com/comp/kolkata/p1/033pxx33.xx33.190731155706.d8p1/catalogue/jmd-events-keshtopur-kolkata-banquet-halls-jo6g0qz8nv.jpg,1,1
