name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Creative Eventwala,07022331279,,Near Shavion Circle Palanpur Gam Main Road,Opposite Fire Station Palanpur Gam Main Road,surat,4.7,134 Ratings,"Mandap Decorators, Photographers",21.206064,72.766081,395009,0261PX261.X261.200208110530.K3F8,https://www.justdial.com/Surat/Creative-Eventwala-Near-Shavion-Circle-Palanpur-Gam-Main-Road/0261PX261-X261-200208110530-K3F8_BZDET,4.7,https://content.jdmagicbox.com/comp/surat/f8/0261px261.x261.200208110530.k3f8/catalogue/creative-eventwala-dumas-road-surat-mandap-decorators-y1oy4j92iq.jpg;https://content.jdmagicbox.com/comp/surat/f8/0261px261.x261.200208110530.k3f8/catalogue/creative-eventwala-dumas-road-surat-caterers-8n9lc5h9ur.jpg;https://content.jdmagicbox.com/comp/surat/f8/0261px261.x261.200208110530.k3f8/catalogue/creative-eventwala-dumas-road-surat-caterers-6jry7hatfz.jpg;https://content.jdmagicbox.com/comp/surat/f8/0261px261.x261.200208110530.k3f8/catalogue/creative-eventwala-dumas-road-surat-caterers-ufz9ar89um.jpg;https://content.jdmagicbox.com/comp/surat/f8/0261px261.x261.200208110530.k3f8/catalogue/creative-eventwala-dumas-road-surat-caterers-tt64ss1kjf.jpg,1,1
Event Era,08490970145,,Akshardham School Puna Patiya,Yogi Chowk Road Puna Patiya,surat,5,173 Ratings,"Mandap Decorators, Photographers",21.2137236,72.8872957,395010,0261PX261.X261.250723105515.I4Z6,https://www.justdial.com/Surat/Event-Era-Akshardham-School-Puna-Patiya/0261PX261-X261-250723105515-I4Z6_BZDET,5,https://content.jdmagicbox.com/v2/comp/motihari/z6/0261px261.x261.250723105515.i4z6/catalogue/event-era-puna-patiya-surat-event-organisers-fp0w2hyi2l.jpg;https://content.jdmagicbox.com/v2/comp/surat/z6/0261px261.x261.250723105515.i4z6/catalogue/event-era-puna-patiya-surat-event-organisers-7ydrm1wq2z.jpg;https://content.jdmagicbox.com/v2/comp/surat/z6/0261px261.x261.250723105515.i4z6/catalogue/event-era-puna-patiya-surat-event-organisers-o75euo3n49.jpg;https://content.jdmagicbox.com/v2/comp/surat/z6/0261px261.x261.250723105515.i4z6/catalogue/event-era-puna-patiya-surat-event-organisers-pvxgxk3o1m.jpg;https://content.jdmagicbox.com/v2/comp/surat/z6/0261px261.x261.250723105515.i4z6/catalogue/event-era-puna-patiya-surat-event-organisers-rs5cq7dson.jpg,1,1
First Choice Bartender Event Management,08460451886,,Near Station Apollo Bunder,Apollo Bunder,mumbai,3.5,7 Ratings,"Bartender Services, Cocktail Party Organisers",18.9205234,72.8301444,400001,022PXX22.XX22.210908184853.T3H4,https://www.justdial.com/Mumbai/First-Choice-Bartender-Event-Management-Near-Station-Apollo-Bunder/022PXX22-XX22-210908184853-T3H4_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-c9iuwz931t.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-t1kcxkoub1.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-wkdym6a5xt.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-71l3h6kdee.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-74dpzo19gh.jpg,1,1
Kratika Media Networks,08460510996,, Manglia,402-403 APOLLO SQUARE Manglia,indore,5,1 Rating,"Event Organisers, Anchoring Services",22.724972998717,75.874906291511,453771,0731PX731.X731.250424170847.F2J8,https://www.justdial.com/Indore/Kratika-Media-Networks-Manglia/0731PX731-X731-250424170847-F2J8_BZDET,5,https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-989eypo67e.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-9wp7mdz5no.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kratika-media-networks-manglia-indore-event-management-companies-a90g8pelj7.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kratika-media-networks-manglia-indore-event-management-companies-a90g8pelj7-250.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-9wp7mdz5no-250.jpg,1,1
All In One Event,08401427254,, South Tukoganj,234/B 2nd Floor18 MG Road Trade Centre South Tukoganj,indore,4,74 Ratings,"Event Organisers, Anchoring Services",22.7482975,75.8769702,452001,0731PX731.X731.240827115516.D2G6,https://www.justdial.com/Indore/All-In-One-Event-South-Tukoganj/0731PX731-X731-240827115516-D2G6_BZDET,4,https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-qcv13tg4i5.jpg;https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-6a39l0a6sh.jpg;https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-3n17ud2ibu.jpg;https://content.jdmagicbox.com/v2/comp/nabarangpur/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-6o07psy0t3.jpg;https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-yks7ml9xa7.jpg,1,1
Narbada Decor & Events,08401624416,,Near Jan Hospital Sojat Marg Pali Sojat Bazar,Branch Office Naya Gaon Sojat Bazar,sojat,4.9,118 Ratings,"Caterers, Tent House",25.9267999,73.6711721,306104,9999P2960.2960.191231203927.D1T7,https://www.justdial.com/Sojat/Narbada-Decor-Events-Near-Jan-Hospital-Sojat-Marg-Pali-Sojat-Bazar/9999P2960-2960-191231203927-D1T7_BZDET,4.9,https://content.jdmagicbox.com/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decoraters-sojat-city-sojat-yxst8o6cab.jpg;https://content.jdmagicbox.com/v2/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decor-and-events-sojat-bazar-sojat-caterers-m3c2hp9s5d.jpg;https://content.jdmagicbox.com/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decoraters-sojat-city-sojat-ydrjdhmrel.jpg;https://content.jdmagicbox.com/v2/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decor-and-events-sojat-bazar-sojat-caterers-l5q2zz10xq.jpg;https://content.jdmagicbox.com/comp/sojat/t7/9999p2960.2960.191231203927.d1t7/catalogue/narbada-decoraters-sojat-city-sojat-osi47k6qlf.jpg,1,1
Jaiswal and Company,07048760802,, Laxmi Nagar,Aruna Park Laxmi Nagar,delhi,4,104 Ratings,"Tent House, Event Organisers",28.636021299722,77.282780099722,110092,011PXX11.XX11.230717125658.Y5N1,https://www.justdial.com/Delhi/Jaiswal-and-Company-Laxmi-Nagar/011PXX11-XX11-230717125658-Y5N1_BZDET,4,https://content.jdmagicbox.com/v2/comp/delhi/n1/011pxx11.xx11.230717125658.y5n1/catalogue/jaiswal-and-company-subhash-chowk-laxmi-nagar-delhi-event-organisers-for-corporate-pgyizzzmg6.jpg;https://content.jdmagicbox.com/v2/comp/delhi/n1/011pxx11.xx11.230717125658.y5n1/catalogue/jaiswal-and-company-subhash-chowk-laxmi-nagar-delhi-event-organisers-for-corporate-a19i6h1st5.jpg;https://content.jdmagicbox.com/v2/comp/delhi/n1/011pxx11.xx11.230717125658.y5n1/catalogue/jaiswal-and-company-subhash-chowk-laxmi-nagar-delhi-event-organisers-for-corporate-3141qbr4sh.jpg;https://content.jdmagicbox.com/v2/comp/delhi/n1/011pxx11.xx11.230717125658.y5n1/catalogue/jaiswal-and-company-subhash-chowk-laxmi-nagar-delhi-event-organisers-for-corporate-r7whzhqms5.jpg;https://content.jdmagicbox.com/v2/comp/delhi/n1/011pxx11.xx11.230717125658.y5n1/catalogue/jaiswal-and-company-subhash-chowk-laxmi-nagar-delhi-event-organisers-for-corporate-juvicrcrys.jpg,1,1
Smebizz,08460462723,,NEAR SBI Bank Pitampura,Lok Vihar Pitampura,delhi,5,202 Ratings,"Digital Marketing Services, Internet Website Developers",28.708100143946,77.1503869076,110034,011PXX11.XX11.240822040237.R6W7,https://www.justdial.com/Delhi/Smebizz-Near-Sbi-Bank-Pitampura/011PXX11-XX11-240822040237-R6W7_BZDET,5,https://content.jdmagicbox.com/v2/comp/delhi/w7/011pxx11.xx11.240822040237.r6w7/catalogue/smebizz-pitampura-delhi-digital-marketing-services-mgzagvyc64.jpg;https://content.jdmagicbox.com/v2/comp/delhi/w7/011pxx11.xx11.240822040237.r6w7/catalogue/vinayak-syndicate-pitampura-delhi-human-resource-consultants-sb9fmb9i1g.jpg;https://content.jdmagicbox.com/v2/comp/delhi/w7/011pxx11.xx11.240822040237.r6w7/catalogue/vinayak-syndicate-pitampura-delhi-human-resource-consultants-x3jv3nz1f1.jpg;https://content.jdmagicbox.com/v2/comp/delhi/w7/011pxx11.xx11.240822040237.r6w7/catalogue/vinayak-syndicate-pitampura-delhi-human-resource-consultants-vdk1bsboq3.jpg;https://content.jdmagicbox.com/comp/def_content/search-engine-optimization-services/1-search-engine-optimization-services-1-jv6kw.jpg,1,1
Veer Sona (Opc) Pvt Ltd,07405137735,,Near Nehru Park Niranjan Kunj Colony,Tanakpur Road Niranjan Kunj Colony,pilibhit,5,24 Ratings,"Caterers, Tent House",28.6278682,79.8205696,262001,9999P5882.5882.260502115820.U9L1,https://www.justdial.com/Pilibhit/Veer-Sona-Opc-Pvt-Ltd-Near-Nehru-Park-Niranjan-Kunj-Colony/9999P5882-5882-260502115820-U9L1_BZDET,5,https://content.jdmagicbox.com/v2/comp/pilibhit/l1/9999p5882.5882.260502115820.u9l1/catalogue/veer-sona-opc-pvt-ltd-niranjan-kunj-colony-pilibhit-event-organisers-for-corporate-s8brbf8xe8.jpg;https://content.jdmagicbox.com/v2/comp/pilibhit/l1/9999p5882.5882.260502115820.u9l1/catalogue/veer-sona-opc-pvt-ltd-niranjan-kunj-colony-pilibhit-event-organisers-for-corporate-c3772v88df.jpg;https://content.jdmagicbox.com/v2/comp/pilibhit/l1/9999p5882.5882.260502115820.u9l1/catalogue/veer-sona-opc-pvt-ltd-niranjan-kunj-colony-pilibhit-event-organisers-for-corporate-6rqf8ywheg.jpg;https://content.jdmagicbox.com/v2/comp/pilibhit/l1/9999p5882.5882.260502115820.u9l1/catalogue/veer-sona-opc-pvt-ltd-niranjan-kunj-colony-pilibhit-event-organisers-for-corporate-y96j76klm7.jpg;https://content.jdmagicbox.com/v2/comp/pilibhit/l1/9999p5882.5882.260502115820.u9l1/catalogue/veer-sona-opc-pvt-ltd-niranjan-kunj-colony-pilibhit-event-organisers-for-corporate-qoxuwmejpa.jpg,1,1
Jmd Tourism and Logistics Corporation,06364930914,,Near Keshtopur More Prafulla Kanan Rabindra Pally Keshtopur,Rabindra Pally-Keshtopur,kolkata,4.7,"1,249 Ratings","Caterers, Event Organisers",22.6027679,88.4291409,700101,033PXX33.XX33.251008181948.U5A9,https://www.justdial.com/Kolkata/Jmd-Tourism-and-Logistics-Corporation-Near-Keshtopur-More-Prafulla-Kanan-Rabindra-Pally-Keshtopur/033PXX33-XX33-251008181948-U5A9_BZDET,4.7,https://content.jdmagicbox.com/comp/kolkata/d4/033pxx33.xx33.220727173403.r1d4/catalogue/jmd-tourism-and-logistics-corporation-prafulla-kanan-kolkata-cargo-services-aa22zu9x2s.jpg;https://content.jdmagicbox.com/comp/kolkata/z9/033pxx33.xx33.130326185229.m6z9/catalogue/jmd-tourism-and-logistics-corporation-prafulla-kanan-kolkata-packers-and-movers-ci1is9lgdp.jpg;https://content.jdmagicbox.com/comp/kolkata/z9/033pxx33.xx33.130326185229.m6z9/catalogue/jmd-tourism-and-logistics-corporation-prafulla-kanan-kolkata-packers-and-movers-lj8mzay5pk.jpg;https://content.jdmagicbox.com/comp/kolkata/z9/033pxx33.xx33.130326185229.m6z9/catalogue/jmd-tourism-and-logistics-corporation-prafulla-kanan-kolkata-packers-and-movers-188efvylq6.jpg;https://content.jdmagicbox.com/comp/kolkata/z9/033pxx33.xx33.130326185229.m6z9/catalogue/jmd-tourism-and-logistics-corporation-prafulla-kanan-kolkata-packers-and-movers-x05z6ke0n0.jpg,1,1
