name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Param Konark,09845205493,,Near Bahar Cinema Andheri East,J M Marg Andheri East,Mumbai,3.5,13 Ratings,"Event Organisers, Event Management Companies",19.111564,72.8532371,400069,022PXX22.XX22.110222112930.C2V2,https://www.justdial.com/Mumbai/Param-Konark-Near-Bahar-Cinema-Andheri-East/022PXX22-XX22-110222112930-C2V2_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-event-organisers-ch2sa8bw2v.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v2/022pxx22.xx22.110222112930.c2v2/catalogue/param-konark-andheri-east-mumbai-phenyl-manufacturers-qc0975tn0g.jpg,1,1
Starlight Model and Talent Management Pvt Ltd,09845225726,,Behind Oshiwara Police Station Andheri West,Om Heera Panna Premises Co-operative Society Ltd. Andheri West,Mumbai,4.1,46 Ratings,"Event Management Companies, Birthday Party Organisers",19.142747222222,72.830772222222,400053,022PXX22.XX22.120804165950.S8Q1,https://www.justdial.com/Mumbai/Starlight-Model-and-Talent-Management-Pvt-Ltd-Behind-Oshiwara-Police-Station-Andheri-West/022PXX22-XX22-120804165950-S8Q1_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-1pdnqmb.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-prbi2x6egu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-d19rpgjivq.jpg;https://content.jdmagicbox.com/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-ouya36u6go.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/q1/022pxx22.xx22.120804165950.s8q1/catalogue/starlight-model-and-talent-management-pvt-ltd-andheri-west-mumbai-celebrity-management-services-jkjmgd3dyg.jpg,1,1
Shaan Institute,08401235697,,Behind Kausa Lake and Near Shimla Park Mumbra,Kausa Tallao Palli Mumbra,mumbai,4.8,369 Ratings,"Beauty Parlours, Women Beauty Parlours",19.165772222222,73.0298,400612,022PXX22.XX22.161226204802.A4L3,https://www.justdial.com/Thane/Shaan-Institute-Behind-Kausa-Lake-And-Near-Shimla-Park-Mumbra/022PXX22-XX22-161226204802-A4L3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-q4tq01v6ja.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-mumbai-computer-training-institutes-for-basic-obmob3daiz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-beauty-parlours-mg9hch3t88.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-k9apy444yp.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/l3/022pxx22.xx22.161226204802.a4l3/catalogue/shaan-institute-mumbra-thane-computer-training-institutes-for-basic-ctqh7fc99w.jpg,1,1
Ezilon Media Pvt. Ltd.,09845447291,, Thane West,Thane West,mumbai,4.7,16 Ratings,"Digital Marketing Services, Advertising Agencies",19.1913675,72.9678057,400602,022PXX22.XX22.160418160312.A1S6,https://www.justdial.com/Thane/Ezilon-Media-Pvt-Ltd-Thane-West/022PXX22-XX22-160418160312-A1S6_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/thane/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd--thane-west-thane-social-media-marketing-agencies-7uq3cjy0m9.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-03gq9rl4ya.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-w1y97zc5q4.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-m6sdvx4s0r.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/s6/022pxx22.xx22.160418160312.a1s6/catalogue/ezilon-media-pvt-ltd-thane-west-thane-social-media-marketing-agencies-9kmyvod602.jpg,1,1
Hirens Harmony Events & Jalsa Entertainment,08128580736,,Near Param Keshav Baug Marriage Hall Ghatkopar West,Naurojee Lane Ghatkopar West,Mumbai,3.9,14 Ratings,"Photographers, Balloon Decorators",19.0856277778,72.9039,400086,022PXX22.XX22.100322120329.W9U6,https://www.justdial.com/Mumbai/Hirens-Harmony-Events-Jalsa-Entertainment-Near-Param-Keshav-Baug-Marriage-Hall-Ghatkopar-West/022PXX22-XX22-100322120329-W9U6_BZDET,3.9,https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-1zutg4g.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3y14ezv.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-3xhw8wn.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-24tn6hl.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/u6/022pxx22.xx22.100322120329.w9u6/catalogue/hirens-harmony-events-and-jalsa-entertainment-ghatkopar-west-mumbai-balloon-decorators-2erau2g.jpg,1,1
Shubhaarambh Entertainment,08401918423,,Near Vimleshwar Society Subhanpura,Everest Society Subhanpura,Vadodara,4.9,125 Ratings,"Mandap Decorators, Event Organisers",22.321812632,73.1646108627,390023,0265PX265.X265.180302011010.S3J4,https://www.justdial.com/Vadodara/Shubhaarambh-Entertainment-Near-Vimleshwar-Society-Subhanpura/0265PX265-X265-180302011010-S3J4_BZDET,4.9,https://content.jdmagicbox.com/comp/vadodara/j4/0265px265.x265.180302011010.s3j4/catalogue/shubharambh-entertainment-subhanpura-vadodara-event-organisers-80ky9paiql.jpg;https://content.jdmagicbox.com/comp/vadodara/j4/0265px265.x265.180302011010.s3j4/catalogue/shubharambh-entertainment-subhanpura-vadodara-event-organisers-a044nov00h.jpg;https://content.jdmagicbox.com/comp/vadodara/j4/0265px265.x265.180302011010.s3j4/catalogue/shubharambh-entertainment-subhanpura-vadodara-event-organisers-h4b7e2oltp.jpg;https://content.jdmagicbox.com/comp/vadodara/j4/0265px265.x265.180302011010.s3j4/catalogue/shubharambh-entertainment-subhanpura-vadodara-event-organisers-vx8hu98mj0.jpg;https://content.jdmagicbox.com/comp/vadodara/j4/0265px265.x265.180302011010.s3j4/catalogue/shubharambh-entertainment-subhanpura-vadodara-event-organisers-e3tntef92f.jpg,1,1
ANANT MILAP EVENTS,08971743389,,Near Maharaja Chowk Behind Sarveshwar Hanumanji Temple Sun Pharma Atladra Road,Sun Pharma Road Sun Pharma Atladra Road,vadodara,4.5,15 Ratings,"Birthday Party Decorators, Mandap Decorators",22.2783704,73.1404308,390012,0265PX265.X265.251203161725.R6Y3,https://www.justdial.com/Vadodara/ANANT-MILAP-EVENTS-Near-Maharaja-Chowk-Behind-Sarveshwar-Hanumanji-Temple-Sun-Pharma-Atladra-Road/0265PX265-X265-251203161725-R6Y3_BZDET,4.5,https://content.jdmagicbox.com/v2/comp/vadodara/y3/0265px265.x265.251203161725.r6y3/catalogue/anant-milap-events-sun-pharma-atladra-road-vadodara-event-organisers-mnn7oo1v0m.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/y3/0265px265.x265.251203161725.r6y3/catalogue/anant-milap-events-sun-pharma-atladra-road-vadodara-event-organisers-7d27kxzq1e.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/y3/0265px265.x265.251203161725.r6y3/catalogue/anant-milap-events-sun-pharma-atladra-road-vadodara-event-organisers-tu0pv67tsz.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/y3/0265px265.x265.251203161725.r6y3/catalogue/anant-milap-events-sun-pharma-atladra-road-vadodara-event-organisers-um0h1j67a3.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/y3/0265px265.x265.251203161725.r6y3/catalogue/anant-milap-events-sun-pharma-atladra-road-vadodara-event-organisers-694g0tzeap.jpg,1,1
Kratika Media Networks,08460510996,, Manglia,402-403 APOLLO SQUARE Manglia,indore,5,1 Rating,"Event Organisers, Anchoring Services",22.724972998717,75.874906291511,453771,0731PX731.X731.250424170847.F2J8,https://www.justdial.com/Indore/Kratika-Media-Networks-Manglia/0731PX731-X731-250424170847-F2J8_BZDET,5,https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-989eypo67e.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-9wp7mdz5no.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kratika-media-networks-manglia-indore-event-management-companies-a90g8pelj7.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kratika-media-networks-manglia-indore-event-management-companies-a90g8pelj7-250.jpg;https://content.jdmagicbox.com/v2/comp/indore/j8/0731px731.x731.250424170847.f2j8/catalogue/kritika-media-networks-manglia-indore-event-management-companies-9wp7mdz5no-250.jpg,1,1
All In One Event,08401427254,, South Tukoganj,234/B 2nd Floor18 MG Road Trade Centre South Tukoganj,indore,4,74 Ratings,"Event Organisers, Anchoring Services",22.7482975,75.8769702,452001,0731PX731.X731.240827115516.D2G6,https://www.justdial.com/Indore/All-In-One-Event-South-Tukoganj/0731PX731-X731-240827115516-D2G6_BZDET,4,https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-qcv13tg4i5.jpg;https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-6a39l0a6sh.jpg;https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-3n17ud2ibu.jpg;https://content.jdmagicbox.com/v2/comp/nabarangpur/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-6o07psy0t3.jpg;https://content.jdmagicbox.com/v2/comp/indore/g6/0731px731.x731.240827115516.d2g6/catalogue/all-in-one-event-south-tukoganj-indore-event-organisers-yks7ml9xa7.jpg,1,1
First Choice Bartender Event Management,08460451886,,Near Station Apollo Bunder,Apollo Bunder,mumbai,3.5,7 Ratings,"Bartender Services, Cocktail Party Organisers",18.9205234,72.8301444,400001,022PXX22.XX22.210908184853.T3H4,https://www.justdial.com/Mumbai/First-Choice-Bartender-Event-Management-Near-Station-Apollo-Bunder/022PXX22-XX22-210908184853-T3H4_BZDET,3.5,https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-c9iuwz931t.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-t1kcxkoub1.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-wkdym6a5xt.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-71l3h6kdee.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/h4/022pxx22.xx22.210908184853.t3h4/catalogue/first-choice-bartender-event-management-apollo-bunder-mumbai-bartender-services-74dpzo19gh.jpg,1,1
