name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Octave Entertainment Artist & Talent Management Company,,, Marathahalli,Outer Ring Road Marathahalli,bangalore,0,0 ,Artists,12.950663,77.6995655,560037,080PXX80.XX80.210916004211.M8H6,https://www.justdial.com/Bangalore/Octave-Entertainment-Artist-Talent-Management-Company-Marathahalli/080PXX80-XX80-210916004211-M8H6_BZDET,0,https://content.jdmagicbox.com/comp/def_content/artists/gou9vre6i6-artists-9-jv9k9.jpg,,0
Artist Event Managent,,, Mudalapalya,6th Cross Road Mudalapalya,bangalore,4.3,3 Ratings,Event Management Companies,12.9696022,77.5213597,560072,080PXX80.XX80.221125212827.D2I1,https://www.justdial.com/Bangalore/Artist-Event-Managent-Mudalapalya/080PXX80-XX80-221125212827-D2I1_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/bangalore/i1/080pxx80.xx80.221125212827.d2i1/catalogue/artist-event-managent-bangalore-event-management-companies-hrhmc1fb72.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/i1/080pxx80.xx80.221125212827.d2i1/catalogue/artist-event-managent-bangalore-event-management-companies-3emyfnh94j.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/i1/080pxx80.xx80.221125212827.d2i1/catalogue/artist-event-managent-bangalore-event-management-companies-3u3st8crk8.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/i1/080pxx80.xx80.221125212827.d2i1/catalogue/artist-event-managent-bangalore-event-management-companies-17wpwt0uns.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/i1/080pxx80.xx80.221125212827.d2i1/catalogue/artist-event-managent-bangalore-event-management-companies-6g0nsaqy3q.jpg,,0
Artist Era,,,Near Crystal Wines Basava Nagar,Kalkaveri Layout Basava Nagar,bangalore,4.5,4 Ratings,Event Management Companies,12.968171,77.68034,560037,080PXX80.XX80.181003125401.B3A3,https://www.justdial.com/Bangalore/Artist-Era-Near-Crystal-Wines-Basava-Nagar/080PXX80-XX80-181003125401-B3A3_BZDET,4.5,https://content.jdmagicbox.com/v2/comp/bangalore/a3/080pxx80.xx80.181003125401.b3a3/catalogue/artist-era-basava-nagar-bangalore-event-management-companies-5jo4yps0n4.jpg,,0
Artist On Demand - Artist Management Company,,, Trilok Puri,24/134 Trilok Puri,delhi,4,2 Ratings,Artist Management Event Organisers,28.608506,77.307582,110091,011PXX11.XX11.221204222952.H7C3,https://www.justdial.com/Delhi/Artist-On-Demand-Artist-Management-Company-Trilok-Puri/011PXX11-XX11-221204222952-H7C3_BZDET,4,https://content.jdmagicbox.com/v2/comp/delhi/c3/011pxx11.xx11.221204222952.h7c3/catalogue/artist-on-demand-artist-management-company-trilokpuri-delhi-artist-management-event-organisers-x8kehrzhuh.jpg;https://content.jdmagicbox.com/v2/comp/delhi/c3/011pxx11.xx11.221204222952.h7c3/catalogue/artist-on-demand-artist-management-company-trilokpuri-delhi-artist-management-event-organisers-ow7sbg47jk.jpg,,0
Aarch Artist Event Management,,, Hadapsar,Hadapsar,pune,0,0 ,"Event Organisers, Event Management Companies",18.498514,73.93453,411028,020PXX20.XX20.190805113421.K4P4,https://www.justdial.com/Pune/Aarch-Artist-Event-Management-Hadapsar/020PXX20-XX20-190805113421-K4P4_BZDET,0,https://content.jdmagicbox.com/comp/def_content/event-management-companies/event-management-1-event-management-companies-1-o295y.jpg,,0
Art Potli Artist Management Company,,,Balewadi High Street Ashok Nagar,Near Balewadi Hightstreet Ashok Nagar,pune,5,11 Ratings,"Event Organisers, Disc Jockey",18.541588,73.837456,411007,020PXX20.XX20.230531164048.V4E6,https://www.justdial.com/Pune/Art-Potli-Artist-Management-Company-Balewadi-High-Street-Ashok-Nagar/020PXX20-XX20-230531164048-V4E6_BZDET,5,https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-8697ymin8d.jpg;https://content.jdmagicbox.com/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-3stu10nipt.jpg;https://content.jdmagicbox.com/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-oo5edu8tj8.jpg;https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-62ssyxi0bq.jpg;https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-eal4xup8vo.jpg,,0
S4 Events and artist management,,,Near By High Street 2 Balewadi Baner,Balewadi-Baner,pune,5,1 Rating,"Anchoring Services, Birthday Party Organisers",18.58040854447,73.770595358486,411045,020PXX20.XX20.260302163430.C8J2,https://www.justdial.com/Pune/S4-Events-and-artist-management-Near-By-High-Street-2-Balewadi-Baner/020PXX20-XX20-260302163430-C8J2_BZDET,5,https://content.jdmagicbox.com/comp/def_content/anchoring-services/screenshot-2-anchoring-services-3-frzun.jpg,,0
Flamb Artist & Celebrity Management Company,,, Lohegaon,Om Sai Building . Shop No. 1 Ground Floor Lohegaon,pune,4.5,13 Ratings,"Artists, Celebrity Djs",18.59549,73.935278,411047,020PXX20.XX20.200109210734.Q6E8,https://www.justdial.com/Pune/Flamb-Artist-Celebrity-Management-Company-Lohegaon/020PXX20-XX20-200109210734-Q6E8_BZDET,4.5,https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-llehhh54az.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-swwrcn4vgw.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-6zt1u57lbg.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-cbf3hnebuu.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-rfibay37z6.jpg,,0
Ujjval Dance Fitness and Event Company,,,Rajarshi Shahu Jaltaran Talav Rajarampuri,Rajarampuri 8th Lane Rajarampuri,Kolhapur,4.7,82 Ratings,"Colleges, Weight Loss Centres",16.6925075,74.243592,416008,0231PX231.X231.150416131953.I1P9,https://www.justdial.com/Kolhapur/Ujjval-Dance-Fitness-and-Event-Company-Rajarshi-Shahu-Jaltaran-Talav-Rajarampuri/0231PX231-X231-150416131953-I1P9_BZDET,4.7,https://content.jdmagicbox.com/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-efzqg88x3j.jpg;https://content.jdmagicbox.com/v2/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-for-bollywood-tqvjpv9obg.jpg;https://content.jdmagicbox.com/v2/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-for-bollywood-tgkpqj9xay.jpg;https://content.jdmagicbox.com/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-nqemyvacb2.jpg;https://content.jdmagicbox.com/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-12vcjx33kq.jpg,,0
Studio 4842 Productions,,,Near By Book Store Shri Krishna Garden Layout,3rd Cross Road Shri Krishna Garden Layout,bangalore,4.9,32 Ratings,"Photographers, Photo Studios",12.913107879331,77.506092879036,560098,080PXX80.XX80.240504084302.E3H7,https://www.justdial.com/Bangalore/Studio-4842-Productions-Near-By-Book-Store-Shri-Krishna-Garden-Layout/080PXX80-XX80-240504084302-E3H7_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/bangalore/h7/080pxx80.xx80.240504084302.e3h7/catalogue/studio-4842-productions-shri-krishna-garden-layout-bangalore-photographers-c3dykhjc4b.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/h7/080pxx80.xx80.240504084302.e3h7/catalogue/studio-4842-productions-shri-krishna-garden-layout-bangalore-photographers-0wxrovrurm.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/h7/080pxx80.xx80.240504084302.e3h7/catalogue/studio-4842-productions-shri-krishna-garden-layout-bangalore-photographers-7wb1h685sn.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/h7/080pxx80.xx80.240504084302.e3h7/catalogue/studio-4842-productions-shri-krishna-garden-layout-bangalore-photographers-9dzl4xftrf.jpg;https://content.jdmagicbox.com/v2/comp/bangalore/h7/080pxx80.xx80.240504084302.e3h7/catalogue/studio-4842-productions-shri-krishna-garden-layout-bangalore-photographers-qkppi0fq3d.jpg,1,5
