name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
Vidyut Enterprises,,,Near Gcc Club Mira Road East,Gcc Club Road Mira Road East,mumbai,4.3,36 Ratings,"Event Organisers, Birthday Party Organisers",19.2842075,72.8790916,401107,022PXX22.XX22.221219104054.X8B9,https://www.justdial.com/Thane/Vidyut-Enterprises-Near-Gcc-Club-Mira-Road-East/022PXX22-XX22-221219104054-X8B9_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/mumbai/b9/022pxx22.xx22.221219104054.x8b9/catalogue/vidyut-enterprises-mira-road-east-thane-event-organisers-77e9tqze2z.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b9/022pxx22.xx22.221219104054.x8b9/catalogue/vidyut-enterprises-mira-road-east-thane-event-organisers-k30263aa3n.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b9/022pxx22.xx22.221219104054.x8b9/catalogue/vidyut-enterprises-mira-road-east-thane-placement-services-for-employers--u3fvu1a7eu.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b9/022pxx22.xx22.221219104054.x8b9/catalogue/vidyut-enterprises-mira-road-east-thane-placement-services-for-employers--fg2pr3o6mk.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b9/022pxx22.xx22.221219104054.x8b9/catalogue/vidyut-enterprises-mira-road-east-thane-placement-services-for-employers--8x8p85xx2o.jpg,1,1
Paravision Av Solutions,,,Opp Orlem Church Orlem Malad West,Orlem-Malad West,mumbai,3.5,2 Ratings,"Photographers, Event Organisers",19.196816,72.8416809,400064,022PXX22.XX22.260624221414.Z8R6,https://www.justdial.com/Mumbai/Paravision-Av-Solutions-Opp-Orlem-Church-Orlem-Malad-West/022PXX22-XX22-260624221414-Z8R6_BZDET,3.5,https://content.jdmagicbox.com/comp/def_content/corporate-photographers/9-corporate-photographers-6-df0yy.jpg,1,5
Bless Films And Pr,,,Opp Nakoda Hardware Goregaon West,Road Number 1 Goregaon West,mumbai,4.7,491 Ratings,"Photographers, Event Organisers",19.1563041,72.8396233,400104,022PXX22.XX22.230515104728.N8B4,https://www.justdial.com/Mumbai/Bless-Films-And-Pr-Opp-Nakoda-Hardware-Goregaon-West/022PXX22-XX22-230515104728-N8B4_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/mumbai/b4/022pxx22.xx22.230515104728.n8b4/catalogue/bless-films-and-pr-goregaon-west-mumbai-cameras-on-rent-6mryl3jaco.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b4/022pxx22.xx22.230515104728.n8b4/catalogue/bless-films-and-pr-goregaon-west-mumbai-cameras-on-rent-uj6nfwmbrg.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b4/022pxx22.xx22.230515104728.n8b4/catalogue/bless-films-and-pr-goregaon-west-mumbai-cameras-on-rent-08lt5i421i.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b4/022pxx22.xx22.230515104728.n8b4/catalogue/bless-films-and-pr-goregaon-west-mumbai-cameras-on-rent-5kvtn8s77y.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b4/022pxx22.xx22.230515104728.n8b4/catalogue/bless-films-and-pr-goregaon-west-mumbai-cameras-on-rent-io7p1clayz.jpg,1,5
Gautam Events Private Limited,,,Opp Shani Mandir Sri Prastha Nalasopara West,Virar Link Road Nalasopara West,Mumbai,4.4,25 Ratings,"Decorators, Event Organisers",19.416676097763,72.79837064445,401203,022PXX22.XX22.131123153127.N9V5,https://www.justdial.com/Palghar/Gautam-Events-Private-Limited-Opp-Shani-Mandir-Sri-Prastha-Nalasopara-West/022PXX22-XX22-131123153127-N9V5_BZDET,4.4,https://content.jdmagicbox.com/v2/comp/mumbai/v5/022pxx22.xx22.131123153127.n9v5/catalogue/gautam-events-wedding-planner-andheri-west-mumbai-flower-decorators-2qeicef.jpeg;https://content.jdmagicbox.com/v2/comp/mumbai/v5/022pxx22.xx22.131123153127.n9v5/catalogue/gautam-events-wedding-planner-andheri-west-mumbai-flower-decorators-2gznq9u.jpeg;https://content.jdmagicbox.com/v2/comp/mumbai/v5/022pxx22.xx22.131123153127.n9v5/catalogue/gautam-events-wedding-planner-andheri-west-mumbai-flower-decorators-gnx6n.jpeg;https://content.jdmagicbox.com/v2/comp/mumbai/v5/022pxx22.xx22.131123153127.n9v5/catalogue/gautam-events-wedding-planner-andheri-west-mumbai-bands-uzi1z0xavp.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/v5/022pxx22.xx22.131123153127.n9v5/catalogue/gautam-events-wedding-planner-andheri-west-mumbai-flower-decorators-ikvl1.jpeg,1,1
Shri Ganesh Sound System & Decorators,,,Pet Oxford High School Ulhasnagar No 3,Shubash Nagar Ulhasnagar No 3,mumbai,5,1 Rating,"Mandap Decorators, Balloon Decorators",19.2255852,73.1680371,421002,022PXX22.XX22.180715182005.H3P2,https://www.justdial.com/Thane/Shri-Ganesh-Sound-System-Decorators-Pet-Oxford-High-School-Ulhasnagar-No-3/022PXX22-XX22-180715182005-H3P2_BZDET,5,https://content.jdmagicbox.com/v2/comp/mumbai/p2/022pxx22.xx22.180715182005.h3p2/catalogue/shri-ganesh-sound-system-and-decorators-ulhasnagar-no-3-thane-flower-decorators-92m28qnn92.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p2/022pxx22.xx22.180715182005.h3p2/catalogue/shri-ganesh-sound-system-and-decorators-ulhasnagar-no-3-thane-flower-decorators-e4sioj8v4h.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p2/022pxx22.xx22.180715182005.h3p2/catalogue/shri-ganesh-sound-system-and-decorators-ulhasnagar-no-3-thane-flower-decorators-nl06w54y1y.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p2/022pxx22.xx22.180715182005.h3p2/catalogue/shri-ganesh-sound-system-and-decorators-ulhasnagar-no-3-thane-mandap-decorators-wn3wa4ljtt.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/p2/022pxx22.xx22.180715182005.h3p2/catalogue/shri-ganesh-sound-system-and-decorators-ulhasnagar-no-3-thane-mandap-decorators-cvmqymi9y4.jpg,1,1
