name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
Isha Events,,,Near Water Wax Tank Rani Bazar,Rani Bazar,bikaner,4.7,48 Ratings,"Event Organisers, Corporate Companies",27.986701083333,73.319101694444,334001,9999PX151.X151.190710165213.M4R5,https://www.justdial.com/Bikaner/Isha-Events-Near-Water-Wax-Tank-Rani-Bazar/9999PX151-X151-190710165213-M4R5_BZDET,4.7,https://content.jdmagicbox.com/comp/bikaner/r5/9999px151.x151.190710165213.m4r5/catalogue/isha-events-rani-bazar-bikaner-event-organisers-bf9wg5ne6v.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/r5/9999px151.x151.190710165213.m4r5/catalogue/isha-events-rani-bazar-bikaner-event-organisers-m98zylkcl4.jpg;https://content.jdmagicbox.com/comp/bikaner/r5/9999px151.x151.190710165213.m4r5/catalogue/isha-events-rani-bazar-bikaner-event-organisers-zzog8khld5.jpg;https://content.jdmagicbox.com/comp/bikaner/r5/9999px151.x151.190710165213.m4r5/catalogue/isha-events-rani-bazar-bikaner-event-organisers-ems23atgmo.jpg;https://content.jdmagicbox.com/comp/bikaner/r5/9999px151.x151.190710165213.m4r5/catalogue/isha-events-rani-bazar-bikaner-event-organisers-wmtfjth38m.jpg,,
Bollywood Events ( A Perfect Event Management Company ),,, Jnv Colony,Mahila Iti Road Jnv Colony,Bikaner,5,34 Ratings,"Event Organisers, Tent House",27.9846982778,73.309933,334001,9999PX151.X151.180713192557.T9X2,https://www.justdial.com/Bikaner/Bollywood-Events-A-Perfect-Event-Management-Company-Jnv-Colony/9999PX151-X151-180713192557-T9X2_BZDET,5,https://content.jdmagicbox.com/comp/bikaner/x2/9999px151.x151.180713192557.t9x2/catalogue/bollywood-events-a-perfect-event-management-company--bikaner-event-management-companies-1e3hyzctb6.jpg;https://content.jdmagicbox.com/comp/bikaner/x2/9999px151.x151.180713192557.t9x2/catalogue/bollywood-events-a-perfect-event-management-company-bikaner-rajasthan-panchshati-circle-sadul-bikaner-event-management-companies-rti7on0lo2.jpg;https://content.jdmagicbox.com/comp/bikaner/x2/9999px151.x151.180713192557.t9x2/catalogue/bollywood-events-a-perfect-event-management-company-bikaner-rajasthan-panchshati-circle-sadul-bikaner-event-management-companies-7b2e1yholl.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/x2/9999px151.x151.180713192557.t9x2/catalogue/bollywood-events-a-perfect-event-management-company--bikaner-event-management-companies-q2bvolm4ts.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/x2/9999px151.x151.180713192557.t9x2/catalogue/bollywood-events-a-perfect-event-management-company-bikaner-rajasthan-panchshati-circle-sadul-bikaner-event-management-companies-vo1jrt9amo.jpg,1,1
Jain Events and Caterers,,,Near Gauresabha Bhawan Rani Bazar,OppositeCa Rani Bazar,Bikaner,4.6,30 Ratings,"Tent House, Event Organisers",28.024487,73.322236,334001,9999PX151.X151.180206015551.M5R2,https://www.justdial.com/Bikaner/Jain-Events-and-Caterers-Near-Gauresabha-Bhawan-Rani-Bazar/9999PX151-X151-180206015551-M5R2_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/bikaner/r2/9999px151.x151.180206015551.m5r2/catalogue/jain-events-and-caterers-rani-bazar-bikaner-event-organisers-o27lwmhu26.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/r2/9999px151.x151.180206015551.m5r2/catalogue/jain-events-and-caterers-rani-bazar-bikaner-event-organisers-q00lwfgbk2.jpg;https://content.jdmagicbox.com/comp/bikaner/r2/9999px151.x151.180206015551.m5r2/catalogue/jain-events-rani-bazar-bikaner-event-organisers-nwhrbi56fo.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/r2/9999px151.x151.180206015551.m5r2/catalogue/jain-events-and-caterers-rani-bazar-bikaner-event-organisers-feaq9m4yv4.jpg;https://content.jdmagicbox.com/comp/bikaner/r2/9999px151.x151.180206015551.m5r2/catalogue/jain-events-rani-bazar-bikaner-event-organisers-b27zh0ta9c.jpg,,
Janta Tent House,,,Opp Toliyaar Bhairowji Temple Alakh Sagar Road,Alakh Sagar Road Alakh Sagar Road,Bikaner,4.5,29 Ratings,"Event Organisers, Tent House",28.0176523,73.3154579,334001,9999P1565.1565.120817142817.W3L6,https://www.justdial.com/Bikaner/Janta-Tent-House-Opp-Toliyaar-Bhairowji-Temple-Alakh-Sagar-Road/9999P1565-1565-120817142817-W3L6_BZDET,4.5,https://content.jdmagicbox.com/comp/bikaner/l6/9999p1565.1565.120817142817.w3l6/catalogue/janta-tent-house-bikaner-tent-house-lr5h57svk5.jpg;https://content.jdmagicbox.com/comp/bikaner/l6/9999p1565.1565.120817142817.w3l6/catalogue/janta-tent-house-alakh-sagar-road-bikaner-tent-house-cu3f5l1nj2.jpg;https://content.jdmagicbox.com/comp/bikaner/l6/9999p1565.1565.120817142817.w3l6/catalogue/janta-tent-house-alakh-sagar-road-bikaner-tent-house-lpbje6hupc.jpg;https://content.jdmagicbox.com/comp/bikaner/l6/9999p1565.1565.120817142817.w3l6/catalogue/janta-tent-house-bikaner-mandap-decorators-mey4v0dhmg.jpg;https://content.jdmagicbox.com/comp/bikaner/l6/9999p1565.1565.120817142817.w3l6/catalogue/janta-tent-house-bikaner-event-organisers-1291107.jpg,1,1
M Square Productions,,,Near Reliance Digital Jnv Colony,Jnv Colony Main Road Jnv Colony,bikaner,5,26 Ratings,"Event Organisers, Wedding Planners",28.005634,73.3189113,334001,9999PX151.X151.220822232024.C9C5,https://www.justdial.com/Bikaner/M-Square-Productions-Near-Reliance-Digital-Jnv-Colony/9999PX151-X151-220822232024-C9C5_BZDET,5,https://content.jdmagicbox.com/comp/bikaner/c5/9999px151.x151.220822232024.c9c5/catalogue/m-square-productions-india-bikaner-ho-bikaner-zdmdq4x6oq.jpg;https://content.jdmagicbox.com/comp/bikaner/c5/9999px151.x151.220822232024.c9c5/catalogue/m-square-productions-india-karni-nagar-bikaner-event-organisers-zuy3cu36w7.jpg;https://content.jdmagicbox.com/comp/bikaner/c5/9999px151.x151.220822232024.c9c5/catalogue/m-square-productions-india-bikaner-ho-bikaner-93xqnjwufs.jpg;https://content.jdmagicbox.com/comp/bikaner/c5/9999px151.x151.220822232024.c9c5/catalogue/m-square-productions-india-karni-nagar-bikaner-event-organisers-wiqmozpsue.jpg;https://content.jdmagicbox.com/v2/comp/bikaner/c5/9999px151.x151.220822232024.c9c5/catalogue/m-square-productions-rani-bazar-bikaner-event-organisers-7qv871djiw.jpg,,
