name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
Rishabh Grand Musical Events,,,Near Zora Talab Sarkanda,Z Sarkanda,bilaspur-chhattisgarh,5,95 Ratings,"Event Organisers, Bands",22.1044077,82.1536857,495006,9999P7752.7752.201119202015.S9F7,https://www.justdial.com/Bilaspur-Chhattisgarh/Rishabh-Grand-Musical-Events-Near-Zora-Talab-Sarkanda/9999P7752-7752-201119202015-S9F7_BZDET,5,https://content.jdmagicbox.com/comp/bilaspur-chhattisgarh/f7/9999p7752.7752.201119202015.s9f7/catalogue/rishabh-musical-orchestra-band-sarkanda-bilaspur-chhattisgarh-event-organisers-for-theme-parties-gst0q5vbil.jpg;https://content.jdmagicbox.com/comp/bilaspur-chhattisgarh/f7/9999p7752.7752.201119202015.s9f7/catalogue/rishabh-musical-orchestra-band-sarkanda-bilaspur-chhattisgarh-event-organisers-s61z97tmck.jpg;https://content.jdmagicbox.com/comp/bilaspur-chhattisgarh/f7/9999p7752.7752.201119202015.s9f7/catalogue/rishabh-musical-orchestra-band-sarkanda-bilaspur-chhattisgarh-event-organisers-for-theme-parties-wm2yys2w9k.jpg;https://content.jdmagicbox.com/comp/bilaspur-chhattisgarh/f7/9999p7752.7752.201119202015.s9f7/catalogue/rishabh-musical-orchestra-band-sarkanda-bilaspur-chhattisgarh-event-organisers-for-theme-parties-yfbf0qclnw.jpg;https://content.jdmagicbox.com/comp/bilaspur-chhattisgarh/f7/9999p7752.7752.201119202015.s9f7/catalogue/rishabh-musical-orchestra-band-sarkanda-bilaspur-chhattisgarh-event-organisers-4hn6upy6ny.jpg,,
Jmd Audio & Decorators,,, Chingrajpara,Amraiya Chowk Chingrajpara Appollo Road Chingrajpara,bilaspur-chhattisgarh,4.7,7 Ratings,"Disc Jockey, Wedding Planners",22.0875783,82.1697242,495006,9999P7752.7752.220311012307.G8S5,https://www.justdial.com/Bilaspur-Chhattisgarh/Jmd-Audio-Decorators-Chingrajpara/9999P7752-7752-220311012307-G8S5_BZDET,4.7,https://content.jdmagicbox.com/comp/bilaspur-chhattisgarh/s5/9999p7752.7752.220311012307.g8s5/catalogue/jmd-audio-and-decorators-idgah-chowk-bilaspur-chhattisgarh-disc-jockey-9glnv98kto.jpg;https://content.jdmagicbox.com/v2/comp/bilaspur-chhattisgarh/s5/9999p7752.7752.220311012307.g8s5/catalogue/jmd-audio-and-decorators-idgah-chowk-bilaspur-chhattisgarh-disc-jockey-piceszn66r.jpg;https://content.jdmagicbox.com/comp/bilaspur-chhattisgarh/s5/9999p7752.7752.220311012307.g8s5/catalogue/jmd-audio-and-decorators-idgah-chowk-bilaspur-chhattisgarh-disc-jockey-muhbw68zkt.jpg;https://content.jdmagicbox.com/comp/bilaspur-chhattisgarh/s5/9999p7752.7752.220311012307.g8s5/catalogue/jmd-audio-and-decorators-idgah-chowk-bilaspur-chhattisgarh-disc-jockey-gbjju8aebl.jpg;https://content.jdmagicbox.com/v2/comp/bilaspur-chhattisgarh/s5/9999p7752.7752.220311012307.g8s5/catalogue/jmd-audio-and-decorators-idgah-chowk-bilaspur-chhattisgarh-disc-jockey-x6f78tbapk.jpg,,
Anb Events Services,,,Shiv Temple Street Vidya Nagar,Chhattisgarh Vidya Nagar,bilaspur-chhattisgarh,4.5,6 Ratings,"Balloon Decorators, Event Organisers",22.0721242,82.158615,495004,9999P7752.7752.230209180241.E4Y9,https://www.justdial.com/Bilaspur-Chhattisgarh/Anb-Events-Services-Shiv-Temple-Street-Vidya-Nagar/9999P7752-7752-230209180241-E4Y9_BZDET,4.5,https://content.jdmagicbox.com/v2/comp/bilaspur-chhattisgarh/y9/9999p7752.7752.230209180241.e4y9/catalogue/anb-events-services-vidya-nagar-bilaspur-chhattisgarh-event-management-companies-2cdz6kdqpk.jpg;https://content.jdmagicbox.com/v2/comp/bilaspur-chhattisgarh/y9/9999p7752.7752.230209180241.e4y9/catalogue/anb-events-services-vidya-nagar-bilaspur-chhattisgarh-event-management-companies-9jgvz4a6kv.jpg;https://content.jdmagicbox.com/v2/comp/bilaspur-chhattisgarh/y9/9999p7752.7752.230209180241.e4y9/catalogue/anb-events-services-vidya-nagar-bilaspur-chhattisgarh-event-management-companies-ysr6oqjftb.jpg;https://content.jdmagicbox.com/v2/comp/bilaspur-chhattisgarh/y9/9999p7752.7752.230209180241.e4y9/catalogue/anb-events-services-vidya-nagar-bilaspur-chhattisgarh-event-management-companies-wjo60xmbnu.jpg;https://content.jdmagicbox.com/v2/comp/bilaspur-chhattisgarh/y9/9999p7752.7752.230209180241.e4y9/catalogue/anb-events-services-vidya-nagar-bilaspur-chhattisgarh-event-management-companies-t5w7pjwxz1.jpg,,
Sa Re Ga Ma Events,,,Near Sigra Chauraha Sigra Chauraha,Rathyatra Sigra Road Sigra Chauraha,varanasi,4.8,25 Ratings,"Event Organisers, Anchoring Services",25.3101752,82.9898817,221010,0542PX542.X542.260107120538.D5R9,https://www.justdial.com/Varanasi/Sa-Re-Ga-Ma-Events-Near-Sigra-Chauraha-Sigra-Chauraha/0542PX542-X542-260107120538-D5R9_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/varanasi/r9/0542px542.x542.260107120538.d5r9/catalogue/sa-re-ga-ma-events-sigra-chauraha-varanasi-event-organisers-96jvhlifpp.jpg;https://content.jdmagicbox.com/v2/comp/varanasi/r9/0542px542.x542.260107120538.d5r9/catalogue/sa-re-ga-ma-events-sigra-chauraha-varanasi-event-organisers-uldb76pjuy.jpg;https://content.jdmagicbox.com/v2/comp/varanasi/r9/0542px542.x542.260107120538.d5r9/catalogue/sa-re-ga-ma-events-sigra-chauraha-varanasi-event-organisers-ok1tvmg8j8.jpg;https://content.jdmagicbox.com/v2/comp/varanasi/r9/0542px542.x542.260107120538.d5r9/catalogue/sa-re-ga-ma-events-sigra-chauraha-varanasi-event-organisers-alke5k3rn1.jpg,1,1
Frank Events Entertainment And Promotions,,,Near Shiv Mandir Vidya Nagar,Modi Kirana Vidya Nagar,Bilaspur-Chhattisgarh,4.9,55 Ratings,"Corporate Companies, Event Organisers",22.055963888889,82.130388888889,495004,9999P7752.7752.180928184021.L4G6,https://www.justdial.com/Bilaspur-Chhattisgarh/Frank-Events-Entertainment-And-Promotions-Near-Shiv-Mandir-Vidya-Nagar/9999P7752-7752-180928184021-L4G6_BZDET,4.9,https://content.jdmagicbox.com/comp/bilaspur-chhattisgarh/g6/9999p7752.7752.180928184021.l4g6/catalogue/frank-events-entertainment-and-promotions-vidya-nagar-bilaspur-chhattisgarh-event-organisers-for-dance-parties-g2cj1blwp8.jpg;https://content.jdmagicbox.com/v2/comp/bilaspur-chhattisgarh/g6/9999p7752.7752.180928184021.l4g6/catalogue/frank-events-entertainment-and-promotions-vidya-nagar-bilaspur-chhattisgarh-event-organisers-1uizr.jpg;https://content.jdmagicbox.com/comp/bilaspur-chhattisgarh/g6/9999p7752.7752.180928184021.l4g6/catalogue/frank-events-entertainment-and-promotions-vidya-nagar-bilaspur-chhattisgarh-event-organisers-for-dance-parties-a0krkff7n8.jpg;https://content.jdmagicbox.com/comp/bilaspur-chhattisgarh/g6/9999p7752.7752.180928184021.l4g6/catalogue/frank-events-entertainment-and-promotions-vidya-nagar-bilaspur-chhattisgarh-event-organisers-for-dance-parties-scefqdzmuo.jpg;https://content.jdmagicbox.com/comp/bilaspur-chhattisgarh/g6/9999p7752.7752.180928184021.l4g6/catalogue/frank-events-entertainment-and-promotions-vidya-nagar-bilaspur-chhattisgarh-event-organisers-for-dance-parties-i0v998hx51.jpg,,
