name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Artist On Demand - Artist Management Company,,, Trilok Puri,24/134 Trilok Puri,delhi,4,2 Ratings,Artist Management Event Organisers,28.608506,77.307582,110091,011PXX11.XX11.221204222952.H7C3,https://www.justdial.com/Delhi/Artist-On-Demand-Artist-Management-Company-Trilok-Puri/011PXX11-XX11-221204222952-H7C3_BZDET,4,https://content.jdmagicbox.com/v2/comp/delhi/c3/011pxx11.xx11.221204222952.h7c3/catalogue/artist-on-demand-artist-management-company-trilokpuri-delhi-artist-management-event-organisers-x8kehrzhuh.jpg;https://content.jdmagicbox.com/v2/comp/delhi/c3/011pxx11.xx11.221204222952.h7c3/catalogue/artist-on-demand-artist-management-company-trilokpuri-delhi-artist-management-event-organisers-ow7sbg47jk.jpg,,0
Enkore - Artist & Celebrity Management Company,,, Janakpuri,Janakpuri,delhi,4.9,25 Ratings,"Event Organisers, Event Management Companies",28.6295538,77.0801899,110058,011PXX11.XX11.220115164044.W8Q7,https://www.justdial.com/Delhi/Enkore-Artist-Celebrity-Management-Company-Janakpuri/011PXX11-XX11-220115164044-W8Q7_BZDET,4.9,https://content.jdmagicbox.com/comp/delhi/q7/011pxx11.xx11.220115164044.w8q7/catalogue/enkore-artist-and-celebrity-management-company-janakpuri-delhi-artist-management-event-organisers-921o4uox7f.jpg;https://content.jdmagicbox.com/v2/comp/delhi/q7/011pxx11.xx11.220115164044.w8q7/catalogue/enkore-artist-and-celebrity-management-company-janakpuri-delhi-artist-management-event-organisers-853gb5deio.jpg;https://content.jdmagicbox.com/v2/comp/delhi/q7/011pxx11.xx11.220115164044.w8q7/catalogue/enkore-artist-and-celebrity-management-company-janakpuri-delhi-artist-management-event-organisers-66my4fff6h.jpg;https://content.jdmagicbox.com/v2/comp/delhi/q7/011pxx11.xx11.220115164044.w8q7/catalogue/enkore-artist-and-celebrity-management-company-janakpuri-delhi-artist-management-event-organisers-i643xoj4ex.jpg;https://content.jdmagicbox.com/v2/comp/delhi/q7/011pxx11.xx11.220115164044.w8q7/catalogue/enkore-artist-and-celebrity-management-company-janakpuri-delhi-artist-management-event-organisers-npy7abw6zk.jpg,,0
MusicMates Artist Management Co.,,,Petrol Pump Rohini Sector 6,Sector 6 Rohini Delhi Rohini Sector 6,delhi,4.9,7 Ratings,"Event Organisers, Wedding Bands",28.74317676,77.12262324,110085,011PXX11.XX11.190811231014.Y6Z2,https://www.justdial.com/Delhi/MusicMates-Artist-Management-Co-Petrol-Pump-Rohini-Sector-6/011PXX11-XX11-190811231014-Y6Z2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/delhi/z2/011pxx11.xx11.190811231014.y6z2/catalogue/musicmates-artist-management-co-rohini-sector-6-delhi-live-band-organisers-vw38id5isz.jpg;https://content.jdmagicbox.com/v2/comp/delhi/z2/011pxx11.xx11.190811231014.y6z2/catalogue/musicmates-the-band-rohini-sector-6-delhi-live-band-organisers-fmroqkysz7.jpg;https://content.jdmagicbox.com/v2/comp/delhi/z2/011pxx11.xx11.190811231014.y6z2/catalogue/musicmates-artist-management-co-rohini-sector-6-delhi-live-band-organisers-qwof6o1k1b.jpg;https://content.jdmagicbox.com/v2/comp/delhi/z2/011pxx11.xx11.190811231014.y6z2/catalogue/musicmates-the-band-rohini-sector-6-delhi-live-band-organisers-c7lvdkv893.jpg;https://content.jdmagicbox.com/v2/comp/delhi/z2/011pxx11.xx11.190811231014.y6z2/catalogue/musicmates-the-band-rohini-sector-6-delhi-live-band-organisers-9t1uods7a2.jpg,,0
Reves Artist Management Company,,,Fun Cinema Pitampura,Jevan Jyoti Apartment Pitampura,delhi,0,0 ,"Dance Troupe, Bhangra Dance Troupe",28.691609,77.148334,110034,011PXX11.XX11.180821140520.W6I9,https://www.justdial.com/Delhi/Reves-Artist-Management-Company-Fun-Cinema-Pitampura/011PXX11-XX11-180821140520-W6I9_BZDET,0,https://content.jdmagicbox.com/v2/comp/delhi/i9/011pxx11.xx11.180821140520.w6i9/catalogue/delhi-mixa0dbut5.jpg,,0
Enkore Artist Management Company,,,Near Puri Baker Paschim Vihar,Police Colony Paschim Vihar,delhi,0,0 ,"Event Organisers, Musicians",28.672516,77.120798,110063,011PXX11.XX11.210211172525.J8E4,https://www.justdial.com/Delhi/Enkore-Artist-Management-Company-Near-Puri-Baker-Paschim-Vihar/011PXX11-XX11-210211172525-J8E4_BZDET,0,https://content.jdmagicbox.com/comp/def_content/event-management-companies/shutterstock-246814402-event-management-companies-8-921aj.jpg,,0
Artist International Entertainment Pvt Ltd,,,Shiv Mandir Noida Sector 12,Plot No N 59 Noida Sector 12,delhi,5,5 Ratings,"Event Management Companies, Wedding Planners",28.5962491,77.3396212,201301,011PXX11.XX11.200724131722.Z6C4,https://www.justdial.com/Noida/Artist-International-Entertainment-Pvt-Ltd-Shiv-Mandir-Noida-Sector-12/011PXX11-XX11-200724131722-Z6C4_BZDET,5,https://content.jdmagicbox.com/comp/noida/c4/011pxx11.xx11.200724131722.z6c4/catalogue/artist-international-entertainment-pvt-ltd-noida-sector-12-noida-vww3v9yjo4.jpg;https://content.jdmagicbox.com/comp/noida/c4/011pxx11.xx11.200724131722.z6c4/catalogue/artist-international-entertainment-pvt-ltd-noida-sector-12-noida-l2g1jfonvh.jpg;https://content.jdmagicbox.com/comp/noida/c4/011pxx11.xx11.200724131722.z6c4/catalogue/artist-international-entertainment-pvt-ltd-noida-sector-12-noida-7geacxm33p.jpg;https://content.jdmagicbox.com/comp/noida/c4/011pxx11.xx11.200724131722.z6c4/catalogue/artist-international-entertainment-pvt-ltd-noida-sector-12-noida-sqqgjk67df.jpg;https://content.jdmagicbox.com/comp/noida/c4/011pxx11.xx11.200724131722.z6c4/catalogue/artist-international-entertainment-pvt-ltd-noida-sector-12-noida-35pyb1r7lj.jpg,,0
Artist For Events,,,Opposite Piler No 471Near Subash Nagar Metro Station Subhash Nagar,Wz 8 Basement Meenakshi Garden Subhash Nagar,delhi,4,2 Ratings,Event Management Companies,28.6339261,77.1113663,110027,011PXX11.XX11.240522120359.E1A2,https://www.justdial.com/Delhi/Artist-For-Events-Opposite-Piler-No-471Near-Subash-Nagar-Metro-Station-Subhash-Nagar/011PXX11-XX11-240522120359-E1A2_BZDET,4,https://content.jdmagicbox.com/comp/def_content/event-management-companies/shutterstock-318614150-event-management-companies-5-cdfoj.jpg,,0
Aarch Artist Event Management,,, Hadapsar,Hadapsar,pune,0,0 ,"Event Organisers, Event Management Companies",18.498514,73.93453,411028,020PXX20.XX20.190805113421.K4P4,https://www.justdial.com/Pune/Aarch-Artist-Event-Management-Hadapsar/020PXX20-XX20-190805113421-K4P4_BZDET,0,https://content.jdmagicbox.com/comp/def_content/event-management-companies/event-management-1-event-management-companies-1-o295y.jpg,,0
Art Potli Artist Management Company,,,Balewadi High Street Ashok Nagar,Near Balewadi Hightstreet Ashok Nagar,pune,5,11 Ratings,"Event Organisers, Disc Jockey",18.541588,73.837456,411007,020PXX20.XX20.230531164048.V4E6,https://www.justdial.com/Pune/Art-Potli-Artist-Management-Company-Balewadi-High-Street-Ashok-Nagar/020PXX20-XX20-230531164048-V4E6_BZDET,5,https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-8697ymin8d.jpg;https://content.jdmagicbox.com/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-3stu10nipt.jpg;https://content.jdmagicbox.com/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-oo5edu8tj8.jpg;https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-62ssyxi0bq.jpg;https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-eal4xup8vo.jpg,,0
Pearle Models,,, East Patel Nagar,East Patel Nagar,Delhi,4.1,27 Ratings,"Photographers, Disc Jockey",28.6455871,77.1690606,110008,011PXX11.XX11.190118103132.P3V8,https://www.justdial.com/Delhi/Pearle-Models-East-Patel-Nagar/011PXX11-XX11-190118103132-P3V8_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/delhi/v8/011pxx11.xx11.190118103132.p3v8/catalogue/pearle-models-east-patel-nagar-delhi-event-organisers-we5gvwolak.jpg;https://content.jdmagicbox.com/v2/comp/delhi/v8/011pxx11.xx11.190118103132.p3v8/catalogue/pearle-models-east-patel-nagar-delhi-modelling-agencies-apd03ohkxf.jpg;https://content.jdmagicbox.com/v2/comp/delhi/v8/011pxx11.xx11.190118103132.p3v8/catalogue/pearle-models-east-patel-nagar-delhi-modelling-agencies-wobmjq5iqo.jpg;https://content.jdmagicbox.com/v2/comp/delhi/v8/011pxx11.xx11.190118103132.p3v8/catalogue/pearle-models-east-patel-nagar-delhi-choreographers-iuj8zmfx7w.jpg;https://content.jdmagicbox.com/v2/comp/delhi/v8/011pxx11.xx11.190118103132.p3v8/catalogue/pearle-models-east-patel-nagar-delhi-choreographers-4mnj2q9zz4.jpg,1,1
