name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
Dream Eventz,,,NAVELIM CHURCH Margao,Villanova Estate Margao,goa,4.4,8 Ratings,"Event Organisers, Decorators",15.2687958,73.9667885,403601,0832PX832.X832.191101153057.D2U7,https://www.justdial.com/Goa/Dream-Eventz-Navelim-Church-Margao/0832PX832-X832-191101153057-D2U7_BZDET,4.4,https://content.jdmagicbox.com/comp/goa/u7/0832px832.x832.191101153057.d2u7/catalogue/dream-eventz-margao-goa-wedding-planners-77st2e3acb.jpg;https://content.jdmagicbox.com/comp/goa/u7/0832px832.x832.191101153057.d2u7/catalogue/dream-eventz-margao-goa-wedding-planners-l1obe1919b.jpg;https://content.jdmagicbox.com/comp/goa/u7/0832px832.x832.191101153057.d2u7/catalogue/dream-eventz-margao-goa-destination-wedding-planners-46zjt9rw6n.jpg;https://content.jdmagicbox.com/comp/goa/u7/0832px832.x832.191101153057.d2u7/catalogue/dream-eventz-margao-goa-destination-wedding-planners-vqojlip5kc.jpg;https://content.jdmagicbox.com/comp/goa/u7/0832px832.x832.191101153057.d2u7/catalogue/dream-eventz-margao-goa-wedding-planners-1g8egfycml.jpg,1,1
Bigfat Weddings,,,Opposite Hotel Cidade De Goa Donapaula,Bella Vista Colony Lane Donapaula,goa,4.9,508 Ratings,"Event Organisers, Wedding Planners",15.4601343,73.8115168,403004,0832PX832.X832.220519003117.R3G7,https://www.justdial.com/Goa/Bigfat-Weddings-Opposite-Hotel-Cidade-De-Goa-Donapaula/0832PX832-X832-220519003117-R3G7_BZDET,4.9,https://content.jdmagicbox.com/comp/goa/g7/0832px832.x832.220519003117.r3g7/catalogue/bigfat-weddings-donapaula-goa-wedding-planners-utn2zawm12.jpg;https://content.jdmagicbox.com/comp/goa/g7/0832px832.x832.220519003117.r3g7/catalogue/bigfat-weddings-donapaula-goa-wedding-planners-3424f9bxgq.jpg;https://content.jdmagicbox.com/comp/goa/g7/0832px832.x832.220519003117.r3g7/catalogue/bigfat-weddings-donapaula-goa-wedding-planners-v556y6e0tr.jpg;https://content.jdmagicbox.com/comp/goa/g7/0832px832.x832.220519003117.r3g7/catalogue/bigfat-weddings-donapaula-goa-wedding-planners-edkj6h22x9.jpg;https://content.jdmagicbox.com/comp/goa/g7/0832px832.x832.220519003117.r3g7/catalogue/bigfat-weddings-donapaula-goa-wedding-planners-znvmkgbtk7.jpg,,
Exotic Goa,,,Near KTC Bust Stand Margao,OSIA Mall Margao,Goa,4.9,384 Ratings,"Photographers, Caterers",15.2860634,73.9562465,403601,0832PX832.X832.190107205507.X5Z8,https://www.justdial.com/Goa/Exotic-Goa-Near-Ktc-Bust-Stand-Margao/0832PX832-X832-190107205507-X5Z8_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/goa/z8/0832px832.x832.190107205507.x5z8/catalogue/exotic-goa-margao-goa-wedding-photographers-ybkuw704cd.jpg;https://content.jdmagicbox.com/v2/comp/goa/z8/0832px832.x832.190107205507.x5z8/catalogue/exotic-goa-margao-goa-wedding-photographers-5xus4op7uz.jpg;https://content.jdmagicbox.com/comp/goa/z8/0832px832.x832.190107205507.x5z8/catalogue/exotic-goa-margao-goa-corporate-companies-ib7sq71apf.jpg;https://content.jdmagicbox.com/v2/comp/goa/z8/0832px832.x832.190107205507.x5z8/catalogue/exotic-goa-margao-goa-wedding-photographers-pid3szdn2u.jpg;https://content.jdmagicbox.com/v2/comp/goa/z8/0832px832.x832.190107205507.x5z8/catalogue/exotic-goa-margao-goa-wedding-photographers-qv4vbpu6gr.jpg,1,1
Menezes Lawns Bastora,,, Bastora,Mapusa Moira Road Bastora,Goa,4.2,430 Ratings,"Wedding Planners, Marriage Lawns",15.5887638,73.82566,403507,0832PX832.X832.180611033524.Q5U2,https://www.justdial.com/Goa/Menezes-Lawns-Bastora-Bastora/0832PX832-X832-180611033524-Q5U2_BZDET,4.2,https://content.jdmagicbox.com/v2/comp/goa/u2/0832px832.x832.180611033524.q5u2/catalogue/menezes-lawns-bastora-bastora-goa-destination-wedding-planners-cODaQF6tjH.jpg;https://content.jdmagicbox.com/v2/comp/goa/u2/0832px832.x832.180611033524.q5u2/catalogue/menezes-lawns-bastora-bastora-goa-destination-wedding-planners-0txGUJ55VK.jpg;https://content.jdmagicbox.com/v2/comp/goa/u2/0832px832.x832.180611033524.q5u2/catalogue/menezes-lawns-bastora-goa-canca-goa-wedding-decorators-5ge7czeknm.jpg;https://content.jdmagicbox.com/v2/comp/goa/u2/0832px832.x832.180611033524.q5u2/catalogue/menezes-lawns-bastora-bastora-goa-destination-wedding-planners-2Y41hH9dDH.jpg;https://content.jdmagicbox.com/v2/comp/goa/u2/0832px832.x832.180611033524.q5u2/catalogue/menezes-lawns-bastora-bastora-goa-destination-wedding-planners-Dy4WUnf08X.jpg,,
Rehab By Wild Flower,,,Behind Fish Market Arambol Madhalawada,Rehab Sports Bar By Wild Flower Arambol Bridge Madhalawada,goa,3.7,50 Ratings,Entertainment Agencies,15.6843671,73.7110711,403524,0832PX832.X832.250508054517.Y1W6,https://www.justdial.com/Goa/Rehab-By-Wild-Flower-Behind-Fish-Market-Arambol-Madhalawada/0832PX832-X832-250508054517-Y1W6_BZDET,3.7,https://content.jdmagicbox.com/v2/comp/goa/w6/0832px832.x832.250508054517.y1w6/catalogue/rehab-by-wild-flower-goa-entertainment-agencies-588xc0l1fw.jpg;https://content.jdmagicbox.com/v2/comp/goa/w6/0832px832.x832.250508054517.y1w6/catalogue/rehab-by-wild-flower-goa-entertainment-agencies-l8ni4gtftp.jpg;https://content.jdmagicbox.com/v2/comp/goa/w6/0832px832.x832.250508054517.y1w6/catalogue/rehab-by-wild-flower-goa-entertainment-agencies-znnf6p2akt.jpg;https://content.jdmagicbox.com/v2/comp/goa/w6/0832px832.x832.250508054517.y1w6/catalogue/rehab-by-wild-flower-goa-entertainment-agencies-emfncgojbw.jpg;https://content.jdmagicbox.com/v2/comp/goa/w6/0832px832.x832.250508054517.y1w6/catalogue/rehab-by-wild-flower-goa-entertainment-agencies-q2k7wg45ze.jpg,,
