name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
All Rise Artist Management Company,,, Ramachandra Puram,Ashok Nagar Ramachandra Puram,hyderabad,0,0 ,Artist Management Event Organisers,17.510896,78.286586,502032,040PXX40.XX40.200107060738.Y8F5,https://www.justdial.com/Hyderabad/All-Rise-Artist-Management-Company-Ramachandra-Puram/040PXX40-XX40-200107060738-Y8F5_BZDET,0,https://content.jdmagicbox.com/comp/def_content/event_organisers/default-event-organisers-0.jpg,,0
Artist On Demand - Artist Management Company,,, Trilok Puri,24/134 Trilok Puri,delhi,4,2 Ratings,Artist Management Event Organisers,28.608506,77.307582,110091,011PXX11.XX11.221204222952.H7C3,https://www.justdial.com/Delhi/Artist-On-Demand-Artist-Management-Company-Trilok-Puri/011PXX11-XX11-221204222952-H7C3_BZDET,4,https://content.jdmagicbox.com/v2/comp/delhi/c3/011pxx11.xx11.221204222952.h7c3/catalogue/artist-on-demand-artist-management-company-trilokpuri-delhi-artist-management-event-organisers-x8kehrzhuh.jpg;https://content.jdmagicbox.com/v2/comp/delhi/c3/011pxx11.xx11.221204222952.h7c3/catalogue/artist-on-demand-artist-management-company-trilokpuri-delhi-artist-management-event-organisers-ow7sbg47jk.jpg,,0
Aarch Artist Event Management,,, Hadapsar,Hadapsar,pune,0,0 ,"Event Organisers, Event Management Companies",18.498514,73.93453,411028,020PXX20.XX20.190805113421.K4P4,https://www.justdial.com/Pune/Aarch-Artist-Event-Management-Hadapsar/020PXX20-XX20-190805113421-K4P4_BZDET,0,https://content.jdmagicbox.com/comp/def_content/event-management-companies/event-management-1-event-management-companies-1-o295y.jpg,,0
Art Potli Artist Management Company,,,Balewadi High Street Ashok Nagar,Near Balewadi Hightstreet Ashok Nagar,pune,5,11 Ratings,"Event Organisers, Disc Jockey",18.541588,73.837456,411007,020PXX20.XX20.230531164048.V4E6,https://www.justdial.com/Pune/Art-Potli-Artist-Management-Company-Balewadi-High-Street-Ashok-Nagar/020PXX20-XX20-230531164048-V4E6_BZDET,5,https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-8697ymin8d.jpg;https://content.jdmagicbox.com/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-3stu10nipt.jpg;https://content.jdmagicbox.com/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-oo5edu8tj8.jpg;https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-62ssyxi0bq.jpg;https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-eal4xup8vo.jpg,,0
S4 Events and artist management,,,Near By High Street 2 Balewadi Baner,Balewadi-Baner,pune,5,1 Rating,"Anchoring Services, Birthday Party Organisers",18.58040854447,73.770595358486,411045,020PXX20.XX20.260302163430.C8J2,https://www.justdial.com/Pune/S4-Events-and-artist-management-Near-By-High-Street-2-Balewadi-Baner/020PXX20-XX20-260302163430-C8J2_BZDET,5,https://content.jdmagicbox.com/comp/def_content/anchoring-services/screenshot-2-anchoring-services-3-frzun.jpg,,0
Flamb Artist & Celebrity Management Company,,, Lohegaon,Om Sai Building . Shop No. 1 Ground Floor Lohegaon,pune,4.5,13 Ratings,"Artists, Celebrity Djs",18.59549,73.935278,411047,020PXX20.XX20.200109210734.Q6E8,https://www.justdial.com/Pune/Flamb-Artist-Celebrity-Management-Company-Lohegaon/020PXX20-XX20-200109210734-Q6E8_BZDET,4.5,https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-llehhh54az.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-swwrcn4vgw.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-6zt1u57lbg.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-cbf3hnebuu.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-rfibay37z6.jpg,,0
Ujjval Dance Fitness and Event Company,,,Rajarshi Shahu Jaltaran Talav Rajarampuri,Rajarampuri 8th Lane Rajarampuri,Kolhapur,4.7,82 Ratings,"Colleges, Weight Loss Centres",16.6925075,74.243592,416008,0231PX231.X231.150416131953.I1P9,https://www.justdial.com/Kolhapur/Ujjval-Dance-Fitness-and-Event-Company-Rajarshi-Shahu-Jaltaran-Talav-Rajarampuri/0231PX231-X231-150416131953-I1P9_BZDET,4.7,https://content.jdmagicbox.com/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-efzqg88x3j.jpg;https://content.jdmagicbox.com/v2/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-for-bollywood-tqvjpv9obg.jpg;https://content.jdmagicbox.com/v2/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-for-bollywood-tgkpqj9xay.jpg;https://content.jdmagicbox.com/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-nqemyvacb2.jpg;https://content.jdmagicbox.com/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-12vcjx33kq.jpg,,0
Infinity Designs By Priyanka,,, Vitthal Nagar Chikhali,Vitthal Nagar-Chikhali,pune,5,3 Ratings,"Mehendi Powder Dealers, Mehendi Cone Dealers",18.666666,73.806332,411062,020PXX20.XX20.220608120149.D4Q6,https://www.justdial.com/Pune/Infinity-Designs-By-Priyanka-Vitthal-Nagar-Chikhali/020PXX20-XX20-220608120149-D4Q6_BZDET,5,https://content.jdmagicbox.com/comp/pune/q6/020pxx20.xx20.220608120149.d4q6/catalogue/infinity-designs-by-priyanka-vitthal-nagar-chikhali-pune-artist-management-0j8mdtrgv6.jpg;https://content.jdmagicbox.com/comp/pune/q6/020pxx20.xx20.220608120149.d4q6/catalogue/infinity-designs-by-priyanka-vitthal-nagar-chikhali-pune-artist-management-b78ce2unne.jpg,,0
Asmita Artist,,, Deccan Gymkhana,J M Road Deccan Gymkhana,pune,3,1 Rating,Stage Management Services,18.5148334,73.8377166,411004,020PXX20.XX20.131227112557.A9L3,https://www.justdial.com/Pune/Asmita-Artist-Deccan-Gymkhana/020PXX20-XX20-131227112557-A9L3_BZDET,3,https://content.jdmagicbox.com/comp/def_content/management-development/screenshot-4-management-development-4-tf1yh.jpg,,0
Bling N' Bliss,,, Kaziguda,Kompally Hyderabad Kaziguda,hyderabad,4.8,571 Ratings,Entertainment Agencies,17.5433514,78.4769387,500100,040PXX40.XX40.240117120354.T7P7,https://www.justdial.com/Rangareddy/Bling-N-Bliss-Kaziguda/040PXX40-XX40-240117120354-T7P7_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/rangareddy/p7/040pxx40.xx40.240117120354.t7p7/catalogue/bling-n-bliss-kaziguda-rangareddy-entertainment-agencies-nxmgsjmrkj.jpg;https://content.jdmagicbox.com/v2/comp/rangareddy/p7/040pxx40.xx40.240117120354.t7p7/catalogue/bling-n-bliss-kaziguda-rangareddy-entertainment-agencies-a10vss1o7y.jpg;https://content.jdmagicbox.com/v2/comp/rangareddy/p7/040pxx40.xx40.240117120354.t7p7/catalogue/bling-n-bliss-kaziguda-rangareddy-entertainment-agencies-tcuf8w27o7.jpg;https://content.jdmagicbox.com/v2/comp/rangareddy/p7/040pxx40.xx40.240117120354.t7p7/catalogue/bling-n-bliss-kaziguda-rangareddy-entertainment-agencies-0ccvcbvfoo.jpg;https://content.jdmagicbox.com/v2/comp/rangareddy/p7/040pxx40.xx40.240117120354.t7p7/catalogue/bling-n-bliss-kaziguda-rangareddy-entertainment-agencies-j4zgagx3v2.jpg,,
