name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
Abhishek Bhargava,,, Vijay Nagar,A.B. Bypass Madhya Pradesh Vijay Nagar,indore,4.8,65 Ratings,Entertainment Agencies,22.7552436,75.8966246,452010,0731PX731.X731.230115131910.H1D3,https://www.justdial.com/Indore/Abhishek-Bhargava-Vijay-Nagar/0731PX731-X731-230115131910-H1D3_BZDET,4.8,https://content.jdmagicbox.com/comp/indore/d3/0731px731.x731.230115131910.h1d3/catalogue/abhishek-bhargava-indore-entertainment-agencies-mm4kv53h72.jpg;https://content.jdmagicbox.com/comp/indore/d3/0731px731.x731.230115131910.h1d3/catalogue/abhishek-bhargava-indore-entertainment-agencies-fh9nr5mlzs.jpg;https://content.jdmagicbox.com/comp/indore/d3/0731px731.x731.230115131910.h1d3/catalogue/abhishek-bhargava-indore-entertainment-agencies-ib03otj0z1.jpg;https://content.jdmagicbox.com/comp/indore/d3/0731px731.x731.230115131910.h1d3/catalogue/abhishek-bhargava-indore-entertainment-agencies-jxrsw1bjy9.jpg;https://content.jdmagicbox.com/comp/indore/d3/0731px731.x731.230115131910.h1d3/catalogue/abhishek-bhargava-indore-entertainment-agencies-4usk9xm3a7.jpg,,
Talkconcepts,,,Opposite The Genius School Saket Nagar,Saket Nagar,Indore,4.5,28 Ratings,"Real Estate Agents, Event Organisers",22.7067739,75.9151962,452018,0731PX731.X731.130710110453.E3S7,https://www.justdial.com/Indore/Talkconcepts-Opposite-The-Genius-School-Saket-Nagar/0731PX731-X731-130710110453-E3S7_BZDET,4.5,https://content.jdmagicbox.com/comp/indore/s7/0731px731.x731.130710110453.e3s7/catalogue/talkconcepts-saket-nagar-indore-event-organisers-for-dance-parties-4yjckmthz6.jpg;https://content.jdmagicbox.com/comp/indore/s7/0731px731.x731.130710110453.e3s7/catalogue/talkconcepts-saket-nagar-indore-event-organisers-for-dance-parties-wkvjh5bd4k.jpg;https://content.jdmagicbox.com/comp/indore/s7/0731px731.x731.130710110453.e3s7/catalogue/talkconcepts-saket-nagar-indore-event-organisers-for-dance-parties-lfm15pgci7.jpg;https://content.jdmagicbox.com/comp/indore/s7/0731px731.x731.130710110453.e3s7/catalogue/talkconcepts-saket-nagar-indore-event-organisers-for-dance-parties-nnc3a8vcix.jpg;https://content.jdmagicbox.com/comp/indore/s7/0731px731.x731.130710110453.e3s7/catalogue/talkconcepts-saket-nagar-indore-event-organisers-for-dance-parties-si63pi1n7b.jpg,,
Apsk Production & Entertainment Pvt Ltd,,, Shalimar Township,Shalimar Township,indore,3,36 Ratings,Entertainment Agencies,22.7640746,75.8986943,452010,0731PX731.X731.231006021927.B5U1,https://www.justdial.com/Indore/Apsk-Production-Entertainment-Pvt-Ltd-Shalimar-Township/0731PX731-X731-231006021927-B5U1_BZDET,3,https://content.jdmagicbox.com/v2/comp/indore/u1/0731px731.x731.231006021927.b5u1/catalogue/apsk-production-and-entertainment-pvt-ltd-shalimar-township-indore-entertainment-agencies-qjqOWJAWWK.jpg,,
Youva Entertainment And Marketers,,,Near Mount Carmel School Sukhliya,109Shyaam Nagar(Main) Sukhliya,indore,4.7,17 Ratings,Entertainment Agencies,22.756605,75.866665,452010,0731PX731.X731.191210205534.V6K4,https://www.justdial.com/Indore/Youva-Entertainment-And-Marketers-Near-Mount-Carmel-School-Sukhliya/0731PX731-X731-191210205534-V6K4_BZDET,4.7,https://content.jdmagicbox.com/comp/indore/k4/0731px731.x731.191210205534.v6k4/catalogue/youva-entertainment-and-marketers-sukhliya-indore-entertainment-agencies-7c7nxmmyz0.jpg;https://content.jdmagicbox.com/comp/indore/k4/0731px731.x731.191210205534.v6k4/catalogue/youva-entertainment-and-marketers-sukhliya-indore-entertainment-agencies-d53qalgfjh.jpg;https://content.jdmagicbox.com/comp/indore/k4/0731px731.x731.191210205534.v6k4/catalogue/youva-entertainment-and-marketers-sukhliya-indore-entertainment-agencies-d53qalgfjh-250.jpg,,
Akshar'S Poetic Lounge-Mohalla Muhabbat Ka,,, Ashok Nagar,Sapna Sangita Sneash Ashok Nagar,indore,4.3,18 Ratings,Entertainment Agencies,22.700364,75.868732,452001,0731PX731.X731.230323105647.B5E6,https://www.justdial.com/Indore/AksharS-Poetic-Lounge-Mohalla-Muhabbat-Ka-Ashok-Nagar/0731PX731-X731-230323105647-B5E6_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/indore/e6/0731px731.x731.230323105647.b5e6/catalogue/akshar-s-poetic-lounge-mohalla-muhabbat-ka-ashok-nagar-indore-WBgMBzZZbu.jpg;https://content.jdmagicbox.com/v2/comp/indore/e6/0731px731.x731.230323105647.b5e6/catalogue/akshar-s-poetic-lounge-mohalla-muhabbat-ka-ashok-nagar-indore-UJuFc7oS4W.jpg;https://content.jdmagicbox.com/v2/comp/indore/e6/0731px731.x731.230323105647.b5e6/catalogue/akshar-s-poetic-lounge-mohalla-muhabbat-ka-ashok-nagar-indore-dCxFHdNCBr.jpg;https://content.jdmagicbox.com/v2/comp/indore/e6/0731px731.x731.230323105647.b5e6/catalogue/akshar-s-poetic-lounge-mohalla-muhabbat-ka-ashok-nagar-indore-1Egv2TjcWf.jpg;https://content.jdmagicbox.com/v2/comp/indore/e6/0731px731.x731.230323105647.b5e6/catalogue/akshar-s-poetic-lounge-mohalla-muhabbat-ka-ashok-nagar-indore-X3Jc3qZDBV.jpg,,
