name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Glamore- Events & Artist Management Company,,, Sanganer Bazar,Sanganer Bazar,jaipur,0,0 ,"Event Organisers, Event Management Companies",26.7846607,75.8092769,302029,0141PX141.X141.260318141906.Y2Z2,https://www.justdial.com/Jaipur/Glamore-Events-Artist-Management-Company-Sanganer-Bazar/0141PX141-X141-260318141906-Y2Z2_BZDET,0,https://content.jdmagicbox.com/v2/comp/jaipur/z2/0141px141.x141.260318141906.y2z2/catalogue/glamore-events-and-artist-management-company-jaipur-event-organisers-zv234x5qp8.jpg,,0
Pumpkin Entertainment Artist And Event Management,,, Chhatrasal Nagar,Nandpuri Colony Malviya Nagar Chhatrasal Nagar,jaipur,4.8,11 Ratings,Event Management Companies,26.8348272,75.8256256,302017,0141PX141.X141.240506205342.Q2J9,https://www.justdial.com/Jaipur/Pumpkin-Entertainment-Artist-And-Event-Management-Chhatrasal-Nagar/0141PX141-X141-240506205342-Q2J9_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/jaipur/j9/0141px141.x141.240506205342.q2j9/catalogue/pumpkin-entertainment-artist-and-event-management-chhatrasal-nagar-jaipur-event-management-companies-83qqhuo4zq.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/j9/0141px141.x141.240506205342.q2j9/catalogue/pumpkin-entertainment-artist-and-event-management-chhatrasal-nagar-jaipur-event-management-companies-7hm56ptzx1.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/j9/0141px141.x141.240506205342.q2j9/catalogue/pumpkin-entertainment-artist-and-event-management-chhatrasal-nagar-jaipur-event-management-companies-bkl43o1k5a.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/j9/0141px141.x141.240506205342.q2j9/catalogue/pumpkin-entertainment-artist-and-event-management-chhatrasal-nagar-jaipur-event-management-companies-95rqlwor4d.jpg;https://content.jdmagicbox.com/v2/comp/jaipur/j9/0141px141.x141.240506205342.q2j9/catalogue/pumpkin-entertainment-artist-and-event-management-chhatrasal-nagar-jaipur-event-management-companies-ubmq7up6lx.jpg,,0
We4U Events And Artist Management,,, Amer Road,Vijay Nagar 5e Karbala Amer Road,jaipur,0,0 ,"Wedding Planners, Event Management Companies",26.9522586,75.8417763,302002,0141PX141.X141.230423104632.K2S3,https://www.justdial.com/Jaipur/We4U-Events-And-Artist-Management-Amer-Road/0141PX141-X141-230423104632-K2S3_BZDET,0,https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding7-event-organisers-for-wedding-7-jhru1-event-organisers-for-wedding-5-4w6ry.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding6-event-organisers-for-wedding-6-0ia76-event-organisers-for-wedding-4-jz1ig.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding3-event-organisers-for-wedding-3-3rxun-event-organisers-for-wedding-1-8939d.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding5-event-organisers-for-wedding-5-xfluy-event-organisers-for-wedding-3-1b57a.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding4-event-organisers-for-wedding-4-hjxk3-event-organisers-for-wedding-2-kfera.jpg,,0
Artist On Demand - Artist Management Company,,, Trilok Puri,24/134 Trilok Puri,delhi,4,2 Ratings,Artist Management Event Organisers,28.608506,77.307582,110091,011PXX11.XX11.221204222952.H7C3,https://www.justdial.com/Delhi/Artist-On-Demand-Artist-Management-Company-Trilok-Puri/011PXX11-XX11-221204222952-H7C3_BZDET,4,https://content.jdmagicbox.com/v2/comp/delhi/c3/011pxx11.xx11.221204222952.h7c3/catalogue/artist-on-demand-artist-management-company-trilokpuri-delhi-artist-management-event-organisers-x8kehrzhuh.jpg;https://content.jdmagicbox.com/v2/comp/delhi/c3/011pxx11.xx11.221204222952.h7c3/catalogue/artist-on-demand-artist-management-company-trilokpuri-delhi-artist-management-event-organisers-ow7sbg47jk.jpg,,0
Aarch Artist Event Management,,, Hadapsar,Hadapsar,pune,0,0 ,"Event Organisers, Event Management Companies",18.498514,73.93453,411028,020PXX20.XX20.190805113421.K4P4,https://www.justdial.com/Pune/Aarch-Artist-Event-Management-Hadapsar/020PXX20-XX20-190805113421-K4P4_BZDET,0,https://content.jdmagicbox.com/comp/def_content/event-management-companies/event-management-1-event-management-companies-1-o295y.jpg,,0
Art Potli Artist Management Company,,,Balewadi High Street Ashok Nagar,Near Balewadi Hightstreet Ashok Nagar,pune,5,11 Ratings,"Event Organisers, Disc Jockey",18.541588,73.837456,411007,020PXX20.XX20.230531164048.V4E6,https://www.justdial.com/Pune/Art-Potli-Artist-Management-Company-Balewadi-High-Street-Ashok-Nagar/020PXX20-XX20-230531164048-V4E6_BZDET,5,https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-8697ymin8d.jpg;https://content.jdmagicbox.com/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-3stu10nipt.jpg;https://content.jdmagicbox.com/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-oo5edu8tj8.jpg;https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-62ssyxi0bq.jpg;https://content.jdmagicbox.com/v2/comp/pune/e6/020pxx20.xx20.230531164048.v4e6/catalogue/art-potli-artist-management-company-ashok-nagar-pune-singers-eal4xup8vo.jpg,,0
S4 Events and artist management,,,Near By High Street 2 Balewadi Baner,Balewadi-Baner,pune,5,1 Rating,"Anchoring Services, Birthday Party Organisers",18.58040854447,73.770595358486,411045,020PXX20.XX20.260302163430.C8J2,https://www.justdial.com/Pune/S4-Events-and-artist-management-Near-By-High-Street-2-Balewadi-Baner/020PXX20-XX20-260302163430-C8J2_BZDET,5,https://content.jdmagicbox.com/comp/def_content/anchoring-services/screenshot-2-anchoring-services-3-frzun.jpg,,0
Flamb Artist & Celebrity Management Company,,, Lohegaon,Om Sai Building . Shop No. 1 Ground Floor Lohegaon,pune,4.5,13 Ratings,"Artists, Celebrity Djs",18.59549,73.935278,411047,020PXX20.XX20.200109210734.Q6E8,https://www.justdial.com/Pune/Flamb-Artist-Celebrity-Management-Company-Lohegaon/020PXX20-XX20-200109210734-Q6E8_BZDET,4.5,https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-llehhh54az.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-swwrcn4vgw.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-6zt1u57lbg.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-cbf3hnebuu.jpg;https://content.jdmagicbox.com/comp/pune/e8/020pxx20.xx20.200109210734.q6e8/catalogue/flamb-artist-and-celebrity-management-company-lohegaon-pune-celebrity-djs-rfibay37z6.jpg,,0
Ujjval Dance Fitness and Event Company,,,Rajarshi Shahu Jaltaran Talav Rajarampuri,Rajarampuri 8th Lane Rajarampuri,Kolhapur,4.7,82 Ratings,"Colleges, Weight Loss Centres",16.6925075,74.243592,416008,0231PX231.X231.150416131953.I1P9,https://www.justdial.com/Kolhapur/Ujjval-Dance-Fitness-and-Event-Company-Rajarshi-Shahu-Jaltaran-Talav-Rajarampuri/0231PX231-X231-150416131953-I1P9_BZDET,4.7,https://content.jdmagicbox.com/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-efzqg88x3j.jpg;https://content.jdmagicbox.com/v2/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-for-bollywood-tqvjpv9obg.jpg;https://content.jdmagicbox.com/v2/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-for-bollywood-tgkpqj9xay.jpg;https://content.jdmagicbox.com/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-nqemyvacb2.jpg;https://content.jdmagicbox.com/comp/kolhapur/p9/0231px231.x231.150416131953.i1p9/catalogue/ujjval-dance-fitness-and-event-company-rajarampuri-kolhapur-dance-classes-12vcjx33kq.jpg,,0
Pooja Tent and Events,,,Near By Purana 7 No Bus Stand Jagatpura Getor,200 Feet Mahal Road Jagatpura Getor,jaipur,4.5,12 Ratings,"Event Organisers, Wedding Planners",26.838953427409,75.817002034389,302017,0141PX141.X141.230718121702.B3B6,https://www.justdial.com/Jaipur/Pooja-Tent-and-Events-Near-By-Purana-7-No-Bus-Stand-Jagatpura-Getor/0141PX141-X141-230718121702-B3B6_BZDET,4.5,https://content.jdmagicbox.com/comp/jaipur/b6/0141px141.x141.230718121702.b3b6/catalogue/pooja-tent-and-events-jagatpura-getor-jaipur-event-organisers-y73cdb282a.jpg;https://content.jdmagicbox.com/comp/jaipur/b6/0141px141.x141.230718121702.b3b6/catalogue/pooja-tent-and-events-jagatpura-getor-jaipur-event-organisers-9y2lonxvmh.jpg;https://content.jdmagicbox.com/comp/jaipur/b6/0141px141.x141.230718121702.b3b6/catalogue/pooja-tent-and-events-jagatpura-getor-jaipur-event-organisers-qkmz645ist.jpg;https://content.jdmagicbox.com/comp/jaipur/b6/0141px141.x141.230718121702.b3b6/catalogue/pooja-tent-and-events-jagatpura-getor-jaipur-event-organisers-zwmrzi9z9b.jpg;https://content.jdmagicbox.com/comp/jaipur/b6/0141px141.x141.230718121702.b3b6/catalogue/pooja-tent-and-events-jagatpura-getor-jaipur-event-organisers-i9stscqwhl.jpg,1,1
