name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
The Celebration Store,,,Near Ganesh Vatika Paota,Paota C Road Paota,Jodhpur,4.7,161 Ratings,"Event Organisers, Event Management Companies",26.3025735,73.0449985,342006,0291PX291.X291.181120151948.Z6W4,https://www.justdial.com/Jodhpur/The-Celebration-Store-Near-Ganesh-Vatika-Paota/0291PX291-X291-181120151948-Z6W4_BZDET,4.7,https://content.jdmagicbox.com/comp/jodhpur/w4/0291px291.x291.181120151948.z6w4/catalogue/the-celebration-store-paota-jodhpur-flower-decorators-m4at5zlpjv.jpg;https://content.jdmagicbox.com/comp/jodhpur/w4/0291px291.x291.181120151948.z6w4/catalogue/the-celebration-store-paota-jodhpur-flower-decorators-wb455hfj0x.jpg;https://content.jdmagicbox.com/comp/jodhpur/w4/0291px291.x291.181120151948.z6w4/catalogue/the-celebration-store-paota-jodhpur-flower-decorators-s8l7hlw1e9.jpg;https://content.jdmagicbox.com/comp/jodhpur/w4/0291px291.x291.181120151948.z6w4/catalogue/the-celebration-store-paota-jodhpur-event-organisers-092yxsds07.jpg;https://content.jdmagicbox.com/comp/jodhpur/w4/0291px291.x291.181120151948.z6w4/catalogue/the-celebration-store-paota-jodhpur-flower-decorators-p1t6fpnekr.jpg,1,1
ROLAND MUSIC & EVENTS,,,CHB Chopasni Road,CHB Chopasni Road,Jodhpur,4.6,57 Ratings,"Event Organisers, Event Management Companies",26.299617,72.984256,342003,0291PX291.X291.190108231606.B9W2,https://www.justdial.com/Jodhpur/ROLAND-MUSIC-EVENTS-Chb-Chopasni-Road/0291PX291-X291-190108231606-B9W2_BZDET,4.6,https://content.jdmagicbox.com/comp/jodhpur/w2/0291px291.x291.190108231606.b9w2/catalogue/roland-music-and-events-chopasni-road-jodhpur-orchestra-bands-4znk84os40.jpg;https://content.jdmagicbox.com/comp/jodhpur/w2/0291px291.x291.190108231606.b9w2/catalogue/roland-music-and-events-chopasni-road-jodhpur-orchestra-bands-i1buo4xm7k.jpg;https://content.jdmagicbox.com/comp/service_catalogue/event-management-agencies-0291px291.x291.190108231606.b9w2-hrxo4a1.jpg;https://content.jdmagicbox.com/comp/jodhpur/w2/0291px291.x291.190108231606.b9w2/catalogue/roland-music-and-events-chopasni-road-jodhpur-event-organisers-h9qmwnn15r.jpg;https://content.jdmagicbox.com/comp/jodhpur/w2/0291px291.x291.190108231606.b9w2/catalogue/roland-music-and-events-chopasni-road-jodhpur-orchestra-bands-xzklazmqka.jpg,1,1
Volcana Events and Promos,,,Near ASG Eye Hospital Paota,Deora Tower Paota,JODHPUR,4.6,10 Ratings,"Event Organisers, Photographers",26.299379015084,73.038669892278,342006,0291PX291.X291.121028161201.V3B7,https://www.justdial.com/Jodhpur/Volcana-Events-and-Promos-Near-Asg-Eye-Hospital-Paota/0291PX291-X291-121028161201-V3B7_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/jodhpur/b7/0291px291.x291.121028161201.v3b7/catalogue/volcana-events-and-promos-paota-jodhpur-event-organisers-shc21ozdy5.jpg;https://content.jdmagicbox.com/comp/jodhpur/b7/0291px291.x291.121028161201.v3b7/catalogue/volcana-events-and-promos-paota-jodhpur-event-organisers-049vap8uqz.jpg;https://content.jdmagicbox.com/comp/jodhpur/b7/0291px291.x291.121028161201.v3b7/catalogue/volcana-events-and-promos-paota-jodhpur-event-organisers-0miqjq6m7b.jpg;https://content.jdmagicbox.com/comp/jodhpur/b7/0291px291.x291.121028161201.v3b7/catalogue/volcana-events-and-promos-paota-jodhpur-event-organisers-0srrln3nar.jpg;https://content.jdmagicbox.com/comp/jodhpur/b7/0291px291.x291.121028161201.v3b7/catalogue/volcana-events-and-promos-paota-jodhpur-event-organisers-yzepbvku83.jpg,1,1
Alibaba,,, Sardarpura,Barvi Road Sardarpura,jodhpur,4.9,"1,894 Ratings",Entertainment Agencies,26.2769537,73.0060467,342003,0291PX291.X291.221109011339.E6N2,https://www.justdial.com/Jodhpur/Alibaba-Sardarpura/0291PX291-X291-221109011339-E6N2_BZDET,4.9,https://content.jdmagicbox.com/comp/jodhpur/n2/0291px291.x291.221109011339.e6n2/catalogue/alibaba-sardarpura-jodhpur-entertainment-agencies-tf0b4c3jxj.jpg;https://content.jdmagicbox.com/comp/jodhpur/n2/0291px291.x291.221109011339.e6n2/catalogue/alibaba-sardarpura-jodhpur-entertainment-agencies-f0sgahrh19.jpg;https://content.jdmagicbox.com/comp/jodhpur/n2/0291px291.x291.221109011339.e6n2/catalogue/alibaba-sardarpura-jodhpur-entertainment-agencies-u5o6inv01g.jpg;https://content.jdmagicbox.com/comp/jodhpur/n2/0291px291.x291.221109011339.e6n2/catalogue/alibaba-sardarpura-jodhpur-entertainment-agencies-3yspks46jq.jpg;https://content.jdmagicbox.com/comp/jodhpur/n2/0291px291.x291.221109011339.e6n2/catalogue/alibaba-sardarpura-jodhpur-entertainment-agencies-56p0rbz819.jpg,,
Sunder Band,,, Baldev Nagar,Baldev Nagar,jodhpur,4.2,18 Ratings,Entertainment Agencies,26.278743,72.999942,342003,0291PX291.X291.230406011540.L3W1,https://www.justdial.com/Jodhpur/Sunder-Band-Baldev-Nagar/0291PX291-X291-230406011540-L3W1_BZDET,4.2,https://content.jdmagicbox.com/comp/jodhpur/t8/0291px291.x291.120714095736.k8t8/catalogue/sunder-band-chopasni-road-jodhpur-wedding-bands-re6tij0i8n.jpg;https://content.jdmagicbox.com/comp/jodhpur/t8/0291px291.x291.120714095736.k8t8/catalogue/sunder-band-chopasni-road-jodhpur-wedding-bands-w02gql2ycn.jpg;https://content.jdmagicbox.com/comp/jodhpur/t8/0291px291.x291.120714095736.k8t8/catalogue/sunder-band-chopasni-road-jodhpur-wedding-bands-57f929lj4o.jpg;https://content.jdmagicbox.com/comp/jodhpur/t8/0291px291.x291.120714095736.k8t8/catalogue/sunder-band-chopasni-road-jodhpur-wedding-bands-ocyoxfu2zz.jpg;https://content.jdmagicbox.com/comp/jodhpur/t8/0291px291.x291.120714095736.k8t8/catalogue/sunder-band-chopasni-road-jodhpur-wedding-bands-06taw6b4y5.jpg,,
