name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Moksh Events Pvt Ltd,,,Sahapur Colony New Alipore,Block J 1st Floor New Alipore,Kolkata,4.7,105 Ratings,"Event Management Companies, Celebrity Management Services",22.5111334,88.3269738,700053,033P32555,https://www.justdial.com/Kolkata/Moksh-Events-Pvt-Ltd-Sahapur-Colony-New-Alipore/033P32555_BZDET,4.7,https://content.jdmagicbox.com/comp/kolkata/55/033p32555/catalogue/moksh-events-pvt-ltd-kolkata-event-organisers-1ywsxwr.jpg;https://content.jdmagicbox.com/comp/kolkata/55/033p32555/catalogue/moksh-events-pvt-ltd-kolkata-event-organisers-n5g7xu.jpg;https://content.jdmagicbox.com/comp/kolkata/55/033p32555/catalogue/moksh-events-pvt-ltd-kolkata-event-organisers-3wqmg1u.jpg;https://content.jdmagicbox.com/comp/kolkata/55/033p32555/catalogue/moksh-events-pvt-ltd-kolkata-event-organisers-3u3jgj1.jpg;https://content.jdmagicbox.com/comp/kolkata/55/033p32555/catalogue/moksh-events-pvt-ltd-kolkata-event-organisers-2uw39cf.jpg,,
Dream Events Entertainment & Catering,,,Near Reliance Fresh Bangur Avenue,Bangur Bangur Avenue,kolkata,4.8,42 Ratings,"Caterers, Event Organisers",22.6041075,88.411133,700055,033PXX33.XX33.201208032014.U6H6,https://www.justdial.com/Kolkata/Dream-Events-Entertainment-Catering-Near-Reliance-Fresh-Bangur-Avenue/033PXX33-XX33-201208032014-U6H6_BZDET,4.8,https://content.jdmagicbox.com/comp/kolkata/h6/033pxx33.xx33.201208032014.u6h6/catalogue/dream-events-entertainment-and-catering-bangur-avenue-kolkata-rcmadwqokk.jpg;https://content.jdmagicbox.com/comp/kolkata/h6/033pxx33.xx33.201208032014.u6h6/catalogue/dream-events-entertainment-and-catering-bangur-avenue-kolkata-uzilo35kcx.jpg;https://content.jdmagicbox.com/comp/kolkata/h6/033pxx33.xx33.201208032014.u6h6/catalogue/dream-events-entertainment-and-catering-bangur-avenue-kolkata-m2zzoe5r7g.jpg;https://content.jdmagicbox.com/comp/kolkata/h6/033pxx33.xx33.201208032014.u6h6/catalogue/dream-events-entertainment-and-catering-bangur-avenue-kolkata-74gdvotmgv.jpg;https://content.jdmagicbox.com/comp/kolkata/h6/033pxx33.xx33.201208032014.u6h6/catalogue/dream-events-entertainment-and-catering-bangur-avenue-kolkata-7r0dccay6m.jpg,,
Global Events,,,Near Agragami Club Bijoygarh Bazar Jadavpur,Ram Thakur Sarani Jadavpur,Kolkata,4.3,28 Ratings,"Event Organisers, Event Management Companies",22.487876,88.367475,700032,033PXX33.XX33.151202194448.C8V6,https://www.justdial.com/Kolkata/Global-Events-Near-Agragami-Club-Bijoygarh-Bazar-Jadavpur/033PXX33-XX33-151202194448-C8V6_BZDET,4.3,https://content.jdmagicbox.com/comp/kolkata/v6/033pxx33.xx33.151202194448.c8v6/catalogue/global-events-jadavpur-kolkata-event-organisers-peuhsxmlaz.jpg;https://content.jdmagicbox.com/comp/kolkata/v6/033pxx33.xx33.151202194448.c8v6/catalogue/global-events-jadavpur-kolkata-event-organisers-z2q7p0yk26.jpg;https://content.jdmagicbox.com/comp/kolkata/v6/033pxx33.xx33.151202194448.c8v6/catalogue/global-events-jadavpur-kolkata-event-organisers-kj05lb597y.jpg;https://content.jdmagicbox.com/comp/kolkata/v6/033pxx33.xx33.151202194448.c8v6/catalogue/global-events-jadavpur-kolkata-event-organisers-4g58shejuq.jpg;https://content.jdmagicbox.com/comp/kolkata/v6/033pxx33.xx33.151202194448.c8v6/catalogue/global-events-jadavpur-kolkata-event-organisers-x641ae7uh1.jpg,,
Hope Media,,,Near Malancha Cinema Hall Regent Park,NSC Bose Road Regent Park,Kolkata,4.3,22 Ratings,"Event Organisers, Photographers",22.490133,88.351837,700040,033PXX33.XX33.141028164854.E6G8,https://www.justdial.com/Kolkata/Hope-Media-Near-Malancha-Cinema-Hall-Regent-Park/033PXX33-XX33-141028164854-E6G8_BZDET,4.3,https://content.jdmagicbox.com/comp/kolkata/g8/033pxx33.xx33.141028164854.e6g8/catalogue/hope-media-regent-park-kolkata-flower-decorators-eve3nxlut1.jpg;https://content.jdmagicbox.com/comp/kolkata/g8/033pxx33.xx33.141028164854.e6g8/catalogue/hope-media-regent-park-kolkata-flower-decorators-33lplt8ose.jpg;https://content.jdmagicbox.com/comp/kolkata/g8/033pxx33.xx33.141028164854.e6g8/catalogue/hope-media-regent-park-kolkata-flower-decorators-kbyum0nisd.jpg;https://content.jdmagicbox.com/comp/kolkata/g8/033pxx33.xx33.141028164854.e6g8/catalogue/hope-media-regent-park-kolkata-flower-decorators-g7rot2z0jy.jpg;https://content.jdmagicbox.com/comp/kolkata/g8/033pxx33.xx33.141028164854.e6g8/catalogue/hope-media-regent-park-kolkata-flower-decorators-n2s3x7itrf.jpg,,
Magnet The Band,,,Near Joga Da Dokan Rahara,Dakshin Pally Rahara,kolkata,4.7,17 Ratings,"Event Organisers, Singers",22.72049,88.383441666667,700118,033PXX33.XX33.200221025510.X5H6,https://www.justdial.com/Kolkata/Magnet-The-Band-Near-Joga-Da-Dokan-Rahara/033PXX33-XX33-200221025510-X5H6_BZDET,4.7,https://content.jdmagicbox.com/comp/kolkata/h6/033pxx33.xx33.200221025510.x5h6/catalogue/magnet-the-band-kolkata-1m3kqtwmyx.jpg,,
Wings Musical Troupe & Event Management Group,,,Opposite Haldirams Charnock Hospital Chinar Park Hatiara,Chinar Park-Hatiara,Kolkata,4.9,11 Ratings,"Event Organisers, Event Management Companies",22.6196659,88.4294469,700157,033PXX33.XX33.140818180245.Q8Y4,https://www.justdial.com/Kolkata/Wings-Musical-Troupe-Event-Management-Group-Opposite-Haldirams-Charnock-Hospital-Chinar-Park-Hatiara/033PXX33-XX33-140818180245-Q8Y4_BZDET,4.9,https://content.jdmagicbox.com/comp/kolkata/y4/033pxx33.xx33.140818180245.q8y4/catalogue/wings-musical-troupe-and-eventmanagement-group-baguihati-kolkata-artist-management-3tjgx.jpg,,
Voice & Vision Cine Events Pvt Ltd,,,Opposite Pantaloons Gariahat,Mandevile Gardens Gariahat,Kolkata,4.4,10 Ratings,"Film Production Houses, Event Management Companies",22.5230581,88.3659935,700019,033PXX33.XX33.111201161711.N8C6,https://www.justdial.com/Kolkata/Voice-Vision-Cine-Events-Pvt-Ltd-Opposite-Pantaloons-Gariahat/033PXX33-XX33-111201161711-N8C6_BZDET,4.4,https://content.jdmagicbox.com/comp/kolkata/c6/033pxx33.xx33.111201161711.n8c6/catalogue/voice-and-vision-cine-events-pvt-ltd-gariahat-kolkata-event-management-companies-3plwjj1.jpg;https://content.jdmagicbox.com/comp/kolkata/c6/033pxx33.xx33.111201161711.n8c6/catalogue/voice-and-vision-cine-events-pvt-ltd-gariahat-kolkata-event-organisers-for-new-year-party-49i0vng3h8.jpg;https://content.jdmagicbox.com/comp/kolkata/c6/033pxx33.xx33.111201161711.n8c6/catalogue/voice-and-vision-cine-events-pvt-ltd-gariahat-kolkata-event-organisers-for-new-year-party-3kbu002zsj.jpg;https://content.jdmagicbox.com/comp/kolkata/c6/033pxx33.xx33.111201161711.n8c6/catalogue/voice-and-vision-cine-events-pvt-ltd-gariahat-kolkata-event-organisers-for-new-year-party-3kbu002zsj-250.jpg;https://content.jdmagicbox.com/comp/kolkata/c6/033pxx33.xx33.111201161711.n8c6/catalogue/voice-and-vision-cine-events-pvt-ltd-gariahat-kolkata-event-organisers-for-new-year-party-49i0vng3h8-250.jpg,,
Kreason Events And Media Solutions,,,Near Dunlop More ISI,Pwd Road ISI,Kolkata,4.3,8 Ratings,"Caterers, Event Organisers",22.652274,88.378136,700108,033PXX33.XX33.150730145856.A5L9,https://www.justdial.com/Kolkata/Kreason-Events-And-Media-Solutions-Near-Dunlop-More-Isi/033PXX33-XX33-150730145856-A5L9_BZDET,4.3,https://content.jdmagicbox.com/comp/kolkata/l9/033pxx33.xx33.150730145856.a5l9/catalogue/kreason-events-and-media-solutions-isi-kolkata-caterers-zff4r.jpg;https://content.jdmagicbox.com/comp/kolkata/l9/033pxx33.xx33.150730145856.a5l9/catalogue/kreason-events-and-media-solutions-isi-kolkata-caterers-rjkd9.jpg;https://content.jdmagicbox.com/comp/kolkata/l9/033pxx33.xx33.150730145856.a5l9/catalogue/kreason-events-and-media-solutions-isi-kolkata-caterers-05mzf.jpg;https://content.jdmagicbox.com/comp/kolkata/l9/033pxx33.xx33.150730145856.a5l9/catalogue/kreason-events-and-media-solutions-isi-kolkata-caterers-73jdu.jpg;https://content.jdmagicbox.com/comp/kolkata/l9/033pxx33.xx33.150730145856.a5l9/catalogue/kreason-events-and-media-solutions-isi-kolkata-caterers-23m5e.jpg,,
Meraki Eventz,,,Near Bangur Post Office Bangur Avenue,Block A Bangur Avenue,Kolkata,4.4,7 Ratings,"Event Organisers, Event Management Companies",22.608345,88.40907,700055,033PXX33.XX33.160824134159.N6V1,https://www.justdial.com/Kolkata/Meraki-Eventz-Near-Bangur-Post-Office-Bangur-Avenue/033PXX33-XX33-160824134159-N6V1_BZDET,4.4,https://content.jdmagicbox.com/comp/kolkata/v1/033pxx33.xx33.160824134159.n6v1/catalogue/meraki-events-kolkata-bcuqtfmg6m.jpg;https://content.jdmagicbox.com/v2/comp/kolkata/v1/033pxx33.xx33.160824134159.n6v1/catalogue/rangrez-events-bangur-avenue-kolkata-event-organisers-0c8p6.jpg;https://content.jdmagicbox.com/comp/kolkata/v1/033pxx33.xx33.160824134159.n6v1/catalogue/rangrez-events-bangur-avenue-kolkata-event-organisers-ezds1.jpg;https://content.jdmagicbox.com/comp/kolkata/v1/033pxx33.xx33.160824134159.n6v1/catalogue/rangrez-events-bangur-avenue-kolkata-event-organisers-u4se6.jpg;https://content.jdmagicbox.com/comp/kolkata/v1/033pxx33.xx33.160824134159.n6v1/catalogue/rangrez-events-bangur-avenue-kolkata-event-organisers-q59ud.jpg,,
Amass Events & Entertainment,,,Near Netaji Metro Station Kolkata South,Purba Putiary Kolkata South,kolkata,4.8,17 Ratings,"Banquet Halls, Caterers",22.4786043,88.3463884,700093,033PXX33.XX33.170605214507.M5T6,https://www.justdial.com/Kolkata/Amass-Events-Entertainment-Near-Netaji-Metro-Station-Kolkata-South/033PXX33-XX33-170605214507-M5T6_BZDET,4.8,https://content.jdmagicbox.com/comp/kolkata/t6/033pxx33.xx33.170605214507.m5t6/catalogue/amass-events-and-entertainment-purba-putiary-kolkata-caterers-w3yxt.jpg;https://content.jdmagicbox.com/comp/kolkata/t6/033pxx33.xx33.170605214507.m5t6/catalogue/amass-events-and-entertainment-purba-putiary-kolkata-caterers-9rz4l.jpg;https://content.jdmagicbox.com/comp/kolkata/i9/pwfl1496677220i5k9i9/catalogue/amass-events-and-entertainment-purba-putiary-kolkata-caterers-pr7sk.jpg;https://content.jdmagicbox.com/comp/kolkata/t6/033pxx33.xx33.170605214507.m5t6/catalogue/amass-events-and-entertainment-purba-putiary-kolkata-caterers-fgv5u.jpg;https://content.jdmagicbox.com/comp/kolkata/i9/pwfl1496677220i5k9i9/catalogue/amass-events-and-entertainment-purba-putiary-kolkata-caterers-fpdtf.jpg,1,1
