name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
Patel Event & Decoration,,,M G Road Lonavala Varsoli,Mumbai Pune Haiway Lonavala Varsoli,lonavala,5,573 Ratings,"Banquet Halls, AC Banquet Halls",18.762469444444,73.425011111111,410405,9999P2114.2114.170807215715.B7L3,https://www.justdial.com/Lonavala/Patel-Event-Decoration-M-G-Road-Lonavala-Varsoli/9999P2114-2114-170807215715-B7L3_BZDET,5,https://content.jdmagicbox.com/comp/lonavala/l3/9999p2114.2114.170807215715.b7l3/catalogue/patel-event-and-decoration-lonavala-ho-lonavala-balloon-decorators-82vmb.jpg;https://content.jdmagicbox.com/comp/lonavala/l3/9999p2114.2114.170807215715.b7l3/catalogue/patel-event-and-decoration-lonavala-ho-lonavala-balloon-decorators-0hcbtfpeaz.jpg;https://content.jdmagicbox.com/comp/lonavala/l3/9999p2114.2114.170807215715.b7l3/catalogue/patel-event-and-decoration-lonavala-ho-lonavala-balloon-decorators-2a1kktn.jpg;https://content.jdmagicbox.com/comp/lonavala/l3/9999p2114.2114.170807215715.b7l3/catalogue/patel-event-and-decoration-lonavala-ho-lonavala-balloon-decorators-xwjjr.jpg;https://content.jdmagicbox.com/comp/lonavala/l3/9999p2114.2114.170807215715.b7l3/catalogue/patel-event-and-decoration-lonavala-ho-lonavala-balloon-decorators-23vm4.jpg,,
Shree Events & Decor,,,Near Ram Mandir and Kumar Resort Gavliwada,Mumbai Pune Highway Gavliwada,Lonavala,4.9,179 Ratings,"Balloon Decorators, Birthday Party Decorators",18.756539163734,73.405814786209,410401,9999P2114.2114.171221162120.T9U8,https://www.justdial.com/Lonavala/Shree-Events-Decor-Near-Ram-Mandir-And-Kumar-Resort-Gavliwada/9999P2114-2114-171221162120-T9U8_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/lonavala/u8/9999p2114.2114.171221162120.t9u8/catalogue/shree-events-and-decor-gavliwada-lonavala-decorators-uw0pndjmhj.jpg;https://content.jdmagicbox.com/v2/comp/lonavala/u8/9999p2114.2114.171221162120.t9u8/catalogue/shree-events-and-decor-gavliwada-lonavala-decorators-u30rdbvaig.jpg;https://content.jdmagicbox.com/v2/comp/lonavala/u8/9999p2114.2114.171221162120.t9u8/catalogue/shree-events-and-decor-gavliwada-lonavala-decorators-bap8yptdtg.jpg;https://content.jdmagicbox.com/v2/comp/lonavala/u8/9999p2114.2114.171221162120.t9u8/catalogue/shree-events-and-decor-gavliwada-lonavala-decorators-qppbe1s5xt.jpg;https://content.jdmagicbox.com/v2/comp/lonavala/u8/9999p2114.2114.171221162120.t9u8/catalogue/shree-events-and-decor-gavliwada-lonavala-decorators-l78gnus7z2.jpg,,
Zebra Studio,,,Next Sahara Nest Biulding Near Bhonde High School Kusgaon Budruk,Arunoday Appartment Bhangarwadi Lonavla Kusgaon Budruk,lonavala,4.3,6 Ratings,Entertainment Agencies,18.7433747,73.4173611,410401,9999P2114.2114.220815205608.J1W8,https://www.justdial.com/Lonavala/Zebra-Studio-Next-Sahara-Nest-Biulding-Near-Bhonde-High-School-Kusgaon-Budruk/9999P2114-2114-220815205608-J1W8_BZDET,4.3,https://content.jdmagicbox.com/comp/def_content/entertainment-agencies/b27937b509-entertainment-agencies-2-89wgi.jpg,,
Karan Bhatt Entertainment Group,,, Parsi Colony,Mumbai - Pune Hwy Parsi Colony,lonavala,5,5 Ratings,Entertainment Agencies,18.7632698,73.4175915,410401,9999P2114.2114.251218031553.S6M6,https://www.justdial.com/Lonavala/Karan-Bhatt-Entertainment-Group-Parsi-Colony/9999P2114-2114-251218031553-S6M6_BZDET,5,https://content.jdmagicbox.com/v2/comp/lonavala/m6/9999p2114.2114.251218031553.s6m6/catalogue/karan-bhatt-entertainment-group-parsi-colony-lonavala-entertainment-agencies-j3anuol3h8.jpg;https://content.jdmagicbox.com/v2/comp/lonavala/m6/9999p2114.2114.251218031553.s6m6/catalogue/karan-bhatt-entertainment-group-parsi-colony-lonavala-entertainment-agencies-jhzhd43wcs.jpg;https://content.jdmagicbox.com/v2/comp/lonavala/m6/9999p2114.2114.251218031553.s6m6/catalogue/karan-bhatt-entertainment-group-parsi-colony-lonavala-entertainment-agencies-ykkl5lbfbj.jpg;https://content.jdmagicbox.com/v2/comp/lonavala/m6/9999p2114.2114.251218031553.s6m6/catalogue/karan-bhatt-entertainment-group-parsi-colony-lonavala-entertainment-agencies-ykkl5lbfbj.jpg;https://content.jdmagicbox.com/v2/comp/lonavala/m6/9999p2114.2114.251218031553.s6m6/catalogue/karan-bhatt-entertainment-group-parsi-colony-lonavala-entertainment-agencies-y096p9p8jk.jpg,,
Bunty Cyber,,,Near Shivam Hotel Nana Master Nagar,Station Road Nana Master Nagar,Raigad-Maharashtra,2.8,2 Ratings,Entertainment Agencies,18.9192831,73.3277159,410201,9999P2145.2145.180420114700.T7K7,https://www.justdial.com/Karjat/Bunty-Cyber-Near-Shivam-Hotel-Nana-Master-Nagar/9999P2145-2145-180420114700-T7K7_BZDET,2.8,https://content.jdmagicbox.com/comp/raigad-maharashtra/k7/9999p2145.2145.180420114700.t7k7/catalogue/bunty-cyber-raigad-maharashtra-1w8roqfu1p.jpg;https://content.jdmagicbox.com/comp/raigad-maharashtra/k7/9999p2145.2145.180420114700.t7k7/catalogue/bunty-cyber-raigad-maharashtra-0gjswotiyc.jpg;https://content.jdmagicbox.com/comp/raigad-maharashtra/k7/9999p2145.2145.180420114700.t7k7/catalogue/bunty-cyber-raigad-maharashtra-e0uzqvsizr.jpg;https://content.jdmagicbox.com/comp/raigad-maharashtra/k7/9999p2145.2145.180420114700.t7k7/catalogue/bunty-cyber-raigad-maharashtra-tzatddufvr.jpg;https://content.jdmagicbox.com/comp/raigad-maharashtra/k7/9999p2145.2145.180420114700.t7k7/catalogue/bunty-cyber-karjat-raigad-raigad-maharashtra-entertainment-agencies-atogw3svd1.jpg,,
