name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
Enhance Events & Production,,,Opposite Krishi Bhawan Hazratganj,MM Marg Hazratganj,Lucknow,4.5,91 Ratings,"Event Organisers, Balloon Decorators",26.8553568,80.9576604,226001,0522PX522.X522.190315122847.W3R1,https://www.justdial.com/Lucknow/Enhance-Events-Production-Opposite-Krishi-Bhawan-Hazratganj/0522PX522-X522-190315122847-W3R1_BZDET,4.5,https://content.jdmagicbox.com/comp/lucknow/r1/0522px522.x522.190315122847.w3r1/catalogue/enhance-events-and-production-hazratganj-lucknow-event-organisers-ylsao2z1xr.jpg;https://content.jdmagicbox.com/comp/lucknow/r1/0522px522.x522.190315122847.w3r1/catalogue/enhance-events-and-production-hazratganj-lucknow-event-organisers-i2ail41fyv.jpg;https://content.jdmagicbox.com/comp/lucknow/r1/0522px522.x522.190315122847.w3r1/catalogue/enhance-events-and-production-hazratganj-lucknow-event-organisers-v23j7s55yw.jpg;https://content.jdmagicbox.com/comp/lucknow/r1/0522px522.x522.190315122847.w3r1/catalogue/enhance-events-and-production-hazratganj-lucknow-event-organisers-pvik13q69f.jpg;https://content.jdmagicbox.com/comp/lucknow/r1/0522px522.x522.190315122847.w3r1/catalogue/enhance-events-and-production-hazratganj-lucknow-event-organisers-rw388b3xpm.jpg,1,6
Ayushman Events,,,Near Dgp Office Dalibagh Hazratganj,B N Lahri Marg Hazratganj,Lucknow,5,61 Ratings,"Event Organisers, Sound Systems On Hire",26.8491104,80.9557826,226001,0522PX522.X522.170117113321.M9U8,https://www.justdial.com/Lucknow/Ayushman-Events-Near-Dgp-Office-Dalibagh-Hazratganj/0522PX522-X522-170117113321-M9U8_BZDET,5,https://content.jdmagicbox.com/v2/comp/lucknow/u8/0522px522.x522.170117113321.m9u8/catalogue/ayushman-events-and-wedding-planner-hazratganj-lucknow-event-organisers-yncdecmfw2.jpg;https://content.jdmagicbox.com/v2/comp/lucknow/u8/0522px522.x522.170117113321.m9u8/catalogue/ayushman-events-and-wedding-planner-hazratganj-lucknow-event-organisers-r69a7az7zs.jpg;https://content.jdmagicbox.com/v2/comp/lucknow/u8/0522px522.x522.170117113321.m9u8/catalogue/ayushman-events-and-wedding-planner-hazratganj-lucknow-event-organisers-bzi5f18eo7.jpg;https://content.jdmagicbox.com/v2/comp/lucknow/u8/0522px522.x522.170117113321.m9u8/catalogue/ayushman-events-and-wedding-planner-hazratganj-lucknow-event-organisers-muqlnnj0v3.jpg;https://content.jdmagicbox.com/v2/comp/lucknow/u8/0522px522.x522.170117113321.m9u8/catalogue/ayushman-events-and-wedding-planner-hazratganj-lucknow-event-organisers-s1tlg7lzat.jpg,1,1
Indra Dhanush,,,Opposite Sahu Cinema Hazratganj,M. G. Road Hazratganj Hazratganj,LUCKNOW,3.8,146 Ratings,"AC Dealers, Solar Panel Dealers",26.8473491,80.944052,226001,0522PX522.X522.1229342754B2F7H9.DC,https://www.justdial.com/Lucknow/Indra-Dhanush-Opposite-Sahu-Cinema-Hazratganj/0522PX522-X522-1229342754B2F7H9-DC_BZDET,3.8,https://content.jdmagicbox.com/comp/lucknow/dc/0522px522.x522.1229342754b2f7h9.dc/catalogue/indra-dhanush-hazratganj-lucknow-led-tv-repair-and-services-v1vlppz0w9.jpg;https://content.jdmagicbox.com/comp/lucknow/dc/0522px522.x522.1229342754b2f7h9.dc/catalogue/indra-dhanush-hazratganj-lucknow-led-tv-repair-and-services-sfayc1no6c.jpg;https://content.jdmagicbox.com/comp/lucknow/dc/0522px522.x522.1229342754b2f7h9.dc/catalogue/indra-dhanush-hazratganj-lucknow-led-tv-repair-and-services-w3q0kslzzy.jpg;https://content.jdmagicbox.com/comp/lucknow/dc/0522px522.x522.1229342754b2f7h9.dc/catalogue/indra-dhanush-hazratganj-lucknow-led-tv-repair-and-services-efk8gbtaco.jpg;https://content.jdmagicbox.com/v2/comp/lucknow/dc/0522px522.x522.1229342754b2f7h9.dc/catalogue/indra-dhanush-hazratganj-lucknow-led-tv-repair-and-services-o71h484osz.jpg,1,1
Diversity Dance & Fitness Centre,,, Lda Colony,Sector H Road Lda Colony,lucknow,4.6,40 Ratings,Entertainment Agencies,26.7924987,80.9114272,226012,0522PX522.X522.241023220101.K1I8,https://www.justdial.com/Lucknow/Diversity-Dance-Fitness-Centre-Lda-Colony/0522PX522-X522-241023220101-K1I8_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/lucknow/i8/0522px522.x522.241023220101.k1i8/catalogue/diversity-dance-and-fitness-centre-lucknow-entertainment-agencies-s28m7eu3bz.jpg;https://content.jdmagicbox.com/v2/comp/lucknow/i8/0522px522.x522.241023220101.k1i8/catalogue/diversity-dance-and-fitness-centre-lucknow-entertainment-agencies-iaxnrp2vld.jpg;https://content.jdmagicbox.com/v2/comp/lucknow/i8/0522px522.x522.241023220101.k1i8/catalogue/diversity-dance-and-fitness-centre-lucknow-entertainment-agencies-clmdazu3lx.jpg;https://content.jdmagicbox.com/v2/comp/lucknow/i8/0522px522.x522.241023220101.k1i8/catalogue/diversity-dance-and-fitness-centre-lucknow-entertainment-agencies-afcy1lxfq3.jpg;https://content.jdmagicbox.com/v2/comp/lucknow/i8/0522px522.x522.241023220101.k1i8/catalogue/diversity-dance-and-fitness-centre-lucknow-entertainment-agencies-5w69324fzx.jpg,,
Gopal D.J And Sound Service Jankipuram,,, Jankipuram Extension,Sector 3 Jankipuram Vistar Jankipuram Extension,lucknow,5,35 Ratings,Entertainment Agencies,26.9360626,80.9385167,226031,0522PX522.X522.250508171002.K2E3,https://www.justdial.com/Lucknow/Gopal-DJ-And-Sound-Service-Jankipuram-Jankipuram-Extension/0522PX522-X522-250508171002-K2E3_BZDET,5,https://content.jdmagicbox.com/v2/comp/lucknow/e3/0522px522.x522.250508171002.k2e3/catalogue/gopal-d-j-and-sound-service-jankipuram-lucknow-entertainment-agencies-rpriuxhfxi.jpg;https://content.jdmagicbox.com/v2/comp/lucknow/e3/0522px522.x522.250508171002.k2e3/catalogue/gopal-d-j-and-sound-service-jankipuram-lucknow-entertainment-agencies-9228o0wl65.jpg;https://content.jdmagicbox.com/v2/comp/lucknow/e3/0522px522.x522.250508171002.k2e3/catalogue/gopal-d-j-and-sound-service-jankipuram-lucknow-entertainment-agencies-ib0g8chbnl.jpg;https://content.jdmagicbox.com/v2/comp/lucknow/e3/0522px522.x522.250508171002.k2e3/catalogue/gopal-d-j-and-sound-service-jankipuram-lucknow-entertainment-agencies-ifftnefy51.jpg;https://content.jdmagicbox.com/v2/comp/lucknow/e3/0522px522.x522.250508171002.k2e3/catalogue/gopal-d-j-and-sound-service-jankipuram-lucknow-entertainment-agencies-u1pt3cpp15.jpg,,
