name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Hukumkaro,,, Wardhaman Nagar,Telephone Exchange Square Wardhaman Nagar,nagpur,4.9,27 Ratings,"Air Ticketing Agents, Disc Jockey",21.1487678,79.1228396,440008,0712PX712.X712.151201141703.R6W8,https://www.justdial.com/Nagpur/Hukumkaro-Wardhaman-Nagar/0712PX712-X712-151201141703-R6W8_BZDET,4.9,https://content.jdmagicbox.com/comp/nagpur/w8/0712px712.x712.151201141703.r6w8/catalogue/hukumkaro-wardhaman-nagar-nagpur-artists-wx70gq3tog.jpg;https://content.jdmagicbox.com/v2/comp/nagpur/w8/0712px712.x712.151201141703.r6w8/catalogue/hukumkaro-wardhaman-nagar-nagpur-artists-6bgutyum60.jpg;https://content.jdmagicbox.com/v2/comp/nagpur/w8/0712px712.x712.151201141703.r6w8/catalogue/hukumkaro-wardhaman-nagar-nagpur-artists-pnguciajyc.jpg;https://content.jdmagicbox.com/comp/nagpur/w8/0712px712.x712.151201141703.r6w8/catalogue/hukumkaro-wardhaman-nagar-nagpur-artists-mf4p42sebg.jpg;https://content.jdmagicbox.com/comp/nagpur/w8/0712px712.x712.151201141703.r6w8/catalogue/hukumkaro-wardhaman-nagar-nagpur-artists-yid3ijku89.jpg,,
Sugandh Events and Wedding Planner,,,Opposite Takdir Ice World Lakad Ganj,TP Building Queta Colony Lakad Ganj,Nagpur,4.9,18 Ratings,"Caterers, Event Organisers",21.1513367,79.1186691,440008,0712PX712.X712.160219001021.K1P8,https://www.justdial.com/Nagpur/Sugandh-Events-and-Wedding-Planner-Opposite-Takdir-Ice-World-Lakad-Ganj/0712PX712-X712-160219001021-K1P8_BZDET,4.9,https://content.jdmagicbox.com/comp/nagpur/p8/0712px712.x712.160219001021.k1p8/catalogue/sugandh-events-and-wedding-planner-lakad-ganj-nagpur-wedding-planners-il1ta.jpg;https://content.jdmagicbox.com/comp/nagpur/p8/0712px712.x712.160219001021.k1p8/catalogue/sugandh-events-and-wedding-planner-lakad-ganj-nagpur-wedding-planners-qo7g2.jpg;https://content.jdmagicbox.com/comp/nagpur/p8/0712px712.x712.160219001021.k1p8/catalogue/sugandh-events-and-wedding-planner-lakad-ganj-nagpur-wedding-planners-vk7gs.jpg;https://content.jdmagicbox.com/comp/nagpur/p8/0712px712.x712.160219001021.k1p8/catalogue/sugandh-events-and-wedding-planner-lakad-ganj-nagpur-wedding-planners-9e3ok.jpg;https://content.jdmagicbox.com/comp/nagpur/p8/0712px712.x712.160219001021.k1p8/catalogue/sugandh-events-and-wedding-planner-lakad-ganj-nagpur-wedding-planners-t642y.jpg,,
Soul Events,,,Opposite Shivlet Shoorom Wardha Road,Ramkrishna Nagar Wardha Road,Nagpur,3.6,15 Ratings,"Event Organisers, Wedding Planners",21.1187678,79.0722753,440015,0712PX712.X712.161215071239.S9G4,https://www.justdial.com/Nagpur/Soul-Events-Opposite-Shivlet-Shoorom-Wardha-Road/0712PX712-X712-161215071239-S9G4_BZDET,3.6,https://content.jdmagicbox.com/comp/def_content/corporate-companies/screenshot-3-corporate-companies-13-ujvap.jpg,,
HSG Agency Entertaiment,,, Shatabdi Chowk,Beltarodi Road Shatabdi Chowk,Nagpur,4.7,10 Ratings,"Event Organisers, Modelling Agencies",21.1060527778,79.0886527778,440027,0712PX712.X712.190225125153.B9U1,https://www.justdial.com/Nagpur/HSG-Agency-Entertaiment-Shatabdi-Chowk/0712PX712-X712-190225125153-B9U1_BZDET,4.7,https://content.jdmagicbox.com/comp/nagpur/u1/0712px712.x712.190225125153.b9u1/catalogue/hsg-agency-entertainment-shatabdi-chowk-nagpur-modelling-agencies-saxghpfg3o.jpg;https://content.jdmagicbox.com/comp/nagpur/u1/0712px712.x712.190225125153.b9u1/catalogue/hsg-agency-entertaiment-shatabdi-chowk-nagpur-modelling-agencies-1ieimteqz6.jpg;https://content.jdmagicbox.com/comp/nagpur/u1/0712px712.x712.190225125153.b9u1/catalogue/hsg-agency-entertaiment-shatabdi-chowk-nagpur-modelling-agencies-mm2sq59qxj.jpg;https://content.jdmagicbox.com/comp/nagpur/u1/0712px712.x712.190225125153.b9u1/catalogue/hsg-agency-entertaiment-shatabdi-chowk-nagpur-modelling-agencies-7ebndbz1v1.jpg;https://content.jdmagicbox.com/comp/nagpur/u1/0712px712.x712.190225125153.b9u1/catalogue/hsg-agency-entertaiment-shatabdi-chowk-nagpur-modelling-agencies-mm2sq59qxj-250.jpg,,
Ict Media Pvt Ltd,,,Traffik Park Dharampeth,Traffik Park Road Dharampeth,Nagpur,5,3 Ratings,"Computer Software Developers, Internet Website Designers",21.1386916,79.0657472,440010,0712PX712.X712.160820112551.N7R5,https://www.justdial.com/Nagpur/Ict-Media-Pvt-Ltd-Traffik-Park-Dharampeth/0712PX712-X712-160820112551-N7R5_BZDET,5,https://content.jdmagicbox.com/comp/nagpur/r5/0712px712.x712.160820112551.n7r5/catalogue/ict-media-pvt-ltd-dharampeth-nagpur-internet-website-designers-jfeemz.jpg;https://content.jdmagicbox.com/comp/nagpur/r5/0712px712.x712.160820112551.n7r5/catalogue/ict-media-pvt-ltd-dharampeth-nagpur-internet-website-designers-2z6hw3r.jpg;https://content.jdmagicbox.com/comp/nagpur/r5/0712px712.x712.160820112551.n7r5/catalogue/ict-media-pvt-ltd-dharampeth-nagpur-internet-website-designers-2z6hw3r-250.jpg,,
Motion Colors Weddings & Events,,,Near Biyani Collage Durga Vihar Square Rajkamal Square,Shilangan Road Rajkamal Square,Amravati,4.5,31 Ratings,"Caterers, Decorators",20.9151044,77.7489027,444601,9999PX721.X721.130724154252.L8N7,https://www.justdial.com/Amravati/Motion-Colors-Weddings-Events-Near-Biyani-Collage-Durga-Vihar-Square-Rajkamal-Square/9999PX721-X721-130724154252-L8N7_BZDET,4.5,https://content.jdmagicbox.com/comp/amravati/n7/9999px721.x721.130724154252.l8n7/catalogue/motion-colors-weddings-and-events-amravati-ho-amravati-orchestra-bands-3a7b3.jpg;https://content.jdmagicbox.com/comp/amravati/n7/9999px721.x721.130724154252.l8n7/catalogue/motion-colors-weddings-and-events-amravati-ho-amravati-orchestra-bands-cvtp.jpg;https://content.jdmagicbox.com/comp/amravati/n7/9999px721.x721.130724154252.l8n7/catalogue/motion-colors-weddings-and-events-amravati-ho-amravati-orchestra-bands-hgwn.jpg;https://content.jdmagicbox.com/comp/amravati/n7/9999px721.x721.130724154252.l8n7/catalogue/motion-colors-weddings-and-events-amravati-ho-amravati-orchestra-bands-9oal.jpg;https://content.jdmagicbox.com/comp/amravati/n7/9999px721.x721.130724154252.l8n7/catalogue/motion-colors-weddings-and-events-amravati-ho-amravati-orchestra-bands-8stt.jpg,,
Nj Events Badhaai Ho,,,,,Rajnandgaon,4.8,2 Ratings,"Caterers, Caterers For Wedding",21.093317,81.035052,491441,9999P7744.7744.171229201630.Z4X1,https://www.justdial.com/Rajnandgaon/Nj-Events-Badhaai-Ho/9999P7744-7744-171229201630-Z4X1_BZDET,4.8,https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding7-event-organisers-for-wedding-7-jhru1-event-organisers-for-wedding-5-4w6ry.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding4-event-organisers-for-wedding-4-hjxk3-event-organisers-for-wedding-2-kfera.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding3-event-organisers-for-wedding-3-3rxun-event-organisers-for-wedding-1-8939d.jpg;https://content.jdmagicbox.com/comp/def_content_category/caterers-upto-75-persons-/caterers-14-caterers-upto-75-persons--3-aadwp.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding6-event-organisers-for-wedding-6-0ia76-event-organisers-for-wedding-4-jz1ig.jpg,,
Aura Event Management & Consultancy,,,Opposite Tirukh Hospital Jatharpeth,Kediya Plots Jatharpeth,Akola,4.7,20 Ratings,"Event Organisers, Event Organisers For Birthday Party",20.713516,77.012757,444005,9999PX724.X724.130428200018.E7F3,https://www.justdial.com/Akola/Aura-Event-Management-Consultancy-Opposite-Tirukh-Hospital-Jatharpeth/9999PX724-X724-130428200018-E7F3_BZDET,4.7,https://content.jdmagicbox.com/comp/akola/f3/9999px724.x724.130428200018.e7f3/catalogue/aura-event-management-and-consultancy-jatharpeth-akola-event-organisers-2pjpl.jpg;https://content.jdmagicbox.com/comp/akola/f3/9999px724.x724.130428200018.e7f3/catalogue/aura-event-management-and-consultancy-jatharpeth-akola-event-management-companies-for-celebrity-bnlac4co5p.jpg;https://content.jdmagicbox.com/comp/akola/f3/9999px724.x724.130428200018.e7f3/catalogue/aura-event-management-and-consultancy-jatharpeth-akola-event-management-companies-for-celebrity-jkr2y8y2xk.jpg;https://content.jdmagicbox.com/comp/akola/f3/9999px724.x724.130428200018.e7f3/catalogue/aura-event-management-and-consultancy-jatharpeth-akola-event-management-companies-for-celebrity-ixqqz354xt.jpg;https://content.jdmagicbox.com/comp/akola/f3/9999px724.x724.130428200018.e7f3/catalogue/aura-event-management-and-consultancy-jatharpeth-akola-event-management-companies-for-celebrity-gawn4n5y4l.jpg,,
Zealocity Inc,,,Near Maharaja Chowk Above Union Bank Vivekanand Nagar Padmanabhpur,Kasaridih Borsi Road Padmanabhpur,Durg,4.8,11 Ratings,"Caterers, Birthday Party Decorators",21.1705696,81.2894292,491001,9999PX788.X788.091124180547.F6Q6,https://www.justdial.com/Durg/Zealocity-Inc-Near-Maharaja-Chowk-Above-Union-Bank-Vivekanand-Nagar-Padmanabhpur/9999PX788-X788-091124180547-F6Q6_BZDET,4.8,https://content.jdmagicbox.com/comp/durg/q6/9999px788.x788.091124180547.f6q6/catalogue/zealocity-inc-padmanabhpur-durg-caterers-mkst9ns.jpg;https://content.jdmagicbox.com/comp/durg/q6/9999px788.x788.091124180547.f6q6/catalogue/zealocity-inc-padmanabhpur-durg-caterers-j1r2va6.jpg;https://content.jdmagicbox.com/comp/durg/q6/9999px788.x788.091124180547.f6q6/catalogue/zealocity-inc-padmanabhpur-durg-caterers-smj7i73.jpg;https://content.jdmagicbox.com/comp/durg/q6/9999px788.x788.091124180547.f6q6/catalogue/zealocity-inc-padmanabhpur-durg-caterers-j9e3b65.jpg;https://content.jdmagicbox.com/comp/durg/q6/9999px788.x788.091124180547.f6q6/catalogue/zealocity-inc-padmanabhpur-durg-caterers-5pssalm.jpg,,
Ik Events & Entertainment,,,Near Junwani Nehru Nagar East,Ik Events Company Nehru Nagar East,Durg,4.7,3 Ratings,"Caterers, Photographers",21.21892222,81.32126667,490021,9999PX788.X788.190314160631.P1S4,https://www.justdial.com/Bhilai/Ik-Events-Entertainment-Near-Junwani-Nehru-Nagar-East/9999PX788-X788-190314160631-P1S4_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/durg/s4/9999px788.x788.190314160631.p1s4/catalogue/ik-events-and-entertainment-bhilai-durg-event-organisers-omohxw4net.jpg;https://content.jdmagicbox.com/v2/comp/durg/s4/9999px788.x788.190314160631.p1s4/catalogue/ik-events-entertainment-bhilai-durg-event-organisers-f4b393xgtd.jpg;https://content.jdmagicbox.com/comp/durg/s4/9999px788.x788.190314160631.p1s4/catalogue/durg-ppbx343g6t.jpg;https://content.jdmagicbox.com/comp/durg/s4/9999px788.x788.190314160631.p1s4/catalogue/durg-rm8ne2iz52.jpg;https://content.jdmagicbox.com/comp/durg/s4/9999px788.x788.190314160631.p1s4/catalogue/durg-fyec0cboo1.jpg,,
