name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
Evolution Events,,,Sarashwati Vidya Mandir Kumhrar,Evolution Events Kumhrar,patna,4.9,28 Ratings,"Event Organisers, Wedding Photographers",25.607242,85.1552035,800026,0612PX612.X612.230825113132.E5P8,https://www.justdial.com/Patna/Evolution-Events-Sarashwati-Vidya-Mandir-Kumhrar/0612PX612-X612-230825113132-E5P8_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/patna/p8/0612px612.x612.230825113132.e5p8/catalogue/evolution-events-kumhrar-patna-event-management-companies-for-corporate-srxrx3sdvp.jpg;https://content.jdmagicbox.com/v2/comp/patna/p8/0612px612.x612.230825113132.e5p8/catalogue/evolution-events-kumhrar-patna-event-management-companies-for-corporate-uh7ge1oaic.jpg;https://content.jdmagicbox.com/v2/comp/patna/p8/0612px612.x612.230825113132.e5p8/catalogue/evolution-events-kumhrar-patna-event-management-companies-for-corporate-uft6aon0y4.jpg;https://content.jdmagicbox.com/comp/patna/p8/0612px612.x612.230825113132.e5p8/catalogue/goody-moody-india-entertenment-pvt-ltd-kadamkuan-patna-event-organisers-jzj1vd4iw3.jpg;https://content.jdmagicbox.com/comp/patna/p8/0612px612.x612.230825113132.e5p8/catalogue/goody-moody-india-entertenment-pvt-ltd-kadamkuan-patna-event-organisers-9iqntet92b.jpg,1,1
Sargam Eventz,,,Infront Anand Hospital Sheikhpura,Raza Bazar Sheikhpura,Patna,4.1,32 Ratings,"Corporate Companies, Event Organisers",25.6,85.069999899722,800014,0612PX612.X612.121123145337.T7N9DC,https://www.justdial.com/Patna/Sargam-Eventz-Infront-Anand-Hospital-Sheikhpura/0612PX612-X612-121123145337-T7N9DC_BZDET,4.1,https://content.jdmagicbox.com/comp/patna/dc/0612px612.x612.121123145337.t7n9dc/catalogue/sargam-eventz-sheikhpura-patna-event-organisers-skw1co16ec.jpg;https://content.jdmagicbox.com/comp/patna/dc/0612px612.x612.121123145337.t7n9dc/catalogue/sargam-eventz-sheikhpura-patna-event-organisers-0atnxeppzg.jpg;https://content.jdmagicbox.com/comp/patna/dc/0612px612.x612.121123145337.t7n9dc/catalogue/sargam-eventz-sheikhpura-patna-event-organisers-77ymvwdpg9.jpg;https://content.jdmagicbox.com/comp/patna/dc/0612px612.x612.121123145337.t7n9dc/catalogue/sargam-eventz-sheikhpura-patna-event-organisers-0rqysvkndn.jpg;https://content.jdmagicbox.com/comp/patna/dc/0612px612.x612.121123145337.t7n9dc/catalogue/sargam-eventz-sheikhpura-patna-event-organisers-0kbbhzwckw.jpg,1,1
Event Evolution,,,Near Harsh Clinic Boring Road,Kumar Tower Boring Road,Patna,4.6,147 Ratings,"Banquet Halls, Photographers",25.6117745,85.1197812,800001,0612PX612.X612.180217161526.S5I8,https://www.justdial.com/Patna/Event-Evolution-Near-Harsh-Clinic-Boring-Road/0612PX612-X612-180217161526-S5I8_BZDET,4.6,https://content.jdmagicbox.com/comp/patna/i8/0612px612.x612.180217161526.s5i8/catalogue/event-evolution-boring-road-patna-event-organisers-7n9faibx18.jpg;https://content.jdmagicbox.com/comp/patna/i8/0612px612.x612.180217161526.s5i8/catalogue/event-evolution-boring-road-patna-event-organisers-k7mbxhjp9a.jpg;https://content.jdmagicbox.com/comp/patna/i8/0612px612.x612.180217161526.s5i8/catalogue/event-evaluation-boring-road-patna-event-organisers-2foy9sen1k.jpg;https://content.jdmagicbox.com/comp/patna/i8/0612px612.x612.180217161526.s5i8/catalogue/event-evolution-boring-road-patna-event-organisers-7n9faibx18-250.jpg;https://content.jdmagicbox.com/comp/patna/i8/0612px612.x612.180217161526.s5i8/catalogue/event-evolution-boring-road-patna-event-organisers-k7mbxhjp9a-250.jpg,1,1
AGS Events Pvt Ltd,,,Near Galaxy Appartment Patliputra,3c New Patliputra Colony Patliputra,Patna,4.4,19 Ratings,"Corporate Companies, Event Organisers",25.626297,85.1070858,800013,0612PX612.X612.140224144614.D4Q3,https://www.justdial.com/Patna/AGS-Events-Pvt-Ltd-Near-Galaxy-Appartment-Patliputra/0612PX612-X612-140224144614-D4Q3_BZDET,4.4,https://content.jdmagicbox.com/comp/patna/q3/0612px612.x612.140224144614.d4q3/catalogue/ags-events-pvt-ltd-patliputra-patna-event-organisers-v11j24a2cp.jpg;https://content.jdmagicbox.com/comp/patna/q3/0612px612.x612.140224144614.d4q3/catalogue/ags-events-pvt-ltd-patliputra-patna-event-organisers-hp26rmcq6n.jpg;https://content.jdmagicbox.com/comp/patna/q3/0612px612.x612.140224144614.d4q3/catalogue/ags-events-pvt-ltd-patliputra-patna-event-organisers-lx5ab8pztu.jpg;https://content.jdmagicbox.com/v2/comp/patna/q3/0612px612.x612.140224144614.d4q3/catalogue/ags-events-pvt-ltd-patliputra-patna-event-organisers-rnbzcbcxf8.jpg;https://content.jdmagicbox.com/comp/patna/q3/0612px612.x612.140224144614.d4q3/catalogue/ags-events-pvt-ltd-patliputra-patna-event-organisers-cbpylntlzn.jpg,1,1
Eventuros,,,Near By Shri Krishna Nagar Kidwaipuri,Road No 13 Kidwaipuri,patna,4.7,92 Ratings,"Wedding Planners, Event Organisers For Wedding",25.621194833333,85.143241861111,800001,0612PX612.X612.191109133835.R4H6,https://www.justdial.com/Patna/Eventuros-Near-By-Shri-Krishna-Nagar-Kidwaipuri/0612PX612-X612-191109133835-R4H6_BZDET,4.7,https://content.jdmagicbox.com/comp/patna/h6/0612px612.x612.191109133835.r4h6/catalogue/eventuros-kidwaipuri-patna-event-organisers-g36w0tjl4b.jpg;https://content.jdmagicbox.com/comp/patna/h6/0612px612.x612.191109133835.r4h6/catalogue/eventuros-kidwaipuri-patna-event-organisers-m6xagsonk8.jpg;https://content.jdmagicbox.com/comp/patna/h6/0612px612.x612.191109133835.r4h6/catalogue/eventuros-kidwaipuri-patna-event-organisers-5d8s52wq2i.jpg;https://content.jdmagicbox.com/comp/patna/h6/0612px612.x612.191109133835.r4h6/catalogue/eventuros-kidwaipuri-patna-event-organisers-35yry16txd.jpg;https://content.jdmagicbox.com/comp/patna/h6/0612px612.x612.191109133835.r4h6/catalogue/eventuros-kidwaipuri-patna-event-organisers-vfrl89yj8l.jpg,1,1
