name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Kala Kollective,,,Near Patidar Bhavan Near Jeevan Sparsh Eye Hospital Ganga Dham,GANGADHAM CHOWK Ganga Dham,Pune,4.3,161 Ratings,"Dance Classes, Drawing Classes",18.502444,73.867074,411037,020PXX20.XX20.180326182905.P3B4,https://www.justdial.com/Pune/Kala-Kollective-Near-Patidar-Bhavan-Near-Jeevan-Sparsh-Eye-Hospital-Ganga-Dham/020PXX20-XX20-180326182905-P3B4_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/pune/b4/020pxx20.xx20.180326182905.p3b4/catalogue/kala-kollective-ganga-dham-pune-music-classes-for-drumset-9gk0q7svkh.jpg;https://content.jdmagicbox.com/comp/pune/b4/020pxx20.xx20.180326182905.p3b4/catalogue/kala-kollective-ekbote-colony-pune-summer-camps-bpwovtimvb.jpg;https://content.jdmagicbox.com/comp/pune/b4/020pxx20.xx20.180326182905.p3b4/catalogue/kala-kollective-ekbote-colony-pune-summer-camps-7f437fkbnc.jpg;https://content.jdmagicbox.com/v2/comp/pune/b4/020pxx20.xx20.180326182905.p3b4/catalogue/kala-kollective-ganga-dham-pune-music-classes-for-drumset-w3obb1digp.jpg;https://content.jdmagicbox.com/v2/comp/pune/b4/020pxx20.xx20.180326182905.p3b4/catalogue/kala-kollective-ganga-dham-pune-music-classes-for-drumset-8g0m47mbyi.jpg,,
Sparkshine Inc Events,,,Near Crome Building Wanowrie,Jambhulkar Mala Wanowrie,Pune,4.7,114 Ratings,"Event Organisers, Event Management Companies",18.5068517,73.9005023,411040,020PXX20.XX20.161118004204.D1E3,https://www.justdial.com/Pune/Sparkshine-Inc-Events-Near-Crome-Building-Wanowrie/020PXX20-XX20-161118004204-D1E3_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/pune/e3/020pxx20.xx20.161118004204.d1e3/catalogue/sparkshine-inc-events-wanowrie-pune-event-organisers-ilojgw8hts.jpg;https://content.jdmagicbox.com/v2/comp/pune/e3/020pxx20.xx20.161118004204.d1e3/catalogue/sparkshine-inc-events-wanowrie-pune-event-organisers-r6z4pnxure.jpg;https://content.jdmagicbox.com/v2/comp/pune/e3/020pxx20.xx20.161118004204.d1e3/catalogue/sparkshine-inc-events-wanowrie-pune-event-organisers-5klew6o8mp.jpg;https://content.jdmagicbox.com/v2/comp/pune/e3/020pxx20.xx20.161118004204.d1e3/catalogue/sparkshine-inc-events-wanowrie-pune-event-organisers-jt38iu5qep.jpg;https://content.jdmagicbox.com/v2/comp/pune/e3/020pxx20.xx20.161118004204.d1e3/catalogue/sparkshine-inc-events-wanowrie-pune-event-organisers-n8cpkzdtee.jpg,,
Oorja Tech,,,Opposite Bharti Vidyapeth Main Gate Katraj,Pune Satara Road Katraj,pune,4.2,87 Ratings,"Property Developers, Engineering Project Consultants",18.4575735,73.8593193,411046,020PXX20.XX20.160709133404.M5P1,https://www.justdial.com/Pune/Oorja-Tech-Opposite-Bharti-Vidyapeth-Main-Gate-Katraj/020PXX20-XX20-160709133404-M5P1_BZDET,4.2,https://content.jdmagicbox.com/comp/pune/p1/020pxx20.xx20.160709133404.m5p1/catalogue/oorja-tech-katraj-pune-engineering-project-consultants-edqoj.jpg;https://content.jdmagicbox.com/comp/pune/p1/020pxx20.xx20.160709133404.m5p1/catalogue/oorja-tech-katraj-pune-engineering-project-consultants-nud02.jpg;https://content.jdmagicbox.com/comp/temp/u4/020pxx20.xx20.140624122831.x2u4/catalogue/-9idyy9bve3.jpg;https://content.jdmagicbox.com/comp/pune/s2/020pxx20.xx20.140916135255.t9s2/catalogue/oorja-tech-katraj-pune-project-consultants-1o36w2h.jpg;https://content.jdmagicbox.com/comp/pune/s2/020pxx20.xx20.140916135255.t9s2/catalogue/oorja-tech-katraj-pune-project-consultants-nh96t.jpg,,
Blue Divine Events & Weddings,,,Near Inox Theater Behind Jai Ganesh Vision Akurdi,World Of Mother Akurdi,Pune,4.6,37 Ratings,"Caterers, Mandap Decorators",18.648044,73.784671,411035,020PXX20.XX20.181025123005.K9W5,https://www.justdial.com/Pune/Blue-Divine-Events-Weddings-Near-Inox-Theater-Behind-Jai-Ganesh-Vision-Akurdi/020PXX20-XX20-181025123005-K9W5_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/pune/w5/020pxx20.xx20.181025123005.k9w5/catalogue/blue-divine-events-and-weddings-akurdi-pune-caterers-eifwl1dxy0.jpg;https://content.jdmagicbox.com/comp/pune/w5/020pxx20.xx20.181025123005.k9w5/catalogue/blue-divine-events-and-weddings-akurdi-pune-caterers-ejv8up7gzs.jpg;https://content.jdmagicbox.com/comp/pune/w5/020pxx20.xx20.181025123005.k9w5/catalogue/blue-divine-events-and-weddings-akurdi-pune-caterers-y50bagi0cq.jpg;https://content.jdmagicbox.com/comp/pune/w5/020pxx20.xx20.181025123005.k9w5/catalogue/blue-divine-events-and-weddings-akurdi-pune-caterers-uro8gynue4.jpg;https://content.jdmagicbox.com/comp/pune/w5/020pxx20.xx20.181025123005.k9w5/catalogue/blue-divine-events-and-weddings-akurdi-pune-caterers-1t1o05cw01.jpg,,
Malhar Productions Pvt Ltd,,,Beside Hotel Janjira Asha Colony,Lal Bahadur Shastri Road Asha Colony,Pune,4.7,31 Ratings,"Advertising Agencies, Radio Advertising Agencies",18.5090701,73.8439084,411030,020PXX20.XX20.170711120431.F9B8,https://www.justdial.com/Pune/Malhar-Productions-Pvt-Ltd-Beside-Hotel-Janjira-Asha-Colony/020PXX20-XX20-170711120431-F9B8_BZDET,4.7,https://content.jdmagicbox.com/comp/pune/b8/020pxx20.xx20.170711120431.f9b8/catalogue/malhar-productions-pvt-ltd-asha-colony-pune-outdoor-advertising-agencies-yh82681zcu.jpg;https://content.jdmagicbox.com/comp/pune/b8/020pxx20.xx20.170711120431.f9b8/catalogue/malhar-productions-pvt-ltd-navipeth-pune-outdoor-advertising-agencies-xn546alkvh.jpg;https://content.jdmagicbox.com/comp/pune/b8/020pxx20.xx20.170711120431.f9b8/catalogue/malhar-productions-pvt-ltd-asha-colony-pune-outdoor-advertising-agencies-qbivk2rw1e.jpg;https://content.jdmagicbox.com/comp/pune/b8/020pxx20.xx20.170711120431.f9b8/catalogue/malhar-productions-pvt-ltd-asha-colony-pune-outdoor-advertising-agencies-dlu7ocpxc4.jpg,,
Dynamite Event And Entertainment,,,Behind Vikarnt Complex Pimpri Colony,Vaibhav Nagar Pimpri Colony,Pune,4.5,31 Ratings,"Caterers, Mandap Decorators",18.613241666667,73.798758333333,411017,020PXX20.XX20.100510163755.Q4F9,https://www.justdial.com/Pune/Dynamite-Event-And-Entertainment-Behind-Vikarnt-Complex-Pimpri-Colony/020PXX20-XX20-100510163755-Q4F9_BZDET,4.5,https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding3-event-organisers-for-wedding-3-3rxun-event-organisers-for-wedding-1-8939d.jpg;https://content.jdmagicbox.com/comp/def_content/stage-decorators/2-stage-decorators-2-cazp1.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding7-event-organisers-for-wedding-7-jhru1-event-organisers-for-wedding-5-4w6ry.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding4-event-organisers-for-wedding-4-hjxk3-event-organisers-for-wedding-2-kfera.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding5-event-organisers-for-wedding-5-xfluy-event-organisers-for-wedding-3-1b57a.jpg,1,1
Trident Entertainment,,,Near Kailashdham GymOpposite Subhash Garden Dhanori,Dhanori Road Dhanori,Pune,4.4,29 Ratings,"Dance Classes, Photographers",18.5893766,73.8890909,411015,020PXX20.XX20.190426111407.T3S7,https://www.justdial.com/Pune/Trident-Entertainment-Near-Kailashdham-Gymopposite-Subhash-Garden-Dhanori/020PXX20-XX20-190426111407-T3S7_BZDET,4.4,https://content.jdmagicbox.com/comp/pune/s7/020pxx20.xx20.190426111407.t3s7/catalogue/trident-entertainment-dhanori-pune-video-shooting-services-q99l1in1st.jpg;https://content.jdmagicbox.com/v2/comp/pune/s7/020pxx20.xx20.190426111407.t3s7/catalogue/trident-entertainment-dhanori-pune-video-shooting-services-h2f724ou5b.jpg;https://content.jdmagicbox.com/v2/comp/pune/s7/020pxx20.xx20.190426111407.t3s7/catalogue/trident-entertainment-dhanori-pune-wedding-video-shooting-services-h9i2idxcgn.jpg;https://content.jdmagicbox.com/comp/pune/s7/020pxx20.xx20.190426111407.t3s7/catalogue/trident-entertainment-dhanori-pune-video-shooting-services-0smye70xv6.jpg;https://content.jdmagicbox.com/comp/pune/s7/020pxx20.xx20.190426111407.t3s7/catalogue/trident-entertainment-dhanori-pune-wedding-video-shooting-services-to5v2youjr.jpg,,
Yuvan Dance Company,,,Opposite Linear Park Benkar Nagar Dhayari,Benkar Nagar-Dhayari,pune,4.6,26 Ratings,"Anchoring Services, Choreographers",18.4433216,73.8074557,411041,020PXX20.XX20.190524022009.W4Z6,https://www.justdial.com/Pune/Yuvan-Dance-Company-Opposite-Linear-Park-Benkar-Nagar-Dhayari/020PXX20-XX20-190524022009-W4Z6_BZDET,4.6,https://content.jdmagicbox.com/v2/comp/pune/z6/020pxx20.xx20.190524022009.w4z6/catalogue/yuvan-dance-company-shivane-khadakwasla-pune-anchoring-services-1s3mtwajbr.jpg;https://content.jdmagicbox.com/v2/comp/pune/z6/020pxx20.xx20.190524022009.w4z6/catalogue/yuvan-dance-company-shivane-khadakwasla-pune-folk-dance-troupe-7n0gxkrndz.jpg;https://content.jdmagicbox.com/v2/comp/pune/z6/020pxx20.xx20.190524022009.w4z6/catalogue/yuvan-dance-company-shivane-khadakwasla-pune-folk-dance-troupe-qprl00ewrb.jpg;https://content.jdmagicbox.com/v2/comp/pune/z6/020pxx20.xx20.190524022009.w4z6/catalogue/yuvan-dance-company-shivane-khadakwasla-pune-folk-dance-troupe-cwap1bask3.jpg;https://content.jdmagicbox.com/v2/comp/pune/z6/020pxx20.xx20.190524022009.w4z6/catalogue/yuvan-dance-company-shivane-khadakwasla-pune-folk-dance-troupe-k6w8npzegs.jpg,,
Bookeventartist.com Celebrity Management,,,Opposite Dhankude Wasti Baner Gaon Baner,,pune,4.9,20 Ratings,"Event Organisers, Event Management Companies",18.5591867,73.7804099,411045,020PXX20.XX20.170112125517.V7A6,https://www.justdial.com/Pune/Bookeventartistcom-Celebrity-Management-Opposite-Dhankude-Wasti-Baner-Gaon-Baner/020PXX20-XX20-170112125517-V7A6_BZDET,4.9,https://content.jdmagicbox.com/comp/pune/a6/020pxx20.xx20.170112125517.v7a6/catalogue/bookeventartist-com-celebrity-management-baner-gaon-baner-pune-event-organisers-t7f1haqxdl.jpg;https://content.jdmagicbox.com/comp/pune/e9/020pxx20.xx20.170226234528.s2e9/catalogue/book-event-artist-bookeventartist-com-baner-pune-event-organisers-24xse7r.jpg;https://content.jdmagicbox.com/comp/pune/e9/020pxx20.xx20.170226234528.s2e9/catalogue/bookeventartist-com-celebrity-management-pune-1q6ntmyeds.jpg;https://content.jdmagicbox.com/comp/pune/e9/020pxx20.xx20.170226234528.s2e9/catalogue/book-event-artist-bookeventartist-com--baner-pune-event-organisers-jebmwglrei.jpg;https://content.jdmagicbox.com/comp/pune/h8/pwfl1488129691h4r5h8/catalogue/book-event-artist-bookeventartist-com--baner-pune-event-organisers-y5ggh.jpg,,
Mit Wpu Aarohan,,, Kothrud,Vishwashanti Marg Kothrud,pune,4.2,"2,262 Ratings",Entertainment Agencies,18.5191113,73.8150107,411038,020PXX20.XX20.220211030538.M2S6,https://www.justdial.com/Pune/Mit-Wpu-Aarohan-Kothrud/020PXX20-XX20-220211030538-M2S6_BZDET,4.2,https://content.jdmagicbox.com/v2/comp/pune/s6/020pxx20.xx20.220211030538.m2s6/catalogue/mit-wpu-aarohan-kothrud-pune-entertainment-agencies-mqj0jjvnha.jpg;https://content.jdmagicbox.com/v2/comp/pune/s6/020pxx20.xx20.220211030538.m2s6/catalogue/mit-wpu-aarohan-kothrud-pune-entertainment-agencies-f65sjhge4b.jpg;https://content.jdmagicbox.com/v2/comp/pune/s6/020pxx20.xx20.220211030538.m2s6/catalogue/mit-wpu-aarohan-kothrud-pune-entertainment-agencies-d1a4hz983q.jpg;https://content.jdmagicbox.com/v2/comp/pune/s6/020pxx20.xx20.220211030538.m2s6/catalogue/mit-wpu-aarohan-kothrud-pune-entertainment-agencies-ctiyf79ux0.jpg;https://content.jdmagicbox.com/v2/comp/pune/s6/020pxx20.xx20.220211030538.m2s6/catalogue/mit-wpu-aarohan-kothrud-pune-entertainment-agencies-julbic8w64.jpg,,
