name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
Cmi Media Events,,,Icici Bank Above Station Road,Ge Road Station Road,Raipur-Chhattisgarh,4.7,91 Ratings,"Event Organisers, Birthday Party Organisers",21.248785,81.660430888889,492001,9999PX771.X771.190111091004.I1W7,https://www.justdial.com/Raipur-Chhattisgarh/Cmi-Media-Events-Icici-Bank-Above-Station-Road/9999PX771-X771-190111091004-I1W7_BZDET,4.7,https://content.jdmagicbox.com/comp/raipur-chhattisgarh/w7/9999px771.x771.190111091004.i1w7/catalogue/cmi-media-events-raipur-ho-raipur-chhattisgarh-event-organisers-e42zysd8g2.jpg;https://content.jdmagicbox.com/comp/raipur-chhattisgarh/w7/9999px771.x771.190111091004.i1w7/catalogue/cmi-media-events-raipur-ho-raipur-chhattisgarh-event-organisers-pks5bh5fg5.jpg;https://content.jdmagicbox.com/comp/raipur-chhattisgarh/w7/9999px771.x771.190111091004.i1w7/catalogue/cmi-media-events-raipur-ho-raipur-chhattisgarh-event-organisers-wfvc1j4ivs.jpg;https://content.jdmagicbox.com/comp/raipur-chhattisgarh/w7/9999px771.x771.190111091004.i1w7/catalogue/cmi-media-events-raipur-ho-raipur-chhattisgarh-event-organisers-3jmgydikc8.jpg;https://content.jdmagicbox.com/comp/raipur-chhattisgarh/w7/9999px771.x771.190111091004.i1w7/catalogue/cmi-media-events-raipur-ho-raipur-chhattisgarh-event-organisers-for-dance-parties-4gg597vsz3.jpg,1,1
Creative Decor Event,,, Mohaba Bazar,Dumar Talab Mohaba Bazar,raipur-chhattisgarh,5,132 Ratings,"Event Organisers, Balloon Decorators",21.2537093,81.5889193,492010,9999PX771.X771.250114093821.Q1R2,https://www.justdial.com/Raipur-Chhattisgarh/Creative-Decor-Event-Mohaba-Bazar/9999PX771-X771-250114093821-Q1R2_BZDET,5,https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/r2/9999px771.x771.250114093821.q1r2/catalogue/creative-decor-event-mohaba-bazar-raipur-chhattisgarh-event-organisers-vn1cpjg11k.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/r2/9999px771.x771.250114093821.q1r2/catalogue/creative-decor-event-mohaba-bazar-raipur-chhattisgarh-event-organisers-mb74xnwf23.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/r2/9999px771.x771.250114093821.q1r2/catalogue/creative-decor-event-mohaba-bazar-raipur-chhattisgarh-event-organisers-lzxhas4tvm.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/r2/9999px771.x771.250114093821.q1r2/catalogue/creative-decor-event-mohaba-bazar-raipur-chhattisgarh-event-organisers-1z85jy6hje.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/r2/9999px771.x771.250114093821.q1r2/catalogue/creative-decor-event-mohaba-bazar-raipur-chhattisgarh-event-organisers-vhbe1m08a8.jpg,,
Vital Events & Marketing,,,Near Sai Mandar Golden Trade Center New Rajendra Nagar,Ring Road New Rajendra Nagar,Raipur-Chhattisgarh,4.7,75 Ratings,"Event Organisers, Caterers",21.230621333333,81.665725694444,492001,9999PX771.X771.180525140039.J6Z3,https://www.justdial.com/Raipur-Chhattisgarh/Vital-Events-Marketing-Near-Sai-Mandar-Golden-Trade-Center-New-Rajendra-Nagar/9999PX771-X771-180525140039-J6Z3_BZDET,4.7,https://content.jdmagicbox.com/comp/raipur-chhattisgarh/z3/9999px771.x771.180525140039.j6z3/catalogue/vital-events-and-marketing-new-rajendra-nagar-raipur-chhattisgarh-event-organisers-2ajxh.jpg;https://content.jdmagicbox.com/comp/raipur-chhattisgarh/z3/9999px771.x771.180525140039.j6z3/catalogue/vital-events-marketing-new-rajendra-nagar-raipur-chhattisgarh-event-organisers-s3jra.jpg;https://content.jdmagicbox.com/comp/raipur-chhattisgarh/z3/9999px771.x771.180525140039.j6z3/catalogue/vital-events-and-marketing-new-rajendra-nagar-raipur-chhattisgarh-event-organisers-uslmi.jpg;https://content.jdmagicbox.com/comp/raipur-chhattisgarh/z3/9999px771.x771.180525140039.j6z3/catalogue/vital-events-and-marketing-new-rajendra-nagar-raipur-chhattisgarh-event-organisers-ht5kh.jpg;https://content.jdmagicbox.com/comp/raipur-chhattisgarh/z3/9999px771.x771.180525140039.j6z3/catalogue/vital-events-and-marketing-new-rajendra-nagar-raipur-chhattisgarh-event-organisers-0guwwwrilt.jpg,,
Wedding By Blacktie,,,Opposite Slt Water Telibandha,Marine Drive Complex Telibandha,raipur-chhattisgarh,4.9,63 Ratings,"Birthday Party Organisers, Wedding Planners",21.2410889,81.6608942,492001,9999PX771.X771.230205083518.N9V4,https://www.justdial.com/Raipur-Chhattisgarh/Wedding-By-Blacktie-Opposite-Slt-Water-Telibandha/9999PX771-X771-230205083518-N9V4_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/v4/9999px771.x771.230205083518.n9v4/catalogue/wedding-by-blacktie-telibandha-raipur-chhattisgarh-wedding-planners-l5s11c4e0o.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/v4/9999px771.x771.230205083518.n9v4/catalogue/wedding-by-blacktie-telibandha-raipur-chhattisgarh-wedding-planners-2e9q52pcb7.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/v4/9999px771.x771.230205083518.n9v4/catalogue/wedding-by-blacktie-telibandha-raipur-chhattisgarh-wedding-planners-s9h4njk260.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/v4/9999px771.x771.230205083518.n9v4/catalogue/wedding-by-blacktie-telibandha-raipur-chhattisgarh-wedding-planners-uxfo9s5nyy.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/v4/9999px771.x771.230205083518.n9v4/catalogue/wedding-by-blacktie-telibandha-raipur-chhattisgarh-wedding-planners-9veljdmroh.jpg,,
Sambhawam Event Management And Wedding Planner,,,Kushalpur Chowk Kushalpur,Near Kushalpur Bridge Kushalpur,raipur-chhattisgarh,4.7,49 Ratings,"Event Organisers, Caterers",21.2226291,81.6130719,492001,9999PX771.X771.190809201633.Z7S2,https://www.justdial.com/Raipur-Chhattisgarh/Sambhawam-Event-Management-And-Wedding-Planner-Kushalpur-Chowk-Kushalpur/9999PX771-X771-190809201633-Z7S2_BZDET,4.7,https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/s2/9999px771.x771.190809201633.z7s2/catalogue/sambhawam-event-management-and-wedding-planner-kushalpur-raipur-chhattisgarh-caterers-ppwr1v1q94.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/s2/9999px771.x771.190809201633.z7s2/catalogue/sambhawam-event-management-and-wedding-planner-kushalpur-raipur-chhattisgarh-caterers-ficvjti287.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/s2/9999px771.x771.190809201633.z7s2/catalogue/sambhawam-event-management-and-wedding-planner-kushalpur-raipur-chhattisgarh-caterers-zla85smbs3.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/s2/9999px771.x771.190809201633.z7s2/catalogue/sambhawam-event-management-and-wedding-planner-kushalpur-raipur-chhattisgarh-caterers-m1n54vci8x.jpg;https://content.jdmagicbox.com/v2/comp/raipur-chhattisgarh/s2/9999px771.x771.190809201633.z7s2/catalogue/sambhawam-event-management-and-wedding-planner-kushalpur-raipur-chhattisgarh-caterers-qijctcg0hn.jpg,1,1
