name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
Minerva Evetainment,,,Near CCN Office Hakimpara,10 Sarat Bose Road Hakimpara,Siliguri,4.9,11 Ratings,"Event Organisers, Caterers",26.714625194444,88.430117972222,734001,9999PX353.X353.090729144304.A9F1DC,https://www.justdial.com/Siliguri/Minerva-Evetainment-Near-Ccn-Office-Hakimpara/9999PX353-X353-090729144304-A9F1DC_BZDET,4.9,https://content.jdmagicbox.com/comp/siliguri/dc/9999px353.x353.090729144304.a9f1dc/catalogue/minerva-evetainment-hakimpara-siliguri-balloon-decorators-lvtns.jpg;https://content.jdmagicbox.com/comp/siliguri/dc/9999px353.x353.090729144304.a9f1dc/catalogue/minerva-evetainment-hakimpara-siliguri-balloon-decorators-3am28.jpg;https://content.jdmagicbox.com/comp/siliguri/dc/9999px353.x353.090729144304.a9f1dc/catalogue/minerva-evetainment-hakimpara-siliguri-balloon-decorators-qfy4nn6.jpg;https://content.jdmagicbox.com/v2/comp/siliguri/dc/9999px353.x353.090729144304.a9f1dc/catalogue/minerva-evetainment-hakimpara-siliguri-balloon-decorators-5ncksxo.jpg;https://content.jdmagicbox.com/v2/comp/siliguri/dc/9999px353.x353.090729144304.a9f1dc/catalogue/minerva-evetainment-hakimpara-siliguri-balloon-decorators-40fvbi0.jpg,1,1
D Magic Touch,,,Near Maya Sanyal Nurshing Home Ashram Para,Ashram Para,Siliguri,4.8,62 Ratings,"Event Organisers, Wedding Planners",26.7194143,88.4443357,734001,9999PX353.X353.181130003501.K7F8,https://www.justdial.com/Siliguri/D-Magic-Touch-Near-Maya-Sanyal-Nurshing-Home-Ashram-Para/9999PX353-X353-181130003501-K7F8_BZDET,4.8,https://content.jdmagicbox.com/comp/siliguri/f8/9999px353.x353.181130003501.k7f8/catalogue/d-magic-touch-ashram-para-siliguri-event-organisers-5l2zlc1bx7.jpg;https://content.jdmagicbox.com/comp/siliguri/f8/9999px353.x353.181130003501.k7f8/catalogue/d-magic-touch-ashram-para-siliguri-courier-services-iaroftwolz.jpg;https://content.jdmagicbox.com/comp/siliguri/f8/9999px353.x353.181130003501.k7f8/catalogue/d-magic-touch-ashram-para-siliguri-event-organisers-34zti6t0zh.jpg;https://content.jdmagicbox.com/comp/siliguri/f8/9999px353.x353.181130003501.k7f8/catalogue/d-magic-touch-ashram-para-siliguri-event-organisers-ewrpk3pfb7.jpg;https://content.jdmagicbox.com/comp/siliguri/f8/9999px353.x353.181130003501.k7f8/catalogue/d-magic-touch-ashram-para-siliguri-event-organisers-etzpn34w8n.jpg,,
Dj Manjit,,,Near Hansabela Ashram Shastri Naga Anchal Sri Ram Colony,Sri Ram Colony,Siliguri,4.3,35 Ratings,"Event Organisers, Wedding Planners",26.7232683,88.4257924,734001,9999PX353.X353.141104121700.C8I6,https://www.justdial.com/Siliguri/Dj-Manjit-Near-Hansabela-Ashram-Shastri-Naga-Anchal-Sri-Ram-Colony/9999PX353-X353-141104121700-C8I6_BZDET,4.3,https://content.jdmagicbox.com/comp/siliguri/i6/9999px353.x353.141104121700.c8i6/catalogue/dj-manjit-sevok-road-siliguri-disc-jockey-c7frtxghwf.jpg;https://content.jdmagicbox.com/comp/siliguri/i6/9999px353.x353.141104121700.c8i6/catalogue/dj-manjit-sevok-road-siliguri-disc-jockey-dr717w0w1g.jpg;https://content.jdmagicbox.com/comp/siliguri/i6/9999px353.x353.141104121700.c8i6/catalogue/dj-manjit-sevok-road-siliguri-disc-jockey-gwid7tm8bv.jpg;https://content.jdmagicbox.com/v2/comp/siliguri/i6/9999px353.x353.141104121700.c8i6/catalogue/dj-manjit-sevok-road-siliguri-disc-jockey-ab8hj4jufg.jpg;https://content.jdmagicbox.com/comp/siliguri/i6/9999px353.x353.141104121700.c8i6/catalogue/dj-manjit-sevok-road-siliguri-disc-jockey-RJzqxZ1Aob5tqAA.jpg,,
Saaj Sajawat Shehnai,,, Haider Para,Meghlal Roy Road Haider Para,siliguri,4.9,24 Ratings,"Event Organisers, Wedding Planners",26.7236357,88.4395843,734006,9999PX353.X353.191128225452.Q5N3,https://www.justdial.com/Siliguri/Saaj-Sajawat-Shehnai-Haider-Para/9999PX353-X353-191128225452-Q5N3_BZDET,4.9,https://content.jdmagicbox.com/comp/siliguri/n3/9999px353.x353.191128225452.q5n3/catalogue/saaj-sajawat-shehnai-siliguri-wedding-planners-frddsxshde.jpg;https://content.jdmagicbox.com/comp/siliguri/n3/9999px353.x353.191128225452.q5n3/catalogue/saaj-sajawat-shehnai-siliguri-wedding-planners-4s7ff4zdtz.jpg;https://content.jdmagicbox.com/comp/siliguri/n3/9999px353.x353.191128225452.q5n3/catalogue/saaj-sajawat-shehnai-siliguri-wedding-planners-72xyp0chce.jpg;https://content.jdmagicbox.com/comp/siliguri/n3/9999px353.x353.191128225452.q5n3/catalogue/saaj-sajawat-shehnai-siliguri-wedding-planners-vi90of1rqx.jpg;https://content.jdmagicbox.com/comp/siliguri/n3/9999px353.x353.191128225452.q5n3/catalogue/saaj-sajawat-shehnai-siliguri-wedding-planners-dt8janpqhy.jpg,,
6 Yards Event Organisers,,,Saha Atta Mill Pradhan Nagar,Pradhan Nagar Pradhan Nagar,siliguri,4.8,17 Ratings,"Event Organisers, Wedding Planners",26.7325337,88.4167172,734003,9999PX353.X353.210925211505.Q3S2,https://www.justdial.com/Siliguri/6-Yards-Event-Organisers-Saha-Atta-Mill-Pradhan-Nagar/9999PX353-X353-210925211505-Q3S2_BZDET,4.8,https://content.jdmagicbox.com/comp/siliguri/s2/9999px353.x353.210925211505.q3s2/catalogue/6-yards-event-organisers-pradhan-nagar-siliguri-event-organisers-oe5fzdpsun.jpg;https://content.jdmagicbox.com/comp/siliguri/s2/9999px353.x353.210925211505.q3s2/catalogue/6-yards-event-organisers-pradhan-nagar-siliguri-event-organisers-n0sz8fe2uc.jpg;https://content.jdmagicbox.com/comp/siliguri/s2/9999px353.x353.210925211505.q3s2/catalogue/6-yards-event-organisers-pradhan-nagar-siliguri-event-organisers-tqpda8m70t.jpg;https://content.jdmagicbox.com/comp/siliguri/s2/9999px353.x353.210925211505.q3s2/catalogue/6-yards-event-organisers-pradhan-nagar-siliguri-event-organisers-mttplnkfqq.jpg;https://content.jdmagicbox.com/comp/siliguri/s2/9999px353.x353.210925211505.q3s2/catalogue/6-yards-event-organisers-pradhan-nagar-siliguri-event-organisers-vy7tc0zb4b.jpg,,
