name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
Jadugar Rajtilak,,,Opposite Hotel Rajkamal Bhuwana,Indra Puri Colony Bhuwana,Udaipur-Rajasthan,4.7,196 Ratings,"Event Organisers, Event Organisers For Wedding",24.6018447,73.6907028,313001,9999PX294.X294.180528141553.G5M2,https://www.justdial.com/Udaipur-Rajasthan/Jadugar-Rajtilak-Opposite-Hotel-Rajkamal-Bhuwana/9999PX294-X294-180528141553-G5M2_BZDET,4.7,https://content.jdmagicbox.com/comp/udaipur-rajasthan/m2/9999px294.x294.180528141553.g5m2/catalogue/jadugar-rajtilak-bhuwana-udaipur-rajasthan-event-organisers-1ua4thslst.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/m2/9999px294.x294.180528141553.g5m2/catalogue/jadugar-rajtilak-bhuwana-udaipur-rajasthan-event-organisers-1exvmo9scv.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/m2/9999px294.x294.180528141553.g5m2/catalogue/jadugar-rajtilak-bhuwana-udaipur-rajasthan-event-organisers-txfbzjpvur.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/m2/9999px294.x294.180528141553.g5m2/catalogue/jadugar-rajtilak-bhuwana-udaipur-rajasthan-event-organisers-rn3ysmq0dv.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/m2/9999px294.x294.180528141553.g5m2/catalogue/jadugar-rajtilak-bhuwana-udaipur-rajasthan-event-organisers-bw23u0sr7a.jpg,1,1
Himanshu Anchor,,, Keshav Nagar,Prem Nagar Udaipur Keshav Nagar,udaipur-rajasthan,5,103 Ratings,Entertainment Agencies,24.5972803,73.7139171,313001,9999PX294.X294.231013203716.V8G2,https://www.justdial.com/Udaipur-Rajasthan/Himanshu-Anchor-Keshav-Nagar/9999PX294-X294-231013203716-V8G2_BZDET,5,https://content.jdmagicbox.com/v2/comp/udaipur-rajasthan/g2/9999px294.x294.231013203716.v8g2/catalogue/himanshu-anchor-keshav-nagar-udaipur-rajasthan-entertainment-agencies-8knixlqf5j.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/g2/9999px294.x294.231013203716.v8g2/catalogue/himanshu-anchor-keshav-nagar-udaipur-rajasthan-entertainment-agencies-z4ldpyqkd0.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/g2/9999px294.x294.231013203716.v8g2/catalogue/himanshu-anchor-keshav-nagar-udaipur-rajasthan-entertainment-agencies-qm9dvmc72m.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/g2/9999px294.x294.231013203716.v8g2/catalogue/himanshu-anchor-keshav-nagar-udaipur-rajasthan-entertainment-agencies-1ajx4r9p0p.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/g2/9999px294.x294.231013203716.v8g2/catalogue/himanshu-anchor-keshav-nagar-udaipur-rajasthan-entertainment-agencies-mhd4e1wgee.jpg,,
Srajan The Spark,,, Shobhagpura,100 Feet Road Shobhagpura,udaipur-rajasthan,4,6 Ratings,Entertainment Agencies,24.6007461,73.7089427,313001,9999PX294.X294.250630185612.P7X8,https://www.justdial.com/Udaipur-Rajasthan/Srajan-The-Spark-Shobhagpura/9999PX294-X294-250630185612-P7X8_BZDET,4,https://content.jdmagicbox.com/comp/def_content/entertainment-agencies/bcfc803fbf-entertainment-agencies-3-g1kh3.jpg,,
Sada Events & Entertainment,,, Rupsagar,42861Udaipur Rupsagar,udaipur-rajasthan,4,4 Ratings,Entertainment Agencies,24.6034797,73.716657,313001,9999PX294.X294.260701160510.J5S4,https://www.justdial.com/Udaipur-Rajasthan/Sada-Events-Entertainment-Rupsagar/9999PX294-X294-260701160510-J5S4_BZDET,4,https://content.jdmagicbox.com/comp/def_content/entertainment-agencies/4b0538d07a-entertainment-agencies-1-g0c1l.jpg,,
Sd Dance Studio & Production 2Nd Branch,,,Opposite Vmart Mahaveer Nagari,Mahaveer Nagari,udaipur-rajasthan,4.3,3 Ratings,Entertainment Agencies,24.5693284,73.7213487,313001,9999PX294.X294.230323072943.U5I8,https://www.justdial.com/Udaipur-Rajasthan/Sd-Dance-Studio-Production-2Nd-Branch-Opposite-Vmart-Mahaveer-Nagari/9999PX294-X294-230323072943-U5I8_BZDET,4.3,https://content.jdmagicbox.com/comp/udaipur-rajasthan/i8/9999px294.x294.230323072943.u5i8/catalogue/sd-dance-studio-and-production-2nd-branch-udaipur-rajasthan-entertainment-agencies-cx9dzydn37.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/i8/9999px294.x294.230323072943.u5i8/catalogue/sd-dance-studio-and-production-2nd-branch-udaipur-rajasthan-entertainment-agencies-7yzu122ecl.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/i8/9999px294.x294.230323072943.u5i8/catalogue/sd-dance-studio-and-production-2nd-branch-udaipur-rajasthan-entertainment-agencies-4vt40wwaxc.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/i8/9999px294.x294.230323072943.u5i8/catalogue/sd-dance-studio-and-production-2nd-branch-udaipur-rajasthan-entertainment-agencies-qo4orsw57l.jpg;https://content.jdmagicbox.com/comp/udaipur-rajasthan/i8/9999px294.x294.230323072943.u5i8/catalogue/sd-dance-studio-and-production-2nd-branch-udaipur-rajasthan-entertainment-agencies-h8fqov2g2n.jpg,,
