name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
Chhaya Farm,,,Behind Billabong School Vadsar,Vadsar,Vadodara,4.3,508 Ratings,"Banquet Halls, AC Banquet Halls",22.2663421,73.1733981,390010,0265PX265.X265.180326225228.C1X2,https://www.justdial.com/Vadodara/Chhaya-Farm-Behind-Billabong-School-Vadsar/0265PX265-X265-180326225228-C1X2_BZDET,4.3,https://content.jdmagicbox.com/comp/vadodara/x2/0265px265.x265.180326225228.c1x2/catalogue/chhaya-farm-vadsar-vadodara-banquet-halls-iyx17.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/x2/0265px265.x265.180326225228.c1x2/catalogue/chhaya-farm-vadsar-vadodara-banquet-halls-5Y2bgB73YW.jpg;https://content.jdmagicbox.com/comp/vadodara/x2/0265px265.x265.180326225228.c1x2/catalogue/chhaya-farm-vadsar-vadodara-banquet-halls-14551.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/x2/0265px265.x265.180326225228.c1x2/catalogue/chhaya-farm-vadsar-vadodara-banquet-halls-YAHZU1iWyS.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/x2/0265px265.x265.180326225228.c1x2/catalogue/chhaya-farm-vadsar-vadodara-banquet-halls-Btbz04GcN3.jpg,,
Props & Studio Wala - A Exclusive New Born Baby Props,,,Near Surya Palace Hotel Raopura,Darshanam Trade Centere 2 Raopura,vadodara,4.9,220 Ratings,"Photographers, Photo Studios",22.3030573,73.1828415,390001,0265PX265.X265.230117024716.P2Q7,https://www.justdial.com/Vadodara/Props-Studio-Wala-A-Exclusive-New-Born-Baby-Props-Near-Surya-Palace-Hotel-Raopura/0265PX265-X265-230117024716-P2Q7_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/vadodara/q7/0265px265.x265.230117024716.p2q7/catalogue/props-and-studio-wala-a-exclusive-new-born-baby-props-vadodara-entertainment-agencies-vqf9de0jn2.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/q7/0265px265.x265.230117024716.p2q7/catalogue/props-and-studio-wala-a-exclusive-new-born-baby-props-vadodara-entertainment-agencies-x5j7l67m2h.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/q7/0265px265.x265.230117024716.p2q7/catalogue/props-and-studio-wala-a-exclusive-new-born-baby-props-vadodara-entertainment-agencies-0jhl0fe04m.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/q7/0265px265.x265.230117024716.p2q7/catalogue/props-and-studio-wala-a-exclusive-new-born-baby-props-vadodara-entertainment-agencies-q5ucab2n33.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/q7/0265px265.x265.230117024716.p2q7/catalogue/props-and-studio-wala-a-exclusive-new-born-baby-props-vadodara-entertainment-agencies-0i7kw1xwz9.jpg,,
Decorflix,,,Opposite Axis Bank Gotri,105 Road Gotri,vadodara,4.9,191 Ratings,Entertainment Agencies,22.3158261,73.1397452,390021,0265PX265.X265.250808020920.Q8C2,https://www.justdial.com/Vadodara/Decorflix-Opposite-Axis-Bank-Gotri/0265PX265-X265-250808020920-Q8C2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/vadodara/c2/0265px265.x265.250808020920.q8c2/catalogue/decorflix-gotri-vadodara-entertainment-agencies-4pf7hletf0.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/c2/0265px265.x265.250808020920.q8c2/catalogue/decorflix-gotri-vadodara-entertainment-agencies-chnse7796t.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/c2/0265px265.x265.250808020920.q8c2/catalogue/decorflix-gotri-vadodara-entertainment-agencies-5qizhd533t.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/c2/0265px265.x265.250808020920.q8c2/catalogue/decorflix-gotri-vadodara-entertainment-agencies-4wji8lzdr3.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/c2/0265px265.x265.250808020920.q8c2/catalogue/decorflix-gotri-vadodara-entertainment-agencies-bnl1j0yspj.jpg,,
Dream Party Events,,,Eva Mall Manjalpur,Beside Eva Mall Manjalpur,vadodara,4.7,71 Ratings,"Birthday Party Decorators, Decorators",22.269836,73.1842338,390011,0265PX265.X265.210615135213.E5F1,https://www.justdial.com/Vadodara/Dream-Party-Events-Eva-Mall-Manjalpur/0265PX265-X265-210615135213-E5F1_BZDET,4.7,https://content.jdmagicbox.com/comp/vadodara/f1/0265px265.x265.210615135213.e5f1/catalogue/dream-party-events-manjalpur-vadodara-balloon-decorators-04tot7qx67.jpg;https://content.jdmagicbox.com/comp/vadodara/f1/0265px265.x265.210615135213.e5f1/catalogue/dream-party-events-manjalpur-vadodara-balloon-decorators-7ojd61has5.jpg;https://content.jdmagicbox.com/comp/vadodara/f1/0265px265.x265.210615135213.e5f1/catalogue/dream-party-events-manjalpur-vadodara-balloon-decorators-p0gflewrh2.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/f1/0265px265.x265.210615135213.e5f1/catalogue/dream-party-events-manjalpur-vadodara-balloon-decorators-jgcn83paut.jpg;https://content.jdmagicbox.com/v2/comp/vadodara/f1/0265px265.x265.210615135213.e5f1/catalogue/dream-party-events-manjalpur-vadodara-balloon-decorators-qtkk70pp7x.jpg,,
Vadodara Family Fest,,, Undera,Undera,vadodara,4.4,33 Ratings,Entertainment Agencies,22.35126,73.081512,391330,0265PX265.X265.260426051233.L3P7,https://www.justdial.com/Vadodara/Vadodara-Family-Fest-Undera/0265PX265-X265-260426051233-L3P7_BZDET,4.4,https://content.jdmagicbox.com/v2/comp/vadodara/p7/0265px265.x265.260426051233.l3p7/catalogue/vadodara-family-fest-undera-vadodara-entertainment-agencies-p9ho4upwh8.jpg,,
