name,phone,whatsapp,address,area,city,rating,reviews,categories,lat,lon,pincode,docid,weburl,rating_ln,images,verified,paid_status
Mighty Events,,,Opposite Siddhivinayak Annex Tower Sun Mill Compound Lower Parel,SJ Marg Lower Parel,Mumbai,3.8,11 Ratings,"Caterers, Decorators",18.995438,72.827215,400013,022PXX22.XX22.160321131754.V1N1,https://www.justdial.com/Mumbai/Mighty-Events-Opposite-Siddhivinayak-Annex-Tower-Sun-Mill-Compound-Lower-Parel/022PXX22-XX22-160321131754-V1N1_BZDET,3.8,https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-e238e.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-6e4d7t58av.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-ghni22dqcz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-bhcqe6m4xc.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/n1/022pxx22.xx22.160321131754.v1n1/catalogue/mighty-events-lower-parel-mumbai-event-organisers-wf2ri2h8fr.jpg,,
BJM Entertainment,,,Maxus Cinema Borivali West,Zoom Plaza Borivali West,Mumbai,4.9,107 Ratings,"Event Management Companies, Celebrity Management Services",19.2319306,72.8286977,400092,022PXX22.XX22.120713135443.Z8J2,https://www.justdial.com/Mumbai/BJM-Entertainment-Maxus-Cinema-Borivali-West/022PXX22-XX22-120713135443-Z8J2_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-ipqxb15qr7.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-63a83w9ekz.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-b16trijq9p.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-malad-west-mumbai-artist-management-e8kdsozxth.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/j2/022pxx22.xx22.120713135443.z8j2/catalogue/bjm-entertainment-borivali-west-mumbai-celebrity-management-services-hrep5xt7m9.jpg,,
Memories 4 Ever Opc Pvt Ltd,,,Near Seawoods StationSector 42A Seawoods,Nandi Dham Society Shop No 8 Plot No 29 Seawoods,Mumbai,4.3,111 Ratings,"Corporate Companies, Bus Services",19.0164223,73.0164699,400706,022PXX22.XX22.171021164540.D7B7,https://www.justdial.com/Navi-Mumbai/Memories-4-Ever-Opc-Pvt-Ltd-Near-Seawoods-Stationsector-42A-Seawoods/022PXX22-XX22-171021164540-D7B7_BZDET,4.3,https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-mfigy.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-2kd3v.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-lrtyu.jpg;https://content.jdmagicbox.com/v2/comp/navi-mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-navi-mumbai-bus-services-9kbrl7rjy3.jpg;https://content.jdmagicbox.com/v2/comp/navi_mumbai/b7/022pxx22.xx22.171021164540.d7b7/catalogue/memories-4-ever-opc-pvt-ltd-seawoods-mumbai-car-hire-ggc3m.jpg,1,1
Swarajya Events,,,Behind Om Aditya Appartment Near Kaushalya Hospital Thane West,Ganeshwadi Thane West,Mumbai,4.8,83 Ratings,"Sports Ground, Balloon Decorators",19.2005948,72.965657,400601,022PXX22.XX22.180328082735.J5M3,https://www.justdial.com/Thane/Swarajya-Events-Behind-Om-Aditya-Appartment-Near-Kaushalya-Hospital-Thane-West/022PXX22-XX22-180328082735-J5M3_BZDET,4.8,https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3gq4lnhl7r.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-kkql9i6fzp.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-3br0z8izi2.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-tdg019ujnn.jpg;https://content.jdmagicbox.com/v2/comp/thane/m3/022pxx22.xx22.180328082735.j5m3/catalogue/swarajya-events-thane-west-thane-balloon-decorators-wtgdoupuvu.jpg,1,1
Coconut Talent Management,,,Next to Fun Republic Andheri West,Link Road Andheri West,mumbai,4.1,96 Ratings,"Event Management Companies, Celebrity Management Services",19.134782,72.832365,400053,022PXX22.XX22.170508180002.H2I3,https://www.justdial.com/Mumbai/Coconut-Talent-Management-Next-To-Fun-Republic-Andheri-West/022PXX22-XX22-170508180002-H2I3_BZDET,4.1,https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-yu44k.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ed9cw.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-ehk8m4wh55.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/i3/022pxx22.xx22.170508180002.h2i3/catalogue/coconut-talent-management-andheri-west-mumbai-artist-management-hkjg71eiwq.jpg;https://content.jdmagicbox.com/v2/comp/mumbai/b5/022pxx22.xx22.170508160430.h2b5/catalogue/coconut-talent-andheri-west-mumbai-event-organisers-fuwprbz4ep.jpg,,
Uphorria Events,,,Dabhaliya Talav Valsad Industrial Estate,Civil Road Valsad Industrial Estate,Valsad,4.9,45 Ratings,"Decorators, Event Organisers",20.62215,72.97241,396035,9999P2632.2632.190129125023.I1H6,https://www.justdial.com/Valsad/Uphorria-Events-Dabhaliya-Talav-Valsad-Industrial-Estate/9999P2632-2632-190129125023-I1H6_BZDET,4.9,https://content.jdmagicbox.com/v2/comp/valsad/h6/9999p2632.2632.190129125023.i1h6/catalogue/uphorria-events-valsad-h-o-valsad-event-organisers-for-dj-muvn87gg0p.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding3-event-organisers-for-wedding-3-3rxun-event-organisers-for-wedding-1-8939d.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding4-event-organisers-for-wedding-4-hjxk3-event-organisers-for-wedding-2-kfera.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding5-event-organisers-for-wedding-5-xfluy-event-organisers-for-wedding-3-1b57a.jpg;https://content.jdmagicbox.com/comp/def_content_category/event-organisers-for-wedding/event-organisers-for-wedding6-event-organisers-for-wedding-6-0ia76-event-organisers-for-wedding-4-jz1ig.jpg,,
Bye Planning,,, Tithal,Kailash Road Tithal,valsad,4.9,18 Ratings,"Mandap Decorators, Decorators",20.624316666667,72.935488888889,396001,9999P2632.2632.220416013748.S6H2,https://www.justdial.com/Valsad/Bye-Planning-Tithal/9999P2632-2632-220416013748-S6H2_BZDET,4.9,https://content.jdmagicbox.com/comp/valsad/h2/9999p2632.2632.220416013748.s6h2/catalogue/bye-planning-tithal-valsad-event-organisers-vzd68rcb8u.jpg;https://content.jdmagicbox.com/comp/valsad/h2/9999p2632.2632.220416013748.s6h2/catalogue/bye-planning-tithal-valsad-event-organisers-eyii0nn2f2.jpg;https://content.jdmagicbox.com/comp/valsad/h2/9999p2632.2632.220416013748.s6h2/catalogue/bye-planning-tithal-valsad-event-organisers-bve597zvca.jpg;https://content.jdmagicbox.com/comp/valsad/h2/9999p2632.2632.220416013748.s6h2/catalogue/bye-planning-tithal-valsad-event-organisers-eyii0nn2f2-250.jpg;https://content.jdmagicbox.com/comp/valsad/h2/9999p2632.2632.220416013748.s6h2/catalogue/bye-planning-tithal-valsad-event-organisers-bve597zvca-250.jpg,,
Event Architectss,,,Near TBZ Showroom Chala,Vapi Daman Road Chala,valsad,4.9,37 Ratings,"Decorators, Event Organisers",20.393448,72.893825,396191,9999PX260.X260.150611165942.V7T4,https://www.justdial.com/Vapi/Event-Architectss-Near-Tbz-Showroom-Chala/9999PX260-X260-150611165942-V7T4_BZDET,4.9,https://content.jdmagicbox.com/comp/daman/t4/9999px260.x260.150611165942.v7t4/catalogue/event-architectss-daman-ho-daman-event-organisers-for-theme-parties-fhsrygmn3b.jpg;https://content.jdmagicbox.com/comp/daman/t4/9999px260.x260.150611165942.v7t4/catalogue/event-architectss-daman-ho-daman-event-organisers-for-theme-parties-4c0ls021je.jpg;https://content.jdmagicbox.com/comp/daman/t4/9999px260.x260.150611165942.v7t4/catalogue/event-architectss-daman-ho-daman-event-organisers-for-theme-parties-he3wui19nf.jpg;https://content.jdmagicbox.com/comp/daman/t4/9999px260.x260.150611165942.v7t4/catalogue/event-architectss-daman-ho-daman-event-organisers-for-theme-parties-2gbjpugiry.jpg;https://content.jdmagicbox.com/comp/daman/t4/9999px260.x260.150611165942.v7t4/catalogue/event-architectss-daman-ho-daman-event-organisers-for-theme-parties-8d4hjlm34w.jpg,,
Ar Events,,,Near By Dabhel Check Post Chala,Vapi Daman Road Chala,Valsad,4.6,31 Ratings,"Mandap Decorators, Decorators",20.398324377474,72.892687022096,396191,9999PX260.X260.180310090345.A2A6,https://www.justdial.com/Vapi/Ar-Events-Near-By-Dabhel-Check-Post-Chala/9999PX260-X260-180310090345-A2A6_BZDET,4.6,https://content.jdmagicbox.com/comp/valsad/a6/9999px260.x260.180310090345.a2a6/catalogue/ar-decoration-and-event-makers-vapi-industrial-estate-vapi-event-management-companies-for-sports-6hbkov87lf.jpg;https://content.jdmagicbox.com/comp/valsad/a6/9999px260.x260.180310090345.a2a6/catalogue/ar-decoration-and-event-makers-vapi-industrial-estate-vapi-event-management-companies-for-sports-byspflx968.jpg;https://content.jdmagicbox.com/comp/valsad/a6/9999px260.x260.180310090345.a2a6/catalogue/ar-decoration-and-event-makers-vapi-industrial-estate-vapi-event-management-companies-for-sports-78q79ap978.jpg;https://content.jdmagicbox.com/comp/valsad/a6/9999px260.x260.180310090345.a2a6/catalogue/ar-decoration-and-event-makers-vapi-industrial-estate-vapi-event-management-companies-for-sports-v44z1p7zim.jpg;https://content.jdmagicbox.com/v2/comp/valsad/a6/9999px260.x260.180310090345.a2a6/catalogue/ar-decoration-and-event-makers-vapi-industrial-estate-vapi-event-management-companies-for-sports-eiq55w0hu2.jpg,,
The Eventing Brothers - Weddings and Events,,, Chala,Daman Road Chala,valsad,5,16 Ratings,"Mandap Decorators, Decorators",20.392761605474,72.896232120814,396191,9999P2632.2632.191013161839.C1M2,https://www.justdial.com/Vapi/The-Eventing-Brothers-Weddings-and-Events-Chala/9999P2632-2632-191013161839-C1M2_BZDET,5,https://content.jdmagicbox.com/comp/valsad/m2/9999p2632.2632.191013161839.c1m2/catalogue/eventing-brothers-chala-valsad-event-organisers-for-wedding-7idmvaugxz.jpg;https://content.jdmagicbox.com/comp/valsad/m2/9999p2632.2632.191013161839.c1m2/catalogue/the-eventing-brothers-chala-vapi-event-organisers-for-wedding-qfhi65psyu.jpg;https://content.jdmagicbox.com/comp/vapi/m2/9999p2632.2632.191013161839.c1m2/catalogue/the-eventing-brothers-chala-vapi-event-organisers-for-wedding-do4iq55sxn.jpg;https://content.jdmagicbox.com/comp/valsad/m2/9999p2632.2632.191013161839.c1m2/catalogue/-the-eventing-brothers-n-n-chala-valsad-event-organisers-for-wedding-up2jc0m8r7.jpg;https://content.jdmagicbox.com/comp/valsad/m2/9999p2632.2632.191013161839.c1m2/catalogue/eventing-brothers-chala-valsad-event-organisers-for-wedding-m57y1i60vh.jpg,,
